"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,447,0.9,0.3011,NA,-420.4,11470.2,778.9,2040.9,0.0863,0.1453,0.1779,-27.35,0.75,10.66,922.1,0,0,2928,1840.83,3850,0.3713,0.3712,21613.1,4.29,1.51,7.38,5.61,1.54,0.09,0.05,2011.38,23654,0.2764,2.4,15.17,0.135,0.085,0.1843,0.074,0.4084,0.1213,5032.4,16160.3,0.4637,0.3168,1515.9,0.1079,-1477.9,-0.1052,0,NA,1.18,0.2084,1.15,-170.55,-0.0926,14048.4,0.3658,NA,2422.7,36.4,7493.7,1637564,14308.4,739.8,21.84,14308.4,1.25,3.34
"2",2010-12-31,443.2,0.96,0.3804,NA,-1133.9,9632.2,1113.2,2940.4,0.15350721490175,0.23261370019065,0.30526774776271,-142.707,0.78864353312303,12.836295318371,984,0,0,1940.8,1239.2396,2924.8,0.36148,0.36149656335106,16214.4,6.6436122265017,1.1901699991192,8.3544929925804,5.5437636761488,1.2827137737625,0.12,0.05,1252.7466,19154.8,0.33557235107244,2.97,9.5892255892256,0.16,0.0934,0.25738559567484,0.144,0.3881,0.14445298062748,2440.6,12639.9,0.51542338151409,0.34011840374214,984.7,0.077899166976512,-1835.3,-0.14518974423885,0,NA,1.0696912765309,0.15353580102368,0.99993671236561,-13.507,-0.0108994252911,12640.7,0.50776022945177,NA,2504.8,28.48,6514.9,2879436,13623.6,1454.8,8.6884107781138,13623.6,1.2,3.5597100910611
"3",2009-12-31,447.2,1.53,0.4732,NA,-2091.7,8295.3,1037.2,2139.3,0.14237985264853,0.18340734898236,0.25789302376044,-120.8975,0.63398140321217,13.420613690008,940,0,0,1748,1096.8525,2688,0.37251,0.37253159557662,12886,5.6879276097992,1.0394366424406,7.3718535469108,4.7938988095238,1.1047478609763,0.11,0.055,1120.55,15025.3,0.36674984629851,2.35,8.3659574468085,NA,0.0045,0.1648987463838,0.142,0.3984,0.16773353585765,2265.5,8528.8,0.76171325391614,0.43237073469415,635.5,0.054482947823254,-1924.1,-0.16495773392089,0,NA,1.2200557900007,0.14986025616845,0.73119459542875,-23.6975,-0.021605022333009,11664.2,0.48415472081218,NA,2142.2,19.66,6496.5,2741566,12397.1,910.8,9.3640755379886,12397.1,1.2,3.4111196876135
"4",2008-12-31,447.4,1.62,0.4622,NA,-1949.1,6460,1129.9,559.1,0.038783565368794,0.048126915263575,0.086547987616099,-0.6023,0.41540458675898,10.447668623325,1000.2,0,0,2056.2,1182.7262,3056.4,0.4248,NA,13856.8,5.5998383511821,1.1922802247442,6.7390331679798,4.533699777516,1.192783114692,0.065,0.035,1053.6285,14415.9,0.41227554179567,1.88,11.047872340425,NA,0.047,0.43235389086213,0.05,0.4209,0.072987616099071,2474.5,9433.2,0.52820887927745,0.34563919006097,902.9,0.077720965465,-1427.9,-0.12291257790173,0,NA,1.6073336343577,0.17699617808078,0.8120028922632,129.0977,0.10915267117797,11617.2,0.47796574661548,NA,2075.8,20.77,4982.7,4286374,11622.1,674.2,13.991693859389,11622.1,1.2,4.7520767405063
"5",2007-12-31,447.2,2,0.3908,0.90540660380147,640,10086.5,1444.5,2788.2,0.2556855696574,0.2514066219433,0.27642889010063,54.8045,NA,6.3205925142177,1329.4,0,0,1607.3,972.0468,2936.7,0.39523,NA,8116.6,2.040577232502,0.70034082574744,5.049835127232,2.7638505805837,0.73185818365433,0.12,0.07,802.1423,10904.8,0.40233976106677,1.85,5.9945945945946,NA,0.1228,0.64098148945329,0.08,0.423,0.13100679125564,3977.6,4779,1.2818162795564,0.56175262269826,756.1,0.068176080213518,-1217.8,-0.10980667965087,0,7.4671875,0.52671604285147,0.14492714419678,0.43091322224627,169.9045,0.17479046291099,11090.4,0.24438023456356,1.18140625,2194.7,11.09,6125.8,2252431,11589.5,862.1,5.5434404361443,11589.5,NA,1.6117532294777
"6",2006-12-31,444.5,1.07,0.1988,NA,-219.4,9768.7,1396.3,3032.6,0.13461350662725,0.30886591638234,0.31044048849898,198.1346,0.72434607645875,24.490979000296,1114.3,0,0,1311.3,871.9489,2425.6,0.33505,NA,19495.6,7.1796420416882,1.8054824967587,14.867383512545,8.0374340369393,1.9855986148597,0.185,0.09,391.8143,22528.2,0.38547606129782,2.16,15.5,NA,0.1649,0.1778948548369,0.163,0.426,0.096839907050068,2715.4,16560.8,0.3603328341626,0.26488578759066,676.2,0.068869990324388,-1986.1,-0.20228140754698,0,NA,1.3238367027187,0.13355400519428,1.6866934867851,480.1346,0.55064536398828,9818.5,0.32111251933417,NA,2147.9,33.48,5967.4,3429527,10798,693.1,23.893810416967,10798,0.9,3.9193110647182
"7",2005-12-31,444.4,0.67,0.1939,NA,-866.6,7410.2,1506.4,1181.4,0.051705122369665,0.14021719779242,0.15942889530647,103.4584,0.8,21.469281543539,797.9,0,0,1167.2,1053.1179,1965.1,0.09774,NA,21667.4,5.5738944768863,2.3059747557523,18.563570938999,11.026105541703,2.5716455996677,0.205,0.13,241.1595,22848.8,0.47427869693126,1.67,22.77245508982,NA,0.2079,0.19185423365488,0.116,0.4208,0.13156190116326,3887.3,16913.5,0.35092086203329,0.25976418892896,787.8,0.093501869325263,-898,-0.10658121179752,0,NA,1.0472820265141,0.13853183787312,2.0074179573913,811.9584,0.77100427585551,8425.5,0.27091242559103,NA,1948.8,38.03,5935.3,741811,9396.2,637,26.55180533752,9396.2,1,4.5078225185945
"8",2004-12-31,455.6,0.39,0.2267,NA,NA,6029.3,980.6,1155.6,0.064493445175549,0.14129212109356,0.19166404060173,-153.6256,0.34406704896339,56.402234636871,502.9,0,0,703.5074,667.4316,1206.4074,0.05128,NA,16762.5,6.5246584406991,2.0495060400059,23.827040123414,13.894559536205,2.3440121937577,NA,0.155,343.3571,17918.1,0.43789494634535,2.01,13.522388059702,NA,0.3095,0.15898141775637,0.02,0.3982,0.16245666992852,2569.1,12115.2,0.47897682250396,0.3238568821471,214.8,0.030036916881083,-1069.1,-0.14949938471865,0,NA,NA,0.0983761382705,1.694149233695,324.0744,0.4855545387929,7151.2,0.25979198103492,NA,1926.8,27.18,5802.9,1203228,8178.8,214.8,56.402234636871,8178.8,1.15,NA
"9",2003-12-31,478.8,0.92,0.2945,NA,NA,7585,321.8,3973,0.18019938497265,0.62832110323887,NA,-95.0021,0.62478777589134,67.306013363029,398.2,0,0,1105.9631,1039.4063,1504.1631,0.06018,NA,18074.8,9.355002329072,2.8584893724696,16.343040592014,12.016515948194,3.1493039220811,NA,0.165,1210.8084,22047.8,0.24739617666447,1.1,30.236363636364,NA,0.1959,0.19612229679344,0.02,0.8431,0,1932.1,15110.2,0.45913356540615,0.31466178031368,224.5,0.03911626853449,-933.8,-0.16270276863032,0,NA,NA,0.1927,2.6327600926942,-171.4021,-0.16490390220053,5739.3,0.53796710834853,NA,1648.3,33.26,6937.6,887311,6323.2,0,NA,6323.2,1.15,NA
"10",2002-12-31,481,1.19,0.4079,NA,NA,6260.6,435.8,2687,0.12041605607167,0.55737636906737,NA,285.5,0.6401,NA,373,0,0,421.3,421.3,794.3,0,NA,19627.3,NA,NA,46.587467362924,24.710185068614,4.0713781944905,NA,0.135,358.5,22314.3,0.31538510685877,0.91,37.296703296703,NA,0.2011,0.33790177843041,0.022,0.897,0,1941.8,16479.9,0.35403127446162,0.26146462134147,-881.7,-0.18289495519416,-999.3,-0.20728924659807,NA,NA,NA,0.087392134085629,3.4184990043146,62.8,0.14906242582483,4820.8,0.21696364198167,NA,1574.6,33.94,5834.4,1828114,5550.7,NA,NA,5550.7,1.3,10.107786589762
