"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-27,1762.2,1.16,0.2299,0.2721,37385,72124,3559,3185,0.0308,0.0779,0.0442,52.12,0.8,18.52,1841,0.0148,1321.65,7781,5097.41,9622,0.3449,0.4007,100386.8,2.08,2.37,12.9,10.43,2.45,0.13,0.055,3327.29,103571.8,0.2731,3.4,14.64,0.1,0.06,0.1793,0.01,0.6613,0.4058,48177,89594.8,0.156,0.1349,4839,0.1183,1539,0.0376,0.2369,2.4,1.42,0.1903,2.19,1770.12,0.3473,40893,0.1058,0.1294,0,49.79,13977,10214119,42278,5579,16.06,42278,1,2.02
"2",2011-09-27,1896.9,1.38,0.2941,0.24960499209984,37519,69206,2110,2722,0.034137483006506,0.071513017891391,0.039331849839609,63.4209,0.8,16.668252788104,1713,0.0162,1089.5537,6726,4364.9049,8439,0.35104,0.40284149770608,77014.4,1.629003532373,1.883314992786,11.45025275052,9.1260101907809,2.023340251688,0.15,0.085,3904.4841,79736.4,0.25728983036153,3.1,12.096774193548,0.15,0.0093,0.22266648283469,0.076,0.663,0.42165419183308,47277,67256.4,0.18555854907488,0.15651571929508,4035,0.10600845965899,853,0.022410214644143,0.27002569516729,1.7925957514859,1.1112168525403,0.17670703833119,1.7669758032735,460.4209,0.10548245876192,38063,0.092326183133448,0.10754551027479,0,37.5,12480,11361178,40893,4971,13.529752564876,40893,1.05,1.5947598951979
"3",2010-09-27,1818.3,1.19,0.2964,0.2735221277054,33734,63117,1753,3417,0.039717871763697,0.094525436388282,0.054137554066258,39.393,0.8,21.517253521127,1631,0.0105,769.9734,5697,3639.0727,7328,0.36123,0.41322314049587,82614.8,1.9204705007206,2.1704752646928,14.501456907144,11.27385371179,2.285396553155,0.125,0.08,3477.6797,86031.8,0.2787996894656,2.45,15.310204081633,0.21,-0.0424,0.13925948133713,0.079,0.6625,0.37913715797646,43018,73330.8,0.17320143786785,0.14763145720536,3408,0.094276466845556,744,0.020581482198678,0.22593116197183,2.1737949842888,1.7213802816901,0.15759772054552,2.0285706381919,161.393,0.044350022842844,36149,0.084594185922172,0.10102567142942,0,37.51,12701,9997679,38063,4051,18.101900765243,38063,1,1.8527360826962
"4",2009-09-27,1822.9,1.17,0.2665,0.31172011413483,32323,62497,1578,3001,0.040745724142894,0.079301323890812,0.048018304878634,-26.9926,0.60037523452158,13.396799091941,1582,0.0114,672.7471,7404,4691.1744,8986,0.3664,NA,70650.9,1.6071267714565,1.9544358073529,9.5422609400324,7.8623302915647,1.8669476521417,0.12,0.08,4722.167,73651.9,0.28052546522233,1.95,16.538461538462,0.215,0.1471,0.36771768636459,0.079,0.6637,0.39328287757812,43961,59012.9,0.24806440625694,0.19875929880967,4405,0.11640197658748,603,0.015934254683825,0.15272350964813,1.8257247161464,1.1163999243284,0.19565045054568,1.5594138942473,-30.9926,-0.0066065818048461,37843,0.10671218580105,0.13628066701729,0,32.25,14639,13438728,36149,3221.3,18.319591469283,36149,1,1.5683297133853
"5",2008-09-27,1962.2,0.88,0.193,0.33036472509526,30753,60928,1566,3670,0.065201903824527,0.10335116868488,0.060235031512605,30.6818,0.78756476683938,10.242825112108,1491,0.016703758023286,686.77,6781,4258.8071,8272,0.37195,NA,52616.7,1.2452183173589,1.390394524747,7.7594307624244,6.3608196324952,1.4817431709378,0.145,0.095,4153.1252,56286.7,0.28612460609244,2.4,9.4541666666667,0.15,0.0895,0.30622901902275,0.077,0.6546,0.40341058298319,42255,41114.7,0.36901643451126,0.26954857897159,4014,0.1130385806815,-467,-0.01315122500704,0.17109367214748,1.3369329821481,0.70640173186949,0.19096029287525,1.1578344128414,105.6818,0.024814885178098,35510,0.10078823926163,0.13052385133158,NA,22.69,15172,8805606,37843,4373.7,9.4004389875849,37843,0.95,1.2256222101252
"6",2007-09-27,1962.2,0.57,0.1407,0.33036472509526,30753,60928,1566,3670,0.046569999022918,0.10335116868488,0.060235031512605,0,0.8,15.853039362232,1491,0.01079248390407,686.77,6781,4258.8071,8272,0.37195,NA,75136.1,1.7781587977754,2.115913827091,11.080386373691,9.0831842359768,2.115913827091,0.145,0.09,4183.8071,78806.1,0.28612460609244,2.15,14.479069767442,0.15,0.0895,0.090558766859345,0.071,0.6637,0.40341058298319,42255,63634.1,0.2384256239972,0.19252316762281,4014,0.1130385806815,-467,-0.01315122500704,0.17109367214748,2.0691997528696,1.0933130594643,0.19096029287525,1.7920050689947,75,0.017610565381214,35510,0.10078823926163,0.13052385133158,NA,31.13,15172,9395758,35510,4014,15.853039362232,35510,1.1,1.7159738704409
"7",2006-09-27,2064,0.96,0.1877,0.29826882787518,31820,59998,1299,2411,0.028440223039294,0.070322298381216,0.040184672822427,0,0.8,21.312982351182,1436,0.0089802987538123,639.84,5478,3604.3049,6914,0.34204,NA,82363.3,1.9183700563656,2.4023129648534,15.035286600949,11.912539774371,2.4023129648534,0.155,0.075,3741.3049,84774.3,0.28612620420681,1.75,19.582857142857,0.095,0.0437,0.18956699624957,0.01,0.647,0.42354745158172,42934,71249.3,0.18982642636489,0.1595412760707,3343,0.097506198045793,-377,-0.010996062417967,0.19139694884834,2.2391357636706,1.3750311194311,0.15977832871518,2.0781478780808,-137,-0.038010103074299,34285,0.083949897051288,0.10505971087366,NA,34.27,13525,9653000,34285,3343,21.312982351182,34285,1.25,1.8695401918624
"8",2005-09-27,2043,1.24,0.2564,0.34087290555738,NA,53902,1427,2042,0.032441071476799,0.063924367643376,0.037883566472487,13.993,0.96723868954758,21.80639329806,1210,0.011254689453939,551.61,4048.592,2624.1758,5258.592,0.35183,NA,60902.9,1.6229088389693,1.9065520911595,15.042982844406,11.58159826813,1.9804533038502,0.185,0.075,2393.1829,62944.9,0.30577715112612,1.55,15.477419354839,-0.015,0.1375,0.13426626323752,0.022,0.641,0.36698081703833,37527,49456.9,0.27272230972827,0.21428265038152,2268,0.073751300728408,361,0.011739073881374,0.24321428571429,1.8962808174533,1.1787239620573,0.13165296566077,1.6082498699272,230.993,0.088024959806566,30752,0.069927675450742,0.086959855833749,0,23.99,13488,5222900,31944,2268,21.80639329806,31944,1.35,1.5907629710127
"9",2004-09-27,2043,1.2,0.2835,0.34087290555738,NA,53902,1427,2042,0.028894209272183,0.066402185223725,NA,0,0.84656084656085,25.213227513228,1210,0.0085622547270781,490.32,5258.592,3408.4616,6468.592,0.35183,NA,68629.6,1.8288059263997,2.2317117585848,13.050945956636,10.609665905656,2.2317117585848,0.145,0.06,3191.4616,70671.6,0.30577715112612,1.25,22.424,-0.015,0.1375,0.15276932440657,0.022,0.6388,0.36698081703833,37527,57183.6,0.23587182338992,0.19085460071655,2268,0.073751300728408,361,0.011739073881374,0.21619047619048,2.1925386296538,1.7388432767743,0.171,1.8595083246618,217,0.063665086174718,30752,0.0908269133328,0.086959855833749,0,28.03,13488,1753000,30752,2268,25.213227513228,30752,1.3,1.7860345219743
"10",2003-09-27,2045,1.16,0.3176,0.35510015993061,NA,49988,1049,1583,0.026239149208433,0.058497468681867,NA,810,0.802,34.881610044313,1077,0.0090927954232189,429.45,2713,1770.0155,3790,0.34758,NA,58746.7,NA,NA,21.653778105418,15.500448548813,2.1708990798566,0.08,0.05,1798.0155,60329.7,0.25362086900856,0.8,29.2125,NA,0.0668,0.23188405797101,0.026,0.6248,0.39513483235977,35308,47229.7,0.2773678426922,0.21714014821887,1354,0.050035105871919,519,0.019178892132589,0.31717134416544,1.9851918792821,4.3602012555391,0.10025497949078,1.7453050515502,-28,-0.015819070868454,27061,0.050130719950153,0.056912277752091,0,23.37,13100,7903941,27061,1354,34.881610044313,27061,1.25,1.6638353914127
