"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,6.7,0.95,0.323,0,41.7,45.8,0.7,25.7,0.1909,0.7139,0.5611,0.24,0.74,23.61,0.7,0.0219,2.95,6,6.4,7,0,0,108.9,6.81,2.48,17.02,15.34,3.03,NA,6.16,134.6,0.0306,1.24,16.69,NA,0.2897,NA,0.4521,0.0611,16,134.6,0,0,5.7,0.1583,1.1,0.0306,0.3829,3.23,0.1778,3.74,0.24,0.0377,36,0.4,0.1367,21.6,20.7,0,10853,43.9,7.7,17.48,43.9,0.75,3.23
"2",2010-12-31,7.2,0.67,0.3302,0,51.2,55.8,0.8,34.8,0.20220801859384,1.1189710610932,0.62365591397849,0.1486,0.52998182919443,40.976190476191,0.6,0,0,6.2,6.1382,6.8,0.00996,0,137.3,8.3719512195122,3.6419098143236,22.145161290323,20.191176470588,4.4147909967846,NA,5.7897,172.1,0.023297491039427,0.87,27.459770114943,0.5994,0.35205183585313,NA,0.4118,0.039426523297491,16.4,172.1,0,0,4.2,0.13504823151125,0.7,0.022508038585209,0,3.361328125,0.19935691318328,5.5337620578778,0.3486,0.056783801283751,31.1,0.37428341463415,0.08203125,17.1,23.89,0,33282,37.7,7.9,21.784810126582,37.7,0.7,3.361328125
"3",2009-12-31,7.1,NA,NA,0,46.6,50.5,0.5,42.8,0.1923595505618,2.2408376963351,0.84752475247525,0.2974,NA,NA,0.6,0,0,-2.7316,-2.7316,-2.1316,0,NA,179.7,47.28947368421,6.8587786259542,NA,NA,9.4083769633508,NA,-2.9289,222.5,0.021782178217822,NA,NA,-0.0272,0.37326203208556,NA,0.3697,0.025742574257426,3.8,222.5,0,0,-2.8,-0.14659685863874,0.8,0.041884816753927,NA,4.774678111588,-0.14301361256545,11.649214659686,0.1974,NA,19.1,-0.71883157894737,-0.060085836909871,14.5,30.01,0,25214,26.2,0.8,278.125,26.2,0.6,4.774678111588
"4",2008-12-31,7.2,NA,NA,0,48.4,52.4,0.9,40.2,0.38579654510557,2.030303030303,0.76717557251908,-0.0808,NA,69.466666666667,0.8,0,0,0.2,0.1972,1,0.01389,NA,64,7.8048780487805,3.5164835164835,320,64,3.2323232323232,NA,0.178,104.2,0.022900763358779,NA,NA,0.5159,0.29363449691992,NA,0.2625,0.0095419847328244,8.2,104.2,0,0,1.5,0.075757575757576,1,0.05050505050505,0,2.1528925619835,0.01010101010101,5.2626262626263,0.0192,0.097311249211138,19.8,0.024051463414634,0.03099173553719,12.2,14.99,0,0,18.2,-2.5,NA,18.2,NA,2.1528925619835
"5",2007-12-31,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.18373648996397,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,0,5204,NA,NA,NA,NA,NA,NA
"6",2006-12-31,21.2,1.08,0.3564,0.0097690941385435,111.5,134.6,10.5,23.1,0.11815856777494,0.22168905950096,0.17161961367013,-0.1775,0.51627384960718,NA,15.5,0,0,-12.6,-12.6,2.9,0,NA,172.4,1.9262569832402,1.6157450796626,NA,59.448275862069,1.6545105566219,NA,-7.4225,195.5,0.45988112927192,-0.03,NA,0.013,0.2138671875,NA,0.3298,0.11441307578009,89.5,194.4,0.0056584362139918,0.0056265984654731,-11.7,-0.11228406909789,7.4,0.071017274472169,NA,1.7434977578475,-0.12092130518234,1.8656429942418,-5.1775,NA,104.2,-0.14078212290503,-0.10493273542601,44.1,7.95,1.1,77852,106.7,-1.6,NA,106.7,1.15,1.7362344582593
"7",2005-12-31,20.8,3.03,0.3964,0,120,140.2,15.5,24.7,0.13243967828418,0.24431256181998,0.17617689015692,-0.1856,0.44399596367306,NA,19.7,0,0,-23.6025,-23.6025,-3.9025,0,NA,161.8,1.697796432319,1.5572666025024,NA,NA,1.6003956478734,NA,-19.2169,186.5,0.45720399429387,-0.03,NA,0.0687,0.27367733507511,NA,0.3877,0.12268188302425,95.3,186.5,0,0,-23.1,-0.22848664688427,6.7,0.066271018793274,NA,1.5541666666667,-0.2334565776459,1.8447082096934,-4.3856,NA,101.1,-0.2476648478489,-0.1925,50.4,8.79,0,23623,103.9,-18.4,NA,103.9,1.1,1.5541666666667
"8",2004-12-31,20.5,1.12,0.4538,0,NA,163.3,27.2,43.6,0.35218093699515,0.44354018311292,0.26699326393141,0.3197,0.49360951961216,NA,13.5,0,0,-9.5239,-9.5239,3.9761,0,NA,80.2,0.81338742393509,0.81586978636826,NA,20.170417391829,0.86329386437029,0.25,-23.5436,123.8,0.39191671769749,-1.07,NA,0.0685,0.37596626844694,NA,0.4613,0.12982241273729,98.6,123.8,0,0,-9,-0.096878363832077,5.5,0.059203444564047,NA,0.87060478199719,-0.10251754574812,1.3326157158235,14.0197,-1.4720574598426,92.9,-0.09659107505071,-0.063291139240506,45,5.9,0,106655,98.3,-20,NA,98.3,1.2,0.87060478199719
"9",2002-12-31,17.6,1.22,0.6971,0,NA,132.5,12.3,37.5,0.142748382185,0.43302540415704,NA,26.1,0.386,NA,9.1,0,0,-9.2819,-9.2819,-0.1819,0,NA,225.2,NA,NA,NA,NA,2.6004618937644,0.2333,-12.4819,262.7,0.21283018867924,0.17,75.823529411765,4.6179,0.28861039439735,NA,0.6951,0.20150943396226,81.8,262.7,0,0,-8.7,-0.10046189376443,25.8,0.29792147806005,NA,2.2020117351215,-0.10718083140878,3.0334872979215,3.2,NA,86.6,-0.11347017114914,-0.072925398155909,43.9,12.89,0,57840,87.3,1.4,187.64285714286,87.3,1.05,2.7530562347188
"10",2001-12-31,NA,0.46,0.87,3e-04,NA,129.4,1,61.6,0.26712922810061,4.1342281879195,NA,64.8446,0.0925,NA,2.5,0,0,-21.607,-21.607,-19.107,0,NA,169,NA,NA,NA,NA,11.342281879195,0.2333,-84.9516,230.6,0.11360123647604,-0.43,-29.813953488372,0.2024,0.46041888533901,0,0.7151,0.22720247295209,61.902,230.6,0,0,-19.2,-1.2885906040268,17.598,1.1810738255034,NA,1.8672064777328,-1.4501342281879,15.476510067114,63.3446,NA,NA,-0.3490517269232,-0.15546558704453,31.8,12.82,0,8400,14.9,-15.4,NA,69.7,0.95,3.7252431262318
