"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,183.7,1.46,0.2798,0.3073,4930.6,9501.5,271.8,1206.8,0.0871,0.1518,0.127,60.04,0.8,13.75,303.1,0.0221,257.18,1213,937.67,1516,0.2268,0.2268,12641.1,2.14,1.5,10.42,8.34,1.59,0.125,0.085,908.93,13847.9,0.1053,5.36,12.26,0.065,0.05,0.1441,0.019,0.8651,0.5256,5911,11660.7,0.1876,0.1579,848.3,0.1067,988.5,0.1243,0.2914,2.36,1.1,0.1525,1.47,28.74,0.0307,7950.1,0.1586,0.172,1840.6,65.71,2187.2,731834,8433,882.7,13.21,8433,1.2,1.95
"2",2010-12-31,186.9,1.38,0.3115,0.28539403889871,4526.6,8562.9,183.2,1309.1,0.10486642367926,0.18353755993607,0.15288044938047,115.1044,0.8,16.199848254932,268.4,0.0219,233.7978,1034.9,778.3897,1303.3,0.24786,0.24788860990641,11174.4,2.2236284400931,1.3641624142393,10.797564982124,8.5739277219366,1.5666657319911,0.125,0.065,748.4853,12483.5,0.098938443751533,4.8,12.09375,0.095,0.2299,0.23297302047632,0.014,0.8702,0.49931682023613,5025.3,10675.7,0.16933784201504,0.14481515600593,659,0.092392675882567,775.4,0.10871211059081,0.35477667678301,2.3584367958291,1.2959878603945,0.14509435549449,1.4967473291647,29.9044,0.038418266880206,7132.6,0.15489417268621,0.1455838819423,1697.7,58.05,1807.8,1677198,8191.4,833,12.815966386555,8191.4,1.15,1.9707470320788
"3",2009-12-31,186.1,1.38,0.346,0.31304567247035,4083.6,7882.4,120,938.2,0.072875563150536,0.16243918486071,0.11902466253933,111.3443,0.8,29.61306802904,258.2,0.019,209.2489,588.1,444.88,846.3,0.24353,0.24349064279902,11935.8,2.384155963486,1.7647632847385,20.295527971433,14.103509393832,2.066554703326,0.09,0.04,471.7357,12874,0.10515832741297,3.6,16.236111111111,0.15,-0.2374,0.18560225216167,0.019,0.8593,0.54564599614331,5006.3,11013.1,0.16897149758016,0.14454714929315,371.9,0.064390463493603,651.1,0.11273092439012,0.56264829255176,2.6969095895778,3.2903408921156,0.10182315563482,1.9067991758575,-26.8557,-0.060366088737005,5775.7,0.088864032718774,0.091071603487119,1511.1,58.45,1860.9,1450238,6763.4,569.3,19.344985069384,6763.4,1.15,2.165699385987
"4",2008-12-31,186,1.23,0.3057,0.35478438377137,3792.9,7867.3,175.8,826.9,0.08376639821709,0.10924969282194,0.10510594486037,-160.9911,0.60189728491986,11.205958549223,261.2,0.0249,193.8689,1029.3,755.9179,1290.5,0.2656,NA,9044.6,1.7904426320374,1.5084389593062,8.787136889148,7.0086013173189,1.1949688858355,0.035,0.025,1002.309,9871.5,0.11085124502688,2.38,17.483193277311,0.245,0.0926,0.32840191092618,0.017,0.8672,0.53487219249298,5051.6,7785.9,0.26786883982584,0.21127488223674,694.8,0.091796694367742,774.7,0.10235304998084,0.27902836787565,2.0527564660286,3.2017024426351,0.13599069878054,1.0286699520406,-246.3911,-0.32594955853787,7568.9,0.14963930635838,0.18318437079807,1700.7,41.61,2085.6,1701515,5996,476,16.356932773109,5996,1.15,1.6792549119673
"5",2007-12-31,194,1.27,0.2612,0.34630930294196,3946.2,8069.8,174.3,602.4,0.077362682522763,0.083364470461245,0.074648690178195,-62.2189,0.73506891271057,8.7189652533292,245,0.034058390828813,194,980.7,721.7952,1225.7,0.264,NA,7184.3,1.3220042691005,0.92987406324019,7.3256857346793,5.8613853308314,0.99421541357025,0.1,0.065,854.7141,7786.7,0.10968053731195,3.9,8.4410256410256,0.14,0.1685,0.39994869163674,0.0229,0.8554,0.5408560311284,5434.4,5696.1,0.36702305085936,0.2684834397113,653.3,0.090408380730961,899.2,0.12443780185716,0.29695392622073,1.4434392580204,0.87189652533293,0.13571636152281,0.78826753020301,-132.9189,-0.1841504362021,7226.1,0.13281966730458,0.16555166996098,1641,32.92,2090.6,1212262,7726.1,698,8.1606017191977,7726.1,1.2,1.2898721176782
"6",2006-12-31,204.3,0.96,0.1664,0.31726979577212,3811,7626.7,194.7,373.6,0.02884296180778,0.057374531605135,0.048985799887238,-79.0245,0.8,18.04405357431,201.5,0.014616478416012,163.44,928.2,685.3829,1129.7,0.2616,NA,12579.3,2.415194685508,1.748655073189,13.552359405301,11.135080109764,1.9318293506972,0.11,0.065,771.2074,12952.9,0.11234216633669,3.64,11.681318681319,0.07,0.0728,0.10360861215,0.0229,0.6938,0.55953426776981,5208.4,11181.9,0.1583809549361,0.13672613854812,619.7,0.095168622151238,754.4,0.11585478223478,0.26374051960626,2.9341117816846,1.6403685067555,0.14254561090976,1.7172277166902,-85.8245,-0.12522131711598,6511.6,0.13159182858459,0.16260823930727,1436.2,42.52,1771,1510430,7193.7,652.8,17.129136029412,7193.7,1.3,2.3204765317091
"7",2005-12-31,203.3,1.42,0.1689,0.31831210843127,3329.5,6573,152.1,191.1,0.016489347933007,0.031641168289291,0.029073482428115,-48.2665,0.8,20.949060542798,175.7,0.014992326550137,150.442,661.7,484.9533,837.4,0.26711,NA,11398.2,2.4287144957491,1.7761398697292,17.225630950582,13.611416288512,1.8872441883568,0.13,0.08,556.8198,11589.3,0.12425072265328,3.15,15.561904761905,-0.005,0.1015,0.12600303621774,0.0229,0.8041,0.53044272021908,4693.1,10034.6,0.15493392860702,0.13414960351359,479,0.079309888072058,771.6,0.12775680508643,0.3140751565762,3.0138459228112,1.6114661955998,0.1095602357772,1.661467646864,-71.8665,-0.14819265903572,6039.6,0.10333325797447,0.14386544526205,1203.2,49.02,1554.7,394200,6417.4,572.3,17.533810938319,6417.4,1.15,2.3728143810655
"8",2004-12-31,203.5,1.48,0.2882,0.25940965543445,NA,5792.2,107.4,357.6,0.038199822674201,0.060622499491422,0.061738199647802,58.0417,1.0270645385149,20.212417501833,160.8,0.01679012345679,138.38,612.4733,453.8427,773.2733,0.259,NA,9003.7,2.3364992863631,1.5263612938225,14.700559431743,11.643619553961,1.6405859951532,0.18,0.1,449.201,9361.3,0.13064120714064,2.71,14.944649446495,-0.025,0.24,0.10648330058939,0.0229,0.8229,0.46253582403922,3853.5,8268.9,0.13210947042533,0.1166931943213,409.1,0.074543102348718,775.6,0.14132395546728,0.33825470545099,2.6513932087088,1.1229120834352,0.11160024234252,1.5066963065542,4.6417,0.010227659120037,5488.1,0.11777415541456,0.13117645172668,1282.2,40.5,1092.4,487800,5898.8,438.8,18.844348222425,5898.8,1.15,2.2230058654508
"9",2003-12-31,202.9,1.34,0.2959,0.28018791171299,NA,5133.8,96.4,370.4,0.038860212346301,0.070351377018044,NA,122.005,0.90571138898276,29.677419354839,151.3,0.015417971573115,129.856,594.9128,456.2565,746.2128,0.23307,NA,9161.2,2.6632169539812,1.7400189933523,15.399230583088,12.276926245332,2.0758162826003,0.215,0.085,389.1515,9531.6,0.13983793681094,2.43,17.082304526749,-0.07,0.0522,0.11369085173502,0.022,0.7667,0.42736374615295,3439.9,8464,0.12613421550095,0.11200637878216,285.2,0.064622844583418,632.2,0.14324881607867,0.45531556802244,3.0860101359974,1.3803450862716,0.1348,1.9178392586047,67.105,0.14707739179569,4413.3,0.13263656047594,0.10398512414774,1076.7,41.51,1067.6,125600,5265,349.4,24.224384659416,5265,1.2,2.5015353121801
"10",2002-12-31,202.4,1.35,0.3342,0.3056514048772,NA,4437.4,102.3,295,0.032620474600261,0.070511747974281,NA,130.4,0.89,37.846044528659,161,0.015200330441966,121.44,341.6,267.4489,502.6,0.21707,NA,8748.4,NA,NA,25.610070257611,17.406287306009,2.0910677151803,0.14,0.055,326.1489,9043.4,0.1588542840402,1.7,22.988235294118,NA,-0.0611,0.27804107424961,0.024,0.7711,0.41864605399558,3153.7,7989.3,0.1319389683702,0.11656014330893,211.1,0.050457728804647,689.9,0.16490188111002,0.57527238275699,3.3363818591832,2.7032888949042,0.081650213925473,1.9096254511557,-58.7,-0.21948118924316,4183.7,0.084804796905222,0.088156685876556,1018.7,39.08,1054.1,869617,4350.5,229.3,34.84212821631,4350.5,1.15,2.7740114785807
