"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,35.5,1.23,0.389,0.3588,632.3,1310.8,23.9,720.5,0.8858,1.8098,0.5497,0.61,0.79,26.72,40.2,0,0,21,20.5,61,0,0,92.9,0.35,0.23,4.53,1.53,0.23,0.045,0.075,36.19,813.4,0.0393,0.51,28.2,-0.1,0.11,0.1949,0.06,0.7461,0.229,265.6,459.6,0.7698,0.435,17.2,0.0432,-203,-0.5099,0,0.73,5.94,0.0515,1.15,-15.69,-0.7653,398.1,0.0772,0.0272,272.5,14.38,353.8,194077,396.9,8.6,53.44,396.9,1.05,0.82
"2",2010-12-31,39,1.15,0.4973,0.34101204819277,683.7,1333.8,18.6,728.1,0.79452204277608,2.0046806167401,0.54588394062078,-10.68,0.52785039211743,35.834394904459,31.3,0,0,13,13,44.3,0,0,188.3,0.60859728506787,0.49062011464304,14.484615384615,4.2505643340858,0.51844713656388,0.03,0.03,36.38,916.4,0.037186984555406,0.66,22.757575757576,0.03,-0.1084,0.49306856500562,0.06,NA,0.24134053081421,309.4,562.6,0.62886597938144,0.38607594936709,15.7,0.043226872246696,-188.3,-0.51844713656388,0,0.82287553020331,11.944798301486,0.03579295154185,1.5490088105727,-23.38,-1.798462385632,363.2,0.042016806722689,0.022963287991809,254.3,15.02,353.8,664417,383.8,18.1,31.082872928177,383.8,1.05,0.88327710843373
"3",2009-12-31,38.7,1.52,0.5308,0.012517780938834,694.2,985.6,31.9,407.9,0.29500253127938,1.0101535413571,0.41385957792208,15.848,0.47098718914845,27.588353413655,27,0,0,63.5,51.1435,90.5,0.19459,0.19417475728155,974.8,3.3032870213487,2.6317494600432,15.351181102362,10.771270718232,2.4140663694898,0.125,0.07,30.3955,1382.7,0.055093344155844,0.85,40.494117647059,0.235,-0.0199,0.25481386392811,0.057,NA,0.30955762987013,295.1,1373.9,0.0064051240992794,0.0063643595863166,49.8,0.12332838038633,-191.6,-0.47449232293214,0,1.979112647652,2.2070682730924,0.15725606736008,3.4024269440317,20.748,0.40568262608233,403.8,0.17330916638428,0.071737251512532,249.6,34.42,8.8,593573,370.4,24,57.245833333333,370.4,1,1.9668563300142
"4",2008-12-31,37,1.4,0.5299,0.24463680843056,602.1,1070.3,26.9,500.3,0.4039563988696,1.2691527143582,0.46743903578436,-0.2347,0.30194376297415,16.407232704402,24.4,0,0,71.5,52.7062,95.9,0.26285,NA,738.2,2.4871967654987,1.8698074974671,10.324475524476,7.6976016684046,1.8726534753932,0.095,0.065,50.4409,1238.5,0.038961038961039,1.29,20.922480620155,NA,0.2365,0.36718101874896,0.05,0.9591,0.2859011492105,296.8,1043.5,0.18687110685194,0.15744852644328,63.6,0.16133942161339,-154.2,-0.39117199391172,0,1.7331008138183,1.7270771267792,0.18138001014713,2.6471334348047,2.2653,0.042979682260548,394.2,0.17758162061995,0.1056302939711,240.8,26.99,195,755704,394.8,57.6,18.116319444444,394.8,1,1.5537573704679
"5",2007-12-31,40.5,1.56,0.4342,0.22380351199357,676.3,1127.7,18.7,697.4,0.64597999258985,1.9965645576868,0.61842688658331,22.0367,0.42376784891755,12.494350282486,20.3,0,0,73.9,50.77,94.2,0.31299,NA,382.2,2.1978148361127,0.9671052631579,5.1718538565629,4.0573248407643,1.0941883767535,0.13,0.115,30.3333,1079.6,0.027578256628536,1.97,12.58883248731,NA,0.1328,0.45836675758062,0.047,NA,0.2609736632083,173.9,884.6,0.22043861632376,0.18062245276028,70.8,0.20269109647867,-167.7,-0.4801030632694,0,1.3079994085465,0.96110386788353,0.2115659891211,2.5324935585457,20.4367,0.40253525517412,349.3,0.29194962047153,0.10468726896348,212.5,24.8,195,275655,395.2,68.7,12.876273653566,395.2,1.15,1.2390680592218
"6",2006-12-31,40.5,1.82,0.4169,0.24411617426139,603.8,1006.3,15.9,625.9,0.4127266732608,2.0347854356307,0.62198151644639,11.5357,0.51810985847925,21.735197368421,23.1,0,0,67.6,45.9396,90.7,0.32042,NA,890.6,5.150954308849,2.6561288398449,13.174556213018,9.819184123484,2.8953185955787,0.16,0.185,41.6039,1516.5,0.023949120540594,1.94,16.912371134021,NA,0.2087,0.30125161847216,0.05,NA,0.26324157805823,172.9,1321.5,0.14755959137344,0.12858555885262,60.8,0.19765929778934,-128.1,-0.41644993498049,0,2.1886386220603,1.3584498355263,0.21976592977893,4.2961638491548,4.3357,0.094377453089275,307.6,0.26570045112782,0.10069559456774,180,32.81,195,1667582,335.3,66.8,19.782934131736,335.3,1.35,1.8984727090636
"7",2005-12-31,35,1.94,0.4381,0.38992201559688,305.1,669.1,8.3,352.3,0.14488998560559,1.5984573502722,0.52652817217157,32.2432,0.43825610591189,41.187845303867,17.6,0,0,66.7,50.5673,84.3,0.24187,NA,2079.2,14.067658998647,7.2648497554158,31.172413793104,24.664294187426,9.4337568058076,0.25,NA,27.6241,2431.5,0.026901808399342,1.56,35.76282051282,NA,0.3737,0.35217825074825,NA,0.8979,0.32192497384546,147.8,2236.5,0.087189805499665,0.080197409006786,54.3,0.24637023593466,-108,-0.49001814882033,0,7.330383480826,1.6475138121547,0.30263157894737,10.147459165154,22.9432,0.45371628206666,220.4,0.34213309201624,0.1779744346116,111.3,55.79,195,410178,286.2,62.2,35.956591639871,286.2,1.2,4.8620275944811
"8",2004-12-31,33.7,2.26,0.6229,0.50283651366684,NA,504.5,9.3,292.1,0.2345807902345,1.4124758220503,0.57898909811695,-31.9757,0.72563814416439,29.750708215298,16.5,0,0,34.5687,33.5967,51.0687,0.02812,NA,953.1,9.9592476489028,4.6088007736944,27.571152434251,18.663080389295,6.1849448410123,0.2,NA,72.7723,1245.2,0.034489593657086,1.24,23.983870967742,NA,0.4255,0.31280637254902,NA,0.885,0.32784935579782,95.7,1050.2,0.18567891830128,0.15660134918085,35.3,0.2290720311486,-93.5,-0.60674886437378,0,5.4470954356847,1.4875354107649,0.22432667099286,6.8150551589877,-39.1757,-1.1660580829675,154.1,0.3510623514232,0.18309128630705,82.9,29.74,195,377505,206.8,49.4,21.259109311741,206.8,1.3,3.2109334708613
"9",2003-12-31,31.5,2.35,0.8288,0,NA,189.7,6.3,131.9,0.094953567057807,0.98949737434359,NA,-14.8764,0.56708494208494,81.233918128655,12.7,0,0,28.9533,28.9533,41.6533,0,NA,1257.2,NA,9.4313578394599,43.421617969891,30.182468048165,12.422924901186,0.2833,NA,50.2297,1389.1,0.076963626779125,1.1,37.1,NA,0.1373,0.39151321056846,NA,0.9008,0.16921454928835,0,1389.1,0,0,17.1,0.16897233201581,-46.9,-0.46343873517787,0,10.53146322972,2.867416806518,0.2861,13.72628458498,-21.2764,-0.73485125019202,101.2,NA,0.12964366944655,56.4,40.81,0,284144,133.3,24.7,56.238866396761,133.3,1.35,10.53146322972
"10",2002-12-31,27.5,3.01,1.7119,0,NA,95.7,5.2,40.8,0.060061828352716,0.52442159383033,NA,63.9,0.3863,339.65,11.7,0,0,1.6,1.6,13.3,0,NA,638.5,NA,NA,399.0625,48.007518796992,8.206940874036,0.26,NA,8.1,679.3,0.16300940438872,0.61,35.868852459016,NA,0.2927,0.59054022722003,NA,0.8215,0.28213166144201,16.4,679.3,0,0,2,0.025706940874036,-26.3,-0.33804627249357,0,11.875874125874,13.063461538461,0.020565552699229,8.7313624678663,-6.5,-4.0625,77.8,0.097560975609756,0.034965034965035,50.7,21.88,0,510241,95.6,14.8,45.898648648649,95.6,1.4,38.932926829268
"11",2001-12-31,NA,2.58,1.7903,0.0472,NA,78.2,5.9,31.7,0.083884625562318,0.54844290657439,NA,-4.2325,0.2519,NA,21.6,0,0,1.5329,1.5329,23.1329,0,NA,346.2,NA,NA,225.84643486203,14.965698204721,5.9896193771626,0.25,NA,21.4654,377.9,0.20588235294118,NA,NA,NA,0.5608,0.67544864452081,0,0.3075,0.25831202046036,21.267,375.4,0.0066595631326585,0.0066155067478169,-19.2,-0.33217993079585,-15.131,-0.26178200692041,NA,7.4484126984127,NA,0.026520761245675,6.4948096885813,-19.9325,-13.003131319721,NA,0.072078807542202,-0.38095238095238,43.4,12.5,2.5,453500,57.8,-3.1,NA,74,1.35,17.769313960596
"12",2000-12-31,NA,1.65,1.7795,0,NA,69.4,9.4,31.9,0.072009029345372,1.0224358974359,NA,129.0266,0.27816802472605,NA,16.5,0,0,-23.59344,-23.5934,-7.0934,0,NA,411.1,NA,NA,NA,NA,13.176282051282,0.5,NA,-25.5806,443,0.19596541786743,NA,45,NA,-0.614,0.75883342680875,NA,0.134,NA,16.6,443,0,0,-38.1,-1.2211538461539,-14.8,-0.47435897435897,NA,9.1340206185567,NA,-0.7562,14.198717948718,1.9872,NA,NA,-1.4212915662651,-0.78556701030928,43.4086,17.55,0,NA,31.2,-16.5,NA,50.2,NA,9.1340206185567
"13",1999-12-31,NA,NA,NA,0,NA,87.1,4.8,15.1,0.21148459383754,0.15267947421638,NA,NA,NA,NA,1.5,0,0,-22.4,-22.4,-20.9,0,NA,56.3,NA,NA,NA,NA,0.56926188068756,NA,NA,-30.0734,71.4,0.083811710677382,NA,NA,NA,2.3885,0.88761621038574,NA,0.1144,NA,58,71.4,0,0,NA,-0.37815975733064,NA,0.13953488372093,NA,0.97674418604651,NA,-0.22649140546006,0.72194135490394,NA,NA,NA,-0.38620689655172,-0.51162790697674,38,NA,NA,NA,NA,-37.4,NA,98.9,NA,0.97674418604651
