"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-27,14.1,1.48,0.4369,0.423,156.7,405.3,4.1,1.5,0.0019,0.0019,0.0037,27.77,0.8,21.5,10.1,0,0,56,33.56,66,0.3954,0.3962,788.4,2.92,0.77,14.21,12.02,0.98,0.276,11.78,789.9,0.0417,3.24,15.15,0.095,0.175,0.2396,0.5986,0.3578,270.1,675,0.1702,0.1455,31.4,0.0389,104,0.1289,0,4.31,0.78,0.0688,0.84,21.77,0.6488,807,0.1242,0.2004,176.4,49.07,114.9,83448,1022.5,46.1,14.64,1022.5,1.35,2.91
"2",2011-07-27,14.1,1.37,0.5028,0.47988264878458,124.1,320.6,1.2,0.8,0.0013951866062086,0.0012191405059433,0.0024953212726138,15.995,0.67124105011933,23.654639175258,9.6,0,0,37.1,22.3776,46.7,0.39683,0.39563862928349,572.6,2.407905803196,0.75501054852321,15.433962264151,12.261241970021,0.87259981712892,0.253,14.7826,573.4,0.046475358702433,1.98,16.262626262626,0.225,0.0337,0.32753508598537,0.6089,0.36556456643793,237.8,458.9,0.24950969710176,0.1996860830136,19.4,0.029564157269125,102.7,0.15650716245047,0,3.6978243352135,0.93496597530663,0.056537640963121,0.69932947272173,7.595,0.33940322584261,656.2,0.09410263666947,0.1563255439162,151.3,32.2,114.5,73168,758.4,28.1,16.330960854092,758.4,1.35,2.4031852472758
"3",2010-07-27,12.9,1.46,0.5479,0.63080283997815,67.6,270.9,1.6,2.3,0.0050772626931567,0.0039437585733882,0.0084902177925434,6.7725,0.63880270122285,NA,11.5,0,0,3.6,3.6,15.1,0,NA,450.7,2.4928097345133,0.72192855998719,125.19444444444,29.847682119205,0.77280521262003,0.471,6.7275,453,0.062753783684016,1.3,18.461538461538,0.325,-0.2129,0.39453675021121,0.5586,0.31856773717239,180.8,337.5,0.34222222222222,0.25496688741722,-8,-0.013717421124829,96.1,0.164780521262,NA,4.9926035502959,NA,0.0061728395061728,0.5787037037037,-3.1275,-0.86875571559214,583.2,0.019911504424779,-0.11834319526627,147.8,24,115.5,63496,624.3,-2.5,NA,624.3,1.4,2.4740578918624
"4",2009-07-27,12.9,1.64,0.5817,0.56729475100942,128.6,397.9,5.1,5.7,0.016984505363528,0.0077351065273443,0.014325207338527,-18.2541,0.39883101254942,6.4478764478764,11,0,0,48.2,29.509,59.2,0.38778,NA,329.9,1.1317324185249,0.51627543035994,6.844398340249,5.5726351351351,0.44768625322296,NA,53.6631,335.6,0.051017843679316,0.76,17.197368421053,0.54,0.6242,0.31357629154986,0.5331,0.36164865544107,291.5,167,1.0095808383233,0.50238379022646,25.9,0.035147238431266,137.4,0.18645677839598,0,1.298600311042,NA,0.06540914642421,0.22662505088886,-24.1541,-0.81853384834564,736.9,0.10123157461406,0.20139968895801,158.8,13.07,168.6,108762,639,15,11.133333333333,639,1.45,1.1292059219381
"5",2008-07-27,12.6,2.53,0.8357,0.51131439576312,99.9,286.2,1.9,4,0.013665869490946,0.0089988751406074,0.013976240391335,-55.1249,0.31590283594591,10.780346820809,5,0,0,31.9,19.1496,36.9,0.3997,NA,288.7,1.4285007422068,0.40547752808989,9.0501567398119,7.8238482384824,0.64949381327334,0.208,77.3744,292.7,0.059748427672956,0.49,29.816326530612,0.655,0.2918,0.75186040544008,0.5391,0.33787561146052,202.1,186.5,0.56943699731903,0.36282883498463,17.3,0.038920134983127,91.6,0.20607424071991,0,1.8668668668669,0.5182859048466,0.071766029246344,0.41957255343082,-58.2249,-3.0405309044838,444.5,0.094752944087086,0.17317317317317,93.8,14.61,106.2,96124,712,24.5,7.6122448979592,712,1.65,1.4201843765163
"6",2007-07-27,5.1,5.25,1.0392,0.51560379918589,34.1,116.8,2.4,2.5,0.0072992700729927,0.0089349535382416,0.021404109589041,-10.6699,0.17705927636644,25.588235294118,1.8,0,0,20.6,12.6568,22.4,0.38559,NA,340,4.8850574712644,0.95774647887324,16.504854368932,15.178571428571,1.2151536812009,0.247,22.7268,342.5,0.084760273972603,2.66,15.906015037594,NA,0.4127,0.31270556706054,0.3904,0.20034246575342,69.6,304.5,0.1247947454844,0.11094890510949,11.9,0.04253037884203,39.7,0.14188706218728,0,8.9296187683284,1.0359609430817,0.073624017155111,1.0882773409578,-10.0699,-0.79560951255022,279.8,0.18185123563218,0.34897360703812,57.9,42.31,38,55921,355,15.1,20.165562913907,355,1.15,4.750346740638
"7",2006-07-27,4.8,4.61,1.0184,0.59550561797753,19.6,72.9,0.6,0.6,0.0028585040495474,0.0032362459546926,0.0082304526748971,-10.8804,0.10997643362137,33.345454545455,1,0,0,9.4,5.9651,10.4,0.36541,NA,209.3,4.6,0.82014106583072,22.265957446808,20.125,1.1289104638619,NA,17.2455,209.9,0.12071330589849,2.04,17.176470588235,0.395,-0.0298,0.56203032300593,0.1606,0.10150891632373,45.5,183.4,0.14449291166848,0.12625059552168,5.5,0.029665587918015,28.9,0.15587918015103,0,9.3571428571429,NA,0.050701186623517,0.98921251348436,-11.2804,-1.8910462165623,185.4,0.13110210989011,0.28061224489796,40.3,35.04,26.5,126201,255.2,10.6,17.301886792453,255.2,0.7,4.5531453362256
"8",2005-07-27,4,1.61,0.8264,0.55821917808219,NA,48.3,1.9,2.3,0.022772277227723,0.013657957244656,0.047619047619048,0.8985,0.38964181994192,30.25,1,0,0,5.1992,3.2969,6.1992,0.36588,NA,98.7,3.4631578947368,0.58610451306413,18.983835850407,15.92151194678,0.6145703611457,NA,1.4984,101,0.17184265010352,NA,NA,0.065,0.0764,0.71447196870926,0.0734,0,28.5,84.7,0.19244391971665,0.16138613861386,2.8,0.017434620174346,18.5,0.11519302615193,0,7.4955752212389,NA,0.032373349937733,0.52739726027397,1.7985,0.54551558390804,160.6,0.11568039786667,0.21705426356589,34.2,17.2,16.3,46172,168.4,4.1,20.658536585366,168.4,0.6,3.458904109589
"9",2004-07-27,4.1,1.47,0.5995,0.64310954063604,NA,48.4,0.4,0.6,0.016528925619835,0.0037974683544304,NA,0.9446,0.49040867389491,8.6190476190476,1.1,0,0,5.3649,3.472,6.4649,0.35283,NA,35.7,1.2184300341297,0.22594936708861,6.654339673285,5.5221100957166,0.23689449236894,NA,3.2274,36.3,0.15289256198347,NA,NA,-0.03,0.0177,0.36344537815126,0.0521,0,29.3,18.1,1.0055248618785,0.50137741046832,2.1,0.01393497013935,19.5,0.12939615129396,0,2.1294117647059,NA,0.0356,0.12010617120106,0.2446,0.070446667129739,150.7,0.1184988148942,0.20792079207921,34.2,4.779,18.2,1100,158,2.6,6.9615384615385,158,0.55,1.2826855123675
"10",2003-07-27,4.1,1.53,0.8802,0.79430379746835,NA,49.2,0.4,1.2,0.030534351145038,0.0081026333558407,NA,-0.5,0.3836,8.875,1.2,0,0,4.1,2.521,5.3,0.38511,NA,38.1,NA,NA,9.2926829268293,7.188679245283,0.25725860904794,NA,3.321,39.3,0.16260162601626,NA,NA,NA,-0.1509,0.61123110151188,NA,0,32,14.2,1.7676056338028,0.63867684478372,1.6,0.010803511141121,23.2,0.15665091154625,0,2.1846153846154,NA,0.027683997299122,0.095881161377448,-0.8,-0.31732822329118,148.1,0.07878278125,0.24615384615385,33.9,3.48,25.1,12659,148.6,1.7,8.3529411764706,148.6,0.6,1.190625
