"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,98.8,0.96,0.4218,NA,-27.4,83.4,1.7,57.5,0.1351,1.1807,0.6894,0.14,0.57,1.4,0,0,22,22.18,24,0,368,NA,7.81,16.59,15.6,7.56,NA,21.74,425.5,0.0588,NA,-0.005,0.499,NA,0.7818,0,-9.4,350,0.2157,0.1774,-34.6,-0.7105,-4.3,-0.0883,NA,0.4555,7.19,0.44,0.0199,48.7,NA,NA,37.7,3.48,75.5,298492,47.1,-37.9,47.1,1,NA
"2",2010-12-31,98.5,1.88,0.7089,0.95644891122278,2.6,92.4,0.3,77.4,0.41082802547771,1.5058365758755,0.83766233766234,0.329,0.3526590492312,1.5,0,0,-13.7562,-13.7562,-12.2562,0,111,NA,2.2424242424242,NA,NA,2.15953307393,NA,-12.8852,188.4,0.023809523809524,NA,0.8836,0.35860058309038,NA,0.6923,0,-17.7,131.3,0.43488194973344,0.30307855626327,-24.5,-0.47665369649806,-8.9,-0.17315175097276,50.5,-0.26763035019455,2.5544747081712,-0.871,NA,51.4,NA,-9.4230769230769,33.6,1.36,57.1,507107,49.5,-30,49.5,1,NA
"3",2009-12-31,78.1,1.7,0.7649,NA,-38.6,64.8,0.6,52.4,0.18405338953284,2.4259259259259,0.80864197530864,-8.8093,0.32684010981828,2.8,0,0,-50.711,-50.711,-47.911,0,232.3,NA,4.7995867768595,NA,NA,10.75462962963,NA,-39.7017,284.7,0.054012345679012,NA,-0.5977,0.33548387096774,NA,0.7106,0,-21,214.7,0.32603632976246,0.24587284861257,-62.4,-2.8888888888889,-7.1,-0.3287037037037,NA,-2.3477296296296,9.9398148148148,-11.0093,NA,21.6,NA,NA,25.8,2.16,70,418404,48.4,-26.5,48.4,1,NA
"4",2008-12-31,63,1.88,0.7647,NA,-20,75.1,1.4,58.5,0.20504731861199,1.3479262672811,0.77896138482024,-1.0645,0.19877075977507,3.3,0,0,-47.2555,-47.2555,-43.9555,0,226.8,NA,4.9090909090909,NA,NA,5.2258064516129,NA,-44.291,285.3,0.081225033288948,NA,0.5947,0.50320512820513,NA,0.5728,0.0053262316910786,-28.9,235.7,0.21043699618159,0.17385208552401,-58.5,-1.3479262672811,-16.5,-0.38018433179723,NA,-1.0888368663595,5.4308755760369,-2.9645,NA,43.4,NA,NA,22.7,3.39,49.6,487415,46.2,-45.8,46.2,0.95,NA
"5",2007-12-31,60.4,1.14,0.515,0.51639344262295,29.5,83.6,1.1,63.4,0.25835370823146,2.4291187739464,0.75837320574163,1.3487,0.37281553398058,3.5,0,0,-46.6224,-46.6224,-43.1224,0,182,NA,6.046511627907,NA,NA,6.9731800766284,NA,-45.5711,245.4,0.094497607655502,-1.22,0.479,0.46776406035665,NA,0.6553,0.010765550239235,-2.4,213.9,0.14726507713885,0.12836185819071,-56.3,-2.1570881226054,-8.8,-0.33716475095785,7.2508474576271,-1.7862996168582,8.1954022988506,-1.0513,NA,26.1,NA,-1.9084745762712,15.7,3.64,31.5,394523,30.1,-75.9,30.1,1.2,NA
"6",2006-12-31,43.7,2.45,0.5203,0.59691252144082,23.5,88.2,1.1,58.5,0.23936170212766,4.5703125,0.66326530612245,-1.4766,0.32289064001538,3.5,0,0,-39.532,-39.532,-36.032,0,185.9,NA,16.9,NA,NA,14.5234375,NA,-35.6554,244.4,0.10204081632653,-1.35,-0.4399,0.41836734693877,NA,0.6462,0.015873015873016,-0.2,209.6,0.16603053435115,0.14238952536825,-50.3,-3.9296875,-10.5,-0.8203125,8.9191489361702,-3.0884375,16.375,-3.8766,NA,12.8,NA,-2.1404255319149,48.7,3.55,34.8,67155,11,-73.4,11,1.05,NA
"7",2005-12-31,38,4.63,0.7338,0.1010989010989,40.9,75.9,1.4,50.7,0.37611275964392,2.5477386934673,0.66798418972332,-1.0704,0.32706459525756,3.6,0,0,-19.6673,-19.6673,-16.0673,0,84.1,NA,4.9763313609467,NA,NA,4.2261306532663,NA,-16.3969,134.8,0.13438735177866,-0.95,-0.0072,0.41620421753607,NA,0.6606,0.025032938076416,-5.2,130.2,0.035330261136713,0.034124629080119,-30.9,-1.5527638190955,-7.1,-0.35678391959799,3.1833740831296,-0.98830452261307,6.5427135678392,-3.2704,NA,19.9,NA,-0.75550122249389,35.9,3.03,4.6,212612,16.9,-35.8,16.9,1.5,NA
"8",2004-12-31,31.5,1.7,1.0087,0.1015037593985,NA,82.8,2.3,57.1,0.28621553884712,3.5465838509317,0.68961352657005,0.256,0.33706751264003,4,0,0,-26.9229,-26.9229,-22.9229,0,142.4,NA,8.8447204968944,NA,NA,8.5783132530121,0.03,-25.479,199.5,0.14371980676328,-0.89,-0.2232,0.43124415341441,NA,0.5143,0.028985507246377,-3.9,194.1,0.027820710973725,0.027067669172932,-33.1,-1.9939759036145,-8.5,-0.51204819277108,4.060669456067,-1.6218638554217,11.692771084337,-1.444,0.053633663471168,16.6,6.9033179487179,-0.69246861924686,39.5,5.27,5.4,156465,16.1,-34.8,16.1,1.5,3.75
"9",2003-12-31,24.9,1.54,1.0307,0.17114914425428,NA,69.3,0.4,36.5,0.14995891536565,2.1726190476191,NA,0.0331,0.29882604055496,3.5,0,0,-17.647,-17.647,-14.147,0,206.9,47.022727272727,12.315476190476,NA,NA,12.242603550296,NA,-14.5801,243.4,0.15584415584416,-0.98,-0.6738,0.4827096162956,NA,0.5732,0.041847041847042,4.4,236.4,0.029610829103215,0.028759244042728,-24.5,-1.4497041420118,-5.6,-0.33136094674556,6.9734513274336,-1.0442,13.988165680473,-3.0669,0.17378973089591,16.9,-4.0106772727273,-0.72271386430678,34.5,7.01,7,52492,16.8,-30.6,16.8,1.5,5.9511002444988
"10",2002-12-31,19.7,1.7,1.111,0.41108986615679,NA,73.9,5.4,28.2,0.14064837905237,0.68948655256724,NA,-12,0.3364,4,0,0,-24.8917,-24.8917,-20.8917,0,172.3,NA,NA,NA,NA,4.2127139364303,NA,-26.2917,200.5,0.30446549391069,NA,0.2212,0.7123935666982,NA,0.3622,0.04871447902571,24.1,179,0.12011173184358,0.1072319201995,-26.8,-0.65525672371638,-6.9,-0.16870415647922,5.8116883116883,-0.60859951100245,4.3765281173594,1.4,NA,40.9,-1.0328514522822,-0.87012987012987,55.8,7.56,21.5,77880,39.1,-24.6,39.1,1.6,7.149377593361
