"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,33.6,1.34,0.415,0.3232,392.9,772.2,77.6,52.6,0.0637,0.0438,0.0681,0.65,0.8,16.19,62.7,0,0,65,39.89,128,0.3901,0.3901,772.9,1.46,0.64,11.82,6.03,0.64,0.255,0.14,24.34,825.5,0.2049,NA,NA,-0.075,0.05,0.2951,0.055,0.8189,0,527.9,637.9,0.2941,0.2273,39.4,0.0328,209.9,0.1748,0,1.62,0.63,0.0545,0.53,15.55,0.3897,1201.1,0.0756,0.1003,104,19.8,187.6,213624,1204.8,38.3,16.66,1204.8,1.4,1.42
"2",2011-07-31,33.5,2.03,0.6251,0.34797109505281,351.9,724.8,61.5,44.8,0.049355513936323,0.043247417704412,0.061810154525386,9.3615,0.55991041433371,32.872146118722,62.5,0,0,41.7,24.2882,104.2,0.41755,0.41755319148936,862.9,1.7435845625379,0.78882896059969,20.693045563549,8.2811900191939,0.83299546288252,0.355,0.105,15.9266,907.7,0.20612582781457,NA,NA,-0.15,0.2096,0.27391175599645,0.05,0.8597,0,494.9,719.9,0.26086956521739,0.20689655172414,21.9,0.021141036779612,167.2,0.16140554107539,0,2.0457516339869,0.92597594700624,0.04025485085433,0.69495125012067,8.3615,0.34426319906723,1035.9,0.049076914528187,0.062233589087809,94.6,20.92,187.8,382232,1093.9,28.2,25.528368794326,1093.9,1.4,1.6818602927552
"3",2010-07-31,38.7,2.42,0.7604,0.25547169811321,394.6,679.6,55.4,103.3,0.15924156004316,0.10449119967631,0.15200117716304,0.3093,0.4438453445555,72.295774647887,63.6,0,0,16.8,9.1053,80.4,0.45802,0.45801526717557,545.4,1.2781813920787,0.55029764907678,32.464285714286,6.7835820895522,0.55168925753591,0.25,0.065,16.996,648.7,0.20011771630371,NA,NA,-0.1,-0.099,0.34792317999107,0.04,0.9193,0,426.7,513.3,0.26378336255601,0.20872514259288,7.1,0.0071818733562614,122.3,0.12371029739025,0,1.3008109477952,2.8918309859155,0.016993728504956,0.51921909771394,-7.8907,-0.86661125438256,988.6,0.021338795406609,0.017992904206792,98.1,14.75,135.4,297226,991.1,8,64.1625,991.1,1.35,1.2239622641509
"4",2009-07-31,39,2.53,0.7237,0.25868286202315,390.6,693.5,30.5,104.7,0.22950460324419,0.094588490378535,0.15097332372026,-7.6631,0.29846621528258,15.306220095694,65.4,0,0,51.9,30.2992,117.3,0.4162,NA,351.5,0.83254381809569,0.34056777444046,6.7726396917148,2.996589940324,0.31755352787063,0.085,0.025,72.8624,456.2,0.20490266762797,NA,NA,0.03,-0.0919,0.6006582556226,0.093,0.8989,0,422.2,319.9,0.42607064707721,0.29877246821569,20.9,0.018881561116632,113.4,0.10244827897732,0,0.81899641577061,1.800731775964,0.046887704399675,0.28900533020146,-42.5631,-1.4047599663458,1106.9,0.071765087636191,0.053507424475166,98.7,8.03,136.3,370913,1032.1,16.1,19.869565217391,1032.1,1.35,0.86581894097552
"5",2008-07-31,39.4,2.26,0.5194,0.2566119852695,444.1,789,72.1,22.1,0.05028441410694,0.017967479674797,0.028010139416983,-0.5377,0.38505968425106,9.1146496815287,67.3,0,0,57.8,34.5702,125.1,0.4019,NA,417.4,0.72553450373718,0.33816738232196,7.2214532871972,3.3365307753797,0.33934959349594,0.135,0.065,30.3079,439.5,0.21609632446134,0.37,22.216216216216,0.02,0.1264,0.70820668693009,0.04,0.906,0,575.3,286.2,0.5356394129979,0.34880546075085,31.4,0.025528455284553,153.8,0.1250406504065,0,0.64444944832245,0.67515923566879,0.046991869918699,0.23268292682927,4.2623,0.12329485132134,1230,0.060090700504085,0.070704796217068,98.9,8.22,153.3,341204,1234.3,27.1,10.560885608856,1234.3,1.25,0.73568798125209
"6",2007-07-31,41,1.63,0.3575,0.27281648675172,444.6,789.8,77.1,18.9,0.015178284612914,0.016611003691334,0.023930108888326,-7.7654,0.58181818181818,26.496314496315,58.6,0,0,74.6,45.3165,133.2,0.39254,NA,1226.3,2.0697046413502,1.0245634555936,16.438337801609,9.2064564564565,1.0777816839515,0.16,0.1,34.5819,1245.2,0.20828057736136,0.98,26.316326530612,-0.045,0.1008,0.23906335088038,0.037,NA,0,592.5,1078.4,0.15467359050445,0.13395438483778,40.7,0.035770785726841,149.5,0.13139391808754,0,2.42555105713,1.6560196560197,0.065565125681139,0.94779398839866,10.7346,0.23688095177102,1137.8,0.076483571308017,0.091542959964013,90.1,25.79,166.8,618400,1196.9,46,23.44347826087,1196.9,1.3,2.0366372260386
"7",2006-07-31,40.6,1.94,0.3716,0.28492748301817,389.5,690,57.1,27.3,0.026600409237065,0.026667969131581,0.039565217391304,-2.5417,0.51668460710441,26.39696969697,48,0,0,58.9,35.1863,106.9,0.40261,NA,999,1.9308078855818,0.95965417867435,16.960950764007,9.3451824134705,0.97587183745238,0.135,0.1,28.628,1026.3,0.18347826086957,0.66,32,-0.06,0.2484,0.21196297175409,0.037,0.937,0.38420289855072,517.4,871.1,0.17816553782574,0.15122283932573,33,0.032236006642571,150.4,0.14691804239523,0,2.2364569961489,1.9553310886644,0.057536387613559,0.85093289049526,6.5583,0.18638854530969,1023.7,0.068005935446463,0.084724005134788,80.9,21.12,155.2,246400,1041,31.9,27.307210031348,1041,1.2,1.884156416376
"8",2005-07-31,48.9,2.15,0.5108,0.012394467397162,NA,696.7,64.5,83.1,0.090859392083971,0.084228664098926,0.11927658963686,0,0.84181675802663,17.030018761726,46.6,0,0,74.6531,45.4003,121.2531,0.39185,NA,831.5,1.7557010135135,0.84279343198865,11.138178514661,6.8575543693137,0.84279343198865,0.165,0.14,27.5003,914.6,0.1680780823884,NA,NA,-0.05,0.1243,0.26882607798638,0.027,0.9113,0.3263958662265,473.6,907.7,0.0076016304946568,0.0075442816531817,53.3,0.054023920535171,142.8,0.14473950942631,0,1.6509639869043,1.0321223491955,0.07566707885668,0.92002838029597,17.9,0.39427046086101,986.6,0.095862134904983,0.096944343397599,79.7,21.96,6.9,395400,986.6,53.3,17.030018761726,986.6,1.25,1.6428956349919
"9",2004-07-31,48.6,1.92,0.4696,0.021308693192533,NA,651.8,35.9,51.4,0.034487385936661,0.058897673885642,NA,0,0.81771720613288,27.802631578947,42.1,0,0,126.1052,76.1372,168.2052,0.39624,NA,1439,3.0048026727918,1.6489056949696,11.411112075914,8.5550293793026,1.6489056949696,0.27,0.14,82.3372,1490.4,0.15403498005523,NA,NA,-0.015,0.3941,0.27010381840577,0.02,0.885,0.39782141761277,478.9,1479.1,0.0076397809478737,0.0075818572195384,53.2,0.060960238340782,126.4,0.14483785951644,0,2.8499036608863,1.0297270955166,0.1445,1.6948550475536,-6.2,-0.081431892766264,872.7,0.15898359858843,0.10250481695568,73.1,30.1,11.3,134100,872.7,53.2,27.802631578947,872.7,1.15,2.8104846313408
"10",2003-07-31,48,2.32,0.6892,0,NA,536.5,19.4,129.9,0.10445480862013,0.21012617275963,NA,21.4,0.7403,72.72514619883,39.1,0,0,27.4,15.4287,66.5,0.43691,NA,1113.7,NA,NA,40.64598540146,16.747368421053,1.8015205435134,0.125,0.03,35.1287,1243.6,0.16197576887232,NA,NA,NA,-0.0122,0.50207468879668,0.019,0.8194,0.2,320.4,1243.6,0,0,17.1,0.027660951148496,105,0.16984794564866,0,2.7617144126138,5.8180116959064,0.044322225816888,2.0116467162731,-19.7,-1.2768440252709,618.2,0.048154388264669,0.037974683544304,68.8,26.06,0,348555,655.7,26.9,46.230483271375,655.7,1.2,3.4759675405743
"11",2002-07-31,NA,1.86,0.781,3e-04,NA,514.6,15.1,116.1,0.18289224952741,0.18605769230769,NA,-1.0488,0.4161,26.556485355649,38.8,0,0,77.6032,55.5049,116.4032,0.28476,NA,518.7,NA,NA,6.6840027215373,4.4560630635584,0.83125,-0.015,NA,80.2537,634.8,0.2147298872911,NA,NA,0.285,-0.3222,0.35091277890466,0.019,0.7454,0.20928876797513,315.354,634.7,0.00015755475027572,0.00015752993068683,23.9,0.038301282051282,70.212,0.11251923076923,0,1.4715974959425,-17.704323570432,0.088950180717949,1.0171474358974,-24.7488,-0.44588485533605,NA,0.17600827250645,0.055413865059124,67.4,13.2,0.1,169300,624,20,31.735,614.7,1.1,2.0129758937575
"12",2001-07-31,NA,1.15,0.8499,0.018681995483474,NA,575.7,38.4,130.5,0.18390642615558,0.15785653804282,NA,0,0.40593010942464,11.408794788274,40.1,0,0,137.89356,80.6608,177.9936,0.41505,NA,579.1,NA,NA,4.1996159936693,3.2534884969995,0.70049594774404,0.015,NA,82.3608,709.6,0.19037693243008,NA,NA,NA,NA,0.55555555555556,0.03,0.6993,NA,347.5,700.5,0.012990720913633,0.01282412626832,61.4,0.074271198741986,96.3,0.11648723841781,0,1.4939219449776,760.58631921824,0.09756966,0.84734486512641,-1.7,-0.0210759030503,NA,0.2321175192,0.13094476434208,73.4936,17.33,9.1,NA,826.7,47.8,14.654811715481,759.9,NA,1.4845188284519
"13",2000-07-31,NA,1,0.6908,0.030023094688222,NA,514,40.2,105.7,0.090620713305899,0.12240880138969,NA,NA,0.21713954834974,17.132047477745,31.8,0,0,140.3,84.73,116.53,0.39608,NA,1060.7,NA,NA,7.56022808268,9.1023789449678,1.2283729009844,0.255,NA,68.7605,1166.4,0.19669260700389,NA,NA,NA,0.5624,0.3920704845815,0.03,0.7334,NA,284,1154.7,0.010132501948558,0.010030864197531,NA,0.086276780544296,NA,0.12356687898089,0,3.0547619047619,0.67184499912725,0.16247828604517,1.337232194557,NA,0.099138467831031,NA,0.29834498591549,0.19708994708995,65.5,NA,NA,NA,NA,74.5,15.49932885906,863.5,NA,2.9930715935335
