"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-05-03,570,0.25,0.1124,0.6387,11703,45614,3652,102,0.002,0.0071,0.0022,-147.11,0.56,18.5,1288,0.043,1276.8,3144,2055.01,4432,0.3464,0.3468,50246.3,1.56,3.83,15.98,11.34,3.49,0.05,0.005,-161.88,50348.3,0.6505,3.1,16.71,0.065,0.02,0.0606,NA,0.5462,0.0828,32288,29661.3,0.6974,0.4109,1603,0.1115,1659,0.1154,0.8066,2.53,3.7,0.2187,2.06,2216.89,1.0788,14379,0.0636,0.137,0,51.8,20687,2152875,13104,1583,18.74,13104,0.7,1.55
"2",2011-05-03,581,0.4,0.148,0.59009867870881,12254,42817,3422,62,0.0013005837943064,0.0040797525827466,0.001448022981526,-23.8205,0.8,17.41873549884,1258,0.04,1201.196,3469,2131.3536,4727,0.3856,0.3856022808268,47608.9,1.5958468809707,3.1851809727705,13.724099164024,10.071694520838,3.1327827860762,0.045,0.025,-8.8259,47670.9,0.6238877081533,3.19,16.639498432602,0.09,0.0355,0.12054364871929,NA,0.5698,0.088352757082467,29833,30029.9,0.58744784364916,0.37005804379611,1724,0.11344344278476,1448,0.095281963545437,0.6967494199536,2.4506202056471,3.8708301108533,0.22826873725077,1.9760413239455,2140.1795,1.0041409877336,15197,0.071442818355512,0.14068875469235,0,53.08,17641,2647212,14947,1572,19.102989821883,14947,0.7,1.5946111389864
"3",2010-05-03,599,0.58,0.1982,0.61560932022819,11185,42554,3837,48,0.0011207516507738,0.0031722952878197,0.0011279785684072,-66.5125,0.8,15.719495268139,1319,0.0459,1143.6169,3084,2061.6232,4403,0.33151,0.33150569380008,42780.4,1.4726471600688,2.9090439276486,13.871725032425,9.7161935044288,2.8273346110634,0.065,0.02,-389.8644,42828.4,0.60140057338911,3.17,13.476340694006,0.04,-0.0956,0.11078286558346,NA,0.572,0.095102693048832,29050,24915.4,0.71895293673792,0.41825050667314,1585,0.10475183398321,2368,0.15649990086577,0.72152483280757,2.2275726419312,2.418383887406,0.20381997224242,1.646645958628,2451.4875,1.1891055502753,15131,0.070968095008606,0.14170764416629,0,42.72,17913,2771419,14706,1388.3,17.946697399697,14706,0.7,1.4718674823012
"4",2009-05-03,583.2,0.54,0.1892,0.63365688733777,10077,42053,3554,66,0.0016174092045288,0.0040515653775322,0.0015694480774261,-33.6572,0.59196617336152,13.125210555868,1191,0.0478,1117.3728,3668,2305.9249,4859,0.37134,NA,40740,1.484639772603,2.5384759175026,11.106870229008,8.3844412430541,2.5009208103131,0.08,0.035,-23.418,40806,0.55344446293962,2.84,13.704225352113,0.055,0.0279,0.18882581416194,NA,0.5644,0.10023066130835,27441,23376,0.74563655030801,0.427143067196,1781,0.10933087783916,2275,0.13965623081645,0.62738506457047,2.319738017267,1.6406513194834,0.22516881522406,1.4349907918969,2329.3428,1.0101555642928,16290,0.084032100870959,0.17673910886176,0,38.92,17430,3147430,16049,1922.3,12.160432814857,16049,0.7,1.4834769331443
"5",2008-05-03,577,0.57,0.1786,0.63022348078984,9406,39123,3972,283,0.0077259288177145,0.018055378333546,0.0072335966055773,-10.9233,0.62709966405375,14.258062234795,1533,0.045219211443934,911.66,3179,2116.3557,4712,0.33427,NA,36346.9,1.4202446076899,2.3053976912343,11.43343818811,7.7136884550085,2.3189294372847,0.12,0.03,-311.721,36629.9,0.54576591774659,3.25,11.027692307692,0.03,0.1504,0.22470238095238,NA,0.5942,0.089359200470312,25592,20160.9,0.81687821476224,0.44960537702806,1414,0.09021309174429,1861,0.11873165752201,0.64473833097596,2.1434084626834,1.1881718528996,0.20281995661605,1.2862638764834,2428.0767,1.1472914132188,15674,0.082695985854955,0.15032957686583,NA,35.84,16469,2411044,15766,1682.4,11.983416547789,15766,0.7,1.4156483091787
"6",2007-05-03,698,0.07,0.1614,0.59812028928016,12913,49269,4052,138,0.0029425812834772,0.0083727702948671,0.0028009498873531,50.0203,0.74349442379182,16.019131455399,1739,0.040402101360609,1102.84,3461,2233.3141,5200,0.35472,NA,46759.6,1.4442673585372,2.9321878723271,13.510430511413,8.9922307692308,2.8370100715932,0.095,0.035,-129.7062,46897.6,0.59635876514644,2.85,16.294736842105,0.075,-0.0917,0.10698873507818,NA,0.5805,0.087235381274229,32376,27296.6,0.71807477854385,0.41795315751765,1704,0.10338551146706,1541,0.09349593495935,0.64720657276995,2.1138852319368,1.6862243637262,0.20998665210533,1.6561460987744,2363.0203,1.0580779239091,16482,0.068980543612553,0.1319600402695,NA,46.44,19601,2678912,15947,1550.1,17.609573575898,15947,0.75,1.4423817432491
"7",2006-05-03,347,0.23,0.1523,0.64145803158838,10654,52660,3358,146,0.0030200169203688,0.0080926777894795,0.0027725028484618,-12.1723,0.8,28.326761904762,1538,0.032199737081878,957.72,2439,1569.2038,3977,0.35662,NA,48198.1,1.6557799993129,2.7321637095403,19.761418614186,12.119210460146,2.6715869408569,0.16,0.05,-238.6239,48344.1,0.54956323585264,5.12,16.375,0.09,0.2652,0.10263776442936,NA,0.6272,0.081617926319787,29109,29743.1,0.62538874562504,0.38476256668342,1050,0.058200764924339,-549,-0.03043068566044,0.91211428571429,2.7917308053313,1.7704226190476,0.13519206252425,1.6486392106868,1807.8277,1.15206686518,18041,0.053907857363702,0.098554533508541,NA,83.84,18601,1148600,17641,1616,18.405383663366,17641,1,1.6525072637156
"8",2005-05-03,340,0.47,0.1687,0.59894957262023,NA,45446,2641,389,0.0087771352242908,0.025223706393464,0.0085596092065308,64.1354,0.55720213396562,18.857333333333,1433,0.034692556634304,911.2,2941.6332,1901.0599,4374.6332,0.35374,NA,43930.7,1.5149039622056,2.8485734664765,14.934118910543,10.042144790562,3.144195533925,0.09,0.085,628.9245,44319.7,0.58786251815341,4.7,16.436170212766,0.11,0.1058,0.13330727130571,NA,0.6202,0.094573779870616,28999,26871.7,0.64930763591436,0.39368497530444,1425,0.10198969367306,618,0.044231319782422,0.63943859649123,2.3518029056538,2.0952592592593,0.21053773260807,1.9232536501575,1272.1354,0.66917167235695,13972,0.065556049237284,0.12197209620817,0,77.25,17448,523400,15422,1425,18.857333333333,15422,0.9,1.5213930177474
"9",2004-05-03,325,0.59,0.1876,0.63125533731853,NA,44186,3383,126,0.0030777949309206,0.009852987175477,NA,52.4358,0.62899786780384,17.809992069786,1334,0.039320029563932,864.5,4124.637,2686.5411,5458.637,0.34866,NA,40812.4,1.3878936271509,3.1914607444479,9.8947858926737,7.476664962334,3.3790693823481,0.075,0.05,585.1052,40938.4,0.5850269316073,4.77,14.182389937107,0.095,0.1206,0.059163284420855,NA,0.6124,0.097315891911465,29406,22458.4,0.82285470024579,0.45140992320169,1261,0.10440470276536,892,0.073853286968041,0.68556701030928,2.1311823875498,2.3746656093048,0.3415,1.8594469282994,2101.4358,0.78220871522693,12078,0.091360302781065,0.11681333950903,0,67.65,18480,420000,12788,1261,17.809992069786,12788,0.85,1.3984081981213
"10",2003-05-03,308.1,0.37,0.2218,0.6215725507633,NA,37909,1339,291,0.00777451242319,0.028479154433353,NA,847,0.3679,14.989114658926,1379,0.038782861292665,801.06,2885,1930.8151,4264,0.33074,NA,37139,NA,NA,12.873136915078,8.7098968105066,3.6346643178704,0.09,0.03,1970.8151,37430,0.53435859558416,4.6,13.880434782609,NA,-0.1685,0.12074092956071,NA,0.5463,0.12171252209238,26954,20655,0.81215202130235,0.44816991717873,1378,0.13486005089059,1409,0.13789391270307,0.58132075471698,2.0224224028199,1.6654571843251,0.28234488158152,2.0214327657076,-40,-0.020716639309481,10218,0.071633712992506,0.13492607461079,0,63.85,16775,1074748,11783,NA,NA,11783,0.8,1.3778659939156
