"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,50.4,1.56,0.3659,0.3942,520.4,1506.3,46,170.7,0.112,0.147,0.1133,-1.19,0.8,32.04,60.5,0,0,79,47.98,140,0.3934,0.4108,1353.6,1.97,1.1,17.11,9.7,1.17,0.145,63.67,1524.3,0.0683,1.4,16.86,-0.275,0.08,0.2027,0.8908,0.3904,688.4,1185.6,0.2857,0.2222,37,0.0319,-18.5,-0.0159,0,2.28,2.21,0.0681,1.02,-15.69,-0.3269,1161.3,0.0697,0.0711,112.5,23.6,338.7,189729,1235.8,44.5,26.64,1235.8,1.2,1.77
"2",2010-12-31,51,1.49,0.4865,0.36401985111662,512.6,1409.4,29.2,187.2,0.15359369872005,0.18029471251084,0.13282247765006,-2.1633,0.61664953751285,NA,57.5,0,0,76.2,76.2,133.7,0,NA,1031.6,1.6670976082741,0.91640756862397,13.538057742782,7.7157816005984,0.99354714437061,0.146,106.6633,1218.8,0.064921243082163,1.23,15.024390243902,NA,0.003,0.20551158018176,0.9284,0.38370937987796,618.8,925.4,0.31705208558461,0.24072858549393,-40.4,-0.038909756332467,-25.7,-0.02475199845902,NA,1.8053062817011,NA,0.073389193874603,0.89126456708081,-30.4633,-0.39978116358686,1038.3,0.12314156431803,-0.078813889972688,92.6,18.48,293.4,231405,1125.7,-36.7,NA,1125.7,1.2,1.512158808933
"3",2009-12-31,50.9,1.72,0.5638,0.36971473672342,559,1412.7,35,183.5,0.15139014932761,0.17768955166069,0.12989311247965,-0.0771,0.50993260021284,29.671140939597,55.9,0,0,82.1,45.4161,138,0.44682,0.47349823321555,1028.6,1.4623258458914,0.98903846153846,12.52862362972,7.4536231884058,0.99602982473129,0.135,66.3931,1212.1,0.068379698449777,1.2,14.533333333333,NA,-0.0217,0.29512403763901,0.8357,0.43618602675727,703.4,884.2,0.37084370052024,0.2705222341391,29.8,0.028856395855524,-10.9,-0.010554856202188,0,1.5817531305903,2.197862291822,0.079500338917401,0.85620218843808,-20.9771,-0.46188599663485,1032.7,0.064566502701166,0.053309481216458,86.7,17.44,327.9,253396,1040,30.5,28.990163934426,1040,1.15,1.3666704250761
"4",2008-12-31,50.4,1.61,0.514,0.46875,459,1440.1,43,181.3,0.11879955441976,0.17337668547384,0.12589403513645,0.3692,0.3579766536965,NA,57.2,0,0,71.1,71.1,128.3,0,NA,1344.8,1.9698256921049,1.3410450737934,18.914205344585,10.48168355417,1.2860284976571,0.1414,84.9308,1526.1,0.062148461912367,1.17,18.760683760684,NA,0.1073,0.53939762701552,0.8564,0.42608152211652,682.7,1121.1,0.36125234145036,0.26538234715943,-185.4,-0.17729750406426,-9,-0.0086066749545759,NA,2.4424836601307,NA,0.067992732141149,1.072104810175,-13.8308,-0.19452564900772,1045.7,0.10414530540501,-0.40392156862745,85.4,21.95,405,351825,1002.8,-169.6,NA,1002.8,1.15,1.7663194444444
"5",2007-12-31,49,1.73,0.4463,0.43520324568932,723.9,1886.2,38.1,267.6,0.24204052098408,0.29163034001744,0.14187254798007,-2.8356,0.41227873627605,10.296992481203,48.3,0,0,77.2,51.0933,125.5,0.33817,NA,838,0.82634848634257,0.79356060606061,10.854922279793,6.6772908366534,0.91325196163906,0.11,64.1288,1105.6,0.047184816032234,1.1,10.554545454546,NA,0.1154,0.63899106673673,0.9452,0.48748807125437,1014.1,547.8,1.018254837532,0.50452243125904,53.2,0.057977332170881,18.8,0.02048823016565,0,0.75673435557397,0.93609022556391,0.084132519616391,0.59699215344377,-13.0356,-0.25513280954868,917.6,0.050382877428262,0.073490813648294,65.7,11.61,557.8,348834,1056,27.2,20.139705882353,1056,1.15,0.86260435359288
"6",2006-12-31,37.4,0.92,0.3322,0.56436990027199,288.3,1108.1,20.5,321.1,0.17569490041585,0.5103305785124,0.28977529103872,7.8178,0.5057194461168,31.406047516199,29,0,0,52.3,39.805,81.3,0.23891,NA,1506.5,4.4217786909304,1.8358518157446,28.804971319312,18.530135301353,2.3943102352193,0.186,40.4872,1827.6,0.049814998646332,1.11,26.423423423423,NA,0.1319,0.14873035066505,NA,0.2944680083025,340.7,1454.1,0.25685991334846,0.20436638214051,46.3,0.073585505403687,-25.7,-0.040845518118245,0,5.0437044745057,1.6884971782903,0.083121424030515,2.3110298792117,-0.6822,-0.017137739284102,629.2,0.11683301144702,0.16059660076309,38.1,29.33,373.5,507608,820.6,48,30.29375,820.6,1.05,2.7615593834995
"7",2005-12-31,35.8,1.56,0.3789,0.63267485317672,206.4,894.4,18.2,219.9,0.14933786078098,0.41396837349398,0.24586314847943,1.4232,0.42227500659805,39.892857142857,22.4,0,0,52.8,34.7889,75.2,0.34112,NA,1252.6,3.6625730994152,2.0642715886618,23.723484848485,16.656914893617,2.3580572289157,0.2063,37.5657,1472.5,0.050201252236136,0.92,32.271739130435,NA,0.2906,0.26045627376426,NA,0.35543381037567,342,1117,0.31826320501343,0.24142614601019,28,0.052710843373494,-10,-0.018825301204819,0,5.4118217054264,1.9337303510837,0.099397590361446,2.1027861445783,-2.7768,-0.079818853208764,531.2,0.1017218245614,0.13565891472868,31.5,29.69,355.5,305840,606.8,40,27.925,606.8,1,2.6205730557039
"8",2004-12-31,33.1,1.75,0.5238,0.53943524829601,NA,618.5,8.7,124.2,0.10875656742557,0.24844968993799,0.20080840743735,-19.7636,0.66819396716304,53.032608695652,15.8,0,0,35.3055,21.7521,51.1055,0.38389,NA,1017.8,5.5345296356716,2.0360072014403,28.828361352095,19.915660757519,2.6706901075833,0.2469,48.6157,1142,0.064510913500404,0.94,29.574468085106,NA,0.6617,0.16529979952615,0.8659,0.34373484236055,183.9,975.8,0.17032178725149,0.14553415061296,18.4,0.048281290999738,-63.4,-0.16636053529257,0,6.876673713883,2.1479387888073,0.092641065337182,2.56048281291,-26.8636,-1.234991520425,381.1,0.11828209769494,0.12966878083157,23.6,27.8,166.2,242205,499.9,23,42.426086956522,499.9,1,3.7065887698799
"9",2003-12-31,29.5,1.93,0.6081,0.44209809264305,NA,303.8,5.7,19.2,0.021061869240895,0.05678793256433,NA,1.7661,0.63476401907581,2822.3333333333,12.1,0,0,25.3865,25.3865,37.4865,0,NA,892.4,6.9937304075235,2.6394557823129,35.152569399145,23.805916159639,4.3659491193738,0.2786,30.0204,911.6,0.068136932192232,0.56,46.125,NA,1.3271,0.265702773169,0.6957,0.36635944700461,127.6,846.7,0.07665052556986,0.071193505923651,0.3,0.00146771037182,2.7,0.01320939334638,0,10.338217338217,101.30413974635,0.1242,4.1423679060665,-4.6339,-0.18253432967426,204.4,0.19895360501567,0.0036630036630037,11.5,25.83,64.9,109858,338.1,12.1,69.97520661157,338.1,1,6.2098092643052
"10",2002-12-31,23.9,1.49,0.6801,0.87747035573123,NA,66.6,4.7,12,0.023346303501946,0.16901408450704,NA,-11.7,0.481,NA,9.7,0,0,-0.5,-0.5,9.2,0,NA,502,NA,NA,NA,54.565217391304,7.0704225352113,0.26,4.5,514,0.32132132132132,0.1,173.6,NA,0.0216,0.50102082482646,0.4208,0.027027027027027,38.6,469.6,0.094548551959114,0.086381322957198,-9.6,-0.13521126760563,11.8,0.16619718309859,NA,75.741935483871,NA,-0.0070422535211268,6.6140845070423,-5,NA,71,-0.012953367875648,-1.5483870967742,6.9,17.36,44.4,103531,152.9,11.2,41.928571428571,152.9,0.9,13.00518134715
