"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,45.6,1.55,0.337,0,564.8,739.7,9.8,219.2,0.251,0.3705,0.2963,2.15,0.8,24.74,18.8,0,0,44,33.96,63,0.23,0.2309,654.2,1.89,1.02,14.83,10.4,1.11,NA,0.135,40.81,873.4,0.0407,1,18.99,NA,0.05,0.1941,0.036,0.9205,0.2978,345.6,873.4,0,0,35.3,0.0597,25.6,0.0433,0,1.55,NA,0.0745,1.48,-6.85,-0.2018,591.6,0.0983,0.0625,286.8,18.99,0,240681,641.2,43.1,20.26,641.2,1.05,1.55
"2",2010-12-31,46.4,1,0.2908,0,551.7,706.6,5,229.7,0.35219257896351,0.45575396825397,0.32507783753184,4.9091,0.8,NA,20.9,0,0,-0.2,-0.2,20.7,0,NA,422.5,1.3121118012422,0.73670444638187,NA,20.410628019324,0.83829365079365,NA,0.08,10.7909,652.2,0.037503538069629,0.67,21.268656716418,NA,0.2041,0.20263488080301,0.038,0.9542,0.26705349561279,322,652.2,0,0,-2.9,-0.0057539682539683,35.6,0.070634920634921,NA,1.1821642196846,NA,-0.00039682539682539,1.2940476190476,-10.9909,NA,504,-0.00062111801242236,-0.0052564799709987,255.6,14.25,0,218647,573.5,23.9,27.28870292887,573.5,1,1.1821642196846
"3",2009-12-31,44.5,1.17,0.3802,0,522.4,661.2,5.2,204.2,0.32182821118991,0.50909997506856,0.30883242589232,7.6078,0.65754865860074,NA,29.5,0,0,-36.439,-36.439,-6.939,0,NA,430.3,1.3522941546197,0.90991753013322,NA,NA,1.0727998005485,NA,0.035,-19.7469,634.5,0.042649727767695,NA,NA,NA,-0.1663,0.23659043659044,0.036,0.9388,0.26814882032668,318.2,634.5,0,0,-53.8,-0.13413113936674,42.5,0.10595861381202,NA,1.2145865237366,NA,-0.090847743704812,1.5818997756171,-16.6922,NA,401.1,-0.11451612193589,-0.10298621745789,247.9,14.31,0,174644,472.9,-7.2,NA,472.9,1,1.2145865237366
"4",2008-12-31,51.8,1.07,0.3639,0,601.2,751.9,11.6,189.4,0.3311767791572,0.33797287651677,0.25189519882963,-25.758,0.43968123110745,NA,41.4,0,0,-33.1,-33.1,8.3,0,NA,382.5,0.92884895580379,0.90553977272727,NA,46.084337349398,0.68254817987152,0.025,0.005,22.458,571.9,0.046814736002128,NA,NA,NA,-0.0345,0.25837320574163,0.032,0.995,0.26014097619364,411.8,571.9,0,0,-12,-0.021413276231263,104.6,0.18665239114918,NA,0.95126413838989,NA,-0.059064953604568,1.0205210563883,-55.558,NA,560.4,-0.080378824672171,-0.019960079840319,350.6,12.97,0,234371,422.4,-33.1,NA,422.4,1,0.95126413838989
"5",2007-12-31,55.4,1.56,0.3723,0.24390243902439,744,1157.7,13.3,499.9,0.7018110346764,0.80551079600387,0.43180443983761,0.75,0.42976094547408,17.623134328358,44.5,0,0,-2.2,-2.2,42.3,0,NA,212.4,0.43875232390002,0.36804713221279,NA,5.0212765957447,0.34224943602965,0.265,0.055,28.25,712.3,0.049753822233739,0.18,53.111111111111,NA,0.1431,0.50312191915872,0.0409,NA,0.25766606201952,484.1,472.3,0.50815159856024,0.33693668398147,26.8,0.043184015468901,10.7,0.017241379310345,0,0.63481182795699,0.66502393691918,-0.0035449564937158,0.76103770544634,-30.45,NA,620.6,-0.0045445155959513,0.036021505376344,329.6,9.56,240,473957,577.1,-1.8,NA,577.1,1,0.72388211382114
"6",2006-12-31,57.6,1.45,0.2857,0.24203307785397,751.6,1144.7,9.3,510.2,0.33526087527928,0.90364860077931,0.44570629859352,0.8321,0.58802940147007,NA,45.1,0,0,15.5,7.75,60.6,0.6,NA,1011.6,2.1013710012464,1.6284610431423,65.264516129032,16.693069306931,1.7917109458023,0.125,NA,42.7179,1521.8,0.045950904167031,1.05,19.228571428571,-0.285,0.1766,0.18991331757289,NA,NA,0.29090591421333,481.4,1281.8,0.18723669839289,0.15770797739519,-4.7,-0.0083244775061991,-8.3,-0.014700673042862,NA,1.705428419372,NA,0.027453064116188,2.2702798441374,-34.9679,-4.5119925039708,564.6,0.016098878271708,-0.0062533262373603,284.1,20.19,240,693855,621.2,24.1,53.186721991701,621.2,1.05,1.5346914078257
"7",2005-12-31,56.2,1.62,0.3306,0.25351220027464,706.7,1082.5,6.3,469.6,0.26753261550732,1.0023479188901,0.43381062355658,1.7025,0.53236539624924,NA,35.6,0,0,-8.1,-8.1,27.5,0,NA,1285.7,2.6948228882834,2.3157420749279,NA,46.752727272727,2.7442902881537,0.1088,NA,19.4975,1755.3,0.045819861431871,0.99,26.848484848485,-0.2,0.1361,0.21936274509804,NA,NA,0.3172286374134,477.1,1515.3,0.15838447832113,0.13672876431379,-4.1,-0.0087513340448239,-9.2,-0.019637139807898,NA,2.1441913117306,NA,-0.017289220917823,3.2343649946638,-27.5975,NA,468.5,-0.016977572835884,-0.0058016131314561,270.7,26.58,240,331449,555.2,9.3,162.93548387097,555.2,1.1,1.8541248547586
"8",2004-12-31,53.8,0.98,0.3293,0.2644336712208,NA,1017.9,6.6,659.6,0.38411367342185,1.6314617858026,0.64800078593182,-1.0201,0.59520194351655,31.164556962025,23.5,0,0,28.4294,28.4294,51.9294,0,NA,1057.6,4.2645161290323,2.6158792975513,37.200978143722,20.366128140227,2.6801824632539,0.0963,NA,46.3495,1717.2,0.043520974555457,0.93,28.612903225806,-0.165,0.0506,0.27969520394442,NA,0.9884,0.11258473327439,248,1477.2,0.16246953696182,0.13976240391335,47.4,0.12012164216929,-41.5,-0.10516979219463,0,2.2127022168963,3.2361949077908,0.07204602128738,3.7435377597567,-17.9201,-0.63033944430293,394.6,0.11463451612903,0.071000599161174,213.1,26.61,240,353468,404.3,-14.7,NA,404.3,1.15,1.8920229175848
"9",2003-12-31,54.4,0.8,0.3152,0.26837988826816,NA,1013.7,5.1,624.1,0.63807381658317,1.4813671967719,NA,4.5149,0.50761421319797,29.63453815261,17.2,0,0,49.0443,31.4315,66.2443,0.35912,NA,354,1.3067552602436,0.84025634939473,7.2179612236442,5.3438543863081,0.93256059009484,0.1,NA,39.0166,978.1,0.048436421031863,0.66,26.439393939394,-0.145,-0.0018,0.31522483451267,NA,0.9589,0.1166025451317,270.9,737.9,0.32551836292181,0.24557816174215,24.9,0.065595363540569,41.1,0.10827186512118,0,1.1269089798412,2.963453815261,0.1292,1.9438883034773,-7.5851,-0.24132025136054,379.6,0.11602629679439,0.038026878436164,180,17.45,240.2,116989,421.3,28.2,26.166666666667,421.3,1.15,1.0928491620112
"10",2002-12-31,50.1,1.14,0.5183,0.00047288776796974,NA,727.1,8.2,498.4,0.35377626348665,1.4231867504283,NA,228.7,0.4831,74.920212765957,15,0,0,15.7,10.8631,30.7,0.30808,NA,910.4,NA,NA,57.987261146497,29.654723127036,2.5996573386636,0.1413,NA,17.6631,1408.8,0.073167377252097,0.78,33.269230769231,NA,-0.2723,0.29463257313983,NA,0.9612,0.08375739238069,136,1408.5,0.00021299254526092,0.0002129471890971,18.8,0.053683609366077,-28.3,-0.080810965162764,0,2.221258476581,5.3022089714053,0.044831524842947,4.021987435751,-6.8,-0.6259697929071,350.2,0.079876058823529,0.029648320454187,162.4,25.95,0.3,337188,362.4,37.1,37.964959568733,362.4,1.25,6.6941176470588
