"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,58.1,1.02,0.4162,0,76.6,130.3,3,20,0.0239,0.2398,0.1535,4.21,0.61,2.7,0,0,1,0.53,3,0,816.5,14.43,8.16,1531.23,252.53,9.79,NA,-3.97,836.5,0.0345,NA,0.405,0.1716,NA,0.9488,0.5411,56.6,836.5,0,0,-16.6,-0.199,21,0.2518,10.92,0.0064,10.03,4.51,8.4486,83.4,0.0094,-0.2167,81.4,14.24,0,300497,100.1,-24.5,100.1,1,10.92
"2",2010-12-31,56.4,0.82,0.6241,0.001063829787234,93.9,134.4,0.9,38.2,0.056743909685086,0.56760772659733,0.28422619047619,1.8566,0.42060567216792,2.4,0,0,-4.4988,-4.4988,-2.0988,0,635,11.379928315412,8.0176767676768,NA,NA,9.4353640416048,NA,-4.8554,673.2,0.017857142857143,NA,0.1061,0.3840045377198,NA,0.8424,0.53497023809524,55.8,673.1,0.00014856633486852,0.00014854426619132,-4.5,-0.066864784546805,10.5,0.15601783060921,7.1682641107561,-0.066846953937593,10.001485884101,0.3566,NA,67.3,-0.080623655913979,-0.047923322683706,56.4,11.48,0.1,506856,79.2,-20.3,79.2,1.05,7.1617021276596
"3",2009-12-31,48.7,1.19,0.7152,0.0046403712296984,42.9,51.3,0.6,24.1,0.066081710995339,0.45992366412214,0.46978557504873,1.2424,0.36703020134228,2.8,0,0,-2.4,-2.4,0.4,0,340.6,17.926315789474,5.5202593192869,NA,851.5,6.5,0.27,-1.4424,364.7,0.04093567251462,NA,0.2547,0.39170506912442,NA,0.8031,0.20857699805068,19,364.5,0.00054869684499314,0.00054839594187003,-2.4,-0.045801526717557,7,0.13358778625954,8.4965034965035,-0.045801526717557,6.956106870229,-0.9576,NA,52.4,-0.12631578947368,-0.055944055944056,41.6,7.15,0.2,180553,61.7,-1.4,61.7,1.05,8.461716937355
"4",2008-12-31,43.9,1.3,0.72,0.16504854368932,25.8,37.3,0.4,7.6,0.029129934840935,0.20159151193634,0.20375335120643,2.817,0.23333333333333,2.5,0,0,-12.072,-12.072,-9.572,0,253.3,10.871244635193,5.1171717171717,NA,NA,6.7188328912467,NA,-12.789,260.9,0.080428954423593,NA,0.329,0.70612244897959,NA,0.7627,0.32439678284182,23.3,255.8,0.019937451133698,0.019547719432733,-12,-0.3183023872679,9,0.23872679045093,9.9147286821705,-0.32021299734748,6.7851458885942,0.717,NA,37.7,-0.51811287553648,-0.46511627906977,39.3,5.28,5.1,174374,49.5,-3.4,49.5,1.05,8.4433656957929
"5",2007-12-31,43,1.21,0.4948,0,34.7,40,0.4,8.7,0.20138888888889,0.31294964028777,0.2175,-2.4863,0.32336297493937,2.3,0,0,-15.6551,-15.6551,-13.3551,0,34.5,1.3269230769231,0.98571428571429,NA,NA,1.2410071942446,NA,-11.2688,43.2,0.095,-0.05,0.8793,0.59134615384615,NA,0.5695,0.3375,26,43.2,0,0,-15.1,-0.5431654676259,9.6,0.34532374100719,1.2449567723343,-0.56313381294964,1.5539568345324,-4.3863,NA,27.8,-0.60212,-0.43515850144092,32.9,1.2,0,143466,35,-14,35,1,1.2449567723343
"6",2006-12-31,42.6,3.36,0.4694,0,46.5,52.7,0.9,18.5,0.15188834154351,1.2585034013605,0.35104364326376,-5.6667,0.27268853855986,2.3,0,0,-18.6155,-18.6155,-16.3155,0,103.3,3.6892857142857,4.2163265306122,NA,NA,7.0272108843537,NA,-11.5489,121.8,0.0853889943074,NA,0.7463,0.29958960328317,NA,0.5013,0.28273244781784,28,121.8,0,0,-17.5,-1.1904761904762,8.5,0.57823129251701,2.6193548387097,-1.266362585034,8.2857142857143,-7.0667,NA,14.7,-0.66484035714286,-0.3763440860215,26.9,2.7,0,252246,24.5,-16.4,24.5,0.8,2.6193548387097
"7",2005-12-31,36.2,2.28,0.474,0,42.2,47.9,4.1,17.1,0.11324503311258,2.4084507042253,0.35699373695198,-3.6507,0.25316455696203,1.7,0,0,-16.0172,-16.0172,-14.3172,0,133.9,5.3346613545817,11.252100840336,NA,NA,18.859154929577,NA,-14.7664,151,0.093945720250522,-0.39,0.4834,0.39733840304182,NA,0.5419,0.34237995824635,25.1,151,0,0,-15.5,-2.1830985915493,5.4,0.76056338028169,3.5781990521327,-2.2559366197183,21.267605633803,-1.2507,NA,7.1,-0.63813346613546,-0.36729857819905,19.4,3.5,0,95128,11.9,-18.3,11.9,0.75,3.5781990521327
"8",2004-12-31,31.9,0.74,0.6147,0,NA,44.5,0.6,21.2,0.08582995951417,3.5333333333333,0.47640449438202,0.9857,0.24076785423784,1.5,0,0,-9.9953,-9.9953,-8.4953,0,225.8,11.06862745098,37.633333333333,NA,NA,53.761904761905,0.25,-10.0811,247,0.015730337078652,-0.4,-0.0514,0.28825622775801,NA,0.4769,0.3752808988764,20.4,247,0,0,-9.7,-2.3095238095238,2.3,0.54761904761905,5.9375,-2.3798428571429,58.809523809524,0.0857,-0.0085754247193478,4.2,-0.48996764705882,-0.23317307692308,12.4,6.9,0,82349,6,-13.2,6,0.65,5.9375
"9",2003-12-31,28.6,1.04,0.6653,0,NA,35.3,0,12.6,0.063829787234043,3.0731707317073,NA,0.06,0.31264091387344,0.6,0,0,-5.6052,-5.6052,-5.0052,0,184.8,8.6760563380282,45.073170731707,NA,NA,46.2,0.25,-5.0652,197.4,0.0028328611898017,-0.28,-0.5452,0.37931034482759,NA,0.4375,0.51274787535411,21.3,197.4,0,0,-5.9,-1.475,2.4,0.6,5.8230088495575,-1.4013,49.35,-0.54,0.096339113680154,4,-0.26315492957747,-0.1740412979351,9.6,6.8,0,109298,4.1,-7.6,4.1,0.45,5.8230088495575
"10",2002-12-31,24.1,1.98,0.8741,0,NA,33.9,0.1,7.7,0.078411405295316,1.0405405405405,NA,6.8,0.4989,0.9,0,0,-7.1678,-7.1678,-6.2678,0,90.5,NA,NA,NA,NA,12.22972972973,NA,-6.3678,98.2,0.0058997050147493,NA,-0.4722,0.70777988614801,NA,0.3594,0.57522123893805,23.8,98.2,0,0,-6.6,-0.89189189189189,1.7,0.22972972972973,3.1174603174603,-0.96862162162162,13.27027027027,-0.8,NA,7.4,-0.30116806722689,-0.20952380952381,13.7,4,0,50049,4.7,-9.8,4.7,0.45,3.8025210084034
