"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,61.5,0.99,0.2697,0.5503,2069.5,6731.2,111,718.5,0.0967,0.1573,0.1067,0,0.8,11.98,162.2,0.0201,98.4,681,492.35,843,0.2768,0.2768,6711.8,1.73,1.47,9.86,7.96,1.47,0.075,0.045,543.55,7430.3,0.1261,6.8,11.76,0.05,0.055,0.1284,0.024,0.8259,0.4937,3883.5,4897.8,0.5171,0.3408,408.9,0.0895,890.5,0.195,0.2406,2.37,1.6,0.1491,1.07,-51.2,-0.104,4567.2,0.1268,0.1976,1457.1,79.98,2532.5,501955,4567.2,408.9,11.98,4567.2,0.95,1.61
"2",2011-09-30,70.3,1.23,0.3613,0.52422388397915,2099.6,6387.9,108.7,629.7,0.083573334041169,0.14822399548054,0.098576997135209,78.3145,0.69194575145309,13.235234474018,139.2,0,0,695.2,512.7239,834.4,0.26248,0.26247896803141,6905,1.8251262125657,1.4863206836429,9.9323935558113,8.2754074784276,1.6253560247629,0.055,0.04,464.9095,7534.7,0.13159254215,6.2,12.496774193548,0.135,0.0498,0.15927391838406,0.02,0.8386,0.48382097402902,3783.3,5221.3,0.44306973359125,0.30703279493543,394.5,0.092860673681237,837.2,0.19706706211896,0,2.4868070108592,2.4064062680032,0.16364192735918,1.2290327895864,47.8145,0.093255746636842,4248.3,0.13552293077472,0.18789293198704,1324.1,77.48,2313.4,652422,4645.7,365.5,14.2853625171,4645.7,1,1.7073872648992
"3",2010-09-30,69.5,1.5,0.4506,0.59214515494457,1762.3,6149,139.7,359.3,0.045927497699151,0.089829491474574,0.05843226540901,54.4926,0.55481580115402,16.203755001539,130.4,0,0,701.5,482.4636,831.9,0.31224,0.31223539373412,7463.9,1.8840619951535,1.7569145305181,10.639914468995,8.9721120326962,1.8660683034152,0.05,0.035,418.6711,7823.2,0.1404130752968,5.85,12.461538461539,0.185,-0.2271,0.22035776476175,0.022,0.7975,0.50655391120507,3961.6,5264.6,0.486000835771,0.32705286839145,324.9,0.081229061453073,877.1,0.21928596429822,0,2.9873460818249,3.2407510003078,0.17538376918846,1.3162158107905,63.7926,0.13222252795694,3999.8,0.12178504644588,0.18436134596834,1157.1,72.9,2558.6,692456,4248.3,373.1,14.110426159207,4248.3,1,1.8105487282742
"4",2009-09-30,58.2,1.46,0.438,0.74816743339568,996.3,5816.7,160,171.2,0.023475208424748,0.039528977141538,0.029432496088848,-66.0947,0.36529680365297,12.0592819371,141.3,0,0,695.2,496.3937,836.5,0.28597,NA,7121.6,1.8815323645971,1.7804890244512,10.243958573073,8.5135684399283,1.6443315631494,0.055,0.035,543.7884,7292.8,0.14363814534014,5.5,11.141818181818,0.265,0.2678,0.29565054368204,0.022,0.8097,0.49333814705933,3785,4332.9,0.68312215836968,0.4058660596753,359.3,0.082960055414454,864.3,0.19956130223967,0,4.3489912676905,2.1925967158364,0.16051720157008,1.0004386977603,-47.3947,-0.095478060061625,4331,0.13114759735799,0.36063434708421,1342.5,61.28,2959.9,847376,3999.8,321.7,13.468759714019,3999.8,1,1.8433850664779
"5",2008-09-30,57.3,1.58,0.3792,0.71306332002282,653.9,3553,88.6,363.2,0.081768652348147,0.10793141362812,0.10222347312131,-223.399,0.33755274261603,9.0923176242737,115,0,0,510.9,374.5306,625.9,0.26692,NA,4078.6,2.1290389935794,0.9417224659432,7.9831669602662,6.5163764179581,1.2120293601973,0.09,0.085,624.3296,4441.8,0.18291584576414,5.6,9.6678571428571,0.225,0.0815,0.58227848101266,0.083,0.7667,0.19434280889389,1915.7,2816.8,0.57689576824766,0.36584267639245,309.8,0.092062643012095,778.3,0.23128584588868,0,4.3076923076923,1.0102575138082,0.15182312561291,0.83706279159609,-249.799,-0.66696557562697,3365.1,0.19550585791095,0.47377274812663,1093.8,54.14,1625,926518,4331,356.5,7.9012622720898,4331,0.8,1.9490982491553
"6",2007-09-30,56.7,0.64,0.2611,0.89305135951662,212.4,3132.6,94.9,134.3,0.016306063475875,0.043647827358705,0.042871735938198,-67.6735,0.42895442359249,24.827506723012,117.5,0,0,435.8,318.0512,553.3,0.27019,NA,8101.9,4.3753847815521,2.4076253305994,18.590867370353,14.642870052413,2.6331372485294,0.135,0.115,408.3247,8236.2,0.21065568537317,6.2,17.391935483871,NA,0.2167,0.26715050060921,0.083,0.8158,0.21426291259656,1851.7,6462.6,0.27444062761118,0.21534202666278,260.3,0.084598134486009,722.5,0.23481426110696,0,30.426553672316,1.839074572075,0.14163606227047,2.1003607527057,-90.2735,-0.28383313950298,3076.9,0.17176173138197,1.2255178907721,1045,107.83,1773.6,549350,3365.1,306.1,21.112708265273,3365.1,0.7,4.1471299093656
"7",2006-09-30,67,1.1,0.2687,0.75695971678378,453.1,2960.3,103,84.5,0.015432098765432,0.02826276005084,0.02854440428335,-19.1575,0.44659471529587,14.191340782123,116.3,0,0,447.8,322.4787,564.1,0.27986,NA,5391.1,3.0290482076638,1.7521206409048,12.039079946405,9.5569934408793,1.8031640912436,0.105,0.085,354.9361,5475.6,0.23055095767321,4.6,15.432608695652,NA,0.1565,0.24212476837554,0.077,0.7534,0.22430159105496,1779.8,4064.4,0.34720992028344,0.2577251808021,286.4,0.095792360693023,657.6,0.21994782259683,0,8.9702052527036,1.3515562649641,0.14977590474279,1.3594220349187,-32.4575,-0.10064992247049,2989.8,0.18118816271491,0.63209004634738,1029.9,70.99,1411.2,257100,3076.9,270.5,15.02550831793,3076.9,0.75,2.9370809419085
"8",2005-09-30,72.9,0.44,0.2416,0.68082890192424,NA,2915.7,121.4,109.1,0.022561833071387,0.036490735166232,0.037418115718352,34.1267,0.36423841059603,13.566251415628,115.8,0,0,385.7044,288.206,501.5044,0.25278,NA,4726.5,2.7559766763848,1.5808749749147,12.254202641863,9.4246429458118,1.6804138372382,0.14,0.085,248.4793,4835.6,0.24200020578249,4.15,12.01686746988,NA,0.4703,0.17318035138042,0.1,0.7364,0,1715,3593.7,0.34557698194062,0.25682438580528,264.9,0.094179969424397,542,0.19269740818431,0,6.1726210924081,0.96901795825918,0.13712959433996,1.2776691435276,39.7267,0.13784135029148,2812.7,0.16805017448408,0.45499828237719,1019.4,49.87,1241.9,295300,2989.8,274.1,13.110908427581,2989.8,0.75,2.6509511539937
"9",2004-09-30,85.1,0.37,0.2374,0.55302317862477,NA,2732.1,73,71.7,0.014754604383167,0.025491520602979,NA,137.7406,0.3117101937658,22.718069452619,83.2,0,0,356.307,254.7844,439.507,0.28493,NA,4787.8,2.7579493087558,1.7022078429978,13.43728863031,10.893569385698,2.1445912653975,0.15,0.11,127.2438,4859.5,0.25665239193294,3.35,14.662686567164,NA,0.3342,0.15505775288764,0.083,0.6948,0,1736,3859.8,0.25900305715322,0.20572075316391,169.9,0.076103023516237,530,0.23740201567749,0,4.7769801980198,1.5145379635079,0.1596,1.7289137737962,127.5406,0.50058255616905,2232.5,0.14676523415323,0.21027227722772,685.1,49.12,999.7,140800,2812.7,0,NA,2812.7,0.75,2.6882226033081
"10",2003-09-30,85.1,0.41,0.256,0.55302317862477,NA,2732.1,73,71.7,0.01725133535441,0.032116461366181,NA,49.1,0.3489,18.578575632725,83.2,0,0,273.2,195.3571,356.4,0.28493,NA,4084.5,NA,NA,14.950585651537,11.460437710438,1.8295632698768,0.12,0.11,205.5571,4156.2,0.25665239193294,2.75,13.64,NA,0.3342,0.26840390879479,0.066,0.7163,0,1736,3156.5,0.31671154760019,0.24053221692893,169.9,0.076103023516237,530,0.23740201567749,0,3.9065594059406,1.5482146360604,0.12237402015677,1.4138857782755,-10.2,-0.052212070853377,2232.5,0.11253290552995,0.21027227722772,685.1,37.51,999.7,401379,2232.5,169.9,18.578575632725,2232.5,0.75,2.3528225806452
