"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,34.7,1.71,0.3704,0,314.2,392.4,9.1,124.9,0.137,0.5568,0.3183,-0.27,0.8,536.18,21.5,0,0,7,2.88,29,0.6,0.7671,786.6,4.16,3.37,109.25,27.41,3.51,0.1875,15.55,911.5,0.0505,0.57,46.3,0.04,0.2761,NA,0.8951,0.4534,189.3,911.5,0,0,1.7,0.0076,-6.5,-0.029,NA,2.9,28.6,0.0321,4.06,-12.67,-4.3981,224.3,0.0152,0.0054,99.4,26.39,0,144870,233.5,NA,NA,233.5,1.2,2.9
"2",2011-06-30,32.7,1.48,0.3734,0,285.7,363.3,4.7,112,0.1453790238837,0.59134107708553,0.30828516377649,-0.632,0.8,90.635294117647,17.8,0,0,9.9,8.0702,27.7,0.18483,0.18269230769231,658.4,3.790443293034,3.2936468234117,66.505050505051,23.768953068592,3.4762407602957,0.175,21.8022,770.4,0.044315992292871,0.83,27.915662650602,0.1101,0.22896281800391,NA,0.884,0.47646573080099,173.7,770.4,0,0,8.5,0.044878563885956,-11.4,-0.060190073917635,0,2.6965348267413,5.1791596638656,0.052270327349525,4.0675818373812,-13.732,-1.7015717953527,189.4,0.046460466321244,0.029751487574379,80.7,23.17,0,144282,199.9,7.5,102.72,199.9,1.2,2.6965348267413
"3",2010-06-30,30.3,1.3,0.418,0.0004750593824228,210.4,269.4,4.4,122.8,0.19035808401798,0.77721518987342,0.4558277654046,-0.6186,0.7177033492823,161.25,17.8,0,0,6.6,4.0099,24.4,0.39244,0.38461538461539,522.3,5.9555302166477,3.1964504283966,79.136363636364,21.405737704918,3.3056962025316,0.175,18.0285,645.1,0.054194506310319,0.68,31.926470588235,-0.0823,0.29230769230769,NA,0.8446,0.35449146250928,87.7,645,0.00015503875968992,0.00015501472639901,4,0.025316455696203,-18.1,-0.11455696202532,0,3.0655893536122,9.2142857142857,0.041772151898734,4.0822784810127,-14.0186,-3.4960027878371,158,0.045722873432155,0.019011406844107,69.3,21.71,0.1,168384,163.4,5.5,117.27272727273,163.4,1.2,3.0646080760095
"4",2009-06-30,24.3,1.45,0.4566,0.0016570008285004,120.5,183.2,3.1,50.3,0.11390398550725,0.36449275362319,0.27456331877729,-0.0142,0.42049934296978,NA,19.5,0,0,-11.9,-11.9,7.6,0,NA,391.3,5.5582386363636,2.8334540188269,NA,51.486842105263,2.8355072463768,0.1667,4.5142,441.6,0.055131004366812,0.66,26.621212121212,0.0356,0.59758203799655,NA,0.7898,0.48908296943231,70.4,441.4,0.00045310376076121,0.00045289855072464,-12.3,-0.089130434782609,-19.6,-0.14202898550725,NA,3.6630705394191,NA,-0.086231884057971,3.1985507246377,-16.4142,NA,138,-0.16903409090909,-0.10207468879668,73.5,17.57,0.2,120482,138.1,-7.2,NA,138.1,1.2,3.6586578293289
"5",2008-06-30,23.9,1.36,0.4698,0,138.3,201.4,5,35.4,0.21441550575409,0.26981707317073,0.17576961271102,0.4906,0.37462750106428,NA,14.9,0,0,-7.9,-7.9,7,0,NA,129.7,1.2604470359572,0.95861049519586,NA,18.528571428571,0.98856707317073,0.15,1.5094,165.1,0.058589870903674,0.25,28.4,0.1033,0.52527940393826,NA,0.7924,0.57298907646475,102.9,165.1,0,0,-5.3,-0.040396341463415,-15.7,-0.11966463414634,NA,1.1937816341287,NA,-0.060213414634146,1.2583841463415,-9.4094,NA,131.2,-0.076773566569485,-0.038322487346349,68.3,7.1,0,102416,135.3,-8.2,NA,135.3,1.1,1.1937816341287
"6",2007-06-30,23.8,2.43,0.4422,0,140.4,190,3.6,65.9,0.1957231957232,0.5570583262891,0.34684210526316,0.5555,0.39800995024876,NA,12.5,0,0,-11.1,-11.1,1.4,0,NA,270.8,3.6348993288591,2.1751004016064,NA,193.42857142857,2.2890955198648,0.125,-2.7555,336.7,0.043684210526316,0.26,48.846153846154,0.1513,0.23453996983409,NA,0.8176,0.44368421052632,74.5,336.7,0,0,-7,-0.059171597633136,-10.6,-0.08960270498732,NA,2.3981481481482,NA,-0.093829247675402,2.8461538461538,-8.3445,NA,118.3,-0.1489932885906,-0.04985754985755,67,12.7,0,223252,124.5,-6.3,NA,124.5,1.1,2.3981481481482
"7",2006-06-30,23.6,2.3,0.3953,0,136.6,175.8,2.6,80.5,0.28770550393138,0.79154375614553,0.45790671217292,0.0423,0.38451808752846,NA,7.2,0,0,-4.5,-4.5,2.7,0,NA,199.3,3.5525846702317,1.9500978473581,NA,73.814814814815,1.9596853490659,0.1167,0.0577,279.8,0.040386803185438,-0.02,NA,-0.1598,0.33779264214047,NA,0.6581,0.34755403868032,56.1,279.8,0,0,-1.8,-0.017699115044248,-8.6,-0.084562438544739,NA,2.0483162518302,NA,-0.04424778761062,2.7512291052114,-4.5577,NA,101.7,-0.080213903743315,-0.013177159590044,55.8,11.45,0,80257,102.2,-3.5,NA,102.2,0.95,2.0483162518302
"8",2005-06-30,18.8,0.95,0.4475,0,NA,110.4,2.2,35.9,0.14234734337827,0.3608040201005,0.32518115942029,-0.258,0.42458100558659,42.745762711864,5.7,0,0,5.8414,5.5074,11.5414,0.05717,NA,216.3,5.8617886178862,2.1738693467337,37.02879446708,18.741227234131,2.2414507772021,0.125,9.2655,252.2,0.0625,0.61,18.065573770492,0.1042,0.27316239316239,NA,0.7484,0.35054347826087,36.9,252.2,0,0,5.9,0.061139896373057,-8.3,-0.086010362694301,0,3.4642857142857,3.4196610169492,0.060532642487047,2.6134715025907,-3.758,-0.6823544516255,96.5,0.14925331062331,0.081043956043956,46.5,11.02,0,388473,99.5,5.3,47.584905660377,99.5,1.5,3.4642857142857
"9",2004-06-30,17.7,1.05,0.5574,0,NA,90.1,1.8,25,0.09272997032641,0.28768699654776,NA,-0.456,0.3767491926803,NA,6.5,0,0,4.0311,4.0311,10.5311,0,NA,244.6,7.131195335277,2.8147295742233,60.678076261873,23.226421526316,2.979293544458,0.2,9.1871,269.6,0.072142064372919,0.34,41.820588235294,0.0418,0.34309809143364,NA,0.5484,0.38512763596004,34.3,269.6,0,0,-2.4,-0.029232643118149,-7.8,-0.095006090133983,NA,4.5463743676223,NA,0.0491,3.2838002436054,-5.156,-1.2790594234946,82.1,0.1175250728863,-0.040472175379427,43.9,14.219,0,17668,86.9,0.5,539.2,86.9,1.45,4.5463743676223
"10",2003-06-30,16,1.2,0.9889,0.00625,NA,73.4,1.8,25.8,0.17074784910655,0.36185133239832,NA,-4.5,0.2663,NA,11.4,0,0,-13.8171,-13.8171,-2.4171,0,NA,125.3,NA,NA,NA,NA,1.7573632538569,0.2,-4.2171,151.1,0.087193460490463,0.13,70.384615384615,-0.0596,0.32481506388702,NA,0.4718,0.30926430517711,22.2,150.8,0.0019893899204244,0.0019854401058901,-14.1,-0.19775596072931,-8,-0.11220196353436,NA,3.1614255765199,NA,-0.19378779803647,2.1150070126227,-9.6,NA,71.3,-0.62239054054054,-0.29559748427673,40.3,9.15,0.3,31952,71.8,-10.3,NA,71.8,1.65,5.6441441441441
