"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,149.5,0.98,0.2884,0.4332,3593.8,8772.7,1274.3,831.3,0.0722,0.5069,0.0948,-18.88,0.8,26.37,339.3,0.002,17.94,658,393.67,998,0.4021,0.402,10685.9,1.94,7,16.23,10.71,6.52,0.145,0.115,-522.45,11517.2,0.7759,1.95,30.25,-0.005,-0.005,0.179,0.022,0.8191,0,5509.4,8770.3,0.3132,0.2385,332.6,0.2028,273.3,0.1667,0.0718,2.44,1.82,0.4015,5.35,916.12,2.3271,1639.9,0.0715,0.0925,385.8,58.98,2746.9,1612742,1526.6,249.9,35.1,1526.6,1.2,1.82
"2",2010-12-31,149.2,0.86,0.2679,0.38694518011111,3078.7,7098.4,1246.9,0,0,0,0,33.1647,0.8,36.404479578393,270.3,0.0159,131.7999,470.5,301.5952,740.8,0.35899,0.3589527027027,10232.5,2.0375754196619,6.7648419939178,21.748140276302,13.812769978402,7.7360701595222,0.19,0.11,-708.1695,10232.5,0.83259607798941,2.51,21.828685258964,0.005,-0.0857,0.25730994152047,0.02,0.797,0,5021.9,8289.3,0.23442268949127,0.1899047153677,227.7,0.17214787933772,231,0.17464277613971,0.57883122529644,2.692467599961,1.916025240968,0.3557118016179,6.2669539578136,1009.7647,3.3480793011578,1322.7,0.060055995738665,0.073959788222302,380.7,54.79,1943.2,1492564,1512.6,317.8,26.083385777218,1512.6,1.2,2.0375754196619
"3",2009-12-31,130.9,0.72,0.3098,0.47539144431979,2151,5957.3,963.9,0,0,0,0,1.6633,0.8,42.376035691523,196.1,0.0197,130.9814,356.8,220.7914,552.9,0.38119,0.38130914826498,8598,2.0969708794693,6.6373320981936,24.097533632287,15.550732501356,6.7711450622145,0.12,0.055,-548.6718,8598,0.82498783005724,1.75,25.622857142857,0.03,-0.1949,0.19081094652272,0.02,0.7963,0,4100.2,6648.8,0.29316568403321,0.22670388462433,156.9,0.12356276578989,82.5,0.064970861553,0.83480790312301,3.0910274291027,3.5313363076269,0.28098913214679,5.2361001732556,769.4633,3.4850235388497,1269.8,0.053848936149456,0.072942817294282,397.6,44.84,1949.2,1293130,1295.4,209.4,31.751671442216,1295.4,1.15,2.0969708794693
"4",2008-12-31,130.9,0.77,0.3026,0.37943455624168,2050.1,5329.7,1344,0,0,0,0,17.0403,0.60806345009914,22.700704225352,136.8,0.0199,115.4658,464.8,289.3984,601.6,0.37737,NA,7055.8,2.1357912580216,5.286431407807,15.180292598967,11.728390957447,4.4756105296543,0.095,0.06,-934.8418,7055.8,0.76880499840516,1.58,27.79746835443,0.075,0.0809,0.26162555600485,0.02,0.821,0,3303.6,5802.3,0.21603502059528,0.17765526233737,255.6,0.16213130352046,-111.1,-0.070472565810339,0.45174401408451,2.8302521828204,2.389547813195,0.29483032032985,3.6804947668887,1224.2403,4.2302934808413,1576.5,0.08760092747306,0.12467684503195,329.7,43.92,1253.5,1293302,1334.7,161,36.039130434783,1334.7,1.15,2.1357912580216
"5",2007-12-31,122.2,0.9,0.2992,0.41631654523214,1097.5,3937,776.7,81.7,0.016701760124292,0.06001175260761,0.020751841503683,116.3621,0.61497326203209,23.492853058891,109.8,0.026171481418385,107.536,311.7,170.7212,421.5,0.45229,NA,4810,2.6743022350717,3.0984282401443,15.431504651909,11.41162514828,3.5331276627002,0.155,0.085,-612.5409,4891.7,0.74155448310897,2.4,13.979166666667,0.1,0.0689,0.57232834279814,0.024,0.7661,0,1798.6,4108.9,0.19051327605929,0.16002616677229,174.9,0.12847069193477,-829.4,-0.6092257969737,0.6148427672956,3.7438724373576,1.5156679392833,0.22895548699868,3.0181430879976,783.2621,4.5879603418102,1361.4,0.094918940842878,0.15936218678816,365.5,33.55,782.8,1693646,1552.4,282.7,14.534488857446,1552.4,1.15,2.6015529436792
"6",2006-12-31,121.6,1.3,0.1937,0.48732257015928,946.3,3256.9,404.5,0,0,0,0,11.4376,0.70211667527104,28.95342588446,100.1,0.016551126784527,107.008,372.5,255.3897,472.6,0.31439,NA,7364.8,3.9900314226893,5.5361948432684,19.771275167785,15.583580194668,5.8086599889581,0.115,0.085,-60.4479,7364.8,0.72998863950382,2.17,24.626728110599,0.15,-0.0028,0.18216852411207,0.03,0.7664,0,1845.8,6465.3,0.13912734134534,0.12213502063871,223.3,0.17611799037779,-232.4,-0.18329521255619,0.4792118226601,6.832188523724,2.5176892073444,0.29379288587428,5.0992191813235,315.8376,1.2366888341475,1267.9,0.13836262054394,0.23597167917151,290.9,53.44,899.5,697500,1330.3,214.3,30.16938870742,1330.3,0.85,3.9900314226893
"7",2005-12-31,119.9,0.91,0.1633,0.76147221100794,354.5,3342.3,275.8,75,0.012036398067757,0.059822924144532,0.02243963737546,29.8449,0.78383343539498,23.586493987049,93.5,0.020691061693533,105.512,367.7,244.5205,461.2,0.335,NA,6156.1,4.3623157596372,4.7100994644223,16.742181125918,13.348005203816,4.9103453776821,0.1,0.08,32.3756,6231.1,0.62328336774078,2.09,19.976076555024,0.245,0.0711,0.16944919153411,0.04,0.7448,0,1411.2,5099.4,0.22192806996902,0.18162122257707,216.2,0.17244954933397,-702,-0.55994256999282,0.48802960222017,14.384767277856,2.3586493987049,0.29329185610593,4.067480258435,212.1449,0.86759571888908,1253.7,0.17327132936508,0.6098730606488,124.5,41.75,1131.7,242200,1307,222.9,22.877523553163,1307,0.8,4.1926389449603
"8",2004-12-31,122.1,0.29,0.1275,0.51367730457022,NA,3196.5,202.4,0,0,0,0,-3.21,0.45490196078431,23.501061571125,83.1,0.022919508867667,102.564,324.6655,218.3863,407.7655,0.32735,NA,5351.5,2.9753697320138,4.2495831017232,16.483117763784,13.123963987931,4.49102047667,0.095,0.08,102.2963,5351.5,0.58808071328015,1.95,18.794871794872,0.29,0.1627,0.19241349355726,0.045,0.715,0.016173940247145,1798.6,4427.6,0.20866835305809,0.17264318415398,188.4,0.15810674723061,-56.5,-0.047415240013427,0.5443949044586,5.0618497770664,2.4737959548553,0.27246183282981,3.715676401477,116.09,0.53158100318694,1191.6,0.12142013901257,0.2153881330742,133.5,36.65,923.9,440300,1259.3,188.4,23.501061571125,1259.3,0.85,2.9753697320138
"9",2003-12-31,62.4,0.28,0.1298,0.46911950723203,NA,2939.9,221.5,37.3,0.0082055568999274,0.032496950688273,NA,2.9556,0.43143297380585,21.271313364055,78.1,0.025802070955695,94.848,380.3794,258.54,458.4794,0.32031,NA,4508.4,2.5313868613139,3.9278619968636,11.852378110106,9.8333761415127,4.3047837295904,0.105,0.05,112.1844,4545.7,0.60097282220484,3.4,17.326470588235,0.225,-0.0208,0.17908983915261,0.043,0.7089,0.017585632164359,1781,3692.7,0.23099628997752,0.18764986690719,173.6,0.16575957223336,30.8,0.029408956363983,0.54635944700461,3.8254428675023,2.0258393680053,0.3632,3.5259238040676,146.3556,0.566084835601,1047.3,0.14516566378349,0.17984046410442,126.2,58.91,853,93100,1147.8,173.6,21.271313364055,1147.8,0.75,2.4999725017874
"10",2002-12-31,62.3,0.28,0.2601,0.47985837397288,NA,2436.9,218.5,17.7,0.0052129351475526,0.016555981666823,NA,-72.2,0.2394,17.776228419655,69.4,0.027925740540137,74.76,282.9,186.7168,352.3,0.33999,NA,3377.7,NA,NA,11.939554612937,9.5875674141357,3.1593863997755,0.12,0.035,37.6168,3395.4,0.64089622060815,3.03,14.237623762376,NA,-0.3793,0.11533521705626,0.055,0.7042,0.021215478681932,1479.2,2677.1,0.26831272645773,0.21155092183542,150.6,0.14086614909737,6.8,0.0063604901318866,0.49641434262948,3.438350886206,1.4813523683046,0.2646150968104,2.504068842952,149.1,0.79853541214542,1069.1,0.12622825108167,0.19342409452864,109.8,43.14,718.3,256218,1080.2,162.7,16.454210202827,1080.2,0.7,2.2834640346133
