"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-10-31,30.6,1.62,0.3389,0.3976,1562.8,3378.6,49.5,190,0.0633,0.1106,0.0562,70.62,0.8,13,84.7,0,0,213,179.28,298,0.1575,0.1603,2810.5,1.17,1.41,13.21,9.45,1.64,0.095,0.075,143.85,3000.5,0.109,5.6,11.36,0.175,0.09,0.201,0.029,0.9509,0.5498,2404.4,1968.9,0.5239,0.3438,151.4,0.0881,442.5,0.2576,0,1.26,1.37,0.1239,1.15,35.42,0.1976,1718,0.0746,0.0969,376.9,63.61,1031.6,147681,1992.2,158.2,12.45,1992.2,1.2,1.16
"2",2010-10-31,30.3,1.53,0.456,0.30211420667852,1412.8,2587.7,45.5,422.1,0.18154838709677,0.27649679025285,0.16311782664142,42.954,0.6578947368421,13.18,72.1,0,0,188.2,158.3985,260.3,0.15835,0.15966386554622,1902.9,1.1876053173563,1.107625145518,10.111052072263,7.3104110641567,1.246495480152,0.115,0.085,142.0445,2325,0.10580824670557,5.6,9.9946428571429,0.19,0.0531,0.26818742293465,0.026,0.9948,0.43617884607953,1602.3,1713.4,0.35695109139722,0.26305376344086,130,0.085156557054893,342.6,0.22442028036159,0,1.2127689694224,1.1460869565217,0.12328049259793,1.1223634219835,16.354,0.10324617066338,1526.6,0.098856974349373,0.092015855039638,328,55.97,611.6,257911,1718,141.3,12.125973106865,1718,1.2,1.1484884410196
"3",2009-10-31,29.8,1.41,0.4876,0.29551332508715,1253,2314.2,59.2,176.8,0.068823231733427,0.12403535849586,0.076397891279924,26.8209,0.58962264150943,19.060634328358,71.5,0,0,156,138.5701,227.5,0.11173,0.11331679073615,2392.1,1.4933824447497,1.5524044389642,15.333974358974,10.514725274725,1.6781955942192,0.05,0.045,124.0492,2568.9,0.11377581885749,4.3,15.951162790698,0.2,-0.0433,0.31975937066173,0.03,0.9837,0.50077780658543,1601.8,2043.3,0.25723094993393,0.20460119117132,107.2,0.075206959449979,331,0.23221551845096,0,1.6307262569832,3.8121268656716,0.1094429633787,1.4334923530237,14.5209,0.10479093459027,1425.4,0.086509002372331,0.085554668794892,305.9,68.59,525.6,155609,1540.9,131.5,15.538403041825,1540.9,1.15,1.4443382435623
"4",2008-10-31,29.6,1.25,0.444,0.27872654438119,1026.3,1922.1,40.7,160.6,0.099640153865244,0.10827939590075,0.083554445658394,-11.8468,0.41441441441441,10.706607929515,66.3,0,0,164.2,133.1465,230.5,0.18912,NA,1451.2,1.149647468906,1.0181001824049,8.8380024360536,6.2958785249458,0.97842502696872,0.04,0.04,170.5933,1611.8,0.10639404817647,3.5,11.648571428571,NA,0.1603,0.40139284583729,0.03,0.9624,0.45122522241299,1262.3,1215.2,0.32636603028308,0.24606030524879,113.5,0.076523732470334,304,0.20496224379719,0,1.1840592419371,2.6766519823788,0.11070658036677,0.819309600863,-37.4468,-0.2812452360104,1483.2,0.10547928067813,0.11059144499659,326.1,40.77,396.6,282836,1425.4,107.2,11.335820895522,1425.4,1.15,1.1327570454705
"5",2007-10-31,29.4,1.26,0.3398,0.2940213971051,1121.8,2050.3,30.5,147.1,0.097378525089369,0.11613769145744,0.071745598205141,-59.9627,0.51795173631548,11.304442036836,55.8,0,0,110.6,88.9346,166.4,0.19589,NA,1363.5,0.94562729731604,0.8894905081871,12.328209764919,8.1941105769231,1.0765040265277,0.12,0.095,174.1973,1510.6,0.10603326342487,3.9,9.7153846153846,0.045,0.1308,0.42484992637898,0.027,0.9527,0.49856118616788,1441.9,1043.4,0.44776691585202,0.30928108036542,92.3,0.072872256434549,285.2,0.22516974577609,0,0.93011231948654,0.94203683640303,0.087320385283436,0.82378019895784,-85.2627,-0.95871276079735,1266.6,0.061678733615369,0.082278481012658,280,37.89,467.2,204665,1532.9,118.1,8.8348856900931,1532.9,1.1,0.95066079295154
"6",2006-10-31,25.5,1.41,0.2721,0.28901385820446,708,1290.5,26.5,47,0.02925068459049,0.048338990023655,0.036419992251065,-68.4369,0.70562293274531,23.723021582734,42.8,0,0,88.7,68.4436,131.5,0.22837,NA,1559.8,1.6439713322091,1.2314858676772,17.58511837655,11.861596958175,1.6042373752957,0.135,0.115,153.1805,1606.8,0.13204184424642,3.15,15.844444444444,0.045,0.1561,0.21623009758603,0.031,0.8574,0.18729174738474,948.8,1319,0.21819560272934,0.17911376649241,55.6,0.057183996708835,226.1,0.23254139668827,0,1.8629943502825,1.7572608579803,0.091226987555281,1.3565771881107,-84.7369,-1.2380552245704,972.3,0.072136995151771,0.078531073446328,212.2,49.91,287.8,289800,1266.6,69.4,19.005763688761,1266.6,1.2,1.6135770234987
"7",2005-10-31,25.3,1.86,0.2955,0.284265129683,620.9,1115.2,23.8,192.9,0.15125852740532,0.23090734977256,0.17297345767575,-23.4831,0.5414551607445,20.170588235294,35.3,0,0,82.3,62.4748,117.6,0.24089,NA,1082.4,1.6045063741476,1.1132366553533,13.151883353584,9.2040816326531,1.2956667464688,0.145,0.135,97.4578,1275.3,0.12392395982783,2.5,16.092,0.005,0.1198,0.2020097912909,0.03,0.9522,0.1489418938307,674.6,1028.7,0.23972003499563,0.19336626676076,51,0.061048599473306,143.3,0.17153459420637,0,1.656788532775,1.3910750507099,0.098515681110845,1.2313861623175,-34.9831,-0.55995557032217,835.4,0.092610069670916,0.082138830729586,179.7,40.23,246.6,83300,972.3,54,19.05,972.3,1,1.4700864553314
"8",2004-10-31,21.3,1.28,0.2813,0.35294947784364,NA,932.8,22.1,38,0.031732776617954,0.047117172969622,0.04073756432247,37.9193,0.91006043370068,28.365269461078,31.1,0,0,56.2198,41.9827,87.3198,0.25324,NA,1159.5,1.7290486131822,1.4376937383757,20.624406347941,13.278775260594,1.8457497612225,NA,NA,13.0634,1197.5,0.15555317324185,2.3,16.169565217391,NA,0.1034,0.21337535973688,0.033,0.9099,0.1821397941681,670.6,947.4,0.26398564492295,0.20885177453027,33.4,0.053167780961477,133.6,0.21267112384591,0,2.0663031624864,NA,0.089493473416109,1.5081184336199,28.9193,0.68883761320982,628.2,0.062604679164927,0.072846237731734,145.4,37.19,250.1,132300,806.5,53.9,17.576994434137,806.5,1.15,1.6899520180638
"9",2003-10-31,21.1,0.95,0.3068,0.41314064362336,NA,800.6,17.1,135.9,0.13655546623794,0.2163323782235,NA,13.6539,0.61929595827901,24.171717171717,109.8,0,0,161.1,111.9693,270.9,0.30497,NA,859.3,1.6052680739772,1.367876472461,5.3339540657976,3.172019195275,1.5276444444444,0.06,0.025,191.0154,995.2,0.14626530102423,1.75,18.342857142857,NA,0,0.23841731484613,0.047,0.8116,0.14351736197852,535.3,717.9,0.38626549658727,0.27863745980707,29.7,0.0528,116.9,0.20782222222222,0,1.8225437928408,4.0286195286195,0.2864,1.2762666666667,-79.0461,-0.70596187261382,562.5,0.20917118064637,0.075399847677075,127.3,32.1,277.3,56900,628.2,29.7,24.171717171717,628.2,1.15,1.4827175208582
"10",2002-10-31,20.7,0.83,0.3929,0.23996528531135,NA,559.8,15.8,119.9,0.17632352941176,0.24409609120521,NA,-20.2,0.4648,19.433447098976,24.1,0,0,49.3,32.1441,73.4,0.34799,NA,560.1,NA,NA,11.361054766734,7.6307901907357,1.1402687296417,0.06,0.025,40.4441,680,0.15773490532333,1.8,14.922222222222,NA,-0.1584,0.29665071770335,0.056,0.7673,0.28188638799571,341,569.4,0.19423955040393,0.16264705882353,29.3,0.059649837133551,107.8,0.21946254071661,0,1.6254638880959,3.2389078498294,0.1003664495114,1.1592019543974,-8.3,-0.25821229424641,491.2,0.094264202346041,0.083642592063945,125.5,26.86,110.6,65832,562.4,NA,NA,562.4,1.1,1.6425219941349
