"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.91,0.2282,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,0.1109,NA,0,6.74,21.76,NA,0.0844,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,146.65,0,142917,524,67.8,NA,524,0.85
"2",2008-12-31,0,1.04,0.3119,NA,NA,NA,0,0,NA,NA,NA,0.46168643796088,0,NA,0,NA,NA,NA,0,0,0,NA,0.0333,NA,0,6.77,12.355982274741,NA,0.28471717318598,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,83.65,0,894641,417.6,178.5,NA,417.6,0.9
"3",2007-12-31,0,0.94,0.2604,NA,0,0,0,0,NA,NA,NA,0.52227342549923,0,NA,0,0,0,0,0,0,0,NA,0.062,NA,0,6.07,12.644151565074,NA,0.36145844278659,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,76.75,0,819848,414.3,45.3,0,414.3,0.85
"4",2006-12-31,0,1.64,0.2294,NA,0,0,0,0,NA,NA,NA,0.62772449869224,0,NA,0,0,0,0,0,0,0,NA,0.0707,NA,0,5.61,15.639928698752,NA,0.21609562405338,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,87.74,0,472600,371.8,65.8,0,371.8,0.9
"5",2005-12-31,0,1.13,0.1947,NA,0,0,0,0,NA,NA,NA,0.65742167437083,0,NA,0,0,0,0,0,0,0,NA,0.0652,NA,0,5.01,25.798403193613,NA,0.1913928777842,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,129.25,0,136400,348.4,50.4,0,348.4,0.8
"6",2004-12-31,0,0.43,0.1918,NA,NA,0,0,0,NA,0,0,0.44838373305527,0,0,0,NA,NA,NA,0,0,NA,NA,0.063,NA,0,NA,NA,0,0.15400765715697,NA,0.9146,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,91.92,0,118100,294.5,99.4,0,294.5,0.65
"7",2003-12-31,0,0.35,0.1684,NA,NA,0,0,0,NA,0,0,0.41567695961995,0,0,0,NA,NA,NA,0,0,0,NA,0.0546,NA,0,NA,NA,0,0.18288484507834,NA,0.8825,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,82.8,0,100500,259.1,23.3,0,259.1,0.6
"8",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0.0485,0,0,4.21,15.612826603325,0,0.1522491349481,NA,0.7641,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,65.73,0,125106,226.5,39.9,0,226.5,0.6
"9",2001-12-31,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0,0.0601,0,NA,NA,NA,0,0,NA,NA,0.0477,NA,0,NA,NA,NA,0.12463651860022,0,0.956,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,49.7,0,30800,0,0,NA,0,0.6
"10",2000-12-31,NA,0.55,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,0.079,NA,0,NA,10.701943844492,NA,0.13905363097208,NA,0.8297,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,49.55,0,NA,NA,44.1,0,197.2,NA
"11",1999-12-31,NA,0.6,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,979.4,NA,5.8717026378897,0.1057,0,979.4,NA,12.076212471132,0,0.27097661623109,NA,0.7849,0,979.4,0,0,NA,0.2410071942446,NA,0,NA,0,5.8717026378897,NA,NA,0,NA,NA,NA,NA,40.2,24.363184079602,166.8,NA
