"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,13.2,1.01,0.2863,0.2304,155.3,232.6,23.7,4.7,0.0175,0.0229,0.0202,5.45,0.8,25.24,16.1,0,0,14,9.15,30,0.3369,0.3383,263.9,1.34,1.21,19.12,8.83,1.28,NA,-3.9,268.6,0.3319,0.93,18.23,0.025,0.125,0.1239,NA,0.5151,0.1195,197.1,222.1,0.2094,0.1731,8.8,0.0428,88.2,0.4294,0,1.43,NA,0.0672,1.08,13.05,1.4265,205.4,0.0464,0.0567,112.3,16.95,46.5,16564,218.1,10.7,20.76,218.1,0.75,1.33
"2",2010-12-31,13,0.94,0.3663,0.22741764080765,145.4,220,24.9,3.9,0.015531660692951,0.020472440944882,0.017727272727273,6.0122,0.47775047775048,19.838095238095,12.2,0,0,18.4,10.5679,30.6,0.42566,0.42307692307692,247.2,1.3412913727618,1.2105778648384,13.434782608696,8.078431372549,1.2976377952756,NA,-8.1443,251.1,0.31227272727273,0.97,16.979381443299,0.065,0.0574,0.19726197884256,NA,0.496,0.13045454545454,184.3,208.3,0.20547287566011,0.17045001991239,10.5,0.05511811023622,83.6,0.43884514435695,0,1.4325997248968,NA,0.096587926509186,1.09343832021,18.7122,1.7706693275997,190.5,0.057340510037982,0.072214580467675,97.4,16.47,42.8,20080,204.2,9.7,21.474226804124,204.2,0.7,1.3342189160468
"3",2009-12-31,12.8,0.67,0.3783,0.097260273972603,131.8,171,15.3,2.9,0.011632571199358,0.016356457980824,0.016959064327485,3.9446,0.46259582342057,28.325301204819,10.2,0,0,14.7,8.6373,24.9,0.41243,0.41549295774648,246.4,1.7218728162124,1.3176470588235,16.761904761905,9.8955823293173,1.3897349125775,0.2,-0.4073,249.3,0.30643274853801,0.89,21.14606741573,0.075,0.0859,0.22848501512235,NA,0.4564,0.11695906432748,143.1,235.1,0.060399829859634,0.056959486562375,8.3,0.046813310772702,72.1,0.40665538635082,0,1.7837632776935,1.416265060241,0.082910321489002,1.3260011280316,9.0446,1.0471535361545,177.3,0.060358343815514,0.062974203338392,88.6,18.82,14.2,27571,187,8.3,28.325301204819,187,0.7,1.7075342465753
"4",2008-12-31,12.7,0.51,0.336,0.1636863823934,121.6,167.5,16.1,3.3,0.012299664554603,0.020408163265306,0.019701492537313,3.619,0.30952380952381,22.027027027027,8.5,0,0,18.6,11.752,27.1,0.36817,NA,265,1.8648838845883,1.5652687536917,14.247311827957,9.7785977859779,1.6388373531231,0.1245,0.533,268.3,0.27641791044776,0.99,17.484848484848,0.125,0.1903,0.28352234823215,NA,0.432,0.10149253731343,142.1,244.5,0.097341513292433,0.088706671636228,11.1,0.068645640074212,77,0.47619047619048,0,2.0106907894737,1.7692391186367,0.11502782931354,1.5120593692022,11.219,0.95464698285077,161.7,0.082702589725545,0.091282894736842,77,17.31,23.8,43360,169.3,11,22.227272727273,169.3,0.65,1.8452544704264
"5",2007-12-31,11.6,0.52,0.2629,0.10794297352342,87.6,116.5,11.7,2,0.0093109869646183,0.01610305958132,0.017167381974249,-13.0031,0.3651578546976,21.494736842105,6.9,0,0,16.5,10.6907,23.4,0.35208,NA,212.8,2.2120582120582,1.3773462783171,12.89696969697,9.0940170940171,1.7133655394525,0.16,18.8938,214.8,0.31158798283262,0.85,19.258823529412,0.115,0.2028,0.41968680089485,NA,0.4861,0.033476394849785,96.2,204.2,0.051909892262488,0.049348230912477,9.5,0.076489533011272,53.3,0.42914653784219,0,2.3310502283105,1.3434210526316,0.13285024154589,1.6441223832528,-8.2031,-0.76731696174784,124.2,0.11112972972973,0.10844748858448,57.8,16.37,10.6,31955,154.5,10.6,19.264150943396,154.5,0.6,2.1873727087576
"6",2006-12-31,11.5,1.03,0.2542,0.2333000997009,76.9,113.3,6,2,0.0076190476190476,0.01953125,0.017652250661959,-7.1271,0.4720692368214,30.653846153846,6.3,0,0,14,9.3397,20.3,0.33288,NA,260.5,2.6500508646999,2.2132540356839,18.607142857143,12.832512315271,2.5439453125,0.1,16.7667,262.5,0.28420123565755,0.78,26.897435897436,0.13,0.1112,0.2242090784044,NA,0.3385,0.046778464254192,98.3,239.1,0.097867001254705,0.089142857142857,7.8,0.076171875,47.7,0.4658203125,0,3.109232769831,3.0653846153846,0.13671875,2.3349609375,-7.4271,-0.79521469485571,102.4,0.095012004069176,0.10143042912874,46.2,20.98,23.4,27840,117.7,8.1,29.518518518519,117.7,0.75,2.617148554337
"7",2005-12-31,11.4,1.28,0.2907,0.30492813141684,67.7,115.2,12.5,1,0.0051466803911477,0.010989010989011,0.0086805555555556,-5.3448,0.46783625730994,24.939393939394,5.5,0,0,11.3,7.3372,16.8,0.35069,NA,193.3,2.0051867219917,1.9466263846928,17.106194690266,11.505952380952,2.1241758241758,0.15,5.682,194.3,0.27951388888889,0.65,21.892307692308,0.135,0.0904,0.15286869464767,NA,0.3075,0.049479166666667,96.4,164.6,0.18043742405832,0.15285640761709,6.6,0.072527472527473,58.6,0.64395604395604,0,2.4313146233383,1.6626262626263,0.12417582417582,1.8087912087912,1.6552,0.22558525846495,91,0.076112064315353,0.097488921713442,42.7,14.23,29.7,3050,99.3,7.3,22.54794520548,99.3,0.85,1.9948665297741
"8",2004-12-31,11.1,1.28,0.4213,0.11011904761905,NA,82,6.8,0.5,0.0035612535612536,0.0056242969628796,0.0060975609756098,3.3504,0.60764300973178,18.219178082192,4.5,0,0,12.3181,7.9197,16.8181,0.35707,NA,139.9,2.0974512743628,1.5736782902137,11.357289447706,8.3184287385956,1.7102689486553,0.2,2.2693,140.4,0.30243902439024,NA,NA,0.19,0.1349,0.28996404053612,NA,0.3199,0.062195121951219,66.7,133,0.055639097744361,0.052706552706553,7.3,0.089242053789731,38.6,0.4718826405868,0,2.2240802675585,0.91095890410959,0.15058777506113,1.6259168704156,5.6504,0.71346048736402,81.8,0.11873557982609,0.12207357859532,36.2,11.44,7.4,21616,88.9,6.7,19.850746268657,88.9,0.75,2.0892857142857
"9",2003-12-31,11,0.74,0.4339,0.12157534246575,NA,70.3,8.6,3.5,0.016642891107941,0.044080604534005,NA,3.4877,0.34109241760774,34.440677966102,3.8,0,0,13.3331,8.474,17.1331,0.36444,NA,206.8,3.7668488160291,2.6045340050378,15.51027142975,12.070203290706,2.9004207573632,0.168,0.1863,210.3,0.31863442389758,0.63,28.888888888889,0.185,0.1887,0.26344086021505,NA,0.3116,0.041251778093883,54.9,203.2,0.03494094488189,0.033761293390395,5.9,0.082748948106592,30.7,0.43057503506311,0,3.9610136452242,2.0500403551251,0.187,2.8499298737728,8.2877,0.97801185024552,71.3,0.1543530971949,0.11500974658869,32.8,18.2,7.1,14084,79.4,7.1,28.619718309859,79.4,0.75,3.6010273972603
"10",2002-12-31,10.9,0.73,0.4784,0.096509240246407,NA,56.8,6.4,3.7,0.022533495736906,0.062394603709949,NA,3,0.3357,30.094339622641,3.2,0,0,8.3,5.2981,11.5,0.36168,NA,160.5,NA,NA,19.33734939759,13.95652173913,2.7065767284992,0.16,2.0981,164.2,0.31514084507042,0.56,25.928571428571,NA,0.2431,0.38890851289297,NA,0.2922,0.02112676056338,45,159.5,0.029467084639498,0.028623629719854,5.3,0.089376053962901,27.6,0.46543001686341,0,3.625,1.8808962264151,0.13996627318718,2.6897133220911,3.2,0.60399512575934,59.3,0.11773457777778,0.12045454545454,26.5,14.52,4.7,31649,68.9,6.3,25.31746031746,68.9,0.75,3.5666666666667
