"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,135.6,2.72,0.6957,0.667,90.6,393.3,1,194.3,0.1912,0.6709,0.494,28.62,0.8,11.03,6.8,0,0,100,98.02,107,0.0168,0.0169,822.1,10.57,6.19,8.25,7.72,2.84,-0.115,75.2,1016.4,0.0216,NA,NA,0.145,0.2478,0.07,0.8629,0.162,77.8,834.9,0.2174,0.1786,75.7,0.2614,-52.9,-0.1827,9.22,0.3443,2.88,22.82,0.2328,289.6,1.2599,0.8355,183.1,4.57,181.5,1666807,132.9,-51.6,NA,132.9,1.25,3.74
"2",2010-12-31,109.3,2.12,0.7598,NA,-228.3,360.8,1.8,162.7,0.19704493157321,0.87945945945946,0.45094235033259,-39.8695,0.42774414319558,NA,10.5,0,0,-72.172,-72.172,-61.672,0,NA,663,NA,2.7951096121416,NA,NA,3.5837837837838,0.005,-23.6025,825.7,0.043791574279379,NA,NA,0.2043,0.52983293556086,0.084,0.7057,0.17655210643016,-182.6,617.3,0.33759922242022,0.25239190989464,-92.3,-0.49891891891892,-141.3,-0.76378378378378,NA,-0.39011891891892,3.3367567567568,-48.5695,NA,185,NA,NA,233.2,4.74,208.4,1665431,237.2,11.5,53.678260869565,237.2,1.3,NA
"3",2009-12-31,107.9,1.58,0.6883,NA,-163.7,343.4,6,203.1,0.19822369705251,1.3379446640316,0.59143855562027,-34.9001,0.47217782943484,NA,12.6,0,0,-121.9415,-121.9415,-109.3415,0,NA,821.5,NA,4.3373812038015,NA,NA,5.4117259552042,0.13,-80.4414,1024.6,0.085614443797321,NA,NA,0.2692,0.5257048092869,0.083,0.5967,0.18549796156086,-287.1,944.9,0.084347550005292,0.077786453250049,-135.2,-0.89064558629776,-140.9,-0.92819499341238,NA,-0.80330395256917,6.2246376811594,-41.5001,NA,151.8,NA,NA,261.1,8.21,79.7,1344160,189.4,-103.2,NA,189.4,1.3,NA
"4",2008-12-31,106.3,1.6,0.6295,NA,-57,401.6,15.8,247.7,0.25727046115496,2.1009329940628,0.6167828685259,-20.1734,0.34312946783161,NA,13.2,0,0,-179.3447,-179.3447,-166.1447,0,NA,715.1,NA,5.2083029861617,NA,NA,6.0653095843935,0.14,-161.7713,962.8,0.090139442231076,NA,NA,0.0235,0.32340777502068,0.08,0.6608,0.15861553784861,-187,845.1,0.13927345876228,0.12224761113419,-162.9,-1.381679389313,-122.6,-1.0398642917727,NA,-1.5211592875318,7.1679389312977,-17.5734,NA,117.9,NA,NA,283.9,7.37,117.7,1019228,137.3,-144.4,NA,137.3,1.35,NA
"5",2007-12-31,104.7,1.78,0.5217,0.6275826446281,72.1,412.1,17.4,240.6,0.37842088707141,2.1198237885463,0.58383887405969,2.6044,0.49070346942687,NA,11.1,0,0,-157.061,-157.061,-145.961,0,NA,395.2,NA,3.3634042553191,NA,NA,3.4819383259912,0.055,-165.9654,635.8,0.084202863382674,-1.5,NA,0.0538,0.63272410791993,0.064,0.8075,0.15457413249211,-47,514.3,0.23624343768229,0.19109782950613,-123.3,-1.0863436123348,-73.9,-0.6511013215859,7.1331484049931,-1.3837973568282,4.5312775330396,8.9044,NA,113.5,NA,-1.7101248266297,259.4,5.02,121.5,726018,117.5,-162.9,NA,117.5,1.6,NA
"6",2006-12-31,96,2.16,0.364,0.69862227324914,52.5,395.4,11.6,178.9,0.16955738792531,1.8125633232016,0.45245321193728,2.2624,0.79120879120879,NA,16.1,0,0,-126.8019,-126.8019,-110.7019,0,NA,876.2,NA,7.6792287467134,NA,NA,8.8774062816616,0.145,-124.5643,1055.1,0.08168942842691,-1.28,NA,0.1283,0.24040796503157,0.066,0.8782,0.17703591299949,-4.7,933.4,0.13038354403257,0.11534451710738,-101.5,-1.0283687943262,-14.5,-0.14690982776089,17.779047619048,-1.2847205673759,9.4569402228977,-2.2376,NA,98.7,NA,-1.9333333333333,209.3,8.19,121.7,667880,114.1,-107.9,NA,114.1,1.8,NA
"7",2005-12-31,83.4,2.24,0.3538,0.81633771929825,33.5,332.7,14.4,163.8,0.16172985781991,2.1552631578947,0.49233543733093,1.9137,0.8,NA,16.7,0,0,-94.0604,-94.0604,-77.3604,0,NA,849,45.645161290323,10.204326923077,NA,NA,11.171052631579,0.105,-93.6741,1012.8,0.10700330628194,-1.19,NA,0.2918,0.24775224775225,0.073,0.71,0.21280432822362,18.6,863.9,0.17235791179535,0.14701816745656,-84.4,-1.1105263157895,-20.2,-0.26578947368421,25.788059701493,-1.2376368421053,11.367105263158,-0.3863,NA,76,-5.0570107526882,-2.5194029850746,27.7,9,148.9,865693,83.2,-100.8,NA,83.2,1.95,5.5526315789474
"8",2004-12-31,75,2.18,0.6316,0.74406865219586,NA,291.3,12.3,155.2,0.16314516976769,2.8794063079777,0.53278407140405,-0.8355,0.69031032298923,NA,16.7,0,0,-106.6088,-106.6088,-89.9088,0,NA,796.1,18.557109557109,14.769944341373,NA,NA,15.049149338374,0.1,-101.3733,951.3,0.12186749055956,-1.47,NA,-0.0252,0.24655819774718,0.096,0.8031,0.24682457947133,42.9,803.9,0.18335613882324,0.15494586355514,-108.6,-2.0529300567108,-44.2,-0.83553875236295,15.856015779093,-2.0152899810964,15.196597353497,-5.2355,0.049109799453431,52.9,-2.4850545454545,-2.1420118343195,20.9,9.42,147.4,661290,53.9,-108.6,NA,53.9,2.15,4.8021201413428
"9",2003-12-31,71.3,2.18,0.6976,0.40755685986794,NA,357.8,14.2,237.1,0.28232912598238,4.6490196078431,NA,0.3621,0.625,NA,17.7,0,0,-77.5281,-77.5281,-59.8281,0,NA,602.7,16.977464788732,11.817647058823,NA,NA,11.702912621359,0.1,-74.3902,839.8,0.093627724986026,-1.56,NA,-0.031,0.27044776119403,0.124,0.7554,0.19983230855226,35.5,728.7,0.15246329079182,0.13229340319124,-94.6,-1.8368932038835,-37.3,-0.72427184466019,4.5120743034056,-1.5054,14.149514563107,-3.1379,0.04047389369364,51.5,-2.1838901408451,-0.58575851393189,18.6,9.14,111.1,118820,51,-94.6,NA,51,2.05,3.0807043286867
"10",2002-12-31,59.4,2.64,0.8306,0.29611844737895,NA,339.1,5.9,216.2,0.38299379982285,4.8803611738149,NA,-10.3,0.699,NA,16.7,0,0,-87.0794,-87.0794,-70.3794,0,NA,348.3,NA,NA,NA,NA,7.86230248307,0.11,-76.2794,564.5,0.095547036272486,-1.44,NA,0.0224,0.32113821138211,NA,0.7014,0.21291654379239,33.7,490.5,0.15086646279307,0.13108945969885,-82.6,-1.8645598194131,-34.4,-0.7765237020316,2.7885162023877,-1.9656751693002,11.07223476298,-10.8,NA,44.3,-2.5839587537092,-0.46958499147243,18.8,6.8,74,166964,48.2,NA,NA,48.2,2,10.3353115727
