"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,94.3,1.35,0.3642,0,179.6,284.6,5.2,78,0.2293,0.2417,0.2741,0.05,0.8,21.39,5.3,0,0,14,13.02,19,0.0701,0.0702,262.1,2.58,0.82,18.72,13.58,0.81,0.41,0.035,13.07,340.1,0.0885,NA,NA,0.305,0.035,0.2221,0.076,0.7559,0.0179,101.6,340.1,0,0,15.9,0.0493,-5.5,-0.017,0,1.89,0.52,0.0434,1.05,-0.05,-0.004,322.7,0.1281,0.0885,165.9,3.64,0,591492,319.9,17.8,19.11,319.9,1.15,1.89
"2",2011-06-30,92.5,1.62,0.47,0,161.3,271,5.7,91.3,0.34130841121495,0.27302631578947,0.33690036900369,0.4953,0.61170212765957,148.61111111111,6.8,0,0,2.2,1.4106,9,0.35884,0.35714285714286,176.2,2.5171428571429,0.53474962063733,80.090909090909,19.577777777778,0.52691387559809,0.65,0.01,2.0153,267.5,0.15461254612546,NA,NA,-0.21,0.0538,0.27055306427504,0.081,0.5993,0,70,267.5,0,0,1.8,0.0053827751196172,-33.8,-0.10107655502392,0,1.6584004959702,2.2863247863248,0.006578947368421,0.79994019138756,-0.6047,-0.42871505650467,334.4,0.020150742857143,0.011159330440174,177.8,2.92,0,510155,329.5,0.7,382.14285714286,329.5,1.15,1.6584004959702
"3",2010-06-30,90.2,1.69,0.5366,0,149.2,259.9,5.1,113.9,0.39950894423009,0.36813186813187,0.4382454790304,-1.7647,0.53578084234066,1425.5,5.6,0,0,3.6,3.6,9.2,0,NA,171.2,4.8498583569405,0.52370755582747,47.555555555556,18.608695652174,0.55332902391726,0.5,0.05,5.8647,285.1,0.16775682954983,NA,NA,NA,-0.0925,0.22852512155592,0.076,0.6613,0,35.3,285.1,0,0,0.2,0.00064641241111829,-31.2,-0.10084033613445,0,1.9108579088472,28.51,0.011635423400129,0.92146089204913,-2.2647,-0.62908496732026,309.4,0.10198300283286,0.0013404825737265,172.9,3.09,0,414221,326.9,8.4,33.940476190476,326.9,1.15,1.9108579088472
"4",2009-06-30,88.8,1.58,0.5039,0,141.5,246.6,6.9,55.2,0.22000797130331,0.16448152562575,0.22384428223844,2.1983,0.36515181583647,89.607142857143,5.9,0,0,0.9,0.4792,6.8,0.46756,NA,195.7,2.2676709154114,0.6264404609475,217.44444444444,28.779411764706,0.5831346841478,NA,0.11,-2.7191,250.9,0.17923763179238,NA,NA,NA,0.3301,0.49403341288783,0.0969,0.6263,0,86.3,250.9,0,0,2.8,0.0083432657926103,-31.8,-0.094755661501788,0,1.7731448763251,NA,0.0026817640047676,0.74761620977354,3.1983,6.6743698754612,335.6,0.0055526767091541,0.019787985865724,189.7,2.87,0,395588,312.4,-4.3,NA,312.4,1.15,1.7731448763251
"5",2008-06-30,127.4,1.32,0.3889,0,232.1,365.8,7.7,113.3,0.6218441273326,0.31315644002211,0.30973209404046,0.0459,0.55541270249421,21.690476190476,7.2,0,0,1.2,0.9525,8.4,0.20627,NA,68.9,0.57996632996633,0.19017388904223,57.416666666667,8.202380952381,0.19043670536208,0.66,0.135,0.4066,182.2,0.11837069436851,0.11,21.272727272727,-0.08,0.0369,0.43907156673114,0.0969,0.7159,0,118.8,182.2,0,0,8.4,0.023217247097844,-33.2,-0.091763405196241,0,0.78500646273158,0.32864357864358,0.0033167495854063,0.50359314538419,0.5459,0.57311859049269,361.8,0.0080174747474748,0.036191296854804,204.1,2.34,0,533801,362.3,6.4,28.46875,362.3,1.35,0.78500646273158
"6",2007-06-30,125.1,1.09,0.3035,0,216.2,341.9,4.6,163.2,0.40197044334975,0.47607934655776,0.47733255337818,0.2295,0.8,NA,7.9,0,0,-21.5434,-21.5434,-13.6434,0,NA,242.8,4.5811320754717,0.70438062082971,NA,NA,0.70828471411902,0.55,0.08,-18.4729,406,0.12635273471775,0.08,40.125,-0.335,-0.0488,0.20561941251596,0.0969,0.7313,0,53,406,0,0,-14.2,-0.041423570595099,-41.4,-0.12077012835473,NA,1.8778908418131,NA,-0.062845507584597,1.1843640606768,-3.0705,NA,342.8,-0.40648,-0.06567992599445,206.8,3.21,0,720231,344.7,-5.6,NA,344.7,1.55,1.8778908418131
"7",2006-06-30,121.9,1.44,0.4056,0.44642857142857,248,583.6,7.1,255.4,0.36392134511257,0.66631881033133,0.43762851267992,-2.307,0.67061143984221,38.899224806202,16.2,0,0,12.9,10.1275,29.1,0.21492,NA,446.4,2.3177570093458,1.244841048522,34.604651162791,15.340206185567,1.1646230106966,NA,0.05,21.5345,701.8,0.086360520904729,0.03,139.66666666667,NA,0.0762,0.22595596755504,0.56,0.602,0,192.6,501.8,0.39856516540454,0.28498147620405,12.9,0.033655100443517,-35.8,-0.093399426037047,0,2.0233870967742,NA,0.033655100443517,1.3091573180276,-11.407,-1.1263322419633,383.3,0.052583239875389,0.052016129032258,189.8,4.19,200,1387150,358.6,11.1,45.207207207207,358.6,1.7,1.5665178571429
"8",2005-06-30,120.4,2.65,0.6725,0.46592230751337,NA,579.3,6.3,221.2,0.27929292929293,0.57694314032342,0.38184015190748,-5.4972,0.78810408921933,NA,20.1,0,0,-9.2294,-3.6918,10.8706,0.6,NA,570.8,2.7350263536176,1.4887845592071,NA,52.508504574716,1.6225127913587,NA,0.065,15.6055,792,0.10322803383394,NA,NA,NA,-0.0623,0.26034958601656,0.56,0.5741,0,208.7,591.7,0.33851613993578,0.25290404040404,-1.7,-0.0048322910744741,-61.2,-0.17396247868107,NA,2.5770905923345,NA,-0.026234735645253,1.6819215463331,-19.2972,5.2271155609374,351.8,-0.017689276473407,-0.007404181184669,122.8,4.75,200.3,1232156,383.4,0,NA,383.4,2.25,1.8422889043964
"9",2004-06-30,120.4,2.54,0.8418,0.46592230751337,NA,579.3,6.3,221.2,0.23206042803189,0.62876634451393,NA,0,0.60346875742457,NA,20.1,0,0,10.8706,4.3482,30.9706,0.6,NA,732,3.5074269286056,2.0807276861853,67.337465572341,23.635303393991,2.0807276861853,0.765,0.045,18.1482,953.2,0.10322803383394,NA,NA,NA,-0.0623,0.42760942760943,0.56,0.5283,0,208.7,752.9,0.26603798645238,0.21013428451532,-1.7,-0.0048322910744741,-61.2,-0.17396247868107,NA,3.279181184669,NA,0.0309,2.1401364411598,-13.8,-3.1736920249259,351.8,0.020834920939147,-0.007404181184669,122.8,6.53,200.3,1016883,351.8,-1.7,NA,351.8,2,2.2172598278669
"10",2003-06-30,116.6,4.67,1.2691,0.50137672090113,NA,550.3,14.7,163.6,0.15811346283947,0.45031654280209,NA,2.2,0.8095,NA,25.9,0,0,-35.8181,-35.8181,-9.9181,0,NA,871.1,NA,NA,NA,NA,2.3977429121938,0.155,0.08,-24.6181,1034.7,0.13410866799927,NA,NA,NA,-0.1882,0.54848260547742,NA,0.6461,0,235.9,834.4,0.2400527325024,0.19358268097033,-19.6,-0.053949903660886,-67.4,-0.18552160748693,NA,4.1887550200803,NA,-0.098590944123314,2.2967244701349,-11.2,NA,363.3,-0.15183590504451,-0.098393574297189,186.2,7.24,200.3,3084550,363.3,-19.6,NA,363.3,2,3.692666384061
