"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,15.4,1.77,0.5073,0.3958,68.7,255.4,17.5,24.9,0.093,0.0503,0.0975,-0.21,0.8,NA,32.1,0,0,-19,-19.3,13,0,242.7,2.73,0.49,NA,18.96,0.49,0.2,-4.49,267.6,0.4233,0.42,34.36,NA,0.16,0.391,NA,0.2806,0.0298,88.8,222.6,0.2022,0.1682,-29.3,-0.0591,51,0.1029,NA,3.24,-0.039,0.45,-14.81,NA,495.4,-0.2173,-0.4265,187.5,14.43,45,84561,493.4,-18.8,NA,493.4,1.05,2.35
"2",2011-06-30,15.1,1.26,0.4378,0.23795359904819,128.1,290.1,19.4,31,0.20861372812921,0.066824746712654,0.1068597035505,1.4942,0.5995888533577,NA,31.8,0,0,-61.4259,-61.4259,-29.6259,0,117.6,0.85776805251641,0.24690321226118,NA,NA,0.25350291010994,NA,-50.5201,148.6,0.39331265081007,NA,NA,NA,0.016,0.60796460176991,NA,0.3577,0.050327473285074,137.1,108.6,0.3683241252302,0.26917900403769,-46.5,-0.10023712006898,55.9,0.12050010778185,NA,0.84777517564403,-0.13241185600345,0.23410217719336,-10.9058,NA,463.9,-0.44803690736689,-0.36299765807962,217.8,7.64,40,50127,476.3,-44.2,NA,476.3,1.05,0.88399762046401
"3",2010-06-30,14.9,0.86,0.3329,0.19845111326234,165.6,339.1,28.5,55.1,0.17267314321529,0.12236286919831,0.16248894131525,-0.5602,0.78852508260739,NA,26.8,0.0248,6.8969,-39.2283,-39.2283,-12.4283,0,264,1.7425742574257,0.59073618259118,NA,NA,0.58627581612258,NA,-40.368,319.1,0.35505750516072,NA,NA,NA,0.2931,0.19094602437609,NA,0.364,0.074314361545267,151.5,278.1,0.14742898238044,0.12848636790975,-24,-0.053297801465689,74.2,0.16477903619809,NA,1.679347826087,-0.087115878303353,0.61758827448368,1.1398,NA,450.3,-0.25893254125413,-0.14492753623188,236.8,17.8,41,13978,446.9,-36.1,NA,446.9,1.05,1.5445304937077
"4",2009-06-30,14.6,0.66,0.2918,0.081346423562412,196.5,330,38.9,63,0.21348695357506,0.18437225636523,0.19090909090909,8.5809,0.54832076764908,NA,18.3,0.0244,6.7759,-15.2,-15.2,3.1,0,232.1,1.5381047051027,0.5992770462174,NA,74.870967741936,0.67925080479953,NA,-44.3809,295.1,0.33969696969697,NA,NA,NA,0.15,0.28251572327044,NA,0.348,0.087272727272727,150.9,277.7,0.062657544112351,0.05896306336835,-33.3,-0.097453906935909,64.3,0.18817676324261,NA,1.4132315521629,-0.044483465027802,0.81270119988294,29.1809,NA,341.7,-0.10072895957588,-0.16946564885496,175.4,19.73,17.4,16225,387.3,-25,NA,387.3,1,1.3796166432913
"5",2008-06-30,13.1,0.54,0.2444,0,266.5,313,24.9,123.3,0.33615049073064,0.46266416510319,0.39392971246006,-1.3806,0.58919803600655,NA,9.8,0.016428571428571,6.026,-10.6795,-10.6795,-0.8794,0,243.5,1.7004189944134,0.89489158397648,NA,NA,0.91369606003752,NA,-24.3989,366.8,0.22076677316294,NA,NA,-0.44,0.5127,0.25258298527149,NA,0.3568,0.056230031948882,143.2,366.8,0,0,-7.9,-0.029643527204503,65.7,0.24652908067542,NA,1.3763602251407,-0.040072983114447,1.3763602251407,13.7194,NA,266.5,-0.074577164804469,-0.029643527204503,130.1,25.26,0,13792,272.1,-13,NA,272.1,0.9,1.3763602251407
"6",2007-06-30,16.1,0.99,0.2183,0,266.2,337.6,12.5,170.6,0.43856041131105,0.78871937124364,0.5053317535545,-2.4291,0.58634906092533,57.205882352941,9.3,0.019038560411311,7.406,-4.1,-4.0802,5.2,0.00482,218.4,2.2845188284519,0.95412844036697,NA,42,1.0097087378641,NA,-4.8511,389,0.1561018957346,NA,NA,-0.405,0.0425,0.15613067458634,NA,0.3316,0.050355450236967,95.6,389,0,0,6.8,0.031437817845585,41.7,0.19278779472954,1.0891176470588,1.4613072877536,-0.018955154877485,1.7984281091077,0.7709,NA,216.3,-0.042680313807531,0.025544703230654,130.8,22.5,0,10158,228.9,4.8,81.041666666667,228.9,0.8,1.4613072877536
"7",2006-06-30,16.1,0.46,0.2336,0,269.2,317.2,12.8,181.7,0.54077380952381,0.87566265060241,0.57282471626734,0.0234,0.37671232876712,70,9,0.021083333333333,7.084,-3,-3,6,0,154.3,1.7634285714286,0.74397299903568,NA,25.716666666667,0.74361445783132,NA,-6.8234,336,0.14627994955864,NA,NA,-0.33,0.0455,0.096240245921021,NA,0.2898,0,87.5,336,0,0,4.8,0.023132530120482,48.6,0.23421686746988,1.4758333333333,1.2481426448737,-0.014457831325301,1.6192771084337,3.8234,NA,207.5,-0.034285714285714,0.017830609212481,125.5,21.35,0,33935,207.4,6.9,48.695652173913,207.4,0.55,1.2481426448737
"8",2005-06-30,16.1,0.22,0.2172,0,NA,314.9,8.8,180.9,0.57593123209169,0.90404797601199,0.57446808510638,0.3744,0.20257826887661,NA,8.4,0.021716649431231,6.762,-6.5946,-6.5946,1.8054,0,133.2,1.5857142857143,0.66566716641679,NA,73.777029422191,0.67137096774194,NA,-7.369,314.1,0.13559860273103,NA,NA,-0.2,0.0249,0.21168778095627,NA,0.2745,0,84,314.1,0,0,-5.4,-0.027217741935484,43.7,0.22026209677419,NA,1.1857304643262,-0.033238709677419,1.5831653225806,0.7744,-0.1174370336332,198.4,-0.078506666666667,-0.020385050962627,122,19.34,0,19385,200.1,-8,NA,200.1,0.45,1.1857304643262
"9",2004-06-30,16.1,-0.03,0.2304,0,NA,317.9,7.7,198.7,0.50948717948718,1.0210688591984,NA,0.1699,-0.026041666666667,30.708661417323,7.1,0.016501650165017,6.44,10.861,8.6218,17.961,0.20617,191.3,2.6943661971831,0.9830421377184,17.613544290744,10.650878349487,0.98811983471074,NA,7.8518,390,0.13306071091538,NA,NA,-0.02,0.151,0.23775410814717,NA,0.2982,0,71,390,0,0,12.7,0.065599173553719,32.9,0.16993801652893,0.50708661417323,1.4460511679644,0.0561,2.0144628099174,0.7699,0.089301764922471,193.6,0.12143318136338,0.047089358546533,118.4,24.24,0,2058,194.6,11.7,33.333333333333,194.6,0.5,1.4460511679644
"10",2003-06-30,1.9,-0.06,0.1914,0,NA,416.4,9.1,293.4,0.48624461385482,1.4553571428571,NA,3,-0.0655,25.567796610169,5.8,0.011965528670865,7.22,23.9,15.0312,29.7,0.37108,310,NA,NA,12.970711297071,10.43771043771,1.5376984126984,NA,11.7312,603.4,0.10038424591739,NA,NA,NA,-0.0209,0.093764475591351,NA,0.2642,0,75.7,603.4,0,0,23.6,0.11706349206349,36.6,0.18154761904762,0.30593220338983,1.6347873205093,0.11855158730159,2.9930555555556,3.3,0.21954352510261,201.6,0.19856258916777,0.06393931183961,107,316,0,905,196.9,20.5,29.434146341463,196.9,0.5,4.0951122853368
