"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,205.1,3.2,0.8604,0.4091,1444.1,13127.3,0,206.9,0.109,0.0158,NA,0.8,NA,0,0,0,457,457.4,457,0,1690.8,0.76,3.7,3.7,0.05,457.4,1897.7,0.0148,NA,NA,NA,NA,0.2186,NA,0.7278,0,2237.2,897.7,1.114,0.527,-82.2,0,NA,0.62,NA,0,0,NA,0.2045,-0.0569,191.7,4.58,1000,430035,NA,-3.1,NA,NA,1.3,0.78
"2",2010-12-31,21.3,2.82,0.9447,0.19629292008508,1058,15593.1,0,254.7,0.76693766937669,0.016334147796141,NA,0.33079284428919,NA,0,0,0,629.3,629.3,629.3,0,77.4,0.072901949703306,0.12299380263785,0.12299380263785,0.05,629.3,332.1,0.013403364308572,NA,NA,NA,NA,0.50738916256158,NA,NA,0,1061.7,73.7,3.506105834464,0.77807889190003,-492.7,0,NA,0.069659735349717,NA,0,0,NA,0.59272864274277,-0.46568998109641,248.7,3.49,258.4,328380,NA,-338.8,NA,NA,1.25,0.25227894257065
"3",2009-12-31,92.5,1.13,0.8306,0.27869205119931,670.6,19628.4,0,679.8,1.7570431636082,0.034633490248823,NA,0.37623404767638,NA,0,0,0,691.6,691.6,691.6,0,-292.9,-1.172068827531,NA,NA,0.05,691.6,386.9,0.010087424344317,NA,NA,NA,NA,0.88235294117647,NA,NA,0,249.9,127.8,2.0273865414711,0.66968208839493,-275.2,0,NA,0.19057560393677,NA,0,0,NA,2.7675070028011,-0.41037876528482,314.5,0.46,259.1,3614262,NA,-326,NA,NA,1.25,0.4161557491664
"4",2008-12-31,92.5,0.81,0.6567,0.20363868496649,998,19491.3,0,329.7,0.69076052796983,0.016915239106678,NA,0.28018882290239,2.0209281164695,0,0,0,644.8,644.8,644.8,0,147.6,0.15982674607472,0.22890818858561,0.22890818858561,0.08,NA,477.3,0.009157932000431,NA,NA,-0.14,NA,0.76795580110497,NA,0.4659,0,923.5,222.1,1.1490319675822,0.53467420909281,109.9,0,0,0.22254509018036,0.25261601455869,NA,NA,NA,0.69821331889551,0.11012024048096,414.8,2.3,255.2,1001303,NA,-203.2,NA,NA,1.15,0.38086498563677
"5",2007-12-31,92.5,0.28,0.4953,0.15581947743468,871.5,17186.9,0,195.8,0.15953719546973,0.011392397698247,NA,0.40379567938623,14.168869309839,0,0.026842159809307,25.9,587.3,446.0191,587.3,0.24056,1031.5,1.099562946381,1.7563425847097,1.7563425847097,0.06,NA,1227.3,0.0094606939005871,0.84,13.261904761905,-0.08,NA,0.42711518858308,NA,0.4812,0.0016349661660916,938.1,964.9,0.27194527930355,0.21380265623727,68.1,0,0.38032305433186,1.1071715433161,2.3614782183064,NA,NA,NA,0.47544943183029,0.078141135972461,528.7,11.14,262.4,845767,NA,98.5,9.7959390862944,NA,1.25,1.0823705794162
"6",2006-12-31,93.2,2.67,0.4238,0.25211361839304,679.5,17390.3,0,112.3,0.099556737588652,0.0064576229277241,NA,0.45304388862671,8.4338061465721,0,0.036574632095305,26.096,483.4,365.0105,483.4,0.24491,1015.7,1.0346337985128,2.1011584609019,2.1011584609019,0.08,NA,1128,0.0089532670511722,0.45,17.6,0.065,NA,0.39117352056168,NA,0.4464,0,981.7,713.5,0.58093903293623,0.36746453900709,84.6,0,0.308463356974,1.0500367917586,1.0542257683215,NA,NA,NA,0.3718147152898,0.12450331125828,605,7.92,414.5,779865,NA,83,8.5963855421687,NA,1.2,1.0310786106033
"7",2005-12-31,90.6,2.78,0.4035,0.10958178930651,1222.9,15619.8,0,98.6,0.1133593929639,0.0063125008002663,NA,0.37670384138786,4.3991056456121,0,0.032233799237611,25.368,502.3,406.9233,502.3,0.18988,771.2,0.6388865876895,1.5353374477404,1.5353374477404,NA,NA,869.8,0.0061332411426523,NA,NA,0.185,NA,0.21516674280493,NA,0.5054,0,1207.1,787,0.10520965692503,0.095194297539664,178.9,0,0.1417998882057,0.64355221195519,NA,NA,NA,NA,0.33710817330793,0.14629160192984,122,9.53,82.8,305100,NA,209.3,3.7601528905877,NA,0.95,0.6661560848587
"8",2004-12-31,90.6,1,0.3479,0.063414260549897,NA,15619.8,0,98.6,0.089963503649635,0.0063125008002663,0,0.57487783845933,5.6634991615428,0,0.022526146419952,25.368,NA,NA,NA,0.18988,997.4,0.56760755747781,NA,NA,0.05,NA,1096,0.0061332411426523,NA,NA,0.185,0,0.51750610678144,NA,0.5094,0,1757.2,1013.2,0.081721279115673,0.075547445255474,178.9,0,0.1417998882057,1.5059453032105,1.1326998323085,0,NA,NA,NA,0.14629160192984,122,12.43,82.8,628000,NA,209.3,4.8408982322026,0,0.9,0.83939649230298
"9",2003-12-31,44.9,0.36,0.2471,0.070624360286592,NA,12667.9,0,1060.2,0.39810746873944,NA,0,0.29138000809389,16.942219304005,0,0.0075483566598522,21.552,NA,NA,NA,0.20246,1602.9,2.4202023252303,NA,NA,0.145,NA,2663.1,0.006733554890708,3.33,19.096096096096,0.175,0,0.30472959489124,NA,0.38,0,662.3,2580.3,0.032089291942797,0.031091584994931,152.3,0,0.14151017728168,4.7827618164968,1.1684289175176,0,NA,NA,NA,0.13977606461087,112.5,63.59,82.8,74200,NA,184.1,14.015752308528,0,0.85,2.271494370522
"10",2002-12-31,43.2,0.28,0.2526,0.15901670827732,NA,9643.9,0,382,0.22998193859121,NA,0,0.2456,14.612962962963,0,0.012044100874414,19.008,376.8,312.2278,376.8,0.17137,1279,NA,3.3943736730361,3.3943736730361,0.14,312.2278,1661,0.0090834620848412,2.52,15.52380952381,NA,0,0.296875,NA,0.3285,0,499.2,1578.2,0.052464833354454,0.049849488260084,108,0,0.176,3.6040191824617,1.0437830687831,0,0,0,0.62545629807692,0.24663165106189,133.2,39.12,82.8,70607,0,125.7,12.555290373906,0,0.75,2.5620993589744
