"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,948,2.31,0.4632,0.1844,15642,32070,2534,4822,0.1358,0.2309,0.1504,-353.11,0.8,7.01,1022,0.0388,1241.88,9411,6116.4,10433,0.3501,0.4829,30688,2.14,1.74,3.26,2.94,1.47,0.085,0.065,4957.5,35510,0.5753,4.6,7.43,0.15,0.13,0.2317,0.017,0.6955,0,14357,31973,0.1106,0.0996,4560,0.2184,2289,0.1096,0.4227,2.04,0.82,0.4507,1.53,1158.89,0.1895,20880,0.426,0.2915,415,34.2,3537,16155677,17659,2938,10.88,17659,1.65,1.85
"2",2010-12-31,945,1.62,0.4891,0.27550843038415,12504,29386,1412,3738,0.090827801374323,0.19692340111685,0.12720343020486,424.5454,0.8,8.3947878228782,1036,0.0281,1022.8344,9211,5983.005,10247,0.35045,0.4906015037594,37416.8,2.767310110199,1.6795403537122,4.062186516122,3.6514882404606,1.9711726899168,0.125,0.06,5182.4597,41154.8,0.57119036275778,6.23,5.9052969502408,0.225,0.1486,0.36023949440071,0.016,0.7323,0,13521,36399.8,0.13063258589333,0.11553937815273,4336,0.22842693077653,2445,0.12880623748815,0.23589353782288,2.9110524632118,0.67158302583026,0.48524918343694,1.9175956169002,800.5454,0.1338032229742,18982,0.44249723023445,0.34676903390915,381,36.79,4755,19844859,22278,5657,6.4344705674386,22278,1.65,2.3845413986905
"3",2009-12-31,430,1.83,0.5757,0.50405083399523,6244,25996,1587,2656,0.043423029573764,0.17659574468085,0.10216956454839,351.1741,0.75994441549418,15.51208262592,1014,0.0103,564.6429,6689,4035.7413,7703,0.39666,0.3923658872077,58509.7,5.8898429635595,3.2525265439991,8.7471520406638,7.5957029728677,3.890272606383,0.065,0.02,3111.5671,61165.7,0.62298045853208,8.4,14.296428571429,0.45,-0.2453,0.3609780832723,0.018,0.7874,0,9934,54819.7,0.11576130478642,0.10375095846201,3534,0.23497340425532,1791,0.11908244680851,0.15977445104697,8.7795803971813,2.3864742501415,0.44474734042553,3.6449268617021,924.1741,0.22899737027202,15040,0.40625541171733,0.56598334401025,321,120.09,6346,10772450,17989,4036,13.582680872151,17989,1.75,4.8582764098491
"4",2008-12-31,376,1.81,0.5669,0.78060953594563,2066,23353,2708,872,0.020687577252206,0.048999775230389,0.037339956322528,-378.1597,0.49391427059446,31.521648550725,1782,0.0074,257.5193,5344,3447.5747,7126,0.35487,NA,41278.9,4.8307665301346,3.3031047451388,7.7243450598802,5.7927168116756,2.3195605754102,0.055,0.04,2899.7344,42150.9,0.68522245535905,4.05,19.824691358025,0.47,0.0702,0.60998986268547,0.016,0.8031,0,8545,34799.9,0.21123623918459,0.17439722520753,1104,0.062036412677006,1270,0.071364351539672,0.23326019927536,16.844094869313,5.7312088274045,0.30029220049449,1.9554899977523,547.8403,0.15890599789271,17796,0.40346105558806,0.53436592449177,269,80.29,7351,17862013,12497,543,64.088213627993,12497,1.75,4.4760433259
"5",2007-12-31,383,2.51,0.5416,0.28339555904893,14259,40661,1755,1626,0.10582837059455,0.095991498907846,0.039989178819999,-77.0757,0.53175775480059,2.6980476505625,1246,0.093947384558778,766,6722,4091.4797,7968,0.39133,NA,13738.5,0.69232513606128,0.68992617887812,2.043811365665,1.7242093373494,0.81105732333668,0.025,0.17,3659.5555,15364.5,0.63242419025602,9.35,2.6139037433155,0.635,0.5044,0.78032741010214,0.014,0.8978,0,19844,8153.5,0.88440547004354,0.46932864720622,3022,0.17840486451384,439,0.025916523997875,0.25347452018531,0.5718142927274,1.079219060225,0.39683570458705,0.48134482555051,431.9243,0.10556675948011,16939,0.20618220822415,0.21193632092012,466,24.44,7211,11186090,19913,3054,2.6697773411919,19913,1.8,0.71562645551933
"6",2006-12-31,197,2.03,0.3654,0.21761807244336,1345.1,5389.8,250.5,907.5,0.022477503919631,0.15672221742509,0.16837359456752,-582.9212,0.63492063492063,26.450056640235,227.6,0.0062037708849789,246.25,2887.5,1660.0815,3115.1,0.42508,NA,39466.2,35.31019056992,2.2658544707139,13.667948051948,12.66932040705,6.8156808565754,0.115,0.195,2220.1027,40373.7,0.57488218486771,10.19,9.7850834151128,0.54,0.3141,0.4220644779651,0.012,0.9175,0,1117.7,39693.6,0.017133744482738,0.016845124425059,1500.7,0.25916587514032,290.3,0.050133839910198,0.16409009129073,29.509776224816,2.3000049252378,0.49866160089802,6.8549520766773,-560.0212,-0.33734560428982,5790.5,1.4852657242552,1.1156791316631,157.1,99.71,680.1,10047835,17417.8,2950.9,13.451353824257,17417.8,1.45,19.935660675489
"7",2005-12-31,186.8,1.78,0.3606,0.62831415707854,1843,5550.2,143,763.6,0.062202671880091,0.18271876719868,0.13758062772513,-49.9937,0.66555740432612,10.694875776398,251.5,0.021188747731397,233.5,2195.4,1209.1166,2446.9,0.44925,NA,11512.4,4.9295195683823,2.041893545698,5.2438735537943,4.7048919040419,2.7547558086669,0.065,0.13,1367.6103,12276,0.55653850311701,6.09,9.1510673234811,0.33,0.6883,0.25238508239376,0.018,0.8867,0,2335.4,11020,0.11397459165154,0.10231345715217,1030.4,0.24656026417171,143.2,0.034265750999019,0.22661102484472,5.979381443299,1.6453655040612,0.52532841999474,2.6369313967122,-158.4937,-0.13108226060388,4179.1,0.51773424252805,0.55908844275638,103.9,55.73,1256,2634100,5638.1,1454.3,7.5775287079695,5638.1,1.5,3.9612778315586
"8",2004-12-31,179,1.06,0.394,0.62651259829883,NA,5087,141,551.5,0.045759280463318,0.15259677374727,0.10841360330254,151.4584,0.53807106598985,66.668646864686,206.4,0.018590816136828,179,627.3228,266.1731,833.7228,0.5757,NA,11500.7,3.1388373362445,3.1821753686948,18.332984363633,13.794392225186,4.8487288671529,0.235,0.13,180.1147,12052.2,0.62891684686456,3.19,16.862068965517,0.015,0.0984,0.28257653351542,0.027,0.8994,0,3664,10100.3,0.1932516855935,0.16195383415476,151.5,0.063872844554998,289.2,0.12192756861588,1.1815181518152,158.80974842767,2.8369636963696,0.26448115434883,4.2583161178802,86.0584,0.32331753472443,2371.9,0.0726454927006,0.13019938123066,89.9,53.79,1951.9,888000,3614.1,151.5,66.668646864686,3614.1,1.15,3.8684641309581
"9",2003-12-31,183.4,1.16,0.4186,0.7417035582332,NA,4718.4,139.2,463.7,0.051349914730571,0.24093318092071,NA,-20.411,0.55422838031534,31.345161290323,230.8,0.026378264310208,183.4,1066.2804,448.8081,1297.0804,0.57909,NA,8566.5,3.3718412973313,4.4510547646264,8.0340030633593,6.6044479586616,3.8723894765392,0.21,0.1,560.8191,9030.2,0.69127246524246,2.1,18.052380952381,-0.01,-0.0849,0.25476510067114,0.146,0.928,0,2540.6,6801.9,0.3275996412767,0.24676086908374,217,0.098092396709158,157,0.070970075038423,0.84516129032258,8.7653350515464,1.4926267281106,0.482,3.0747219962029,-112.011,-0.24957436771503,2212.2,0.17665436635598,0.27963917525773,80.3,37.91,2228.3,773700,1924.6,217,31.345161290323,1924.6,1.05,3.0057584129415
"10",2002-12-31,144.9,1.18,0.481,NA,NA,4192.2,188,7.8,0.0008846847459934,0.0040827008636483,NA,456.3,0.5397,40.419200954085,260.4,0.007695734918785,52.164,639.1,290.145,899.5,0.54601,NA,8808.9,NA,NA,13.783289000157,9.7931072818232,4.6107825176655,0.255,0.095,362.545,8816.7,0.79209007203855,1.7,23.647058823529,NA,0.0322,0.5009633911368,0.214,0.8606,0,2747.4,6778.3,0.30072437041736,0.23119761361961,167.7,0.087778068568438,169.4,0.088667887987438,0.31105545617174,NA,1.5850667040818,0.33451975922533,3.5479193928291,-72.4,-0.24953039947001,1910.5,0.10560712273422,NA,68.3,40.2,2038.4,2258423,2374,NA,NA,2374,0.95,3.2062677440489
