"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-05-31,317,1.3,0.2648,0.1017,14727,29903,4007,2843,0.0934,0.0666,0.0951,23.28,0.8,14.16,2113,0.0062,177.52,3186,2061.12,5299,0.3531,0.3531,27597.2,2.04,0.63,8.66,5.21,0.65,0.14,0.055,143.84,30440.2,0.5768,NA,NA,-0.03,0.03,0.0801,0.076,0.768,0.0798,13551,28773.2,0.0579,0.0548,2032,0.0476,1256,0.0294,0.0886,1.95,1.01,0.0746,0.67,1917.28,0.9302,42680,0.1521,0.138,16099,91.72,1667,1450705,43471,2002.5,14.37,43471,1,1.86
"2",2011-05-31,317,1.67,0.3725,0.099674652469684,15220,27385,3434,2328,0.082408538204216,0.059230612660289,0.085010041993792,56.1461,0.67114093959732,17.094272844273,1973,0.0062,164.6999,2577,1625.2624,4550,0.36932,0.36931818181818,25921.5,1.7782465527886,0.62728988698788,10.058789289872,5.697032967033,0.65951302666395,0.21,0.08,108.1162,28249.5,0.56757348913639,NA,NA,-0.03,0.1209,0.2125606833405,0.076,0.7581,0.084937009311667,14577,26564.5,0.063430518172749,0.059647073399529,1554,0.039537960512925,1093,0.027808874414818,0.10598449163449,1.7453679369251,0.81401299258442,0.065565845715449,0.67587268471402,1517.1461,0.93347766784159,39304,0.11149498250669,0.10210249671485,11342,83.51,1685,2822049,41323,1771,14.999717673631,41323,1,1.67107364685
"3",2010-05-31,314,1.3,0.3728,0.12260974525125,13811,24902,2816,1952,0.062281639359954,0.056198537456095,0.078387278130271,67.8677,0.6706008583691,24.840793918919,1958,0.0051,149.9986,1998,1249.0097,3956,0.37487,0.37486800422387,29389.5,2.1313728334179,0.78965822988876,14.70945945946,7.4290950455005,0.84613059250302,0.16,0.07,323.1421,31341.5,0.57766444462292,NA,NA,0.04,-0.0277,0.16695517220796,0.077,0.7724,0.088346317564854,13789,29411.5,0.065620590585315,0.061579694654053,1184,0.034087637473369,949,0.02732193240053,0.12668804898649,2.1295706321048,1.5525496199324,0.05752288823631,0.84676397765878,925.8677,0.74128139311621,34734,0.090580153745739,0.085728766924915,9664,93.01,1930,2612491,37218,1404.6,20.939413356116,37218,1,1.9910742646592
"4",2009-05-31,312,1.12,0.3326,0.15935591338145,13626,24244,2459,2292,0.079583609665311,0.06456883680311,0.094538854974427,-77.9378,0.45700541190619,22.350298380222,1975,0.0052,136.3279,1951,1216.6436,3926,0.3764,NA,26507.9,1.9047136595531,0.81327544946923,13.586827268068,6.7518848700968,0.74676451531115,0.11,0.06,810.5814,28799.9,0.55341527800693,NA,NA,0.135,-0.0677,0.46260169022984,0.078,0.7887,0.14024088434252,13917,26216.9,0.098524234367908,0.089687811416012,1173,0.03304504606023,953,0.026847339211764,0.11622155157715,1.9240349332159,2.0318453072929,0.054962391187988,0.73856663943432,406.0622,0.33375605992441,35497,0.087421398289861,0.086085424922941,10841,83.45,2583,3517302,32594,822,31.89403892944,32594,0.95,1.7767845024369
"5",2008-05-31,311,0.62,0.2149,0.12144671585823,14526,25633,2947,1539,0.073142216223409,0.040550154138013,0.060039792455038,-19.0114,0.70730572359237,10.452059308072,1950,0.0071895424836601,136.84,2957,1858.0605,4907,0.37164,NA,19502.2,1.3005801933978,0.50246566871924,6.5952654717619,3.974363154677,0.51385134244987,0.095,0.065,880.0719,21041.2,0.52580657745875,2.45,26.183673469388,0.2,0.0674,0.29707876890975,0.08,0.764,0.159325868997,14995,19033.2,0.10549986339659,0.095431819477977,1821,0.047980396806577,839,0.02210628935789,0.075145524437122,1.3102850061958,1.1002167692708,0.07791215450689,0.50149395304719,977.9886,0.52634915850438,37953,0.12391200533511,0.12536142090045,11956,64.15,2008,2201063,38813,1725,11.033739130435,38813,0.95,1.2726019112133
"6",2007-05-31,308,0.73,0.1804,0.17291857273559,12656,24000,2882,1569,0.050542632662331,0.044556142443346,0.065375,-9.0734,0.8,13.698552821997,1742,0.0043384711819165,123.2,3372,2113.0975,5114,0.37334,NA,29474.1,2.1462244229229,0.80988376885665,8.7408362989324,5.7634141572155,0.83699948883967,0.1,0.065,982.1709,31043.1,0.5265,3.4,24.735294117647,0.2,0.0833,0.14266892527762,0.08,0.7473,0.051583333333333,13733,28397.1,0.093178528793433,0.085236332711617,2073,0.058868631794173,271,0.0076958028057023,0.059430776652195,2.2437658027813,1.3698552821997,0.095757369228148,0.80641506219117,1130.9266,0.53519851203653,35214,0.15387005898201,0.16379582806574,12565,84.1,2646,4264074,36393,2084,13.626247600768,36393,1.05,2.028695595347
"7",2006-05-31,306,0.7,0.1925,0.17501612556439,11511,22690,2518,1937,0.054436719070557,0.059980182077166,0.085368003525782,2.4911,0.8,17.865552560647,1550,0.003324019480637,110.16,3093,1926.6297,4643,0.3771,NA,33645.6,2.8000665778961,1.0155016298443,10.877982541222,7.2465216454878,1.041852975785,0.13,0.075,956.1386,35582.6,0.47465843984134,3.55,30.597183098592,0.165,0.0855,0.1085810882588,0.067,0.7429,0.056500661084178,12016,33140.6,0.073686052757041,0.068629049029582,1855,0.057441010714065,-96,-0.0029726884250944,0.059385444743935,2.8790374424464,1.3742732738959,0.095776305196012,1.0262153960488,970.4911,0.50372477539417,32294,0.16033869007989,0.16115020415255,12571,108.62,2442,1457100,33132,1942,17.065190525232,33132,1.05,2.550175589479
"8",2005-05-31,302,0.47,0.2026,0.22577519379845,NA,20404,2236,1039,0.03013708166308,0.033678000713105,0.050921387963145,-6.8413,0.4639684106614,21.419743069642,1462,0.0030959752321981,96.64,2469.7057,1545.7888,3931.7057,0.3741,NA,33436.8,2.9472719259586,1.0838157596188,13.538779134696,8.5044005201101,1.1387392296428,0.155,0.085,778.6301,34475.8,0.47260341109586,NA,NA,0.115,0.1804,0.15884575370969,0.0819,0.7227,0.067878847284846,11345,31679.8,0.088258132942758,0.08110036605387,1479,0.050369512651977,-135,-0.0045976228586997,0.065341446923597,3.3041093032958,1.3819189077188,0.084109447263563,1.0789020195484,767.1587,0.49628949204604,29363,0.13625286889643,0.15425531914894,11963,103.36,2796,836000,30851,1479,21.419743069642,30851,1.05,2.7838985788114
"9",2004-05-31,300,0.44,0.2119,0.3086122343629,NA,19134,1271,1046,0.031355949986361,0.040233864143396,NA,-3.0232,0.41529023124115,27.824205607477,1375,0.0028553946563329,84,3249.365,1982.2101,4624.365,0.38997,NA,32312.9,3.0550155998865,1.2428994538041,9.9443737468705,6.9875323422784,1.3076851477135,0.165,0.09,2089.2334,33358.9,0.47230061670325,NA,NA,0.095,0.0934,0.20806106870229,0.01,0.7464,0.1464408905613,10577,29771.9,0.12048273707758,0.10752752638726,1070,0.043302306758397,-58,-0.0023472278429786,0.078504672897196,3.7048158287705,1.6863154913622,0.1315,1.2048522865237,-107.0232,-0.053991868869353,24710,0.18740759487095,0.13315082130413,10728,98.06,3587,411800,25998,1215.2,24.499588545095,25998,1.1,2.8700765723135
"10",2003-05-31,298.5,0.67,0.2666,0.21676518001075,NA,15385,1511,538,0.023809313070339,0.023924934406546,NA,246,0.5538,24.79421686747,1351,0.0034811848857098,71.64,1471,912.5054,2822,0.37967,NA,22058.2,NA,NA,14.995377294358,7.8165131112686,0.98093120469605,0.15,0.06,752.5054,22596.2,0.56548586285343,NA,NA,NA,0.0915,0.24135188866799,NA,0.7132,0.069093272668183,8767,20579.2,0.098011584512517,0.089262796399395,830,0.036910214790768,376,0.016720772001601,0.086313253012048,2.823710208562,1.6529477911647,0.065415573442433,0.9151598701472,160,0.17534142235187,22487,0.10408411429223,0.11388583973655,9778,68.82,2017,1550944,22729,856.8,24.018674136321,22729,1.15,2.5160488194365
"11",2002-05-31,NA,0.53,0.265,0.2163,NA,13812,1615,331,0.017707352563554,0.01606250303295,NA,18.155,0.3494,23.292137931034,1364,0.0035,59.1038,2685.092,1678.1825,4049.092,0.375,NA,18361.8,NA,NA,6.8384249031318,4.5347944675004,0.89104673169311,0.115,NA,1409.0275,18692.8,0.60107153200116,NA,NA,0.11,0.0498,0.17866302917359,0,0.671,0.076962061975094,8020,16886.8,0.10694743823578,0.096614739364889,725,0.035182219634105,398,0.019313825399136,0.081522482758621,2.5801069518717,2.0254032983508,0.08143749696705,0.81946911243752,269.155,0.16038482107876,NA,0.2092496882793,0.11077158135982,9099,52.58,1806,2022700,20607,759,22.248748353096,21547,1.1,2.3307730673317
