"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,79.1,2.07,0.4833,0,1105.4,1568.5,30.4,542.5,0.0707,0.471,0.3459,-29.59,0.8,31.79,20.9,0,0,351,234.6,372,0.3309,0.3309,7132,12.67,5.18,20.34,19.2,6.19,0.21,0.175,254.69,7674.5,0.0306,3.95,24.59,0.255,0.255,0.2648,0.01,0.9121,0.1496,562.9,7674.5,0,0,241.4,0.2096,-151.2,-0.1313,0,6.94,1.51,0.3044,6.66,-20.09,-0.0856,1151.8,0.4168,0.2184,593.2,97.15,0,1319871,1377.2,275.1,27.9,1377.2,0.95,6.94
"2",2011-09-30,79.1,1.56,0.4749,0,1105.4,1568.5,30.4,542.5,0.065605688648099,0.47100191005383,0.34587185208798,0,0.47378395451674,34.254763877382,20.9,0,0,350.6,234.604,371.5,0.33085,0.33093126385809,7726.6,13.726416770297,6.7082826879667,22.038220193953,20.798384925976,6.7082826879667,0.275,0.235,225.104,8269.1,0.030602486452024,3.6,29.477777777778,0.255,0.3259,0.35735903524701,0.01,0.8741,0.14963340771438,562.9,8269.1,0,0,241.4,0.20958499739538,-151.2,-0.131272790415,0,7.4806404921295,1.2456277773593,0.30439312380622,7.1792845980205,9.5,0.040493769948243,1151.8,0.41677738497069,0.21838248597793,593.2,106.12,0,2903505,1151.8,241.4,34.254763877382,1151.8,0.9,7.4806404921295
"3",2010-09-30,80.4,1.3,0.4803,0,1003.7,1362.2,12.6,428.5,0.039161388789881,0.48582766439909,0.31456467479078,0,0.44243181344993,72.367063492063,23.8,0,0,230,146.3007,253.8,0.36391,0.36363636363636,10513.4,18.277816411683,11.919954648526,45.710434782609,41.423955870764,11.919954648526,0.295,0.205,157.5007,10941.9,0.02510644545588,2.7,48.207407407407,0.265,0.3164,0.50633972545321,0.01,0.9235,0.17229481720746,575.2,10941.9,0,0,151.2,0.17142857142857,-109.7,-0.12437641723356,0,10.901564212414,2.4531207963411,0.26077097505669,12.405782312925,-11.2,-0.076554657633217,882,0.25434753129346,0.1506426222975,480,130.16,0,2262207,882,151.2,72.367063492063,882,0.85,10.901564212414
"4",2009-09-30,79.1,1.16,0.4961,0,718.3,939.2,27.9,190.2,0.046063306773873,0.29252537680714,0.20251277683135,-0.2308,0.27413827857287,55.5733512786,23.6,0,0,104.6,65.7432,128.2,0.37148,NA,3938.9,7.4586252603674,6.0320061255743,37.656787762906,30.724648985959,6.0579821593356,0.145,0.12,61.674,4129.1,0.050681431005111,1.35,39.237037037037,NA,0.3195,0.48861111111111,0.011,0.9351,0.24691226575809,528.1,4129.1,0,0,74.3,0.11427253152876,-53.6,-0.082436173485082,0,5.7484338020326,3.8326449157655,0.16087357736081,6.3505075361427,4.0692,0.061895058491254,650.2,0.12449004355236,0.10343867464848,396.6,52.97,0,1829776,653,91.6,45.077510917031,653,0.85,5.7484338020326
"5",2008-09-30,79.1,1.33,0.5019,0,718.3,939.2,27.9,190.2,0.11005670639972,0.29252537680714,0.20251277683135,0,0.31878860330743,23.259757738896,23.6,0,0,104.6,65.7432,128.2,0.37148,NA,1538,2.9123272107555,2.3654260227622,14.703632887189,11.996879875195,2.3654260227622,0.115,0.175,61.4432,1728.2,0.050681431005111,1.05,21.771428571429,NA,0.3195,0.33893557422969,0.012,NA,0.24691226575809,528.1,1728.2,0,0,74.3,0.11427253152876,-53.6,-0.082436173485082,0,2.4059585131561,2.0225876294693,0.16087357736081,2.6579513995694,4.3,0.065406011925919,650.2,0.12449004355236,0.10343867464848,396.6,22.86,0,2423797,650.2,74.3,23.259757738896,650.2,1,2.4059585131561
"6",2007-09-30,81.6,2.4,0.424,0,616.5,729.5,21.4,374.2,0.1543029153437,0.9497461928934,0.51295407813571,3.6101,0.50943396226415,36.743939393939,11.6,0,0,90.1,55.2863,101.7,0.38639,NA,2050.9,8.4643004539827,3.9012744911547,22.762486126526,20.166175024582,5.2053299492386,0.2288,NA,41.8762,2425.1,0.041124057573681,0.88,27.852272727273,NA,0.3252,0.28862653579518,NA,0.9415,0.12597669636737,242.3,2425.1,0,0,66,0.16751269035533,-10.8,-0.02741116751269,0,3.9336577453366,1.6059414070778,0.22868020304569,6.155076142132,13.4101,0.24255665908428,394,0.22817276516715,0.10705596107056,215.8,24.51,0,2899781,525.7,77.1,31.453955901427,525.7,1.35,3.9336577453366
"7",2006-09-30,40.8,2.41,0.494,0,616.5,729.5,21.4,374.2,0.12231956066946,0.9497461928934,0.51295407813571,0,0.51821862348178,46.351515151515,11.6,0,0,90.1,55.2863,101.7,0.38639,NA,2685,11.081304168386,6.8147208121827,29.800221975583,26.401179941003,6.8147208121827,NA,NA,45.4863,3059.2,0.041124057573681,2.01,36.92039800995,NA,0.3252,0.31905961376994,NA,0.9619,0.12597669636737,242.3,3059.2,0,0,66,0.16751269035533,-10.8,-0.02741116751269,0,4.9622060016221,NA,0.22868020304569,7.7644670050761,9.8,0.17725922901532,394,0.22817276516715,0.10705596107056,215.8,74.21,0,482997,394,66,46.351515151515,394,1.6,4.9622060016221
"8",2005-09-30,38.6,3.11,0.6379,0,NA,537.5,9.3,236.2,0.10830391122931,0.83937455579247,0.43944186046512,0,0.97507446308199,42.183752417795,6.8,0,0,71.8794,46.501,78.6794,0.35307,NA,1944.7,8.5293859649123,6.910803127221,27.055024357452,24.716749382049,6.910803127221,NA,NA,44.001,2180.9,0.030139534883721,1.91,29.942408376963,0.565,0.4812,0.25174677112005,NA,0.9854,0.10232558139535,228,2180.9,0,0,51.7,0.18372423596304,-5.2,-0.018479033404407,0,4.6981904351573,NA,0.25543511016347,7.7501776830135,2.5,0.053762323853477,281.4,0.20395160578596,0.11137440758294,144.4,57.19,0,467716,281.4,51.8,42.102316602317,281.4,1.95,4.6981904351573
"9",2004-09-30,34.8,2.69,0.6983,0,NA,362.9,5.8,140.5,0.082530545112782,0.82067757009346,NA,0,0.77044250322211,51.587878787879,5.4,0,0,31.6891,31.6891,37.0891,0,NA,1561.9,9.3470975463794,9.1232476635514,49.288209959759,42.112080308187,9.1232476635514,NA,NA,31.2891,1702.4,0.033066960595205,0.94,51.159574468085,NA,0.1642,0.39169982944855,NA,0.9978,0.13805456048498,167.1,1702.4,0,0,33,0.19275700934579,-15.8,-0.092289719626168,0,5.5344603381014,NA,0.1851,9.9439252336449,0.4,0.012622628839172,171.2,0.18964165170556,0.1072821846554,105.5,48.09,0,396067,171.2,33,51.587878787879,171.2,1.9,5.5344603381014
"10",2003-09-30,27.4,3.81,1.1599,0,NA,148.2,2.6,44.9,0.064940700028927,0.38740293356342,NA,0,0.7228,168.63414634146,5.2,0,0,4.2,3.4748,9.4,0.17267,NA,646.5,NA,NA,153.92857142857,68.776595744681,5.5780845556514,NA,NA,6.0748,691.4,0.068151147098515,0.38,65.368421052632,NA,0.0051,0.45584725536993,NA,0.566,0.16329284750337,65.5,691.4,0,0,4.1,0.035375323554789,-11.1,-0.095772217428818,0,6.2626811594203,NA,0.036238136324418,5.9654874892148,-2.6,-0.74824751797665,115.9,0.053050167938931,0.03713768115942,84.7,24.84,0,386967,115.9,4.1,168.63414634146,115.9,2.1,9.8702290076336
