"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,7.4,0.79,0.488,0.6041,157.1,1883.6,0,28.8,0.0864,0.0153,NA,0.4,34.67,0,0,0,61,61.3,61,0,0,304.5,0.83,4.97,4.97,0.05,61.3,333.3,0,1.33,9.21,NA,NA,0.542,NA,0.1359,0.0013,368,93.6,2.5609,0.7192,2.7,0,0,0.6,6.93,0,0,NA,0.1666,0.0172,14.5,12.25,239.7,9639,NA,9.4,9.96,NA,0.9,0.84
"2",2010-12-31,7.4,1.38,0.5787,0.62720716239741,149.9,1935.7,0,24.3,0.085956844711709,0.012553598181536,NA,0.38880248833593,4.4202898550725,0,0,0,74.5,57.5796,74.5,0.22712,0.23333333333333,258.4,0.68395976707253,3.4684563758389,3.4684563758389,0.05,57.5796,282.7,0,NA,NA,NA,NA,0.41397849462366,NA,0.1138,0.0018597923231906,377.8,30.5,8.2688524590164,0.89211177927131,6.9,0,0,0.20346897931955,0.88405797101449,0,0,NA,0.15240751720487,0.04603068712475,22.4,4.49,252.2,6174,NA,1.9,16.052631578947,NA,0.9,0.70305894056205
"3",2009-12-31,7.4,1.2,0.6868,0.73001612531675,117.2,2171.6,0,35.8,0.1012729844413,0.016485540615215,NA,0.32760629004077,NA,0,0,0,66.1,66.1,66.1,0,NA,317.7,0.79763996987196,4.8063540090772,4.8063540090772,0.05,66.1,353.5,0,NA,NA,-0.305,NA,0.40079893475366,NA,0.1137,0.0023024498065942,398.3,36.6,8.6584699453552,0.8964639321075,-10.7,0,NA,0.31228668941979,NA,0,0,NA,0.16595531006779,-0.091296928327645,33.2,4.88,316.9,10571,NA,-7,NA,NA,0.9,0.81432849573831
"4",2008-12-31,7.4,1.22,0.6583,0.66607142857143,168.3,2202.2,0,87.7,0.21390243902439,0.039823812551085,NA,0.23089776697554,16.886363636364,0,0.0397,2.9497,68.5,68.5,68.5,0,NA,322.3,0.77420129714149,4.7051094890511,4.7051094890511,0.05,NA,410,0,NA,NA,-0.055,NA,0.49820392373584,NA,0.1713,0.026791390427754,416.3,74.3,4.5181695827725,0.81878048780488,4.4,0,0.67038863636364,0.44147355912062,3.3772727272727,NA,NA,NA,0.16454479942349,0.026143790849673,39,10.22,335.7,13997,NA,4.3,17.279069767442,NA,0.95,0.81349206349206
"5",2007-12-31,7.4,0.99,0.517,0.65243399339934,168.5,2068.2,0,44.9,0.092691990090834,0.021709699255391,NA,0.20116054158607,10.775641025641,0,0.058108268887567,9.768,61.8,48.4957,61.8,0.21528,NA,439.5,0.99909070243237,7.1116504854369,7.1116504854369,0.05,NA,484.4,0,0.63,37.968253968254,0.01,NA,0.3429158110883,NA,0.1652,0.029736002320859,439.9,168.1,1.8816180844735,0.65297274979356,15.6,0,0.62615384615385,0.99762611275964,2.1551282051282,NA,NA,NA,0.11024254603319,0.092581602373887,45.2,23.92,316.3,3244,NA,4.3,39.093023255814,NA,0.65,0.99917491749175
"6",2006-12-31,7.9,0.75,0.1719,0.33033033033033,178.4,1824.4,0,115.6,0.40292784942489,0.063363297522473,NA,0.65154159394997,14.518248175182,0,0.052428355957768,10.428,51.3,41.1754,51.3,0.19736,NA,171.3,1.1359416445623,3.3391812865497,3.3391812865497,0.05,NA,286.9,0,2.32,11.594827586207,0.005,NA,0.14308811641067,NA,0.0701,0.028557333918,150.8,198.9,0.44243338360985,0.30672708260718,13.7,0,0.76116788321168,1.1149103139014,2.9036496350365,NA,NA,NA,0.27304663129973,0.076793721973094,32.6,26.9,88,1339,NA,15.4,12.915584415584,NA,0.7,1.0769519519519
"7",2005-12-31,7.4,1.18,0.1888,0.33275638251839,154.2,1672.6,0,75,0.22482014388489,0.044840368288891,NA,0.50847457627119,16.246835443038,0,0.038052201012856,9.768,47.5,37.3725,47.5,0.21321,NA,258.6,1.6566303651505,5.4442105263158,5.4442105263158,NA,NA,333.6,0,NA,NA,0.015,NA,0.11671447984297,NA,0.145,0.022300609829009,156.1,256.7,0.29957148422283,0.23051558752998,15.8,0,0.61822784810127,1.6647211413748,NA,NA,NA,NA,0.23941399743754,0.10246433203632,22.4,34.13,76.9,10441,NA,16,16.04375,NA,0.6,1.4435309389874
"8",2004-12-31,6.8,0.56,0.1814,0.29468599033816,NA,1397.1,0,42.4,0.15351194786387,0.030348579199771,0,0.61742006615215,16.514925373134,0,0.042940793754066,8.976,NA,NA,NA,0.18416,NA,233.8,1.6247394023627,NA,NA,NA,NA,276.2,0,2.28,13.482456140351,0.005,0,0.18211778191718,NA,0.1262,0.0093049889055901,143.9,221.3,0.24807953004971,0.19876900796524,13.4,0,0.66985074626866,1.6841704718417,NA,0,NA,NA,NA,0.10197869101979,15.9,30.74,54.9,12322,NA,14.8,14.952702702703,0,0.65,1.4825550187869
"9",2003-12-31,6.7,0.34,0.1667,0.30836522689994,NA,1318.6,0,99.6,0.3029197080292,NA,0,0.40791841631674,20.953846153846,0,0.032616753150482,8.844,NA,NA,NA,0.20614,NA,229.2,2.7515006002401,NA,NA,NA,NA,328.8,0,2.2,18.395454545454,0.015,0,0.12928022361985,NA,0.1218,0,83.3,272.4,0.20704845814978,0.17153284671533,13,0,0.68030769230769,2.1533596837945,NA,0,NA,NA,NA,0.10276679841897,16.9,40.47,56.4,912,NA,12.8,21.28125,0,0.65,1.7977036632039
"10",2002-12-31,6.8,-0.03,0.2809,0.31256830601093,NA,1275.6,0,44.1,0.15201654601861,NA,0,-0.0243,18.484126984127,0,0.038540145985402,8.976,40.4,31.0716,40.4,0.2309,NA,246,NA,6.0891089108911,6.0891089108911,NA,31.0716,290.1,0,NA,NA,NA,0,0.097744360902256,NA,0.1028,0,138.9,232.9,0.24559896951481,0.19717338848673,12.6,0,0.71238095238095,1.8513513513513,NA,0,0,0,0.22369791216703,0.10015898251192,22.5,34.5,57.2,2395,0,12.4,18.782258064516,0,0.6,1.7710583153348
