"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-01,52.4,0.93,0.4108,0,529.5,711.5,29.1,307.5,0.3284,0.2246,0.4322,5.68,0.57,11.04,27,0.0134,12.58,135,85.13,162,0.3708,0.3709,629,2.83,0.44,4.65,3.88,0.46,0.13,0.095,77.35,936.5,0.1785,1.75,10.82,0.025,-0.025,0.2008,0.026,0.9573,0.0128,222,936.5,0,0,84.8,0.0619,106.6,0.0778,0.1483,1.77,0.85,0.0988,0.68,7.78,0.0914,1369.3,0.3835,0.1602,344.8,18.93,0,682074,1442.3,84.8,11.04,1442.3,1.1,1.77
"2",2011-03-01,53.9,1.4,0.5821,0,490.2,664.8,19.1,299.3,0.30226216925874,0.24353132628153,0.45021058965102,4.6887,0.45095344442536,14.227011494253,27,0.0104,10.2981,110.8,69.2733,137.8,0.37479,0.37522441651706,690.9,3.6191723415401,0.53244451294698,6.235559566787,5.0137880986938,0.56216436126933,0.145,0.04,72.4846,990.2,0.19028279181709,1.62,11.907407407407,-0.05,0.0566,0.22487046632124,0.026,NA,0,190.9,990.2,0,0,69.6,0.056631407648495,84,0.068348250610252,0.14796091954023,2.0199918400653,0.9811732065002,0.090154597233523,0.80569568755085,-3.2113,-0.046357131702473,1229,0.36287725510739,0.14198286413709,303.1,19.29,0,827615,1297.6,77.8,12.727506426735,1297.6,1.05,2.0199918400653
"3",2010-03-01,54.4,1.68,0.8267,0,442.1,610.3,8.5,234.5,0.25564155674261,0.20001705902422,0.38423726036376,3.7362,0.33264787710173,19.517021276596,30,0.0092,8.4392,68.2,46.7722,98.2,0.31419,0.31486880466472,682.8,3.2890173410405,0.5601772089589,10.011730205279,6.9531568228106,0.58239508700102,0.205,0.01,64.5361,917.3,0.22267737178437,1.33,12.924812030075,-0.08,-0.062,0.33287718097845,0.038,0.991,0,207.6,917.3,0,0,47,0.040088706925964,94.2,0.080348004094166,0.17955659574468,2.0748699389278,0.95204981837052,0.058171272603207,0.78241214602525,-17.7638,-0.37979401991509,1172.4,0.22529981695568,0.10631078941416,297.3,17.19,0,974108,1218.9,68,13.489705882353,1218.9,1.1,2.0748699389278
"4",2009-03-01,54.9,1.49,0.8354,0,424.4,598.7,14.7,115.9,0.19587628865979,0.091816525390161,0.19358610322365,-12.9705,0.20110126885324,18.665615141956,37.5,0.011,6.5087,52.2,30.1236,89.7,0.42292,NA,475.8,1.542301458671,0.40943120213407,9.1149425287356,5.304347826087,0.37693099897013,0.095,-0.015,65.8941,591.7,0.28912644062135,NA,NA,-0.01,-0.1477,0.54413542926239,0.04,0.9084,0,308.5,591.7,0,0,31.7,0.025112889170562,163.4,0.12944624891072,0.20532176656151,1.3942035815269,1.9648015938901,0.041353085637329,0.46874752436029,-35.7705,-1.1874590898788,1262.3,0.097645303079417,0.074693685202639,323.7,12.55,0,696009,1162.1,35.2,16.809659090909,1162.1,1.05,1.3942035815269
"5",2008-03-01,47.3,1.03,0.7216,0,420.9,643,29.4,72.9,0.24235372340426,0.057077983088005,0.11337480559876,-1.2534,0.24390243902439,19.282051282051,41.2,0.018869680851064,5.676,29.2,14.8701,70.4,0.49075,NA,227.9,0.65488505747126,0.17706471913604,7.8047945205479,3.2372159090909,0.17843720638898,0.005,0.005,27.9235,300.8,0.33872472783826,0.67,8.3582089552239,0.165,-0.0494,0.78720345075485,0.019,0.9217,0.0093312597200622,348,300.8,0,0,15.6,0.012214218603195,161.7,0.1266050735985,0.36384615384615,0.71465906391067,38.564102564103,0.022862511744441,0.23551518947698,-13.0534,-0.87782800577166,1277.2,0.042730172413793,0.037063435495367,342.2,5.6,0,406540,1287.1,27.4,10.978102189781,1287.1,1.1,0.71465906391067
"6",2007-03-01,47.2,1.44,0.3991,0,449.3,656.6,74,62.9,0.43619972260749,0.047003437453296,0.09579652756625,1.2004,0.36081182660987,3.8351063829787,39.6,0,0,63.9,41.8296,103.5,0.34539,NA,81.3,0.21040372670807,0.06117381489842,1.2723004694836,0.78550724637681,0.060753250635182,0.015,0.03,6.2292,144.2,0.37694182150472,0.6,2.9166666666667,0.265,0.043,0.68571428571429,0.033,0.8556,0.021321961620469,386.4,144.2,0,0,37.6,0.028097444328202,174.6,0.13047377073681,0,0.32094369018473,2.5567375886525,0.047750709908833,0.10775668808848,35.6004,0.85108097049647,1338.2,0.10825460403727,0.083685733363009,342.2,1.75,0,2334503,1329,25.5,5.6549019607843,1329,0.9,0.32094369018473
"7",2006-03-01,48,1.47,0.3275,0,428.5,627.8,70.1,96.6,0.14458913336327,0.073966309341501,0.15387065944568,-0.2511,0.41526717557252,10.74115755627,34.6,0.0071845532105972,4.8,97.5,60.9628,132.1,0.37474,NA,571.5,1.7219041880084,0.43682641595964,5.8615384615385,4.3262679788039,0.43759571209801,0.12,NA,25.714,668.1,0.35234151003504,0.78,18.307692307692,0.27,0.136,0.32651622002821,NA,0.9372,0.022300095571838,331.9,668.1,0,0,62.2,0.047626339969372,142.6,0.10918836140888,0.077170418006431,1.5591598599767,0.89509646302251,0.074655436447167,0.51156202143951,35.2489,0.5782024096439,1306,0.183678366978,0.14515752625438,313.9,14.28,0,728417,1308.3,41.1,16.255474452555,1308.3,0.85,1.5591598599767
"8",2005-03-01,48.7,0.76,0.3562,0,NA,575,58.2,113.2,0.13426639781758,0.089281489076426,0.19686956521739,10.5363,0.42672655811342,13.753670473083,27.2,0.0057405281285878,4.87,96.8308,60.5183,124.0308,0.37501,NA,729.9,2.6755865102639,0.57567631516681,7.5378877225479,5.8848267092281,0.62555707919095,0.15,NA,18.982,843.1,0.32747826086956,1.24,14.048387096774,0.165,0.167,0.27535441657579,NA,0.8809,0.019652173913044,272.8,843.1,0,0,61.3,0.052536852931094,121.6,0.10421666095303,0.079445350734095,2.1841968911917,0.91691136487221,0.082988378471032,0.7225745629071,41.5363,0.6863428058888,1166.8,0.22184130018915,0.15880829015544,271.9,17.42,0,398630,1267.9,60.6,13.912541254125,1267.9,0.8,2.1841968911917
"9",2004-03-01,48,0.83,0.4388,0,NA,425.6,46.2,95.9,0.11033133916245,0.089002320185615,NA,10.0714,0.37830446672744,18.69247311828,18.4,0,0,92.7732,57.473,111.1732,0.3805,NA,773.3,3.4006156552331,0.71767981438515,8.335382237045,6.955813717318,0.78435946850593,0.152,NA,19.6015,869.2,0.28782894736842,1.21,15.165289256198,0.06,0.2491,0.22260167649798,NA,0.8773,0,227.4,869.2,0,0,46.5,0.047165026878994,108.4,0.10995029921899,0,2.6885245901639,1.2297679683079,0.0941,0.88163099705852,37.8714,0.65894338565703,985.9,0.25273962711082,0.14382926074853,224.5,18.35,0,344487,1077.5,0,NA,1077.5,0.9,2.6885245901639
"10",2003-03-01,23,1.01,0.5427,0,NA,350.1,26,73.9,0.10628505681001,0.097596407818278,NA,15.2,0.409,34.420792079208,17.5,0,0,31.8,19.8887,49.3,0.37457,NA,621.4,NA,NA,19.540880503145,12.604462474645,0.82065504490227,0.137,NA,11.3887,695.3,0.27135104255927,1.76,16.448863636364,NA,0.1389,0.5540119760479,NA,0.9467,0,185.6,695.3,0,0,20.2,0.026677231907026,91.7,0.12110406761754,0,2.6793834296725,2.5124665751247,0.041996830427892,0.91825145272055,8.5,0.42737891927838,757.2,0.10715880387931,0.077842003853565,183.1,28.95,0,271360,860.9,31.4,22.143312101911,860.9,0.85,3.3480603448276
