"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,37.1,1.89,0.3703,0.0547,264.6,591.1,8.7,51.2,0.1128,0.0413,0.0866,4.61,0.8,292.53,20.1,0.0169,7.42,9,3.72,29,0.6,0.8951,402.9,1.76,0.3,43.32,13.7,0.32,0.0245,10.51,454.1,0.0711,0.34,35.76,0.03,0.06,0.194,NA,0.9634,0.2629,228.7,438.8,0.0349,0.0337,1.5,0.0012,58.7,0.0473,0.5496,1.66,119.4,0.0075,0.35,-6.79,-1.8251,1240,0.0163,0.0057,172.1,12.16,15.3,123525,1337.4,13.5,32.5,1337.4,1.05,1.62
"2",2010-12-31,37.9,1.34,0.4088,0.087514585764294,312.8,640,7.1,86.3,0.19489611562782,0.077867003518903,0.13484375,5.7669,0.5809686888454,29.485714285714,17.4,0.0182,7.513,25.3,17.562,42.7,0.30585,0.30693069306931,356.5,1.3898635477583,0.28822055137845,14.090909090909,8.3489461358314,0.32166380943788,0.0967,22.0951,442.8,0.068125,NA,NA,0.475,-0.0159,0.2970297029703,NA,0.9736,0.2928125,256.5,412.8,0.072674418604651,0.067750677506775,14,0.012631958855905,49.7,0.044843453938464,0.53664,1.3196930946292,3.0491948589157,0.022827754218172,0.37246232969413,-4.5331,-0.25812168967782,1108.3,0.068467816764133,0.044757033248082,163.4,10.72,30,127660,1236.9,3,137.6,1236.9,0.95,1.291715285881
"3",2009-12-31,38,1.18,0.3911,0.024234693877551,306,574.9,9.5,127.8,0.25458167330677,0.11320754716981,0.22229953035311,-2.6076,0.63922270519049,14.289017341041,13.5,0.0153,7.5643,56.5,34.8842,70,0.38258,0.38214285714286,374.2,2.0139935414424,0.35624523990861,6.6230088495575,5.3457142857143,0.33147311542209,0.07,41.4919,502,0.060358323186641,0.37,35.594594594595,0.53,-0.1351,0.20783007080383,NA,0.9771,0.20803618020525,185.8,494.4,0.01537216828479,0.015139442231076,34.6,0.030649304632828,37.5,0.033218176986447,0.21862196531792,1.6156862745098,2.0412881915772,0.050048719992913,0.43794844538932,-6.6076,-0.18941587340286,1128.9,0.18775150699677,0.11307189542484,169,13.17,7.6,137429,1050.4,15.7,31.490445859873,1050.4,1,1.6007653061225
"4",2008-12-31,38.7,1.06,0.3802,0.03600269179004,286.5,598.5,14.6,117,0.23665048543689,0.088069251035002,0.19548872180451,-2.9377,0.42083114150447,9.7323943661972,12.7,0.0158,7.6425,79.1,48.7707,91.8,0.38343,NA,377.4,2.0943396226415,0.3139244718017,4.7711757269279,4.1111111111111,0.28407978923598,0.07,49.8083,494.4,0.059983291562239,0.88,14.022727272727,0.44,0.2491,0.24007561436673,NA,0.9692,0.17911445279866,180.2,483.7,0.022121149472814,0.021642394822006,49.7,0.037410613473843,30.9,0.023259315016936,0.15377183098591,1.6883071553229,1.3903420523139,0.059540835528792,0.36409484380881,-1.0377,-0.021276130201715,1328.5,0.27064754162042,0.17347294938918,182.2,12.34,10.7,281730,1202.2,39.3,12.307888040713,1202.2,1,1.6635262449529
"5",2007-12-31,40.3,1.49,0.3895,0.0056796667928815,262.6,547.1,11.1,139.6,0.36592398427261,0.12582244254169,0.25516358983732,-4.8875,0.45186136071887,11.692307692308,6.9,0.01908947368421,7.254,49.9,30.8312,56.8,0.38214,NA,241.9,1.9429718875502,0.18712771718109,4.8476953907816,4.2588028169014,0.21802613789996,0.135,31.5187,381.5,0.039115335404862,1.2,8.8833333333333,0.185,0.0598,0.43883583447021,NA,NA,0.12538841162493,124.5,380,0.0039473684210526,0.0039318479685452,32.5,0.029292474087427,29.6,0.026678684091933,0.2232,1.4470677837015,0.86609686609687,0.044975214060388,0.34249662009914,-0.6875,-0.022299962811785,1109.5,0.24764027309237,0.12376237623762,147.2,10.66,1.5,339123,1292.7,45.9,8.2788671023965,1292.7,1.1,1.4445285876562
"6",2006-12-31,40.7,1.98,0.3603,0,242.7,460.9,8.1,90.3,0.16712937257079,0.085470894462849,0.19592102408331,-1.7867,0.53288925895087,18.825783972125,5.3,0.013559133814547,7.326,44.4,27.3664,49.7,0.38364,NA,450,2.9527559055118,0.41501429493683,10.135135135135,9.0543259557344,0.4259346900142,NA,26.3531,540.3,0.033629854632241,0.84,13.619047619048,-0.075,0.1528,0.25342465753425,NA,0.9417,0.13668908656976,152.4,540.3,0,0,28.7,0.027165168007572,67.9,0.064268812115476,0.25526132404181,2.2262051915946,NA,0.042025556081401,0.51140558447705,1.0133,0.037028166497619,1056.5,0.1795694488189,0.11825298722703,126.6,11.44,0,175341,1084.3,31.3,17.261980830671,1084.3,1.2,2.2262051915946
"7",2005-12-31,40,1.93,0.3495,0,213.5,408.7,6.2,55.6,0.10796116504854,0.061812117843246,0.13604110594568,-10.4083,0.43490701001431,83.064516129032,4.8,0.010873786407767,5.6,32.6,16.3,37.4,0.6,NA,459.4,2.9094363521216,0.44819512195122,14.092024539877,12.283422459893,0.51072818232351,NA,25.3083,515,0.031318815757279,0.7,18.057142857143,-0.31,0.0778,0.27804878048781,NA,0.857,0.15414729630536,157.9,515,0,0,6.2,0.0068927181767649,74.6,0.082934963868816,0.90322580645161,2.4121779859485,NA,0.036242356864925,0.57254030016676,-9.0083,-0.5526587708918,899.5,0.10322989233692,0.02903981264637,114.6,12.64,0,209500,1025,15.7,32.802547770701,1025,0.95,2.4121779859485
"8",2004-12-31,39.2,0.89,0.4313,0.039467849223947,NA,383.1,5,32.6,0.084587441619097,0.036266548003115,0.085095275385017,6.8115,0.41270577324368,36.911764705882,4.7,0,0,23.5762,13.0181,28.2762,0.44783,NA,352.8,1.8289269051322,0.39247969740794,14.964243601598,12.476924056273,0.43045387994144,NA,5.9066,385.4,0.033933698773166,NA,NA,-0.29,0.017,0.2360248447205,NA,0.7612,0.26128948055338,192.9,376.5,0.023638778220451,0.023092890503373,10.2,0.012445095168375,70.4,0.085895558809175,0,1.7382271468144,NA,0.028765495363592,0.45937042459736,7.1115,0.54628048706024,819.6,0.067486108626231,0.047091412742382,108,9.23,8.9,104700,898.9,13.1,28.740458015267,898.9,1,1.7090909090909
"9",2003-12-31,38.2,0.79,0.4527,0.049265750828991,NA,351.1,3.4,10.1,0.032299328429805,0.012526354954732,NA,2.0377,0.34901700905677,NA,5.3,0,0,17.3485,17.3485,22.6485,0,NA,302.6,1.5054726368159,0.37529455537641,17.442430181284,13.360708214672,0.38547770700637,NA,17.2108,312.7,0.037596126459698,NA,NA,-0.195,-0.0494,0.24409448818898,NA,0.6026,0.29621190544005,201,302.3,0.034402911015548,0.033258714422769,-1,-0.0012738853503185,75.1,0.095668789808917,NA,1.5062282012955,NA,0.0221,0.38509554140127,0.1377,0.0079398923785879,785,0.086310945273632,-0.0049825610363727,114.5,7.69,10.4,82600,806.3,6.7,45.119402985075,806.3,0.8,1.4812884888678
"10",2002-12-31,37.9,0.7,0.7581,0.057011494252874,NA,366.5,5.3,6.1,0.028558052434457,0.007445380202612,NA,6.8,0.202,36.581818181818,7,0,0,16,8.4438,23,0.47226,NA,207.5,NA,NA,12.96875,9.0217391304348,0.25326498230196,0.13,10.1438,213.6,0.043929058663029,NA,NA,NA,-0.4759,0.53974895397489,NA,0.3849,0.30941336971351,211.4,201.2,0.061630218687873,0.058052434456929,5.5,0.0067130477236665,71.4,0.087147564994508,0,0.98098488542175,2.813986013986,0.019528866105212,0.24557549127304,-1.7,-0.20133020047751,819.3,0.03994247871334,0.026816187225743,127.1,5.3,12.4,140473,795.8,2.6,77.384615384615,795.8,0.7,0.98155156102176
