"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.8,0.6,0.17,0.5229,189.3,2022.4,0,29.1,0.0641,0.0144,NA,0.8,12.64,0,0.0357,8.8,52,41.3,52,0.2026,0.2008,424.9,1.16,8.2,8.2,0.07,41.3,454,0,2.31,12.26,0.075,NA,0.1178,NA,0.3642,0,367.7,246.5,0.8418,0.457,19.5,0,0.4356,1.3,1.81,0,0,NA,0.1123,0.103,10.1,28.32,207.5,8081,NA,20.2,12.2,NA,0.55,1.14
"2",2010-12-31,8.7,0.63,0.2433,0.55061657585317,156.7,1711,0,18.1,0.042260098062106,0.010578609000585,NA,0.51376900945335,12.842391304348,0,0.0342,8.0815,49.5,38.312,49.5,0.22602,0.22689075630252,410.2,1.2407743496673,8.2868686868687,8.2868686868687,0.1,38.312,428.3,0,2.28,11.543859649123,0.065,NA,0.15754495699765,NA,0.3494,0,330.6,236.3,0.81252644942869,0.44828391314499,18.4,0,0.4392097826087,1.5079770261646,1.2842391304348,0,0,NA,0.11588629764065,0.11742182514359,10,26.32,192,14053,NA,18.9,12.502645502645,NA,0.5,1.2282764554058
"3",2009-12-31,7.2,0.44,0.2497,0.58168761220826,116.5,1675.2,0,33.1,0.089314624932542,0.019758834765998,NA,0.50060072086504,15.451851851852,0,0.0306,6.3832,41.6,33.7771,41.6,0.18805,0.18674698795181,337.5,1.3753056234719,8.1129807692308,8.1129807692308,0.1,33.7771,370.6,0,2.38,12.084033613445,0.04,NA,0.13114119922631,NA,0.3368,0,245.4,208.6,0.77660594439118,0.43712898003238,13.5,0,0.47282666666667,1.7905579399142,1.5451851851852,0,0,NA,0.13764107579462,0.11587982832618,11.8,28.76,162,19101,NA,16.5,12.642424242424,NA,0.5,1.3307001795332
"4",2008-12-31,7.1,0.49,0.2584,0.55337690631808,102.5,1261.6,0,20.9,0.068033854166667,0.016566265060241,NA,0.3405572755418,13.861538461538,0,0.032,5.7664,36,26.5284,36,0.2631,NA,286.3,1.3724832214765,7.9527777777778,7.9527777777778,NA,NA,307.2,0,2.05,12.317073170732,0.04,NA,0.21605188488042,NA,0.1734,0,208.6,180.2,0.70477247502775,0.41341145833333,13,0,0.44356923076923,1.7580487804878,NA,NA,NA,NA,0.12717353787152,0.12682926829268,11.4,25.25,127,16465,NA,14.4,12.513888888889,NA,0.55,1.3385620915033
"5",2007-12-31,7.5,0.34,0.1883,0.47352185089974,102.4,1069,0,25.7,0.099767080745342,0.024041159962582,NA,0.59479553903346,14.391304347826,0,0,0,26.1,20.8445,26.1,0.20136,NA,231.9,1.3738151658768,8.8850574712644,8.8850574712644,NA,NA,257.6,0,1.83,12.978142076503,0.045,NA,0.14619883040936,NA,0.1263,0,168.8,165.5,0.55649546827795,0.35753105590062,11.5,0,0,1.6162109375,NA,NA,NA,NA,0.12348639810426,0.1123046875,14.8,23.75,92.1,650,NA,18.9,8.7566137566138,NA,0.7,1.3244215938303
"6",2006-12-31,7.6,0.94,0.1614,0,95.6,954.2,0,23.8,0.16334934797529,0.024942360092224,NA,0.69392812887237,13.008928571429,0,0,0,25.8,20.672,25.8,0.19876,NA,121.9,1.6977715877437,4.7248062015504,4.7248062015504,NA,NA,145.7,0,NA,NA,0.07,NA,0.15642323451434,NA,0.1429,0,71.8,145.7,0,0,11.2,0,0,1.5240585774059,NA,NA,NA,NA,0.28791075208914,0.11715481171548,11.2,18.55,0,951,NA,11.2,13.008928571429,NA,0.7,1.5240585774059
"7",2005-12-31,3.8,1.43,0.1925,0,90.7,944.2,0,24.6,0.14712918660287,0.026053802160559,NA,0.41558441558442,13.593495934959,0,0.025,4.18,26.6,21.2859,26.6,0.19978,NA,142.6,2.1573373676248,5.3609022556391,5.3609022556391,NA,NA,167.2,0,NA,NA,0.085,NA,0.044077134986226,NA,0.1062,0,66.1,167.2,0,0,12.3,0,0.33983739837398,1.8434399117971,NA,NA,NA,NA,0.3220249924357,0.13561190738699,5.4,43.96,0,123,NA,11.8,14.169491525424,NA,0.5,1.8434399117971
"8",2004-12-31,4,0.59,0.2169,0,NA,917.8,0,24.3,0.14603365384615,0.026476356504685,0,0.54402950668511,13.752066115702,0,0.019881656804734,3.36,NA,NA,NA,0.24229,NA,142.1,2.1562974203338,NA,NA,NA,NA,166.4,0,NA,NA,0.095,0,0.17069799585349,NA,0.1003,0,65.9,166.4,0,0,12.1,0,0.27768595041322,1.8447893569845,NA,0,NA,NA,NA,0.13414634146342,3.2,42.25,0,12730,NA,12,13.866666666667,0,0.45,1.8447893569845
"9",2003-12-31,4.1,0.2,0.2032,0,NA,914.3,0,31.4,0.15536862939139,NA,0,0.19685039370079,17.728070175439,0,0.014732965009208,2.952,NA,NA,NA,0.25013,NA,170.7,2.9481865284974,NA,NA,NA,NA,202.1,0,NA,NA,0.1,0,0.12654489773597,NA,0.1081,0,57.9,202.1,0,0,11.4,0,0.25894736842105,2.2631578947368,NA,0,NA,NA,NA,0.12765957446809,3.7,48.87,0,1700,NA,12.1,16.702479338843,0,0.4,2.2631578947368
"10",2002-12-31,4.2,0.05,0.1587,0,NA,792.3,0,33.2,0.18211738891936,NA,0,0.0679,15.715517241379,0,0.015666483817883,2.856,23.1,16.9935,23.1,0.26435,NA,149.1,NA,6.4545454545455,6.4545454545455,NA,16.9935,182.3,0,NA,NA,NA,0,0.19119529050422,NA,0.0847,0,52.2,182.3,0,0,11.6,0,0.24620689655172,2.1346604215457,NA,0,0,0,0.32554626436782,0.13583138173302,5.1,43.2,0,2125,0,11.4,15.991228070175,0,0.35,2.8563218390805
