"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-29,136,0.18,0.208,0.3006,759,1554,79.2,7.8,0.0022,0.0028,0.005,9.28,0.22,25.99,94.6,0.028,89.76,189,121.59,284,0.357,0.3573,3525.6,3.27,1.19,18.64,12.43,1.27,0.08,0.05,127.7,3533.4,0.4411,1.08,21.55,0.16,0.095,0.1364,0.172,0.6128,0.2323,1077.4,3207.2,0.1017,0.0923,123.4,0.0445,145.2,0.0524,0.7449,4.23,3.25,0.0682,1.16,-6.12,-0.0503,2773.4,0.1129,0.1626,1016.5,23.27,326.2,664434,2950.7,120.5,26.62,2950.7,0.5,3.26
"2",2010-12-29,136,0.27,0.2176,0.13790488571119,795.8,1325.5,98.4,6.8,0.0025174928732739,0.0026420079260238,0.0051301395699736,4.2958,0.57444852941177,18.786861313869,85.1,0.0338,86.9944,205.9,134.1294,291,0.34857,0.34885931558935,2694.3,2.9404125286478,1.0004084360612,13.085478387567,9.2587628865979,1.0468179345714,0.085,0.06,116.5337,2701.1,0.4562052055828,1.13,16.796460176991,0.195,-0.0016,0.18372569089048,0.172,0.6809,0.22421727649943,916.3,2573.8,0.049459942497475,0.047128947465847,137,0.053228689097832,92.6,0.035977931463206,0.63499591240876,3.2342297059563,2.2102189781022,0.079998445877691,1,17.5958,0.13118496140938,2573.8,0.14638157481174,0.17215380748932,936,18.98,127.3,882596,2693.2,131.8,19.528072837633,2693.2,0.5,2.9261185137038
"3",2009-12-29,91.5,0.08,0.2264,0.26012815212898,715.9,1351.4,72.1,18.9,0.007046191701152,0.0072669947708397,0.013985496522125,-1.1157,0.60733215547703,18.653875671527,80.9,0.03,72.918,203.3,130.8418,284.2,0.35641,0.37295476419634,2663.4,2.8074206809318,1.0333669589509,13.100836202656,9.3715693173821,1.0240695170717,0.115,0.055,140.7575,2682.3,0.4459079473139,1.66,16.210843373494,0.24,0.0922,0.091196834817013,0.1689,0.634,0.2255438804203,948.7,2430.6,0.10355467785732,0.09383737836931,130.3,0.050099969240234,124,0.047677637649954,0.55961627014582,3.3951669227546,1.6220761453502,0.078168255921255,0.93455859735466,-9.9157,-0.075783527582035,2600.8,0.13791698851059,0.18200866042743,926.4,26.91,251.7,518545,2577.4,136.2,17.845814977974,2577.4,0.55,2.772116577098
"4",2008-12-29,92.7,0.17,0.2325,0.31093258061014,634.7,1353.2,86.9,20,0.0080521781141799,0.0082819164354632,0.014779781259237,8.5825,0.41290322580645,18.434563758389,73.3,0.0297,65.2628,182.8,117.6409,256.1,0.35645,NA,2463.8,2.7342137387637,0.9312469289791,13.478118161926,9.6204607575166,1.0202492856847,0.14,0.095,95.4585,2483.8,0.43393437777121,1.58,15.037974683544,0.29,0.1749,0.12820512820513,0.1639,0.654,0.22635234998522,901.1,2197.4,0.13033585146082,0.11530719059506,119.2,0.049360221955361,89.8,0.03718580479523,0.54750654362416,3.4621080825587,1.3167545541707,0.075696716220133,0.90993415876434,22.1825,0.18856091890067,2414.9,0.13055259127733,0.18780526232866,894.8,23.76,286.4,847290,2645.7,132.1,16.634367903104,2645.7,0.6,2.6965584627076
"5",2007-12-29,91.9,0.06,0.1874,0.042882147024504,656.2,987.5,88.1,20,0.00896740348832,0.009819806549811,0.020253164556962,-4.8036,0.64034151547492,23.26532769556,66.1,0.02505338725067,55.14,143.7,92.1002,209.8,0.35908,NA,2210.3,3.3207632211538,0.97503198200185,15.381350034795,10.535271687321,1.0852359208524,0.145,0.09,74.9038,2230.3,0.4926582278481,1.34,18.179104477612,NA,0.0639,0.22374087249579,0.161,0.7002,0.099645569620253,665.6,2200.9,0.013358171657049,0.01318208312783,94.6,0.046447684980606,42.5,0.020867088918348,0.58287526427061,3.3540079244133,1.6045053583145,0.070555310060392,1.080620611774,17.1964,0.18671398524803,2036.7,0.13837170072115,0.1441633648278,787.8,24.36,29.4,911672,2266.9,108.5,20.284792626728,2266.9,0.75,3.2530630105018
"6",2006-12-29,90.7,0.22,0.1845,0.13319987680936,562.9,906.6,61.8,13.9,0.0060682790535231,0.0073595594853603,0.015332009706596,-2.9994,0.8,29.427236315087,64.3,0.0205752915022,45.35,115.4,71.788,179.7,0.37792,NA,2276.7,3.5825334382376,1.1377242516616,19.7287694974,12.669449081803,1.2054323079367,0.13,0.075,77.2874,2290.6,0.51224354731966,1.01,22.237623762376,NA,0.0983,0.17613916472991,0.159,0.6781,0.10997132142069,635.5,2204.1,0.039245043328343,0.037763031520126,74.9,0.039656906867157,50.4,0.026685021443321,0.60547396528705,3.9156155622668,2.263633562699,0.061100227669826,1.1669931699052,-5.4994,-0.076606033861316,1888.7,0.11296307159717,0.13306093444662,759.4,22.46,86.5,563100,2001.1,89,24.765168539326,2001.1,1,3.5272559285494
"7",2005-12-29,60.3,0.46,0.2303,0.13372781065089,512.4,851.1,58.8,11,0.006394605278456,0.0064106299900927,0.012924450710845,-4.3815,0.66000868432479,26.090620031797,59.3,0.018371823776735,30.15,99.3,61.8252,158.6,0.37739,NA,1709.2,2.9443583118002,0.92499188223834,17.212487411883,10.776796973518,0.99609534355149,0.11,0.095,66.7067,1720.2,0.5309599342028,1.27,21.251968503937,NA,0.1868,0.10012317437973,0.159,0.6354,0.084831394665727,580.5,1641.1,0.048199378465663,0.045983025229624,62.9,0.036657147852439,57,0.033218719039571,0.47933227344992,3.2027712724434,2.3718745483451,0.0578705052742,0.95640771606737,-4.8815,-0.078957305001305,1715.9,0.1065033126615,0.12275565964091,695.7,26.99,79.1,286800,1847.8,70.3,23.344238975818,1847.8,0.95,2.9081994928149
"8",2004-12-29,64.7,0.56,0.2734,0.046367592902578,NA,875.6,46,47.5,0.027865774961868,0.028262033676444,0.054248515303792,3.0446,0.40965618141917,30.882136279926,56.7,0.014519056261343,25.88,82.2965,50.6148,138.9965,0.38497,NA,1657.1,3.0134569921804,0.98595823168918,20.135733630406,11.921884640532,1.0682008637917,0.155,0.075,58.2702,1704.6,0.5011420740064,1.15,23.95652173913,NA,0.1181,0.25700675523068,0.177,0.6348,0.0886249428963,549.9,1676.9,0.016518575943706,0.016250146661974,54.3,0.035002900792883,36.5,0.023528653387481,0.47661141804788,2.9434790240477,1.9923958890275,0.05305000966931,1.0809643524786,-7.6554,-0.15124808618012,1551.3,0.092043651744681,0.095313322801474,632.9,27.55,27.7,151100,1680.7,54.3,30.882136279926,1680.7,0.9,2.853364579846
"9",2003-12-29,45.2,0.73,0.3128,0.025636700961376,NA,847.2,43.6,42.4,0.030186529972946,0.027568270481144,NA,3.8844,0.46675191815857,26.314393939394,53.9,0.016123831022251,22.6,131.7871,81.0425,185.6871,0.38505,NA,1362.2,2.4744777475023,0.88569570871261,10.336368278838,7.3359969540157,0.93750860289057,0.185,0.025,87.4581,1404.6,0.50991501416431,1.39,22.309352517986,NA,-0.1246,0.20712945590994,0.18,0.6078,0.084041548630784,550.5,1389.4,0.010939974089535,0.010821586216717,52.8,0.036338609772884,66.4,0.045698554714384,0.4280303030303,2.4050545265709,1.4223996723997,0.0907,0.95622849277357,-6.4156,-0.079163706185814,1453,0.147216125604,0.091396918815994,601,31.01,15.2,39500,1538,0,NA,1538,0.85,2.3690335638388
"10",2002-12-29,45,0,0,0.29681015059884,NA,1096.4,48.8,69.8,0.047857387727117,0.042246701367873,NA,-32.3,0,52.30303030303,74,0.01489819566297,18,54.8,33.0614,128.8,0.39669,NA,1388.7,NA,NA,25.341240875912,10.781832298137,0.84051567606827,NA,NA,58.2614,1458.5,0.52873039036848,1.23,21.50406504065,NA,0.0079,0.43306261461881,0.18,0.6155,0.090113097409704,773.5,1208.2,0.20716768746896,0.17161467260884,23.1,0.013981358189081,63.4,0.038373078319816,0.77922077922078,2.037436762226,NA,0.033167897348989,0.73126740104104,-25.2,-0.76221845253442,1652.2,0.042742583063995,0.038954468802698,613,26.45,250.3,137842,1525.4,46.6,25.927038626609,1525.4,0.8,1.7953458306399
