"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,109.3,1.44,0.2923,0.115,1566,14441.7,0,219.3,0.1243,0.0152,NA,0.8,13.05,0,0.0448,69.95,474,341.89,474,0.2783,0.2782,1544.5,1,3.26,3.26,0.07,341.89,1763.8,0,1.26,11.26,-0.05,NA,0.1494,0.0167,0.7625,0.0324,1550.2,1560.3,0.1304,0.1154,119.6,0,0.5534,1,1.86,0,0,NA,0.2205,0.0764,49,14.19,203.5,825631,NA,126.4,12.34,NA,1,1
"2",2010-12-31,108.8,1.46,0.3621,0.17778262529312,1507.7,14136.9,0,523.1,0.261314816665,0.037002454569248,NA,0.69041701187517,16.285714285714,0,0.0417,69.8809,468.2,344.1551,468.2,0.26494,0.265,1478.7,1.1282618647947,3.1582656984195,3.1582656984195,0.05,344.1551,2001.8,0,1.11,13.630630630631,-0.04,NA,0.34471437951412,0.018,0.7491,0.034625695873919,1310.6,1675.8,0.19453395393245,0.16285343191128,102.9,0,0.67911428571429,1.1114943291106,3.2571428571429,0,0,NA,0.26259353883717,0.068249651787491,65.4,15.13,326,983096,NA,116.1,14.434108527132,NA,1,1.091672574576
"3",2009-12-31,87,0.72,0.3692,0.40986874896162,1065.6,10539.9,0,161,0.055402615278734,0.015275287241814,NA,0.6771397616468,26.349148418491,0,0.0321,69.5254,415.2,316.4405,415.2,0.23786,0.23747680890538,2745,1.6689973855414,6.6112716763006,6.6112716763006,0.055,316.4405,2906,0,1.2,16.491666666667,-0.025,NA,0.19228892142508,0.0229,0.7548,0.013358760519549,1644.7,2165.9,0.34170552657094,0.25467997247075,82.2,0,0.84580766423358,2.0325638138138,4.7907542579075,0,0,NA,0.19240015078738,0.07713963963964,78.7,19.79,740.1,690993,NA,93,23.289247311828,NA,1,1.6093481752229
"4",2008-12-31,82.1,0.57,0.3363,0.45845123289253,937.8,11100,0,178.4,0.070081709616593,0.016072072072072,NA,0.47576568539994,14.658577405858,0,0.0314,55.0034,437.6,310.5122,437.6,0.29042,NA,2367.2,1.5239812013133,5.4095063985375,5.4095063985375,0.025,NA,2545.6,0,0.98,20.551020408163,-0.04,NA,0.27251324308417,0.0379,0.6252,0.012666666666667,1553.3,1751.7,0.45321687503568,0.31187146448774,119.5,0,0.46027933054393,1.8678822776711,5.8634309623431,NA,NA,NA,0.19990485289384,0.12742589038175,138.2,20.14,793.9,1043330,NA,96.8,18.096074380165,NA,1,1.4700005774672
"5",2007-12-31,80.5,0.09,0.2615,0.43468343505333,917,10400.7,0,207.3,0.089365004095357,0.019931350774467,NA,0.61185468451243,13.126829268293,0,0.057834757834758,93.38,455.9,323.4474,455.9,0.29053,NA,2112.4,1.4930732258977,4.633472252687,4.633472252687,0.05,NA,2319.7,0,1.42,14.5,-0.05,NA,0.38351254480287,0.0314,0.585,0.013576009307066,1414.8,1614.6,0.4367025888765,0.30396171918783,123,0,0.75918699186992,1.7607415485278,2.6253658536585,NA,NA,NA,0.22861702926209,0.13413304252999,207.5,20.59,705.1,903144,NA,121.7,13.267050123254,NA,1,1.430059799026
"6",2006-12-31,80.1,1.21,0.1676,0.3542700145005,846.1,10252.6,0,200.2,0.095844504021448,0.019526754189181,NA,0.8,17.119072708114,0,0.057193155238213,92.916,439.1,317.4693,439.1,0.277,NA,1888.6,1.7012881722367,4.3010703712139,4.3010703712139,0.06,NA,2088.8,0,1.52,12.243421052632,-0.06,NA,0.17775665399239,0.0597,0.5849,0.013859898952461,1110.1,1624.6,0.28573187246091,0.22223286097281,94.9,0,0.9790937829294,1.9201040066186,2.8531787846856,NA,NA,NA,0.2859826141789,0.11216168301619,183.2,18.61,464.2,522249,NA,97.7,16.628454452405,NA,0.95,1.5941387468519
"7",2005-12-31,82.3,1.19,0.1563,0.2996190333906,937.6,10161.3,0,226,0.09548757816461,0.022241248659128,NA,0.8,15.062835249042,0,0.048566922724729,95.468,442.6,317.0875,442.6,0.28358,NA,2140.8,1.9239687247237,4.8368730230456,4.8368730230456,0.08,NA,2366.8,0,1.54,15.675324675325,-0.035,NA,0.12484289903645,0.0655,0.481,0.014073002470156,1112.7,1965.7,0.20404944803378,0.16946932567179,130.5,0,0.73155555555556,2.0965230375427,1.8828544061303,NA,NA,NA,0.28497123393547,0.13918515358362,125.6,24.14,401.1,298883,NA,116.6,16.858490566038,NA,1,1.7679838649436
"8",2004-12-31,84.2,1.17,0.2069,0.23425673039407,NA,10122.6,0,169.1,0.067805445286499,0.016705194317665,0,1.1309811503142,21.256782945736,0,0.043226553454265,94.304,NA,NA,NA,0.25872,NA,2324.8,2.0898957209637,NA,NA,0.075,NA,2493.9,0,1.72,15.063953488372,-0.01,0,0.092943233740105,0.0537,0.4504,0.014215715330054,1112.4,2193.7,0.13684642385012,0.12037371185693,103.2,0,0.9137984496124,2.235503923367,2.8342377260982,0,NA,NA,NA,0.10516661571385,102.8,25.91,300.2,104865,NA,103.2,21.256782945736,0,0.95,1.94607881389
"9",2003-12-31,84.7,1.01,0.2113,0.23037343104389,NA,10473.6,0,199,0.073485967503693,NA,0,0.95598674869853,19.823336072309,0,0.038297872340425,91.476,NA,NA,NA,0.30321,NA,2509,2.3152163882993,NA,NA,0.055,NA,2708,0,1.57,17.96178343949,0.05,0,0.10575427682737,0.0509,0.4238,0,1083.7,2412.5,0.12248704663212,0.1091211225997,121.7,0,0.75165160230074,2.4437803889789,3.604242922238,0,NA,NA,NA,0.12327795786062,123.1,28.2,295.5,143102,NA,121.7,19.823336072309,0,1,2.111171747096
"10",2002-12-31,84.5,0.68,0.2221,0,NA,10688.2,0,233.6,0.10137128970665,NA,0,0.6746,14.924870466321,0,0.038135740322861,87.88,521.9,362.3447,521.9,0.30572,NA,2070.8,NA,3.967809925273,3.967809925273,0.06,362.3447,2304.4,0,1.82,14.681318681319,NA,0,0.21470524254949,0.049,0.3397,0,731.1,2304.4,0,0,154.4,0,0.56917098445596,2.3914487339145,2.4874784110535,0,0,0,0.49561582820408,0.16023246160232,174.1,26.72,0,120483,0,151.1,15.250827266711,0,0.95,2.8324442620709
