"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,86.6,2.44,0.6283,0.3448,572.3,1440.7,72.7,23,0.0348,0.0107,0.016,-46.53,0.8,11.36,63.5,0,0,118,58.12,182,0.5091,0.5205,637.3,0.75,0.35,5.38,3.5,0.3,NA,-0.01,95.46,660.3,0.2633,0.21,19.9,NA,-0.1,0.5182,0.024,0.8807,0.1574,850.5,359.1,0.8388,0.4562,31.6,0.0147,286.3,0.1328,NA,0.63,NA,0.0549,0.17,-37.33,-0.6424,2155.8,0.0683,0.0552,294.8,4.18,301.2,2331030,1805.4,-32.3,NA,1805.4,2.05,0.76
"2",2010-12-31,86.2,4.06,1.0792,0.33908839779006,574.2,1434.4,51.7,29,0.039862542955326,0.013797040772634,0.020217512548801,17.6573,0.47488880652335,75.947368421053,76.9,0,0,165,66,241.9,0.6,0.75949367088608,698.5,0.83174565372708,0.31044444444444,4.2333333333333,2.8875568416701,0.33231837860983,0.505,-0.02,73.5427,727.5,0.27293641940881,0.61,8.016393442623,-0.27,-0.2303,0.61374943464496,0.019,0.9615,0.16146123814836,839.8,432.9,0.68052668052668,0.40494845360825,5.7,0.0027118321518626,250.6,0.11922546267663,0,0.75391849529781,1.5039082855654,0.078500404396023,0.20595651553357,-7.5427,-0.11428346935745,2101.9,0.078590140509645,0.009926854754441,293.7,4.89,294.6,1223537,2250,62.8,6.8933121019108,2250,2.05,0.83736187845304
"3",2009-12-31,52.3,3.72,1.1199,0.43447922011288,551.1,1526.4,43.3,18.5,0.01074769069889,0.011160714285714,0.012120020964361,74.3914,0.44646843468167,NA,88.1,0,0,42.1,42.1,130.2,0,NA,1702.8,1.7811715481172,0.84155382030246,40.446555819477,13.078341013825,1.0272683397683,0.42,-0.055,12.5086,1721.3,0.28328092243187,0.86,17.023255813954,-0.245,-0.3694,0.39846915803692,0.022,0.9264,0.15179507337526,956,1297.9,0.32621927729409,0.24597687794109,-40.4,-0.024372586872587,337.1,0.20336631274131,NA,2.3551079658864,NA,0.025398166023166,0.78299951737452,29.5914,0.70288354396134,1657.6,0.044037656903766,-0.073307929595355,272.3,14.64,423.4,896822,2023.4,-1,NA,2023.4,2,1.7663417136993
"4",2008-12-31,44.7,3.69,1.065,0.65344120580738,312.7,1544.5,73.1,10.2,0.010647181628392,0.0045430251202566,0.0066040789899644,-79.4178,0.30046948356808,5.5733736762481,73.4,0,0,106.8,102.4725,180.2,0.04052,NA,947.8,1.0624369465307,0.58097339708226,8.874531835206,5.2597114317425,0.42214502048815,0.035,-0.11,182.1903,958,0.29556490773713,0.25,32.96,-0.02,-0.0072,0.85625554569654,0.037,0.7973,0.15629653609582,892.1,368.4,1.600434310532,0.61544885177453,66.1,0.029440584357741,290.5,0.12938713700338,0,1.1781259993604,1.592392478928,0.047568145376804,0.1640833778728,-79.7178,-0.77794386492627,2245.2,0.11486656652842,0.21138471378318,297.1,8.24,589.6,1110050,1631.4,19.1,19.287958115183,1631.4,2,1.0617311315527
"5",2007-12-31,43.6,1.82,0.4499,0.51776749680087,476.3,1638.3,67.6,12,0.01531393568147,0.0054426705370102,0.0073246658121223,-20.0416,0.46232496110247,24.301886792453,87.5,0.098167701863354,25.288,97.6,61.7906,185.1,0.3669,NA,771.6,0.77915783096031,0.31661879359869,7.905737704918,4.1685575364668,0.34996371552975,0.23,0.05,101.7321,783.6,0.31740218519197,1.33,5.3007518796993,-0.145,0.0625,0.62655881361645,0.033,0.9735,0.18317768418483,990.3,257.6,2.0419254658385,0.67126084737111,10.6,0.0048076923076923,190.3,0.086311683599419,2.3856603773585,0.5408356078102,1.0566037735849,0.044267053701016,0.11683599419448,-39.9416,-0.64640250762876,2204.8,0.062395799252752,0.022254881377283,319.1,7.05,526,479820,2437,27.6,9.3333333333333,2437,1.3,0.78180185573182
"6",2006-12-31,42.9,1.7,0.2439,0.52257893808432,524.5,1732.9,50.6,17,0.011157784195327,0.0083272103845212,0.0098101448439033,-10.2825,0.8,21.209567198178,79.5,0.026723230587477,24.882,109.6,73.4309,189.1,0.33001,NA,1506.6,1.3696363636364,0.70685934127803,13.746350364964,7.9672131147541,0.73798677443057,0.15,0.03,112.6134,1523.6,0.30399907669225,1.06,18.075471698113,-0.145,0.0716,0.19953917050691,0.025,0.9085,0.23446246176929,1100,931.1,0.63634410911825,0.38888159621948,43.9,0.021503796228264,233.5,0.11437668381092,0.56678815489749,1.7752144899905,1.4139711465452,0.053686015184913,0.45608621111927,-39.1825,-0.53359637074061,2041.5,0.066755367272727,0.083698760724499,305.2,19.16,592.5,308547,2131.4,33.3,27.960960960961,2131.4,1.4,1.3640107430618
"7",2005-12-31,42.4,3.1,0.2878,0.54193169586065,488.6,1668.5,42.8,17.4,0.012110244988864,0.0092440099877809,0.01042852861852,-14.887,0.63933287004865,34.627450980392,74.8,0.027850509626274,24.592,70.1,49.9259,144.9,0.28779,NA,1419.4,1.3847804878049,0.70899100899101,20.248216833096,9.7957211870255,0.75407745842852,0.19,0.055,96.8129,1436.8,0.31830985915493,1.07,19.336448598131,-0.195,0.0158,0.22184684684685,0.017,0.8562,0.24614923584057,1025,883,0.62718006795017,0.38543986636971,25.5,0.013547256016576,234.1,0.12436912288158,0.96439215686275,1.807204257061,1.8224974200206,0.037241672422037,0.46910694363279,-46.887,-0.93913107800105,1882.3,0.048708215609756,0.052189930413426,310.9,20.69,553.8,339300,2002,22.7,38.898678414097,2002,1.15,1.3783576362241
"8",2004-12-31,41.5,1.3,0.2995,0.50128022759602,NA,1751.2,35.7,23.4,0.01768039289762,NA,0.013362265874829,-157.9,0.86811352253756,28.187943262411,70.4,0.030949839914621,24.07,72.0467,51.651,142.4467,0.28309,NA,1300.1,1.1801924473493,NA,18.045235091896,9.1269212797599,0.80134368836292,0.105,0.03,244.251,1323.5,0.34747601644587,0.96,19.520833333333,-0.095,0.0374,0.18282270215972,0.05,0.8551,0.24057788944724,1101.6,794.9,0.66498930683105,0.39939554212316,28.2,0.017381656804734,157.9,0.097324950690335,0.85354609929078,1.7454984628898,2.6845660249916,0.044407495069033,0.48995315581854,-192.6,-3.7288716126414,1622.4,0.046887267642701,0.053622361665716,309.3,18.74,528.6,164400,NA,28.2,28.187943262411,0,1,1.2550972024656
"9",2003-12-31,41.5,0.83,0.2711,0.50128022759602,NA,1751.2,35.7,23.4,0.015539912338956,0.013992704658255,NA,4.8565,0.61232017705644,34.652482269504,70.4,0.025561921551344,24.07,142.4467,102.1215,212.8467,0.28309,NA,1482.4,1.3456790123457,0.88644381988878,10.406698027164,6.9646363354812,0.91370808678501,0.12,0.03,131.965,1505.8,0.34747601644587,0.99,22.919191919192,-0.095,0.0374,0.19852462573226,0.05,0.8355,0.24057788944724,1101.6,977.2,0.54093327875563,0.35104263514411,28.2,0.017381656804734,157.9,0.097324950690335,0.85354609929078,2.1458058849363,2.887706855792,0.0878,0.60231755424063,-29.8435,-0.2922351451892,1622.4,0.092702866771242,0.053622361665716,309.3,22.69,528.6,75600,1672.3,28.2,34.652482269504,1672.3,0.9,1.4279753437648
"10",2002-12-31,40.5,0.52,0.2236,0.52894305132412,NA,1604.5,40.6,14.9,0.0097024158364264,0.0097481190709846,NA,94.6,0.5135,27.1075,64.3,0.021663746195702,23.49,102.6,70.2574,166.9,0.31523,NA,1520.8,NA,NA,14.82261208577,9.1120431396046,0.99496238141969,0.075,0.015,93.9574,1535.7,0.36011218448115,0.98,26.714285714286,NA,-0.1371,0.15558481457099,0.05,0.819,0.2625740105952,909,1084.3,0.41630545052107,0.29393761802435,40,0.026169447170428,74.3,0.048609748119071,0.58725,2.697263681592,3.6143333333333,0.067124631992149,0.70938828917239,-23.7,-0.3373310046392,1528.5,0.077290871287129,0.099502487562189,282.5,26.18,451.4,227241,1581.2,44.6,24.311659192825,1581.2,0.85,1.6730473047305
