"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,22.7,0.66,0.2289,0,290.7,487.6,39.8,218,0.3701,0.7687,0.4471,-1.9,0.72,20.03,5.4,0.0216,12.71,40,26.05,45,0.3471,0.3467,371,5.1,1.27,9.3,8.19,1.31,0.09,0.105,-6.45,589,0.1034,1.08,24.81,0.13,0.095,0.274,0.018,0.6347,0.168,72.7,589,0,0,29.4,0.1037,-59.9,-0.2112,0.4492,2.03,2.23,0.1407,2.08,32.5,1.2475,283.6,0.3583,0.1011,134.8,26.8,0,247986,292.6,28.3,20.81,292.6,0.8,2.03
"2",2010-12-31,22.6,0.98,0.3386,0,271.9,450.5,13.4,206.9,0.26669244650683,0.82528919026725,0.45926748057714,-6.1257,0.55375073833432,31.408906882591,3.6,0,0,37.8,22.6131,41.4,0.40177,0.40193704600484,568.9,8.7523076923077,2.061231884058,15.050264550265,13.74154589372,2.2692461108895,0.13,0.1,18.9388,775.8,0.043951165371809,1.43,23.734265734266,0.155,0.0652,0.16414435389988,0.017,NA,0.16958934517203,65,775.8,0,0,24.7,0.098524132429198,-60.7,-0.24212205823694,0,2.8532548731151,2.4160697601993,0.15077782209812,3.0945353011568,3.6743,0.16248603249982,250.7,0.34789375384615,0.090842221404928,115.2,33.94,0,71677,276,25.9,29.953667953668,276,0.75,2.8532548731151
"3",2009-12-31,22.5,0.94,0.3657,0,311.9,470.2,4.3,249.8,0.32099717296325,1.070265638389,0.53126329221608,-2.998,0.58107738583538,26.650684931507,4.4,0,0,46.2,28.4019,50.6,0.38524,0.38655462184874,528.4,8.5088566827697,2.1549755301794,11.437229437229,10.442687747036,2.2639245929734,0.14,0.125,31.4999,778.2,0.012335176520629,1.17,30.162393162393,0.16,-0.0056,0.21114076050701,0.025,NA,0.15865589111017,62.1,778.2,0,0,29.2,0.12510711225364,-59.3,-0.25407026563839,0,2.4950304584803,1.9036203522505,0.19794344473008,3.3341902313625,-3.098,-0.10907818933222,233.4,0.45735768115942,0.093619749919846,101.4,35.29,0,61321,245.2,26.8,29.037313432836,245.2,0.85,2.4950304584803
"4",2008-12-31,23,0.9,0.3756,0,303.5,455,3.7,213.4,0.36863016064951,0.88584474885845,0.46901098901099,1.2028,0.36208732694356,19.825342465753,5.4,0,0,38,24.7752,43.4,0.34802,NA,365.5,4.0566037735849,1.5566439522998,9.6184210526316,8.4216589861751,1.5172270651723,0.135,0.095,25.2725,578.9,0.014945054945055,1.08,24.027777777778,0.085,0.1466,0.27617771824068,0.344,NA,0.16395604395604,90.1,578.9,0,0,29.2,0.12121212121212,-47.5,-0.19717725197177,0,1.907413509061,1.4685438863521,0.15774180157742,2.4030718140307,-0.4972,-0.020069180479067,240.9,0.27497491675916,0.096210873146623,109.7,25.95,0,109159,234.8,34.6,16.731213872832,234.8,0.85,1.907413509061
"5",2007-12-31,23.3,0.67,0.3081,0,275,426.4,5.1,249,0.42498719918075,1.1739745403112,0.58395872420263,4.514,0.46738072054528,31,5.2,0,0,22.7,14.3316,27.9,0.36865,NA,336.9,12.957692307692,1.4251269035533,14.84140969163,12.075268817204,1.5884016973126,0.22,0.155,9.9176,585.9,0.015947467166979,1.45,19.455172413793,-0.005,0.1576,0.30256778595798,0.3429,NA,0.1266416510319,26,585.9,0,0,18.9,0.089108910891089,-39.4,-0.18576143328619,0,2.1305454545454,1.4090909090909,0.10702498821311,2.7623762376238,4.414,0.30798996408677,212.1,0.55121711538462,0.068727272727273,102.6,28.21,0,217815,236.4,25.6,22.88671875,236.4,0.9,2.1305454545454
"6",2006-12-31,23,0.56,0.2808,0,244.9,384.1,3.3,207.8,0.32062953247956,1.1449035812672,0.54100494662848,4.8132,0.62678062678063,40.254658385093,3.6,0,0,20.1,12.3685,23.7,0.38465,NA,440.3,11.867924528302,2.1743209876543,21.905472636816,18.57805907173,2.4258953168044,0.135,0.155,7.8553,648.1,0.014579536579016,0.86,30.220930232558,-0.03,0.0804,0.21456235476375,0.399,0.695,0.14241083051289,37.1,648.1,0,0,16.1,0.08870523415978,-41.6,-0.22920110192838,0,2.6463862801143,2.9818265470439,0.11074380165289,3.5707988980716,4.5132,0.36489553051318,181.5,0.33338369272237,0.06574111882401,88.2,25.99,0,114115,202.5,19.5,33.235897435897,202.5,1.1,2.6463862801143
"7",2005-12-31,21,1.16,0.2862,0,198.8,311.7,3,132.3,0.21287208366854,0.8635770234987,0.42444658325313,5.08,0.53109713487072,41.993243243243,3.5,0,0,18.2,11.7583,21.7,0.35394,NA,489.2,7.3563909774436,2.7954285714286,26.879120879121,22.543778801843,3.1932114882506,0.135,0.145,7.1783,621.5,0.018607635547,0.66,41.075757575758,-0.01,0.1414,0.29073482428115,0.399,0.63,0.18158485723452,66.5,621.5,0,0,14.8,0.096605744125326,-35.7,-0.23302872062663,0,3.1262575452716,3.1106106106106,0.11879895561358,4.0567885117493,4.58,0.38951457487708,153.2,0.17681642105263,0.074446680080483,69.1,27.11,0,111619,175,14.3,43.461538461539,175,0.95,3.1262575452716
"8",2004-12-31,21.7,0.81,0.2913,0,NA,302.9,3.7,127.4,0.31810237203496,0.91985559566787,0.4206008583691,0,0.55612770339856,31.535433070866,3.7,0,0,16.8672,10.1747,20.5672,0.39678,NA,273.1,3.7720994475138,1.9718411552347,16.191139634499,13.278391617742,1.9718411552347,0.165,0.155,10.1747,400.5,0.021129085506768,0.75,25,0.035,0.1384,0.22648479681728,0.394,0.5747,0.19775503466491,72.4,400.5,0,0,12.7,0.091696750902527,-51.5,-0.37184115523466,0,2.0045045045045,1.9112383679313,0.12178519855596,2.8916967509025,0,0,138.5,0.14053401305249,0.063563563563564,63.2,18.75,0,29105,138.5,12.7,31.535433070866,138.5,1.3,2.0045045045045
"9",2003-12-31,22.5,0.88,0.3391,0,NA,311,1.4,126.7,0.34243243243243,0.93298969072165,NA,-3.8578,0.51902093777647,32.456140350877,6.3,0,0,20.2608,14.8564,26.5608,0.26674,NA,243.3,2.9816176470588,1.7916053019146,12.008410329306,9.1601156591669,1.9309523809524,0.1,0.125,23.6142,370,0.026688102893891,0.66,27.393939393939,NA,0.3218,0.21690175699084,0.381,0.5926,0.22668810289389,81.6,370,0,0,11.4,0.090476190476191,-49.6,-0.39365079365079,0,1.7762842054729,3.2456140350877,0.1608,2.9365079365079,-8.7578,-0.58949392937518,126,0.18206414470588,0.054728756601056,55.7,18.08,0,157048,135.8,11.4,32.456140350877,135.8,0.95,1.7762842054729
"10",2002-12-31,22.8,1.41,0.4972,0,NA,278.3,1,194.6,0.49005288340468,2.0082559339525,NA,-78.9,0.6261,33.940170940171,8.4,0,0,11,10.3425,19.4,0.05977,NA,202.5,NA,NA,18.409090909091,10.438144329897,2.0897832817337,0.035,0.055,17.7425,397.1,0.038447718289615,0.56,31.910714285714,NA,-0.3851,0.26472450918303,0.384,0.562,0.050305425799497,19.3,397.1,0,0,11.7,0.12074303405573,-37.2,-0.38390092879257,0,1.8564749883123,9.6971916971917,0.11351909184726,4.0980392156863,-7.4,-0.71549224416076,96.9,0.53588238341969,0.054698457223001,43.5,17.87,0,62753,115.2,11.7,33.940170940171,115.2,0.9,10.492227979275
"11",2001-12-31,NA,1.5,0.6515,0,NA,305.2,10,205.2,0.53064391000776,1.2897548711502,NA,5.48,0.4032,19.335,11.1,0,0,34.8186,23.1283,45.9186,0.33575,NA,181.5,NA,NA,5.2127311264669,3.9526466399237,1.1407919547454,-0.005,NA,18.7483,386.7,0.069790301441678,0.47,32.872340425532,NA,-0.042,0.29179518815546,0.397,0.566,0.046854521625164,15.216,386.7,0,0,20,0.12570710245129,-49.77,-0.31282212445003,0,1.7545372050817,-38.67,0.14536929635449,2.4305468258957,4.38,0.18937874865748,NA,1.5199957314669,0.090744101633394,75.2,15.45,0,95800,159.1,18.5,20.902702702703,141.6,0.9,25.41403785489
"12",2000-12-31,NA,0.95,0.7476,0,NA,303.8,18,174.7,0.39012952210808,1.1120305537874,NA,-101.6011,0.38121990369181,20.731481481481,7.9,0,0,35.08043,22.2764,42.9804,0.36499,NA,273.1,NA,NA,7.7849672880293,6.3540546243953,1.7383831954169,0.14,NA,47.8207,447.8,0.072745227123107,NA,29.246153846154,NA,0.6021,0.60814196958775,0.4029,0.5934,NA,2.2,447.8,0,0,21.6,0.13749204328453,-59.2,-0.37683004455761,0,2.5313736574336,148.08201058201,0.141797733,2.8504137492043,-25.5443,-1.14669752053,NA,10.1256472065,0.12210288298474,76.5548,19.01,0,NA,157.1,23.5,19.055319148936,178,NA,2.5313736574336
