"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,2.2,0.4982,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0.93,15.14,NA,0.1754,NA,0.8743,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,14.08,0,554338,327.5,-31.3,NA,327.5,1.95
"2",2008-12-31,0,2.36,0.6851,NA,NA,NA,0,0,NA,NA,NA,0.44373084221282,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1.68,3.1130952380952,NA,0.63256784968685,NA,0.543,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,5.23,0,1042639,471.6,-74.8,NA,471.6,1.9
"3",2007-12-31,0,1.72,0.4554,NA,0,0,0,0,NA,NA,NA,0.63241106719368,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0.77581683758645,NA,0.7887,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,7.55,0,1258223,472.6,-64.3,NA,472.6,1.8
"4",2006-12-31,0,1.14,0.1969,NA,0,0,0,0,NA,NA,NA,0.73133570340274,0,NA,0,0,0,0,0,0,0,NA,0.05,NA,0,4.45,6.9078651685393,NA,0.18345452378114,NA,0.8681,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,30.74,0,1037250,452.7,-36.5,NA,452.7,0.9
"5",2005-12-31,0,1.2,0.2057,NA,0,0,0,0,NA,NA,NA,0.66115702479339,0,NA,0,0,0,0,0,0,0,NA,0.1975,NA,0,NA,NA,NA,0.16572613152136,NA,0.8341,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,46.89,0,149900,401.2,-51.3,NA,401.2,0.85
"6",2004-12-31,0,0.11,0.2031,NA,NA,0,0,0,NA,0,0,0.10832102412605,0,0,0,NA,NA,NA,0,0,NA,NA,0.0535,NA,0,NA,NA,0,0.076729559748428,NA,0.7051,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,38.53,0,191000,329.3,9.4,0,329.3,0.75
"7",2003-12-31,0,0.1,0.1894,NA,NA,0,0,0,NA,NA,0,0.10559662090813,0,0,0,NA,NA,NA,0,0,NA,NA,0.0567,NA,0,NA,NA,0,0.13732970027248,NA,0.6283,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,40.26,0,58900,NA,0,NA,0,0.7
"8",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0.052,0,0,3.3,10.533333333333,0,0.13613335512339,NA,0.5402,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,34.76,0,221348,360.2,NA,NA,360.2,0.7
"9",2001-12-31,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0,0.0982,0,NA,NA,NA,0,0,NA,NA,0.0476,NA,0,3.62,7.4502762430939,NA,0.17269076305221,0,0.5989,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,26.97,0,114100,0,0,NA,370.9,0.75
"10",2000-12-31,NA,0.75,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0648,NA,0,NA,7.7339901477833,NA,0.13125834783665,NA,0.5667,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,31.4,0,NA,NA,NA,NA,NA,NA
"11",1999-12-31,NA,0.85,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1295.7,NA,3.4405204460967,0.0983,0,1295.7,NA,8.1732673267327,0,0.15463917525773,NA,0.5916,0,1295.7,0,0,NA,0.3133297928837,NA,0,0,3.4405204460967,NA,NA,0,NA,NA,NA,NA,118,10.980508474576,376.6,NA
