"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-08-31,27.1,3.23,0.6989,0.531,431.8,1384.5,117.9,53.6,0.0585,0.0297,0.0387,0,0.8,7.27,42.4,0,0,110,71.95,152,0.3447,0.3755,862,0.99,0.48,7.85,5.66,0.48,0.105,-3.55,915.6,0.3939,2,8.09,-0.165,-0.055,0.341,NA,0.7925,0.099,867.1,426.7,1.1458,0.534,58.7,0.0325,247.9,0.1371,0,0.99,0.69,0.0607,0.24,75.5,1.0493,1807.7,0.083,0.1359,142,16.17,488.9,624745,1807.7,58.7,7.27,1807.7,1.9,0.99
"2",2011-08-31,25.2,3.9,1.0711,0.58955732122588,361.6,1301.7,84.3,50.2,0.044201813859294,0.040376417598327,0.038564953522317,0,0.42012883951078,94.815384615385,38.3,0,0,59.2,45.0636,97.5,0.23879,0.56375838926175,1085.5,1.3065719788156,0.87307970723076,18.336148648649,11.133333333333,0.87307970723076,0.1,-0.9364,1135.7,0.37051547975724,2,12.14,NA,0.4126,0.49067713444554,NA,0.7394,0.10532380732888,830.8,616.3,0.84277137757586,0.45733908602624,6.5,0.0052280221989866,237,0.19062173248613,0,1.7043694690266,9.4815384615385,0.047615217566155,0.49569693557468,46,1.0207787956372,1243.3,0.054241251805489,0.017975663716814,117.5,24.28,519.4,528682,1243.3,6.5,94.815384615385,1243.3,1.8,1.289103291714
"3",2010-08-31,21.9,3.21,1.0794,0.63681402439024,285.9,1072.9,39,98.9,0.10123861193571,0.12936559843035,0.092180072700158,0,0.41689827682046,110.60465116279,37.5,0,0,40.2,19.2067,77.7,0.52222222222222,0.52222222222222,878,1.275606566904,1.1484630477436,21.8407960199,11.299871299871,1.1484630477436,0.09,17.7067,976.9,0.12359026936341,0.72,29.152777777778,-0.38,-0.4133,0.5129635707253,NA,0.74,0.21222853947246,688.3,475.6,1.0540370058873,0.51315385402805,4.3,0.005624591236102,129.4,0.16926095487247,0,1.6635187128367,12.289405684755,0.052583387835186,0.62210595160235,1.5,0.078097882679625,764.5,0.027904499007216,0.015040223854495,69.9,20.99,501.3,297843,764.5,4.3,110.60465116279,764.5,1.8,1.2409806910569
"4",2009-08-31,17.1,2.94,1.0361,0.72343182996371,213.4,1048.3,38.8,76.2,0.10246066962485,0.074845300068756,0.072689115711151,0,0.26252292249783,NA,37.7,0,0,27.3,27.3,65,0,NA,667.5,0.95987920621225,0.65563304194087,24.450549450549,10.269230769231,0.65563304194087,0.1,26.2,743.7,0.42087188781837,-0.13,NA,0.02,-0.2333,0.77495462794918,NA,0.6552,0.22321854430984,695.4,185.5,3.0091644204852,0.75057146698938,-17.9,-0.017581769963658,126.1,0.12385816717415,NA,0.86925960637301,NA,0.026814654749042,0.18220214124349,1.1,0.04029304029304,1018.1,0.039257981018119,-0.083880037488285,65.7,10.38,558.2,137507,1018.1,-17.9,NA,1018.1,1.7,0.96384136858476
"5",2008-08-31,16.6,1.94,0.5953,0.69790096254204,260.5,1257,77.6,6,0.0085312100099531,0.0046508022633904,0.0047732696897375,0,0.38971946917521,5.2051282051282,35.1,0.052334975369458,5.312,77.1,38.55,112.2,0.54498,NA,697.3,0.81431741212192,0.54050073637703,9.0440985732815,6.2147950089127,0.54050073637703,0.1,-3.95,703.3,0.36260938743039,1.34,5.1268656716418,NA,0.0264,0.73137829912023,NA,0.8473,0.23802704852824,856.3,101.5,5.9290640394089,0.85568036399829,19.5,0.015115107356019,221.6,0.17176963026122,0.27241025641026,0.38963531669866,0.52051282051282,0.059762809084567,0.078676071622355,42.5,1.1024643320363,1290.1,0.045019268947799,0.074856046065259,132.9,6.87,601.8,213890,1290.1,19.5,5.2051282051282,1290.1,1.45,0.81560941667633
"6",2007-08-31,16.2,1.87,0.4884,0.67450561197221,243.6,1072.7,137.3,20.8,0.023774145616642,0.016996241215885,0.0193903234828,0,0.44226044226044,16.822727272727,32.8,0.014007025128344,5.184,96,57.6701,128.8,0.39927,NA,854.1,1.1738592633315,0.69790815492728,8.896875,6.6312111801242,0.69790815492728,0.1054,-46.8299,874.9,0.38799291507411,2.74,7.448905109489,0.495,0.266,0.29621010638298,NA,0.9588,0.15754637829775,727.6,370.1,1.363955687652,0.57698022631158,22,0.017976793593725,157.7,0.12886092498774,0.23563636363636,1.5192939244663,1.5960841814732,0.078444190227161,0.30241869586534,104.5,1.8120314728192,1223.8,0.07926069268829,0.090311986863711,83.4,20.41,504.8,188400,1223.8,22,16.822727272727,1223.8,1.35,1.1690272581507
"7",2006-08-31,16,2.22,0.4333,0.6381785183963,219.3,877.3,140.6,142.9,0.16365093907467,0.1498217655693,0.1628861278924,0,0.3692591737826,12.313924050633,25.3,0.010526315789474,5.12,86.4,55.6995,111.7,0.35533,NA,730.3,1.5766407599309,0.76567414552317,8.4525462962963,6.538048343778,0.76567414552317,0.1483,-59.6005,873.2,0.43428701698393,2.76,10.869565217391,0.185,-0.0965,0.32867929904545,NA,0.9408,0.0014818192180554,463.2,486.4,0.7952302631579,0.44296839212093,39.5,0.041413294191654,117.8,0.12350597609562,0.12962025316456,2.2179662562699,0.83033877617215,0.090585028307821,0.50996015936255,115.3,2.0700369813094,953.8,0.12024932642487,0.18011855905153,112.9,30,386.8,250000,953.8,39.5,12.313924050633,953.8,1,1.4406863553869
"8",2005-08-31,15.5,1.66,0.4731,0.57627526467757,NA,671.2,69.1,73.2,0.10798052810149,0.071470415934388,0.10905840286055,0,0.70175438596491,13.829652996845,22.9,0.011275546159267,4.96,67.7417,40.9451,90.6417,0.39557,NA,604.7,1.7660630841122,0.5904120289006,8.9265548399287,6.6713223604588,0.5904120289006,0.1733,-5.2549,677.9,0.38200238379023,2.39,11.874476987448,-0.01,0.3501,0.20187641539955,NA,0.8787,0.0019368295589988,342.4,438.4,0.54630474452555,0.35329694645228,31.7,0.03095098613552,118.8,0.11599297012302,0.15646687697161,2.4894946053379,0.79801806098358,0.066141085725444,0.42804139816442,46.2,1.1283397097598,1024.2,0.1195826978125,0.18001135718342,98.5,28.38,239.5,119900,1024.2,31.7,13.829652996845,1024.2,0.7,1.631135707411
"9",2004-08-31,14.9,1.33,0.4278,0.4656693517453,NA,508.8,43,12.1,0.018124625524266,0.016586703221384,NA,0,0.62178588125292,26.259615384615,20.8,0.0036101083032491,1.788,64.7796,45.7001,85.5796,0.29453,NA,655.5,2.6367658889783,0.89856065798492,10.118926328659,7.6595356837377,0.89856065798492,0.11,23.5001,667.6,0.42983490566038,1.85,17.967567567568,-0.165,0.6125,0.44744626306448,NA,0.3275,0,248.6,546.2,0.22226290735994,0.18184541641702,20.8,0.028512679917752,39.8,0.054557916381083,0.085961538461539,3.9210337401292,2.3872377622378,0.0888,0.74873200822481,22.2,0.48577612057305,729.5,0.18382970399035,0.14931801866475,90.5,33.24,121.4,41900,729.5,20.8,26.259615384615,729.5,0.7,2.5607978519371
"10",2003-08-31,14.3,0.92,0.4164,0.55201612903226,NA,538.9,10.1,75.7,0.19580962234868,0.17402298850575,NA,0,0.4835,56.75,18.1,0,0,22.8,13.0261,40.9,0.42868,NA,310.9,NA,NA,13.635964912281,7.601466992665,0.71471264367816,0.05,21.0261,386.6,0.36314715160512,0.85,20.717647058823,NA,0.4042,0.44873391448734,NA,0.2506,0,172.3,249.7,0.54825790949139,0.35411277806518,4.4,0.010114942528736,73.6,0.16919540229885,0,2.2475247524752,11.35,0.052413793103448,0.57402298850575,-8,-0.61415177655684,435,0.075601253627394,0.03960396039604,75,17.61,136.9,24666,435,4.4,56.75,435,0.65,1.8044109112014
