"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,131.4,2.02,0.6442,0,146.6,160,0.6,121.3,0.6227,50.5417,0.7581,0.77,0.78,1.6,0,0,-2,-1.6,0,0,73.5,2.91,33.41,30.63,NA,-1.37,194.8,0.0075,NA,-0.165,0.5333,NA,0.2842,0,25.3,194.8,0,0,-95.2,-39.6667,-9.2,-3.8333,1.33,-0.6667,81.17,-0.23,NA,2.4,-0.0632,-0.6494,23.8,1.41,0,1012263,2.2,-83.2,2.2,1.25,1.33
"2",2010-12-31,122.6,0.96,0.6671,0,192.7,233.6,0.8,186.6,1.0207877461707,51.833333333333,0.79880136986301,2.7083,0.48718333083496,1.6,0,0,-70.6545,-70.6545,-69.0545,0,-3.8,-0.62295081967213,-1.1515151515152,-1.0555555555556,NA,-72.5628,182.8,0.013270547945205,NA,0.5294,0.59881129271917,NA,0.3074,0,6.1,182.8,0,0,-76.4,-21.222222222222,-32.5,-9.0277777777778,0.94862480539699,-19.626244444444,50.777777777778,1.9083,NA,3.6,-11.582701639344,-0.39647119875454,18,1.48,0,1483110,3.3,-89.5,3.3,1.3,0.94862480539699
"3",2009-12-31,92.5,0.73,0.6489,0,172.6,180.4,1.4,111.6,0.21371122175412,65.647058823529,0.61862527716186,-0.9941,0.50084758822623,1.8,0,0,-69.2494,-69.2494,-67.4494,0,410.6,6.7311475409836,136.86666666667,241.52941176471,NA,-67.8553,522.2,0.021618625277162,NA,-0.467,0.20833333333333,NA,0.2473,0,61,522.2,0,0,-70.2,-41.294117647059,-1.3,-0.76470588235294,3.0254924681344,-40.734923529412,307.17647058824,-1.3941,NA,1.7,-1.1352355737705,-0.40672074159907,14.3,5.19,0,1566727,3,-70.2,3,1.3,3.0254924681344
"4",2008-12-31,81.1,0.69,0.6814,0,168.5,176.2,2.3,162.8,0.30956455599924,58.142857142857,0.92395005675369,0.9857,0.30525388905195,2,0,0,-66.9575,-66.9575,-64.9575,0,363.1,63.701754385965,226.9375,129.67857142857,0.05,-68.2432,525.9,0.024971623155505,NA,-0.6543,0.43144848954299,NA,0.2502,0,5.7,525.9,0,0,-62,-22.142857142857,-2.3,-0.82142857142857,3.1210682492582,-23.913385714286,187.82142857143,1.2857,NA,2.8,-11.746926315789,-0.36795252225519,16.2,5.55,0,2566556,1.6,-69.5,1.6,1.3,3.1210682492582
"5",2007-12-31,76.1,1.02,0.4463,0,205.7,218.9,3,206,0.56780595369349,27.105263157895,0.94106898126999,-0.4263,0.48397938606319,1.7,0,0,-62.6953,-62.6953,-60.9953,0,156.8,NA,22.4,20.631578947368,NA,-63.569,362.8,0.018730013704888,-0.78,1.1321,0.52612393681653,NA,0.2304,0,-0.3,362.8,0,0,-36.7,-4.8289473684211,-5.4,-0.71052631578947,1.7637335926106,-8.2493842105263,47.736842105263,0.8737,NA,7.6,NA,-0.17841516771998,15.8,4.67,0,693379,7,-55.5,7,1.35,NA
"6",2006-12-31,70.4,3.44,0.5012,0,173.9,220.8,0.8,213.3,0.47273936170213,64.636363636364,0.96603260869565,10.4242,0.60654429369513,1.4,0,0,-47.6544,-47.6544,-46.2544,0,237.9,NA,58.024390243902,72.090909090909,NA,-57.4787,451.2,0.011322463768116,-0.12,-0.5104,0.26932989690722,NA,0.2389,0,-39.4,451.2,0,0,-31.4,-9.5151515151515,-43,-13.030303030303,2.5945945945946,-14.440742424242,136.72727272727,9.8242,NA,3.3,NA,-0.18056354226567,9.4,5.25,0,1011788,4.1,-38.7,4.1,1.9,NA
"7",2005-12-31,64.8,2.39,0.5181,0.00052410901467505,190.7,201.2,1.6,190.5,0.3212478920742,30.725806451613,0.94681908548708,-2.2484,0.46323103647944,1.7,0,0,-37.9241,-37.9241,-36.2241,0,402.5,1341.6666666667,143.75,64.91935483871,NA,-35.5757,593,0.013916500994036,-0.18,3.7493,0.27713920817369,NA,0.234,0.0019880715705765,0.3,592.9,0.00016866250632484,0.00016863406408094,-33.5,-5.4032258064516,-4.1,-0.66129032258065,3.1090718405873,-6.1167935483871,95.629032258064,-2.3484,NA,6.2,-126.41373333334,-0.17566858940745,8.8,8.78,0.1,585547,2.8,-37,2.8,1.5,3.1079664570231
"8",2004-12-31,52.2,0.82,1.4254,0.0016353229762878,NA,131.9,1.5,120,0.21152829190904,20.338983050847,0.90978013646702,-15.2727,0.11505542303915,3.8,0,0,-84.7342,-84.7342,-80.9342,0,447.3,194.47826086956,75.813559322034,406.63636363636,NA,-67.1614,567.3,0.015921152388173,NA,-0.3278,0.36930860033727,NA,0.3484,0.0083396512509477,2.3,567.1,0.00035267148651032,0.00035254715318174,-80.4,-73.090909090909,-3.5,-3.1818181818182,4.6445536445536,-77.031045454545,515.54545454545,-17.5727,0.20738660000398,1.1,-36.840934782609,-0.65847665847666,52.3,8.61,0.2,435858,5.9,-34.2,5.9,1.8,4.6385936222404
"9",2003-12-31,39.3,0.64,1.431,0.0037488284910965,NA,118.1,0.4,109.3,0.29572510822511,136.625,NA,2.3667,0.089447938504542,4,0,0,-26.7199,-26.7199,-22.7199,0,260.3,NA,325.375,216.91666666667,NA,-25.4866,369.6,0.014394580863675,NA,-0.4028,0.42936288088643,NA,0.2278,0.032176121930567,-2.6,369.2,0.0010834236186349,0.0010822510822511,-29.1,-24.25,-7.1,-5.9166666666667,3.4731890874882,-22.2666,307.66666666667,-1.2333,0.046157822827813,1.2,10.276892307692,-0.27375352775165,5.8,7.798,0.4,456154,0.8,-78.5,0.8,1.6,3.4639175257732
"10",2002-12-31,24.8,1.51,1.463,0.36538461538461,NA,60.7,0.3,47,0.13443935926774,39.166666666667,NA,2.8,0.2269,4.4,0,0,-34.5385,-34.5385,-30.1385,0,302.6,NA,NA,252.16666666667,NA,-30.4385,349.6,0.039538714991763,NA,-0.6595,0.84514003294893,NA,0.1906,0.11037891268534,-0.2,332.5,0.051428571428571,0.048913043478261,-33.9,-28.25,-5.3,-4.4166666666667,11.195286195286,-28.782066666667,277.08333333333,-4.1,NA,1.2,NA,-1.1414141414141,5.4,9.98,17.1,1111182,1.4,-29.6,1.4,1.4,NA
"11",2001-12-31,NA,0.75,1.3048,0.2206,NA,96.2,1.1,68.9,0.67881773399015,19.138888888889,NA,3.9437,0.1001,4.1,0,0,-30.89,-30.89,-26.79,0,32.6,NA,NA,9.0555555555556,NA,-31.8337,101.5,0.037422037422037,NA,-0.512,0.61063330727131,0,0.1434,0.098752598752599,10.018,84.1,0.20689655172414,0.17142857142857,-30.2,-8.3888888888889,-6.734,-1.8705555555556,1.3674796747967,-8.5805555555556,23.361111111111,0.9437,NA,NA,-3.0834497903773,-0.49105691056911,9.6,2.67,17.4,148200,3.6,-34.2,1.5,1.15,10.131762826912
"12",2000-12-31,NA,1.3,1.2866,0.26898047722343,NA,114,1.2,33,0.14423076923077,5,NA,1.2646,0.30312451422353,1.4,0,0,-24.76254,-24.7625,-23.3625,0,195.8,NA,NA,29.666666666667,NA,-24.6061,228.8,0.032456140350877,NA,-0.0242,0.44297635605007,NA,0.1429,NA,68.1,191.6,0.19415448851774,0.16258741258741,-32.6,-4.9393939393939,-1.8,-0.27272727272727,2.9984350547731,-3.7519,29.030303030303,-0.1564,NA,NA,-0.36362026431718,-0.51017214397496,NA,8.4,37.2,NA,6.6,-25.3,4.7,NA,2.2631058358061
"13",1999-12-31,NA,0.85,1.3884,0.41123595505618,NA,63.7,2.7,39.3,0.11328913231479,6.3387096774193,NA,NA,0.091832324978392,1.3,0,0,-19.5,-19.5,-18.2,0,307.6,NA,NA,49.612903225806,NA,-20.0704,346.9,0.059654631083203,NA,-0.375,0.6884561891516,NA,0.1511,NA,5.2,328.6,0.055690809494827,0.052752954742001,NA,-5.8225806451613,NA,-0.90322580645161,12.541984732824,-3.1451612903226,53,NA,NA,NA,-3.75,-1.3778625954199,5.6,NA,NA,NA,NA,-36.1,6.2,NA,7.7955056179775
