"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-28,136.8,1.16,0.3833,0,3042.1,4847.4,165.1,655,0.2196,0.0686,0.1351,19.75,0.76,7.36,186.3,0.0459,136.8,651,416.36,837,0.3605,0.3583,2327.6,0.98,0.26,3.57,2.78,0.24,0.095,0.085,417.81,2982.6,0.1183,3.27,7.67,0.255,0.21,0.2984,0.027,NA,0.4596,2387.1,2982.6,0,0,405.1,0.0424,-291.6,-0.0305,0.3603,0.98,0.78,0.0682,0.31,-1.45,-0.0035,9550.5,0.1744,0.1332,1842.1,25.09,0,2095629,8903.8,379.7,7.86,8903.8,0.85,0.98
"2",2011-01-28,146,0.57,0.3713,0.079140577821568,2897.3,5063.8,197.6,710.8,0.2007059155725,0.075028763840949,0.14036889292626,-6.1249,0.57231349313224,8.0698529411765,174.7,0,0,662.6,433.7711,837.3,0.34535,0.34341808818796,2830.7,1.1622664750565,0.29289062257494,4.2721098702083,3.3807476412278,0.29879561311842,0.095,0.11,416.996,3541.5,0.12121331806153,3.15,7.6603174603175,0.29,0.1341,0.21957446808511,0.034,NA,0.44450807693827,2435.5,3292.5,0.075626423690205,0.070309191020754,408,0.043066594889008,-303.8,-0.032067724331571,0,1.1364028578331,0.84945820433437,0.069940994542787,0.34754108743152,16.7751,0.038672620281518,9473.7,0.17810350646685,0.14082076415973,1700.3,24.13,249,3988151,9664.7,403,8.1699751861042,9664.7,0.85,1.1256078568477
"3",2010-01-28,158.7,0.98,0.4442,0.14108184828891,2723.2,4955.3,163.8,905.4,0.24260450160772,0.099735624586913,0.18271345831736,-10.8474,0.5065285907249,8.705804399682,162.5,0,0,637,406.6735,799.5,0.36158,0.3588785046729,2826.6,1.2478919253013,0.30377216550242,4.4373626373626,3.5354596622889,0.31136814276272,0.075,0.07,416.2209,3732,0.11789397211067,2.65,8.6339622641509,0.33,0.0646,0.20130627478423,0.081,NA,0.44526063003249,2265.1,3284.7,0.13617681980089,0.11985530546624,377.3,0.041562018065653,-433.8,-0.0477858559154,0,1.2061912455934,1.1607739199576,0.070169640890064,0.36183079973562,-9.5474,-0.023476789989326,9078,0.17953889011523,0.13855023501763,1635.1,22.88,447.3,3399901,9305,389.6,8.430954825462,9305,0.9,1.1771014035641
"4",2009-01-28,163.8,0.92,0.4392,0.19178322907148,2299.7,4512.6,183.2,578.1,0.13863641813952,0.065649167035737,0.12810796436644,-8.8014,0.32786885245902,9.0266500622665,145,0,0,679.7,427.375,824.7,0.37123,NA,3591.8,1.5841750099237,0.39705947380057,5.2843901721348,4.3552807081363,0.4078856221397,0.105,0.065,397.9764,4169.9,0.12172583433054,2.74,8.007299270073,0.375,0.2198,0.24224072672218,0.088,0.988,0.46755750565084,2267.3,3624.2,0.15057116053198,0.13086644763663,401.5,0.045594431006484,-322.8,-0.036657241167853,0,1.5759446884376,0.8596809583111,0.077186886065025,0.41156497348369,29.3986,0.068788765201638,8805.9,0.1884951126891,0.17458798973779,1445.4,21.94,545.7,4703068,9046,385.4,9.4037363777893,9046,0.9,1.4654881563225
"5",2008-01-28,161,2.06,0.4493,0.23575033854487,1862.4,3775.9,175.6,857.4,0.19521413446871,0.12086270087398,0.22707169151725,49.4612,0.33830402848876,13.241762053417,130.3,0,0,501.4,327.7351,631.7,0.34636,NA,3534.7,2.2378600823045,0.43215189563899,7.0496609493418,5.5955358556277,0.49826614040034,0.195,0.16,232.9739,4392.1,0.13551736009958,2.66,8.1428571428571,0.36,0.2616,0.58034495594987,0.089,0.9234,0.37140814110543,1579.5,3817.6,0.15048721709975,0.13080303271783,288.3,0.040639977445729,-323.3,-0.045573724274034,0,2.0498281786942,0.67906472068803,0.070679447420355,0.53814491119256,94.7612,0.28913950355384,7094,0.20749293827161,0.15480025773196,1182,21.66,574.5,2643451,8179.3,366.2,10.424904423812,8179.3,0.95,1.8023308301531
"6",2007-01-28,152.3,1.35,0.3367,0.38350210592347,1375.9,3349.6,133.9,652.4,0.060032206119163,0.12265694034481,0.19476952471937,65.4559,0.64152064152064,63.244472520531,109.9,0,0,333.6,207.6026,443.5,0.37769,NA,10215.1,6.4677092566797,1.5637591084441,30.620803357314,23.032919954904,1.9205286807423,0.21,0.165,118.1468,10867.5,0.13628492954383,1.72,33.162790697674,0.56,0.6445,0.43755635707845,0.127,0.8638,0.41912467160258,1579.4,10011.6,0.085490830636462,0.078757763975155,158.3,0.029761792851905,-286.9,-0.053939724379101,0,7.2764009012283,3.0116415485967,0.062719735283611,1.8822688901841,89.4559,0.43089946195109,5318.9,0.13144397619349,0.1150519659859,1027.9,57.04,855.9,4015130,6532.4,228.3,43.852825229961,6532.4,1.35,4.8693879379873
"7",2006-01-28,72.8,1.01,0.3128,0.46682929162482,1114.7,3015.1,110.7,401.6,0.077150651246782,0.12989197231386,0.133196245564,79.968,0.61381074168798,36.97027972028,66.4,0,0,206.3,135.9909,272.7,0.34081,NA,4803.8,2.8439997631875,1.0260583536247,23.285506543868,17.615694902824,1.5537227505013,0.165,0.185,11.7229,5205.4,0.14331199628536,2.5,22.044,NA,0.1714,0.31843827578425,0.202,NA,0.46180889522736,1689.1,4229.4,0.23076559322835,0.18749759864756,114.4,0.037001099683033,-155.5,-0.050294326929297,0,3.7942047187584,2.2406230133503,0.066724885180154,1.3679410052397,124.268,0.91379630959844,3091.8,0.080510861997514,0.10262850991298,599.3,55.11,976,677900,4681.8,116.7,36.241645244216,4681.8,1.2,2.4897881092457
"8",2005-01-28,50.8,0.78,0.436,0.062985332182916,NA,915,98.3,171,0.10243814772659,0.080149988282165,0.18688524590164,-7.6824,0.35779816513761,24.118168389956,36.8,0,0,110.0712,67.8314,146.8712,0.38375,NA,1498.3,3.6678090575275,0.70227325990157,13.612103297539,10.201458203231,0.81305621879748,0.19,0.25,14.0137,1669.3,0.18404371584699,1.42,22.408450704225,NA,0.302,0.34913944502986,0.232,0.6168,0.35071038251366,408.5,1632.8,0.022354238118569,0.021865452584916,67.7,0.036737573258085,-48.7,-0.026427176036466,0,3.0069981583794,1.2693772836819,0.05973038853918,0.88604297807684,53.8176,0.79340331663311,1842.8,0.16604982215422,0.12467771639042,367.3,31.82,36.5,1222400,2133.5,71.1,22.964838255978,2133.5,1.2,2.8805867126834
"9",2004-01-28,56.7,0,0,0,NA,898.9,63,204.9,0.18242521367521,0.12279019596093,NA,-0.9054,NA,17.688188976378,28.9,0,0,133.2507,80.3995,162.1507,0.39663,NA,918.3,2.3600616808018,0.55030862347936,6.8915199857832,5.6632495988917,0.5816442868001,0.1744,NA,47.2049,1123.2,0.11569696295472,NA,NA,NA,0.1745,0.2442445091294,NA,0.8675,0.35688063188341,389.1,1123.2,0,0,63.5,0.040220420572587,-15.9,-0.010070939954396,0,1.8909090909091,1.0142310192877,0.0844,0.71142639979731,33.1946,0.41287107377298,1578.8,0.20662936758263,0.10690235690236,303.2,21.72,0,164000,1668.7,66.4,16.915662650602,1668.7,1.2,1.8909090909091
"10",2003-01-28,57.1,0,0,0,NA,803.9,39.5,232,0.26632992767765,0.17149615612064,NA,-41.1,0,16.624045801527,22.6,0,0,87,51.9851,109.6,0.40247,NA,639.1,NA,NA,7.3459770114943,5.831204379562,0.47242755765819,0.1875,NA,35.0851,871.1,0.085085209603184,1.04,14.413461538461,NA,-0.2385,0.43502824858757,NA,0.7741,0.39557158850603,316.7,871.1,0,0,52.4,0.038734476641041,-62.3,-0.046052631578947,0,1.5875706214689,0.88661577608143,0.064311058545239,0.64392371377883,16.9,0.32509308915572,1352.8,0.16414622671298,0.095498450883907,233.7,14.99,0,356773,1473.8,55.5,15.695495495495,1473.8,NA,2.0179981054626
