"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,1564.7,NA,NA,0.2576,38120,144603,6241,31647,0.5551,0.2106,0.2189,-82.28,NA,5.49,7344,0,0,6500,6079.52,13844,0.0647,0,25362.8,1.29,0.17,3.9,1.83,0.17,NA,NA,7264.8,57009.8,0.1588,3.48,8.28,NA,NA,0.2138,NA,0.3583,0.2611,19698,43784.8,0.302,0.232,7974,0.0531,-18650,-0.1241,0,1.15,NA,0.0433,0.29,-1185.28,-0.195,150276,0.3086,0.2092,12105,28.83,13225,13190659,150939,7974,5.49,150939,1.25,1.11
"2",2010-12-31,1560.7,NA,NA,0.26118031447825,36180,138898,4200,28946,0.64078950863802,0.21347867130804,0.20839752912209,-2036.9206,NA,5.2466623460791,6923,0,0,5084,4488.5111,12007,0.11713,0,16226.4,0.81034758290052,0.10877936286603,3.1916601101495,1.351411676522,0.11967077703699,NA,NA,9248.4317,45172.4,0.13848291552074,3.73,5.4343163538874,NA,NA,0.35020519835841,NA,0.3498,0.31433137986148,20024,32382.4,0.39496763674095,0.28313749103435,6172,0.045518909670187,-20344,-0.15003835034515,0,0.89503593145384,NA,0.037494837453537,0.23882234940114,-4759.9206,-1.0604676159752,135592,0.22415656612065,0.1705914870094,11446,20.27,12790,14219402,149168,6466.2,5.0079490272494,149168,NA,0.92245047988564
"3",2009-12-31,1500,NA,NA,0.4505566657151,19247,136295,5379,22813,0.33468303918548,0.21812045243764,0.1673795810558,NA,NA,NA,7498,0,0,-19776.7486,-19776.7486,-12278.7486,0,NA,45350,3.7120405991651,NA,NA,NA,0.43360200403484,NA,NA,-17657.7486,68163,0.13712902160754,NA,NA,NA,NA,0.054197054197054,NA,NA,0.33048901280311,12217,52380,0.30131729667812,0.23154790722239,-22145,-0.211733547505,-5780,-0.055263937890218,NA,2.7214630851561,NA,-0.18909013949842,0.50081748558644,-2119,NA,104589,-1.6187892772366,-1.1505689198317,12167,36.86,15783,0,NA,NA,NA,NA,NA,1.9458464173565
"4",2007-12-31,566.1,1.87,0.5501,NA,-37094,148883,7542,27171,0.58655527491743,0.15001490707921,0.18249900928917,-2371.4945,0.39265588074896,NA,9513,0,0,43561,21780.5,53074,0.6,NA,19152,NA,0.11547644888214,0.43965932829825,0.36085465576365,0.10574088183655,NA,-0.025,26122.9945,46323,0.28893157714447,-13.12,NA,NA,-0.127,0.89025177533893,0.01,0.7681,0.0071599846859615,-19926,1984,22.348286290323,0.95717030416856,-187,-0.0010324532635461,-28129,-0.15530415962721,NA,NA,NA,0.24050639900178,0.010953942646393,-4342.4945,-0.19937533653991,181122,NA,NA,14412,3.2,44339,25843228,165852,-13746.7,NA,165852,1.35,NA
"5",2006-12-31,565.7,1.83,0.4399,NA,-5441,186192,7933,24449,0.38858884823594,0.11791231209217,0.13131069004039,-2173.813,0.50920663787224,6.705957253297,10950,0.038361905278576,565.7,27144,13572,38094,0.563,NA,38468.4,2.1042831354959,0.20708210417519,1.4171971706455,1.0098283194204,0.18552488799078,0.24,-0.01,18762.8131,62917.4,0.22526746584171,1.43,16.538461538462,-0.245,0.0761,0.27621861152142,0.02,0.9669,0.0060045544384292,18281,14746.4,3.2666277871209,0.7656228642633,2199,0.010605307959045,-20882,-0.10070943192395,0.25725329695316,NA,0.27941488555404,0.13090972225571,0.071118741831405,-5190.813,-0.38246486060113,207349,0.74241015261747,NA,25081,23.65,48171,27070992,185764,-35.1,NA,185764,1.4,1.4724409080272
"6",2005-12-31,565.5,1.84,0.394,0.95139954785631,14597,476078,8179,50452,0.16647034173736,0.2619467923823,0.10597423111339,-10915.5078,0.54822335025381,NA,15769,0.032652000692881,565.5,-1163,-1163,14606,0,NA,252617,1.0108925748814,1.2220959034,NA,17.29542653704,1.3115875059708,0.18,0.015,17342.5078,303069,0.084469351660862,4.35,7.0620689655172,-0.235,-0.0061,0.33211878302059,0.01,0.8667,0.009114052739257,249895,17319,16.499220509267,0.9428545974679,-3417,-0.017741064567714,149062,0.77392992876576,NA,1.186476673289,NA,-0.0060382961932255,0.089920250877448,-18505.5078,NA,192604,-0.0046539546609576,-0.23408919641022,22734,30.72,285750,5973300,206708,-2137,NA,206708,1.35,1.0090628506361
"7",2004-12-31,564.7,1.36,0.3318,0.91547080074999,NA,479603,7753,57730,0.18574466784426,0.29934872337336,0.12037038967646,-761.2808,0.81977094635323,2.899173553719,14152,0.10303967027305,1129.4,13172.6004,13172.6004,27324.6004,0,NA,253073,0.93635371381001,1.3122653641134,19.212075999816,9.2617273919951,1.3077559077497,0.05,0.01,20332.8812,310803,0.08135895730427,0.96,20.21875,-0.075,0.0429,0.37858831475853,0.01,0.7535,0.010268909910906,270275,10524,28.532782212087,0.96613932297951,3630,0.018758041929133,221535,1.1447831456668,0.31112947658402,0.37957152131573,0.5798347107438,0.0680694739997,0.054382819080494,-7160.2808,-0.54357382554992,193517,0.04873776856905,0.13092404241506,20394,19.41,300279,19636600,192852,3630,2.899173553719,192852,1.25,0.94755567750492
"8",2003-12-31,564.6,1.08,0.312,0.92822386156079,NA,448507,7330,54769,0.15677571417694,0.28708838730645,NA,6386.6548,0.69230769230769,7.8879105520615,13978,0.049248953459739,1129.2,26418.6176,19940.2442,40396.6176,0.24522,NA,294577.2,0.99094156827127,1.5441160745175,11.150363900948,7.2921253684368,1.587811819495,0.11,0.01,20201.5894,349346.2,0.085195994711342,4.41,9.2086167800454,-0.115,-0.014,0.20173066522445,0.01,0.7631,0.010612989317893,297270,22575.2,14.474777632092,0.93537871601294,2862,0.015426575537397,225691,1.2165056812057,0.39454926624738,0.89343042583505,0.71708277746014,0.1424,0.12168344796361,-261.3452,-0.013106417913048,185524,0.067077889434279,0.11326579072345,21008,40.61,326771,3292300,190774,2862,7.8879105520615,190774,1.25,0.99235084749133
"9",2002-12-31,560.4,1.1,0.339,0.96379075798155,NA,370782,7443,21449,0.10188711331563,0.11484608835797,NA,46943,0.712,16.789919354839,12938,0.038452961337757,1120.8,21420,15931.125,34358,0.25625,NA,189068.3,NA,NA,8.8267180205416,5.5028901565865,1.012343451326,0.1,-0.005,21426.125,210517.3,0.10241327788296,4.82,11.068464730291,NA,0.051,0.29284525790349,0.01,0.7149,0.048421983807197,166735,29147.3,6.2225317610894,0.86154439563874,1736,0.0092952030113031,149702,0.80156133709568,0.64562211981567,4.2775609040211,1.6789919354839,0.11469081134914,0.15606570894663,-5495,-0.34492228263855,186763,0.095547575494047,0.25476959201644,20793,53.35,181370,5339779,162794,NA,NA,162794,1.2,1.1339448825981
"10",2001-12-31,NA,1.19,0.4312,0.8789,NA,323969,8631,19345,0.11679174965451,0.10913347624958,NA,-9980.3242,0.4846,37.546921797005,12908,0.0497,1121.5153,23015.4395,11371.2382,35923.4395,0.50593,NA,146291.7,NA,NA,6.3562418610342,4.0723188546576,0.82529448268081,0.035,NA,25628.5624,165636.7,0.10775105025481,4.18,9.2200956937799,-0.025,-0.0586,0.37758916843488,0.01,0.6484,0.042352817707867,143433,22565.7,6.3401977337286,0.86376388807553,601,0.0033904998307571,76479,0.4314509759675,1.8660820133111,1.145060130918,10.727691942001,0.064150051865988,0.1273028319982,-14257.3242,-1.2538057823657,NA,0.079279093331137,0.030496777794692,23302,38.54,143071,3985400,177260,1914.3,11.787964268923,154128,1.2,1.154801893567
