"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,21,1.25,0.3069,0.0445,214.8,298.7,11.2,21.2,0.0344,0.059,0.071,5.35,0.8,21.08,11.5,0.0138,8.4,43,29.02,55,0.3252,0.3255,595.8,2.93,1.57,13.86,10.93,1.66,0.08,0.065,23.97,617,0.3827,1.58,18.88,0.125,0.055,0.1519,0.131,0.5314,0.0854,203.6,607,0.0165,0.0162,28.8,0.0801,93.8,0.2609,0.2847,2.83,2.63,0.1196,1.69,5.05,0.174,359.5,0.1425,0.1341,44.8,29.83,10,28045,380,29.5,20.58,380,1.25,2.74
"2",2010-12-31,21,1.5,0.3738,0.11120996441281,199.8,286.7,8.3,34.2,0.055928045789043,0.11522911051213,0.11928845483083,13.5933,0.8,23.938775510204,10.6,0.0129,7.5658,39,24.8836,49.6,0.36196,0.36031331592689,577.3,3.0288562434418,1.6442608943321,14.802564102564,11.639112903226,1.9450808625337,0.13,0.1,13.5903,611.5,0.39588419951169,1.61,16.863354037267,0.185,0.1096,0.24881033310673,0.137,0.5375,0.092082316009766,190.6,586.5,0.042625745950554,0.040883074407195,24.5,0.082547169811321,74.3,0.25033692722372,0.30881020408163,2.9354354354354,1.8414442700157,0.13140161725067,1.9760781671159,11.2933,0.45384563737054,296.8,0.13055383001049,0.12262262262262,37.4,27.15,25,46464,351.1,31.9,18.385579937304,351.1,1.25,2.7201957295374
"3",2009-12-31,16.7,1.35,0.418,0.078165711307973,176.9,249.4,38.1,44.4,0.070756972111554,0.16679188580015,0.17802726543705,1.8113,0.7177033492823,33.469945355191,9,0.0114,6.9825,26.3,17.6289,35.3,0.3297,0.32967032967033,583.1,3.9532203389831,2.125,22.171102661597,16.518413597734,2.1904583020286,0.045,0.035,-13.2824,627.5,0.43504410585405,1.44,22.444444444444,0.195,-0.1949,0.24231855173559,0.138,0.5045,0.028869286287089,147.5,612.5,0.024489795918367,0.02390438247012,18.3,0.068745304282494,58.8,0.22088655146506,0.38155737704918,3.4624081401922,7.4377656344869,0.098797896318557,2.3009015777611,30.9113,1.7534439049772,266.2,0.11951789830508,0.10344827586207,35.4,32.32,15,29302,274.4,20,30.625,274.4,1.2,3.2699322563835
"4",2008-12-31,16.7,1.41,0.4597,0,158.6,231.5,27.9,23.8,0.050941780821918,0.071990320629159,0.10280777537797,-10.331,0.43506634761801,17.176470588235,7.8,0.015,7.008,39,26.1936,46.8,0.32837,NA,443.4,3.2893175074184,1.5557894736842,11.369230769231,9.474358974359,1.3411978221416,0.025,0.04,16.4246,467.2,0.34730021598272,1.02,27.098039215686,0.155,0.0818,0.38428874734607,0.141,0.5456,0,134.8,467.2,0,0,27.2,0.08227465214761,74.9,0.22655777374471,0.25764705882353,2.9457755359395,6.8705882352941,0.11796733212341,1.4131881427707,9.769,0.37295280930554,330.6,0.19431431750742,0.17150063051702,38.1,27.64,0,74889,285,19.4,24.082474226804,285,1.25,2.9457755359395
"5",2007-12-31,16.7,1.51,0.4175,0,149.4,211.5,12.8,30.2,0.06732055283103,0.098821989528796,0.14278959810875,-4.8499,0.45988023952096,19.589519650655,7.6,0.014890771288453,6.68,32.9,21.2547,40.5,0.35396,NA,418.4,3.510067114094,1.2822555930126,12.717325227963,10.330864197531,1.369109947644,0.13,0.075,20.9046,448.6,0.28368794326241,1.75,17.782857142857,0.07,0.1277,0.43629343629344,0.141,0.5678,0.022695035460993,119.2,448.6,0,0,22.9,0.074934554973822,71.6,0.23429319371728,0.29170305676856,3.0026773761713,1.5068861269735,0.10765706806283,1.4679319371728,0.3501,0.016473091903574,305.6,0.17831137583893,0.15327978580991,34.6,31.12,0,61449,326.3,28.3,15.851590106007,326.3,1.2,3.0026773761713
"6",2006-12-31,16.7,1.67,0.3371,0,128.1,187.5,7.3,16.9,0.033894905736061,0.062384643779993,0.090133333333333,-6.3907,0.61702758825274,26.104712041885,6.7,0.010718010429202,5.344,26.3,18.091,33,0.31213,NA,481.7,4.3318345323741,1.6395507147719,18.315589353612,14.59696969697,1.7781469176818,NA,NA,23.8817,498.6,0.27946666666667,1.34,21.582089552239,-0.015,0.1713,0.22339909007535,NA,0.5181,0.034666666666667,111.2,498.6,0,0,19.1,0.070505721668512,75.6,0.27906976744186,0.27979057591623,3.8922716627635,NA,0.097083794758213,1.8405315614618,-5.7907,-0.32008754386612,270.9,0.16268867805755,0.14910226385636,32.4,28.92,0,16600,293.8,19.5,25.569230769231,293.8,1.3,3.8922716627635
"7",2005-12-31,13.4,1.21,0.2175,0,127,179.5,3.2,11.5,0.022443403590945,0.049740484429066,0.064066852367688,-11.851,0.77241379310345,47.009174311927,6.8,0.0099375487900078,5.092,16.7,10.6244,23.5,0.36381,NA,500.9,4.3367965367965,1.8558725453872,29.994011976048,21.314893617021,2.1665224913495,NA,NA,26.0754,512.4,0.28690807799443,NA,NA,-0.05,0.1357,0.3853267348192,NA,0.4864,0.037325905292479,115.5,512.4,0,0,10.9,0.047145328719723,70.8,0.30622837370242,0.46715596330275,4.0346456692913,NA,0.072231833910035,2.2162629757785,-15.451,-1.4543011679168,231.2,0.091985913419913,0.085826771653543,30.4,36.97,0,77500,269.9,19.8,25.878787878788,269.9,1.05,4.0346456692913
"8",2004-12-31,10.7,0.75,0.2126,0,NA,165.3,7.5,18.9,0.077649958915366,0.086697247706422,0.11433756805808,4.0031,0.70555032925682,26.172043010753,7.2,0.025213867627195,5.992,13.4043,8.6644,20.6043,0.35361,NA,224.5,2.1796116504854,1.0298165137615,16.748331881065,10.895773313558,1.102652259332,NA,NA,4.3613,243.4,0.33151845130066,1,22.21,-0.045,0.0391,0.19131730155352,NA,0.4877,0.040532365396249,103,243.4,0,0,9.3,0.045677799607073,56.6,0.27799607072692,0.64430107526882,1.9967186218212,NA,0.065836542239686,1.1954813359528,4.3031,0.49664538546334,203.6,0.084120567036893,0.076292042657916,29,22.21,0,8500,218,10.3,23.631067961165,218,0.95,1.9967186218212
"9",2003-12-31,10.7,0.72,0.2571,0,NA,160.9,3.7,17.4,0.067889192352712,0.086053412462908,NA,1.7945,0.56009334889148,26.15306122449,7.1,0.024767801857585,5.992,21.1268,14.3588,28.2268,0.32035,NA,238.9,2.4106962663976,1.1815034619189,11.307901520437,8.4635817991541,1.2201225740552,NA,NA,15.9644,256.3,0.33747669359851,0.89,25.404494382022,0.01,0.0087,0.12655552946701,NA,0.4866,0,99.1,256.3,0,0,9.8,0.050051072522983,54.9,0.28038815117467,0.61142857142857,2.2,NA,0.1079,1.3089887640449,-1.6055,-0.11181373099948,195.8,0.14489246430878,0.08412017167382,28,22.61,0,1300,202.2,10.2,25.127450980392,202.2,0.8,2.2
"10",2002-12-31,8.5,0.81,0.3761,0.0035746201966041,NA,152.8,5.8,13.1,0.058534405719392,0.067490984028851,NA,6.6,0.4762,25.101123595506,7,0.025872873769024,5.78,13.6,8.5566,20.6,0.37084,NA,210.7,NA,NA,15.492647058824,10.228155339806,1.0855229263266,0.15,NA,9.7566,223.8,0.3782722513089,0.88,29.659090909091,NA,-0.044,0.19876733436055,NA,0.4709,0,98.8,223.4,0.0017905102954342,0.0017873100983021,8.9,0.04585265327151,51.6,0.26584234930448,0.64943820224719,2.0035874439462,1.6734082397004,0.070066975785677,1.15095311695,-1.2,-0.14024301309309,194.1,0.086605020242915,0.079820627802691,27.9,26.1,0.4,5405,193.3,8,27.925,193.3,0.7,2.1325910931174
"11",2001-12-31,NA,0.64,0.3937,0,NA,148.1,3.1,20.6,0.1031031031031,0.10152784622967,NA,-3.7098,0.2845,13.684931506849,7.1,0.0291,5.8142,29.2763,18.5369,36.3763,0.36683,NA,179.2,NA,NA,6.1209920652541,4.9262844214502,0.88319369147363,NA,NA,26.2467,199.8,0.36394328156651,NA,NA,0.08,0.0708,0.21387283236994,0,0.4367,0,87.327,199.8,0,0,14.6,0.071956628881222,50.433,0.24856086742238,0.39823150684932,1.8517145505097,NA,0.091359659295219,0.9847215377033,-7.7098,-0.41591692524513,NA,0.21226968601922,0.13531047265987,26,22.8,0,1400,202.9,10.7,18.672897196262,188,0.65,2.2879521797382
"12",2000-12-31,NA,0.6,0.3674,0.037037037037037,NA,145.9,11.4,7.6,0.032716315109772,0.039978958442925,NA,4.3205,0.4899292324442,15.744827586207,6.9,0.024108628996934,5.504,28.85718,17.9769,35.7572,0.37704,NA,224.7,NA,NA,7.7866236409795,6.2840526014635,1.1820094687007,NA,NA,9.8793,232.3,0.39684715558602,NA,NA,NA,0.0639,0.24661246612466,NA,0.4523,NA,96.4,228.3,0.017520805957074,0.017219113215669,14.5,0.076275644397685,56.3,0.29615991583377,0.37958620689655,2.283,NA,0.094565328,1.2009468700684,8.0976,0.45044384905432,NA,0.18648204204149,0.145,26.4239,27,4,NA,190.1,14.8,15.425675675676,201.4,NA,2.2336538461538
"13",1999-12-31,NA,0.5,0.2458,0.032494758909853,NA,136.9,16.2,7.3,0.047066408768536,0.039121114683816,NA,NA,0.30512611879577,11.603053435115,6.5,0.036210526315789,5.504,27.2,16.5169,23.0169,0.39276,NA,147.8,NA,NA,5.4338235294118,6.4213608349472,0.79206859592712,NA,NA,4.598,155.1,0.39152666179693,NA,NA,NA,0.0456,0.13857677902622,NA,0.407,NA,88.1,152,0.020394736842105,0.019987105093488,NA,0.077706323687031,NA,0.29206859592712,0.42015267175573,1.646803900325,NA,0.14576634512326,0.81457663451233,NA,0.58727627801005,NA,0.18747931895573,0.15709642470206,25.6,NA,NA,NA,NA,14.5,10.48275862069,186.6,NA,1.625786163522
