"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,244.5,2.14,0.4476,0.8741,749,17629,1043,2772,0.3265,0.1218,0.1572,-76.06,0.8,6.47,715,0,0,1173,809.83,1888,0.3096,0.3974,5716.9,1.8,0.26,4.87,3.03,0.25,0.35,0.055,557.89,8488.9,0.3616,2.06,6.7,NA,-0.055,NA,0.01,0.7891,0.046,3178,3287.9,1.5819,0.6127,508,0.0223,1523,0.0669,0,4.39,0.18,0.0515,0.14,251.94,0.3111,22767,0.2548,0.6782,2773,13.81,5201,3551378,21630,402,8.18,21630,1.8,1.43
"2",2010-12-31,242.2,2.96,0.7442,0.88049730933383,644,15630,944,2005,0.24501716953233,0.10646771452846,0.12827895073577,204.5729,0.60467616232196,27.952032520325,652,0,0,765,349.5438,1417,0.54308,0.67885117493473,6178.1,1.8256796690307,0.27884545946922,8.0759477124183,4.359985885674,0.32806393372982,0.98,0.07,-147.0291,8183.1,0.39443378119002,2.22,6.3828828828829,NA,0.1552,0.37646198830409,0.015,0.8425,0.053998720409469,3384,3438.1,1.3801227422123,0.57985360071367,123,0.0065314358538658,1159,0.061544180118947,0,5.3386645962733,0.28522482163597,0.040622344944775,0.18256690739167,496.5729,1.4206312762961,18832,0.10329308510638,0.19099378881988,2635,14.17,4745,6790477,22156,508.9,6.7559441933582,22156,1.8,1.5184820931527
"3",2009-12-31,242.2,2.64,0.7588,0.86013320647003,735,14410,746,1922,0.25850706119704,0.11790687687872,0.13337959750174,179.8182,0.57656826568266,NA,636,0,0,221,221,857,0,NA,5513,1.6540654065406,0.3029620267077,24.945701357466,6.4329054842474,0.33820011042267,0.35,0.035,-68.8182,7435,0.40548230395559,0.8,14.8125,NA,-0.1667,0.28599450765006,0.014,0.7205,0.060374739764053,3333,2915,1.5506003430532,0.6079354404842,-232,-0.014232255689835,1546,0.094840807312435,NA,3.9659863945578,NA,0.013557450463162,0.1788233850684,289.8182,1.3113944373954,16301,0.066306630663066,-0.3156462585034,2404,11.85,4520,4455177,18197,140,20.821428571429,18197,1.75,1.4148430066603
"4",2008-12-31,241.3,3.05,0.7815,0.82969505082486,1022,15226,1049,1906,0.22584543924924,0.097803776683087,0.12518061211086,-447.9412,0.36852207293666,25.632592592593,632,0,0,771,358.9159,1403,0.53448,NA,6533.4,1.5954578754579,0.40836302268892,8.4739299610895,4.6567355666429,0.33525246305419,0.285,-0.025,389.8571,8439.4,0.37002495730987,0.44,32.045454545454,NA,-0.0127,0.71194911403907,0.012,0.8158,0.055365821620912,4095,3460.4,1.4388509998844,0.58997085100837,135,0.0069273399014778,2502,0.12838669950739,0,3.3859099804305,0.89938921377518,0.039562807881773,0.17756568144499,-30.9412,-0.086207361828031,19488,0.087647355311355,0.1320939334638,2600,14.1,4979,5518680,15999,-600.7,NA,15999,1.8,1.4063322779537
"5",2007-12-31,240.1,2.52,0.506,0.62376237623762,2850,17191,739,3654,0.60040421301697,0.18601099572388,0.21255308010005,-99.5342,0.4901185770751,4.0502976190476,577,0,0,1063,639.3732,1640,0.39852,NA,2431.9,0.62022443254272,0.11855408765173,2.2877704609596,1.4828658536585,0.12379861535329,0.32,NA,576.9074,6085.9,0.32563550695131,0.54,11.055555555556,NA,-0.2803,0.76902732882751,0.009,0.8519,0.051189575940899,3921,1360.9,3.4719670806084,0.7763847582116,336,0.017104459376909,2250,0.11453879047037,0,0.47750877192982,0.12657180059524,0.054113215231114,0.069278151089391,62.4658,0.09769847590313,19644,0.16306382045397,0.1178947368421,2725,5.97,4725,2771861,20513,523.9,2.5976331360947,20513,1.55,0.80341914191419
"6",2006-12-31,178.2,2.71,0.3898,NA,-758,17029,671,4113,0.30979316993809,0.2030309013723,0.2415291561454,81.1472,0.6772703950744,NA,590,0,0,610,305,1200,0.6,NA,9163.6,3.8960884353741,0.47089414182939,15.022295081967,7.6363333333333,0.4523447526903,0.695,-0.005,142.8528,13276.6,0.31575547595279,1.77,13.887005649717,NA,0.0173,0.29929577464789,0.015,0.9608,0.049973574490575,2352,6053.6,1.1931743095018,0.5440398897308,-133,-0.0065653075328265,2060,0.10168822193701,NA,NA,NA,0.030111560864844,0.29882515549413,162.1472,0.53163016755979,20258,0.1296768707483,NA,2666,24.58,7223,10201390,19460,-193.5,NA,19460,1.65,2.0536117556071
"7",2005-12-31,176.5,2.26,0.3788,0.98671761280932,73,15627,634,2409,0.26871765125825,0.12214166201896,0.1541562679977,-53.5169,0.67581837381204,13.315037593985,630,0,0,1076,548.3081,1706,0.49042,NA,6555.8,2.1236799481697,0.3242876929165,6.092750929368,3.8427901524033,0.33239365208133,NA,0.045,597.8249,8964.8,0.33141357906188,1.23,17.065040650407,NA,0.0682,0.34475806451613,0.011,0.867,0.05093748000256,3087,3541.8,1.5311423569936,0.60492147064073,266,0.013486792070172,2141,0.10855346549714,0,48.517808219178,NA,0.05455559499062,0.1795771434366,-49.5169,-0.090308460327792,19723,0.17761842565598,3.6438356164384,2875,20.99,5423,7984500,20216,222.3,15.932523616734,20216,1.6,1.6311499272198
"8",2004-12-31,175.6,2.04,0.5524,0.98734441276685,NA,16533.3,518.6,2120.3,0.24074894119517,0.10804682045873,0.12824421016978,179.3756,0.73859522085445,NA,628.7,0,0,804.1912,321.6765,1432.8912,0.6,NA,6686.8,1.8410286060406,0.34074776165798,8.3149380396105,4.6666488006905,0.36399860645386,NA,0.06,252.4009,8807.1,0.32995227812959,1.51,11.496754966887,NA,0.213,0.24639624539055,0.01,0.9305,0.053401317341366,3632.1,3127.5,1.8160191846523,0.64488878291379,-49.9,-0.0027163262639899,2628.8,0.14309976919392,NA,42.960164835165,NA,0.04377646648957,0.170246701215,69.2756,0.21535786727267,18370.4,0.088564874315135,-0.68543956043956,2833.1,17.3601,5679.6,1490500,19623.9,-49.9,NA,19623.9,1.55,1.531030526389
"9",2003-12-31,175.3,1.64,0.5556,NA,NA,15005.5,375.4,1564.9,0.20296490363415,0.089794349193234,NA,303.6957,0.59035277177826,NA,693.3,0,0,1079.4966,1079.4966,1772.7966,0,NA,6145.3,1.7561010458936,0.35261883449241,5.6927460447768,3.4664439225572,0.40646206759706,NA,0.06,1093.7009,7710.2,0.34701942621039,0.8,18.2875,NA,0.0915,0.40543071161049,0.01,0.6589,0.052267501915964,3499.4,2632.8,1.928517168034,0.65853025861845,-249.3,-0.016489185792711,1988.9,0.13154970566836,NA,NA,NA,0.0714,0.17413850122363,-14.2043,-0.013158308691305,15119,0.30848048236841,NA,2371.2,14.63,5077.4,1361100,17427.6,0,NA,17427.6,1.45,NA
"10",2002-12-31,175.3,1.63,0.591,0.84844390607529,NA,13146.6,457.9,947.3,0.19063430733317,0.068397111913357,NA,1802.9,0.6049,NA,602.8,0,0,312.2,312.2,915,0,NA,4021.9,NA,NA,12.882447149263,4.3955191256831,0.29038989169675,0.66,0.025,457.1,4969.2,0.39495382836627,-0.08,NA,NA,-0.0888,0.41941074523397,NA,0.5962,0.058471391842758,3345.5,1327,2.7446872645064,0.73295500281736,-37.5,-0.0027075812274368,861.2,0.062180505415162,NA,2.0396557024285,NA,0.022541516245487,0.095812274368231,-144.9,-0.46412556053812,13850,0.093319384247497,-0.057639102367046,2223.9,7.64,3642.2,2435615,14739.9,-37.5,NA,14739.9,1.3,1.2021820355702
