"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,136.1,0.48,0.15,0.567,2998.9,9118,462.4,6.2,9e-04,0.0027,7e-04,-0.16,0.8,17.65,305,0.0389,119.77,480,322.77,785,0.3273,0.3269,7000.5,1.01,3.02,14.59,8.92,3.02,0.055,0.03,165.52,7006.7,0.7736,1.36,14.93,-0.095,-0.14,0.0804,NA,0.7009,0.0185,6920.4,3079,1.2756,0.5606,174.4,0.0752,163.4,0.0705,0.6095,1.03,3.21,0.207,1.33,157.24,0.4872,2318,0.0466,0.0582,0,20.31,3927.7,818371,2315.8,196.5,15.67,2315.8,0.75,1.01
"2",2010-12-31,135.7,0.77,0.2246,0.5648312082484,2924.9,8818.2,646.5,10.8,0.0016018510278544,0.0047882952782088,0.0012247397428046,2.2473,0.8,13.914974019839,349.1,0.0396,116.6537,472.3,322.3873,821.4,0.31741,0.32125681308112,6731.4,1.0031145220177,2.9273320287019,14.252381960618,8.1950328707086,2.9844380403458,0.06,0.04,22.74,6742.2,0.78159941938264,1.42,15.338028169014,-0.115,0.1454,0.1496226906063,NA,0.7122,0.019164908938332,6710.5,2945.8,1.2887500848666,0.56308030019875,211.7,0.093859454666371,115.2,0.051075149634227,0.55103297118564,1.0071455434374,2.3191623366399,0.20939924628685,1.3060518731988,299.6473,0.92946386706564,2255.5,0.048042211012592,0.072378542856166,0,21.78,3796.4,1139094,2299.5,166.6,17.6818727491,2299.5,0.75,1.0031095175041
"3",2009-12-31,135.4,0.78,0.2415,0.5667452757005,2792.5,8482.8,878.8,65.9,0.010447879508522,0.0335368956743,0.0077686612910831,4.3096,0.77639751552795,19.576696165192,308.2,0.0443,117.5988,320.1,239.9854,628.3,0.25028,0.25412541254125,6241.6,0.97838388588447,2.7553083476802,19.49890659169,9.934107910234,3.1763867684478,0.045,-0.03,-334.9243,6307.5,0.78406893950111,1.32,14.689393939394,-0.1,0.0361,0.096441184460744,NA,0.6579,0.019922667043901,6379.5,2654.6,1.3760641904618,0.57913594926675,135.6,0.069007633587786,28.2,0.014351145038168,0.86724764011799,0.95061772605192,4.3503769255982,0.16290076335878,1.350941475827,574.9096,2.3956028822247,1965,0.037618210204561,0.048558639212176,0,19.39,3652.9,931070,2265.3,230.2,11.531711555169,2265.3,0.75,0.97860489651534
"4",2008-12-31,119.3,0.78,0.2272,0.55734888321966,2550.6,7869.3,1056.6,61.1,0.010413826015817,0.03658463565056,0.0077643500692565,-21.8644,0.52816901408451,22.223430962343,250.9,0.0421,111.805,275,180.059,525.9,0.34524,NA,5806.1,1.0184353622172,3.0063169885569,21.113090909091,11.040311846359,3.4764984132687,0.005,-0.08,-603.7766,5867.2,0.7727879226869,1.4,13.85,-0.045,-0.6303,0.3359375,NA,0.6286,0.019823872517251,5701,2655.7,1.2092856873894,0.54736501227161,119.5,0.07155260164062,-139.8,-0.083707562421412,0.93560644351464,1.0412059907473,44.446861924686,0.16466079875457,1.5901443027364,783.8356,4.3532152499766,1670.1,0.031583757235573,0.046851721163648,0,19.39,3211.5,1497182,1931.3,140.3,18.928724162509,1931.3,0.75,1.0182398778223
"5",2007-12-31,86.2,0.62,0.1398,0.48462105904615,1567.9,4826.7,530.4,67.1,0.018032786885246,0.02053809188577,0.013901837694491,2.1541,0.74391988555079,13.881909547739,208,0.064747511312217,143.092,319.8,221.5383,527.8,0.30726,NA,3653.9,1.2131947672488,1.7978252312537,11.425578486554,6.9228874573702,1.1183924581433,-0.01,-0.09,-103.0159,3721,0.71363457434686,1.49,12.973154362416,NA,0.1379,0.30842361264647,NA,0.5101,0.018252636376821,3011.8,2210,0.68371040723982,0.40607363611932,159.2,0.048728229928683,5.7,0.0017446665238285,0.89881909547739,1.4095286689202,NA,0.097884974442166,0.67644088029139,324.5541,1.4650027109403,3267.1,0.073556760741085,0.10153708782448,NA,19.33,1511,1157353,2032.4,213.5,10.351288056206,2032.4,0.65,1.2085485075839
"6",2006-12-31,80.4,0.6,0.1038,0.48458495073156,1341.9,4335.7,485.8,61.8,0.0161619331555,0.023100213060217,0.014253753719123,0.5441,0.8,19.792319749216,184.2,0.052846565036626,133.464,235.4,171.9362,419.6,0.2696,NA,3762,1.4590443686007,1.2071621101271,15.981308411215,8.9656816015253,1.4061974358016,0.015,0.05,-130.2079,3823.8,0.70719837627142,2.01,14.094527363184,0.05,-0.0447,0.10738589211618,NA,0.4919,0.020319671563992,2578.4,2525.5,0.51407642051079,0.33953135624248,127.6,0.047695585541808,-3.3,-0.001233506522633,1.0459561128527,1.882032938371,13.194879832811,0.087990131947819,0.94400627966957,302.1441,1.7573039884521,2675.3,0.066683276450512,0.095089052835532,NA,28.33,1298.3,746124,3116.4,145.2,17.393250688705,3116.4,0.8,1.4482993712598
"7",2005-12-31,74.7,0.83,0.1186,0.4910769998752,1262.4,3833.7,335.7,103.1,0.027523425612003,0.039579254481938,0.026893079792368,-0.5658,0.8,15.623629719854,177,0.048336321821158,124.002,283.2,230.2133,460.2,0.1871,NA,3642.8,1.5568852038636,1.3667504596105,12.862994350283,7.9156888309431,1.3984413989021,-0.005,0.01,72.079,3745.9,0.72139186686491,2.17,14.654377880184,0.06,0.0519,0.096278992157517,NA,0.5319,0.022849988261992,2339.8,2565.4,0.46016215794808,0.31514455805014,164.2,0.063035049330109,24.4,0.0093669622634266,0.75518879415347,2.0321609632446,NA,0.10871818495912,0.98483627010634,158.1342,0.68690318594691,2604.9,0.09839015300453,0.13006970849176,NA,31.8,1180.5,336800,2665.3,119.7,21.431913116124,2665.3,0.95,1.5333824552786
"8",2004-12-31,74.4,0.9,0.1741,0.52706004887233,NA,3798.9,198.2,127.1,0.037358180001176,0.051130420790088,0.033457053357551,0.2318,1.0338885697875,11.669463087248,176.1,0.059413027916965,123.504,326.0632,247.632,502.1632,0.24054,NA,3275.1,1.359978407109,1.3175235336713,10.044371765964,6.5219832914877,1.3291801948052,-0.02,0.02,225.3002,3402.2,0.71978730685198,2.25,12.417777777778,0.07,0.0676,0.095039251712043,NA,0.4253,0.022848719366132,2408.2,2086.5,0.63057752216631,0.38672035741579,178.8,0.072564935064935,26.2,0.010633116883117,0.69073825503356,1.8276979677645,NA,0.13233084415584,0.84679383116883,22.3318,0.090181421412478,2464,0.10282865122166,0.15144841605963,0,27.94,1315.7,407400,2485.8,178.8,11.669463087248,2485.8,0.85,1.3628970876898
"9",2003-12-31,69.3,0.9,0.199,0.59003374207884,NA,3665.3,151.5,114.4,0.030959919893914,0.048960027390225,NA,3.0465,0.90452261306533,14.221383647799,167.7,0.055241264559068,115.038,508.1418,334.5453,675.8418,0.34163,NA,3580.7,1.5205962289791,1.5324402978687,7.0466550872217,5.2981333797347,1.6658292626192,0.04,0.075,347.6988,3695.1,0.73688374757864,2.23,13.47533632287,0.025,0.1535,0.12321007081039,NA,0.4501,0.0071208359479442,2354.8,2261.2,0.63413231912259,0.38805445048849,159,0.073970690858339,35,0.016282856478251,0.72350943396226,2.362059960305,3.5553459119497,0.2364,1.0519655733892,-13.1535,-0.039317476257448,2149.5,0.1420695247435,0.15959048479374,0,30.05,1433.9,81600,2336.6,159,14.221383647799,2336.6,0.8,1.5204921405646
"10",2002-12-31,69.2,0.56,0.2049,0.59567051127561,NA,3506.7,132.4,65.3,0.017985017076126,0.035071700950642,NA,121.4,0.6025,17.389318885449,177.2,0.050513197133574,113.488,291.7,212.3372,468.9,0.27207,NA,3565.5,NA,NA,12.223174494343,7.6039667306462,1.9149793221978,0.045,0.11,257.1372,3630.8,0.74260700943907,2.13,15.305164319249,NA,0.1395,0.20786204338958,NA,0.3899,0,2297.3,2246.7,0.6160591089153,0.38121075245125,129.2,0.069391481819647,5.6,0.0030076803265482,0.87839009287926,2.3913783927621,3.8642930856553,0.1566679198668,1.2066706052957,-44.8,-0.21098518775193,1861.9,0.092429017107039,0.13751995742416,0,32.6,1384.1,276479,2017.6,129.2,17.389318885449,2017.6,0.75,1.5520393505419
