"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,84.7,1.07,0.2315,0.1301,2367.2,19774.1,0,437.9,0.145,0.0221,NA,0.8,20.02,0,0.0305,81.31,456,334.51,456,0.2668,0.2669,2582.4,1.13,5.66,5.66,0.12,334.51,3020.3,0,2.54,12.49,-0.015,NA,0.1357,0.017,0.7098,0.0436,2283.2,2666.4,0.1327,0.1172,133.2,0,0.5104,1.13,1.67,0,0,NA,0.1465,0.0563,55.7,31.73,353.9,245923,NA,159.3,16.74,NA,1,1.11
"2",2010-12-31,36.9,1.37,0.392,0.00046679892636247,856.5,8138.3,0,139.7,0.051073008445143,0.01716574714621,NA,0.60586734693877,52.392720306513,0,0.0297,81.2265,274.6,231.5537,274.6,0.15676,0.15670436187399,2595.6,3.6190741773564,9.4522942461763,9.4522942461763,0.12,231.5537,2735.3,0,2.43,13.156378600823,0.025,NA,0.16868653783164,0.028,0.702,0.0092279714436676,717.2,2734.9,0.00014625763282021,0.00014623624465324,52.2,0,1.5560637931034,3.1931115002919,4.3660600255428,0,0,NA,0.32285792526492,0.060945709281962,72.9,31.97,0.4,506398,NA,95.5,28.637696335078,NA,0.95,3.1920877581982
"3",2009-12-31,36.8,0.99,0.4101,0.00083492366412214,837.7,8697.1,0,204.7,0.16041062612648,0.023536581159237,NA,0.57912704218483,17.050802139037,0,0.0278,35.4561,275.3,210.7146,275.3,0.2346,0.23439099283521,1071.4,1.6907053810952,3.8917544496913,3.8917544496913,0.095,210.7146,1276.1,0,2.02,17.257425742574,0.065,NA,0.26197028068244,0.04,0.6479,0.0090604914281772,633.7,1275.4,0.00054884742041712,0.00054854635216676,74.8,0,0.47401229946524,1.5225020890534,1.7948212777934,0,0,NA,0.33251478617642,0.089292109347022,84.3,34.86,0.7,204247,NA,66.9,19.064275037369,NA,0.95,1.5220658396947
"4",2008-12-31,31.8,0.92,0.4043,0.00098344533683003,609.5,7167.3,0,199.8,0.14386520737327,0.027876606253401,NA,0.39574573336631,21.22629969419,0,0.022,30.5404,242.4,182.1539,242.4,0.24854,NA,1189,2.8978796002925,4.9051155115512,4.9051155115512,0.075,NA,1388.8,0,1.98,22.126262626263,0.105,NA,0.33862200675775,0.047,0.5166,0.0095712471921086,410.3,1388.2,0.00043221437833165,0.00043202764976959,65.4,0,0.46697859327217,2.2776045939294,2.8301732925586,NA,NA,NA,0.44395297099683,0.10730106644791,111.1,43.81,0.6,230482,NA,51.2,27.11328125,NA,1,2.2763481396492
"5",2007-12-31,31.3,0.41,0.264,0.0014414414414414,554.2,6056,0,182.6,0.1383438139253,0.030151915455746,NA,0.60606060606061,17.265706806283,0,0.022779167614282,30.048,224.1,162.4075,224.1,0.27529,NA,1137.3,3.0539742212674,5.0749665327979,5.0749665327979,0.105,NA,1319.9,0,2.47,17.939271255061,0.125,NA,0.34473270440252,0.18,0.5079,0.01165785997358,372.4,1319.1,0.00060647411113638,0.00060610652322146,76.4,0,0.39329842931937,2.3801876578852,1.6443530291698,NA,NA,NA,0.43611039473684,0.13785636954168,132.9,44.31,0.8,79663,NA,76.3,17.288335517693,NA,1,2.3781981981982
"6",2006-12-31,32.7,0.32,0.2316,0.00053696080186146,558.4,5964.6,0,190.1,0.15599868701789,0.031871374442544,NA,0.65630397236615,13.719594594595,0,0.025767052450135,31.392,234.3,163.0798,234.3,0.30397,NA,1028.5,2.7902875746066,4.3896713615023,4.3896713615023,0.12,NA,1218.6,0,2.53,13.97628458498,0.135,NA,0.2466965414225,0.1739,0.4165,0.012171813700835,368.6,1218.3,0.0002462447672987,0.00024618414574101,88.8,0,0.35351351351351,2.1817693409742,1.1432995495495,NA,NA,NA,0.44243035539881,0.15902578796562,110.1,35.36,0.3,244804,NA,77.7,15.679536679537,NA,0.95,2.1811347771613
"7",2005-12-31,32.3,0.43,0.2025,0.095319310214137,477.4,5950.2,0,271.1,0.14962194381588,0.045561493731303,NA,0.71111111111111,32.622222222222,0,0.017602179836512,31.008,200.2,148.3782,200.2,0.25885,NA,1540.8,6.0046765393609,7.6963036963037,7.6963036963037,0.17,NA,1811.9,0,2.98,17.731543624161,0.115,NA,0.20743164784123,0.1689,0.4219,0.012134045914423,256.6,1761.6,0.028553587647593,0.027760913957724,54,0,0.57422222222222,3.6899874319229,1.918954248366,NA,NA,NA,0.57824719407638,0.11311269375786,67.6,52.84,50.3,116659,NA,86.1,20.459930313589,NA,0.9,3.4335796854273
"8",2004-12-31,32.4,0.42,0.2009,0.097688871625558,NA,4664.7,0,155.8,0.12123570150183,0.033399789911463,0,0.41811846689895,21.180102915952,0,0.020629463104999,25.272,NA,NA,NA,0.29809,NA,1129.3,3.1448064605959,NA,NA,0.125,NA,1285.1,0,2.3,16.439130434783,0.115,0,0.17094644167278,0.1739,0.3681,0.015049199305422,359.1,1234.8,0.04073534175575,0.039140922885379,58.3,0,0.43348198970841,2.6577701248386,1.6944082332762,0,NA,NA,NA,0.12548428755919,52.6,37.81,50.3,55840,NA,51,24.211764705882,0,0.8,2.4958244319285
"9",2003-12-31,31,0.05,0.1783,0.10385328662683,NA,4150.4,0,178.1,0.14947545111204,NA,0,0.056085249579361,20.747272727273,0,0.019695613249776,20.46,NA,NA,NA,0.30945,NA,1013.4,2.9770857814336,NA,NA,0.5,NA,1191.5,0,1.85,18.113513513513,0.085,0,0.16415914409896,NA,0.3374,0.013781804163454,340.4,1141.1,0.044167908158794,0.042299622324801,55,0,0.372,2.8406771222305,0.41494545454546,0,NA,NA,NA,0.12646585421936,54.2,33.51,50.4,9104,NA,61.1,18.675941080196,0,0.7,2.4551823614259
"10",2002-12-31,15.7,-0.09,0.2432,0.11528028933092,NA,3973.1,0,187.8,0.20457516339869,NA,0,-0.0778,17,0,0.016659746251442,14.444,157.7,109.4138,157.7,0.30619,NA,730.2,NA,4.6303107165504,4.6303107165504,0.09,109.4138,918,0,3.22,17.67701863354,NA,0,0.16417910447761,NA,0.3982,0.013390048073293,287.8,867,0.058823529411765,0.055555555555556,51,0,0.28321568627451,2.2151251916198,1.8888888888889,0,0,0,0.38017316539263,0.13030148185999,67.4,56.92,51,12643,0,53.5,16.205607476635,0,0.65,2.5371785962474
"11",2001-12-31,NA,-0.31,0.2742,0.122,NA,3679.8,0,164.8,0.20423844342545,NA,0,-0.201,18.374045801527,0,0.0175,12.6368,NA,NA,NA,0.31274,NA,642.1,NA,NA,NA,0.095,NA,806.9,0,2.98,15.406040268456,0.03,NA,0.26924530679098,0,0.3544,0.01464753519213,291.415,722.1,0.071458246780224,0.063948444664766,39.3,0,0.32154580152672,1.9442649434572,1.9341100843712,0,NA,NA,NA,0.10581583198708,94.5,45.91,51.6,3600,0,51,14.158823529412,0,0.65,2.7689034538373
"12",2000-12-31,NA,0.6,0.2673,0,NA,3013.4,0,130.4,0.27869202821116,NA,NA,0.6,13.601744186046,0,0.026091045095106,12.208,NA,NA,NA,0.31199,NA,337.5,NA,NA,NA,0.09,NA,467.9,0,NA,11.913407821229,NA,NA,0.11659680173886,NA,0.3038,NA,211,467.9,0,0,34.4,0,0.35488372093023,1.3705330990041,151.13049095607,0,NA,NA,NA,0.10076157000586,NA,42.65,0,NA,NA,34.5,13.56231884058,NA,NA,1.3705330990041
"13",1999-12-31,NA,0.6,0.2518,0,NA,2991.9,0,156.7,0.36197736197736,NA,NA,0.35742652899126,13.656151419558,0,0.025179025179025,10.9,114.9,78.6927,78.6927,0.31512,NA,276.2,NA,2.4038294168842,3.5098548897387,0.095,78.6927,432.9,0,NA,10.974264705882,NA,0,0.1858407079646,NA,0.2895,NA,153.7,432.9,0,0,NA,NA,0.34384858044164,1.3946520618557,1.4374896231114,NA,0,NA,0.51198901756669,0.10985824742268,76.8,NA,NA,NA,NA,34.1,12.695014662757,0,NA,1.3946520618557
