"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,28.5,1.03,0.2821,0.1458,95.5,126.6,1.5,17.9,0.1091,0.1644,0.1414,0.86,0.8,38.87,4,0,0,7,5.54,11,0.1607,0.1556,146.1,1.56,1.3,22.14,13.78,1.34,NA,7.18,164,0.0245,0.08,54.75,0.16,0.065,0.1534,NA,0.6177,0.4566,93.9,147.7,0.1104,0.0994,3.8,0.0349,30.1,0.2764,0,1.55,NA,0.0606,1.36,-1.64,-0.2966,108.9,0.059,0.0398,41,4.38,16.3,49503,112,2.1,70.33,112,0.9,1.47
"2",2010-12-31,28.3,0.73,0.3649,0.16620498614958,90.3,124.8,0.8,19.7,0.14867924528302,0.18207024029575,0.15785256410256,0.2796,0.65086325020554,6.0263157894737,3.6,0,0,10.7,10.7,14.3,0,0,112.8,1.2731376975169,1.032021957914,10.542056074766,7.8881118881119,1.0425138632163,NA,13.2204,132.5,0.025641025641026,0.26,14.884615384615,0.21,0.318,0.24329692154916,NA,0.6158,0.45352564102564,88.6,114.5,0.15720524017467,0.13584905660377,19,0.17560073937153,27.5,0.25415896487985,0,1.2679955703212,NA,0.098890942698706,1.0582255083179,-2.5204,-0.23555375127403,108.2,0.12076749435666,0.21040974529347,38.7,3.87,18,97095,109.3,5.3,21.603773584906,109.3,0.95,1.2234533702678
"3",2009-12-31,29.6,1.03,0.431,0.15011286681716,75.3,107.2,1.4,16.6,0.13040062843676,0.19347319347319,0.15485074626866,4.6338,0.55104408352668,16.056338028169,3,0,0,8.1,5.8934,11.1,0.27242,0.27551020408163,110.7,1.5375,1.0404135338346,13.666666666667,9.972972972973,1.2902097902098,NA,2.8596,127.3,0.032649253731343,0.34,12,0.22,-0.0044,0.16580310880829,NA,0.4912,0.50839552238806,72,114,0.11666666666667,0.1044776119403,7.1,0.082750582750583,19.3,0.22494172494173,0,1.5139442231076,NA,0.094405594405594,1.3286713286713,3.0338,0.51477934017006,85.8,0.08185275,0.094289508632138,31.8,4.08,13.3,53800,106.4,20.5,5.5609756097561,106.4,0.95,1.4367945823928
"4",2008-12-31,30.2,1.03,0.4418,0.021994134897361,66.7,81.3,1.3,13.7,0.1327519379845,0.15568181818182,0.16851168511685,-1.5603,0.34404708012675,18.833333333333,3.1,0,0,10,7.0719,13.1,0.29281,NA,89.5,1.6422018348624,1.1035758323058,8.95,6.8320610687023,1.0170454545454,NA,10.4322,103.2,0.039360393603936,NA,NA,NA,0.0774,0.28849028400598,NA,0.6406,0.41574415744157,54.5,101.7,0.014749262536873,0.01453488372093,5.4,0.061363636363636,19.9,0.22613636363636,0,1.5247376311844,NA,0.11363636363636,1.1556818181818,-3.3603,-0.47516804664813,88,0.12975963302752,0.08095952023988,30.2,3.57,1.5,88258,81.1,5.1,19.941176470588,81.1,0.95,1.5131964809384
"5",2007-12-31,30.9,1.37,0.3788,0.095238095238095,74.1,98.9,1.5,17.9,0.21360381861575,0.21462829736211,0.18099089989889,-1.6311,0.46462513199578,10,3.3,0,0,9.5,7.544,12.8,0.20589,NA,65.9,1.0296875,0.73631284916201,6.9368421052632,5.1484375,0.79016786570743,NA,10.9751,83.8,0.045500505561173,0.06,43.833333333333,NA,0.0844,0.50653120464441,NA,0.6937,0.40141557128412,64,76,0.10263157894737,0.093078758949881,7.6,0.091127098321343,22.3,0.2673860911271,0,1.025641025641,NA,0.11390887290168,0.91127098321343,-3.4311,-0.45480311369767,83.4,0.117875703125,0.1025641025641,28.9,2.63,7.8,1675,89.5,6,12.666666666667,89.5,1.1,1.023199023199
"6",2006-12-31,30.6,1.57,0.3095,0.040053404539386,71.9,93.2,2.4,9.4,0.070359281437126,0.12335958005249,0.10085836909871,-1.6861,0.74959612277868,19.787878787879,3.1,0,0,8.7,6.8607,11.8,0.21141,NA,124.2,1.8961832061069,1.5409429280397,14.275862068966,10.525423728814,1.6299212598425,0.25,9.2468,133.6,0.049356223175966,0.3,14.933333333333,NA,0.1269,0.26122448979592,NA,0.6449,0.36909871244635,65.5,130.6,0.022970903522205,0.022455089820359,6.6,0.086614173228346,29.2,0.38320209973753,0,1.8164116828929,0.79151515151515,0.11417322834646,1.7139107611549,-2.3861,-0.34778925791823,76.2,0.10474401526718,0.091794158553547,27.7,4.48,3,63237,80.6,7.1,18.394366197183,80.6,1.45,1.7837116154873
"7",2005-12-31,30.5,1.87,0.4629,0.11053315994798,68.4,92,1.1,7.6,0.046369737644905,0.11275964391691,0.082608695652174,-2.5227,0.3802117087924,25.064516129032,4.8,0,0,7.9,6.9053,12.7,0.12591,NA,156.3,2.2554112554113,2.1618257261411,19.784810126582,12.307086614173,2.3189910979228,0.25,13.128,163.9,0.043478260869565,0.2,25.65,NA,-0.274,0.26987447698745,NA,0.4387,0.35,69.3,155.4,0.054697554697555,0.051860890787065,6.2,0.091988130563798,34.7,0.51483679525223,0,2.2719298245614,1.0025806451613,0.11721068249258,2.3056379821958,-6.2227,-0.90114700072682,67.4,0.099643737373737,0.090643274853801,23.7,5.13,8.5,126859,72.3,5.9,26.338983050847,72.3,1.1,2.1313394018205
"8",2004-12-31,30.4,1.31,0.5637,0.13647642679901,NA,139.9,3,13.9,0.096060815480304,0.16162790697674,0.099356683345247,-2.238,0.46478623381231,55.739130434783,6.1,0,0,4.3638,2.6774,10.4638,0.38646,NA,130.8,1.2224299065421,1.5209302325581,29.973875979651,12.50023891894,1.4125269978402,0.25,8.0154,144.7,0.050750536097212,NA,NA,NA,0.0535,0.29066666666667,NA,0.5645,0.49964260185847,107,128.2,0.12870514820593,0.11402902557015,2.3,0.024838012958963,31.4,0.33909287257019,0,1.227969348659,2.2295652173913,0.047125269978402,1.3844492440605,-5.338,-1.9937555246608,92.6,0.025022110766355,0.022030651340996,38.2,4.45,16.5,59182,86,-12.4,NA,86,1.1,1.1968569065343
"9",2003-12-31,30.1,1.38,0.5809,0.11775200713648,NA,128.4,1.3,8.2,0.053982883475971,0.089033659066232,NA,1.8599,0.475124806335,32.255813953488,5,0,0,13.1521,7.7419,18.1521,0.41136,NA,143.7,1.3830606352262,1.5602605863192,10.926011815604,7.9164394202324,1.6498277841561,0.25,9.5819,151.9,0.052180685358255,NA,NA,NA,0.5131,0.51950718685832,NA,0.572,0.50311526479751,103.9,138.7,0.095169430425378,0.086899275839368,4.3,0.049368541905855,32.4,0.37198622273249,0,1.4024266936299,1.2902325581395,0.151,1.5924225028703,-1.8401,-0.23767812302688,87.1,0.074512532666025,0.043478260869565,32.5,4.56,13.2,34978,92.1,3.1,44.741935483871,92.1,1.1,1.3550401427297
"10",2002-12-31,30,1.42,0.6417,0.012290502793296,NA,107.6,1.3,15.3,0.059906029757243,0.26655052264808,NA,-5.5,0.4865,363.28571428571,2.7,0,0,3.6,1.13,6.3,0.68612,NA,240.1,NA,NA,66.694444444444,38.111111111111,4.1829268292683,0.25,2.53,255.4,0.054832713754647,NA,NA,NA,0.2472,0.54141238012206,NA,0.543,0.47676579925651,74.2,254.3,0.0043255996854109,0.0043069694596711,0.7,0.01219512195122,17.2,0.29965156794425,0,2.8766968325792,14.531428571429,0.062717770034843,4.4303135888502,-1.4,-1.2389731390623,57.4,0.015228679245283,0.0079185520361991,23.3,8.53,1.1,105072,73.6,1.5,169.53333333333,73.6,0.85,3.2358490566038
"11",2001-12-31,NA,NA,NA,0.0635,NA,82.4,1.8,29.4,0.33561643835616,0.71882640586797,NA,0.0056,NA,NA,2.4,0,0,0.8439,0.8439,3.2439,0,NA,58.2,NA,NA,68.965517241379,17.941366873208,1.4229828850856,0.225,1.4383,87.6,0.04247572815534,NA,NA,NA,0.2414,0.65066225165563,0,0.4603,0.40291262135922,41.958,83.1,0.054151624548737,0.051369863013699,-5.2,-0.12713936430318,7.106,0.17374083129584,NA,1.2440119760479,NA,0.020633251833741,2.0317848410758,-0.5944,-0.70434885649959,NA,0.02011297011297,-0.077844311377245,17.3,3,4.5,9200,40.9,-5.2,NA,40.9,NA,2.0878020878021
"12",2000-12-31,NA,NA,NA,0,NA,58.8,0.6,35.8,0.14922884535223,1.1699346405229,NA,0,NA,NA,1,0,0,5.23872,5.2387,6.2387,0,NA,204.1,NA,NA,38.959898601185,32.715044111613,6.6699346405229,0.3625,5.6387,239.9,0.02891156462585,NA,34.035714285714,NA,NA,0.42331288343558,NA,0.447,NA,16.5,239.9,0,0,-49.9,-1.6307189542484,4.8,0.15686274509804,NA,4.5869980879541,NA,0.1712,7.8398692810458,-0.4,-0.076354529350681,NA,0.31749818181818,-0.95411089866157,8.3722,9.53,0,NA,30.6,NA,NA,NA,NA,4.5869980879541
