"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.63,0.1621,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1.15,53.3,NA,0.0903,0.01,0.8279,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,61.29,0,2077351,1770.5,143.6,NA,1770.5,0.85
"2",2008-12-31,0,1.01,0.2912,NA,NA,NA,0,0,NA,NA,NA,0.46703296703297,0,NA,0,NA,NA,NA,0,0,0,NA,0.0433,NA,0,3.07,14.436482084691,NA,0.28760330578512,NA,0.8631,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,44.32,0,2434290,578.2,170.9,NA,578.2,0.85
"3",2007-12-31,0,1.04,0.2465,NA,0,0,0,0,NA,NA,NA,0.51926977687627,0,NA,0,0,0,0,0,0,0,NA,0.0525,NA,0,3.37,12.522255192878,NA,0.28340466000951,NA,0.7984,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,42.2,0,1669435,550.4,162.8,0,550.4,0.8
"4",2006-12-31,0,1.48,0.207,NA,0,0,0,0,NA,NA,NA,0.6183574879227,0,NA,0,0,0,0,0,0,0,NA,0.057,NA,0,NA,NA,NA,0.1610666028937,NA,0.7086,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,43.11,0,904600,322.8,104.1,0,322.8,0.8
"5",2005-12-31,0,1.22,0.2155,NA,0,0,0,0,NA,NA,NA,0.5568445475638,0,NA,0,0,0,0,0,0,0,NA,0.122,NA,0,2.91,14.783505154639,NA,0.13158591474715,NA,0.6421,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,43.02,0,416100,316.3,107.6,0,316.3,0.75
"6",2004-12-31,0,0.75,0.2107,NA,NA,0,0,0,NA,0,0,0.71191267204556,0,0,0,NA,NA,NA,0,0,NA,NA,0.047,NA,0,2.92,11.606164383562,0,0.11442786069652,NA,0.5092,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,33.89,0,157200,278.9,0,NA,278.9,0.6
"7",2003-12-31,0,0.36,0.2005,NA,NA,0,0,0,NA,0,0,0.35910224438903,0,0,0,NA,NA,NA,0,0,0,NA,0.0443,NA,0,2.86,12.947552447552,0,0.19218431029455,NA,0.4904,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,37.03,0,89100,230.6,76.1,0,230.6,0.6
"8",2002-12-31,0,0.29,0.1934,NA,NA,0,0,0,NA,NA,0,0.3356,0,NA,0,0,0,0,0,0,NA,NA,0.0488,0,0,2.84,12.422535211268,0,0.17911434236616,NA,0.4405,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,35.28,0,192646,189.6,76.3,0,189.6,0.55
"9",2001-12-31,NA,NA,0.2322,0,NA,0,0,0,NA,NA,0,0.0038,0,0.0891,0,NA,NA,NA,0,0,NA,NA,0.0557,NA,0,NA,NA,NA,0.13724088634739,0,0.3641,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,26.55,0,117600,0,59.6,0,146.5,0.6
"10",2000-12-31,NA,0.6,0.2745,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0538,NA,0,NA,9.4566037735849,NA,0.24162257495591,NA,0.1969,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,25.06,0,NA,NA,62.9,0,133.9,NA
"11",1999-12-31,NA,0.7,0.2684,NA,NA,0,0,0,0,NA,NA,0.39120715350224,0,0,0,0,0,0,0,512.9,NA,3.743795620438,0.0375,0,512.9,NA,6.768115942029,0,0.1644436379034,NA,0.1365,0,512.9,0,0,NA,0.52043795620438,NA,0,NA,0,3.743795620438,NA,NA,0,NA,NA,NA,NA,71.3,7.1935483870968,137,NA
