"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,15.3,0.8,0.2125,0,202.5,1369,0,30.2,0.1401,0.0221,NA,0.8,33.17,0,0.0227,4.9,49,34.62,49,0.2877,0.2935,185.4,1.08,3.81,3.81,0.09,34.62,215.6,0,0.87,16.89,-0.22,NA,0.1238,NA,0.6537,0.0106,172.3,215.6,0,0,6.5,0,0.3917,1.06,3.69,0,0,NA,0.2009,0.0321,6.5,14.69,0,19985,NA,12.5,17.25,NA,0.65,1.06
"2",2010-12-31,0,0.67,0.214,NA,NA,NA,0,0,0,NA,NA,0.70093457943925,NA,0,0,0,NA,NA,NA,0,NA,87.3,NA,NA,NA,0.09,NA,87.3,NA,NA,NA,NA,NA,0.19384129490722,NA,0.6985,NA,NA,87.3,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,12.56,0,32363,NA,14.1,6.1914893617021,NA,0.6,NA
"3",2009-12-31,0,0.44,0.2205,NA,NA,NA,0,0,0,NA,NA,0.68027210884354,NA,0,0,0,NA,NA,NA,0,NA,90.9,NA,NA,NA,0.075,NA,90.9,NA,NA,NA,NA,NA,0.14384989576095,NA,0.5547,NA,NA,90.9,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,13.92,0,25539,NA,4.4,20.659090909091,NA,0.6,NA
"4",2008-12-31,0,0.3,0.1876,NA,NA,NA,0,0,0,NA,NA,0.46908315565032,NA,0,0,0,NA,NA,NA,0,NA,92.1,NA,NA,NA,0.09,NA,92.1,NA,NA,NA,NA,NA,0.24835164835165,NA,0.469,NA,NA,92.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,13.78,0,18666,NA,-0.5,NA,NA,0.55,NA
"5",2007-12-31,0,0.17,0.1816,NA,0,0,0,0,NA,NA,NA,0.44052863436123,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,0.13,NA,0,NA,0.35,35.085714285714,NA,NA,0.38707482993197,NA,0.1629,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.28,0,3300,NA,9.4,0,NA,0.5,NA
"6",2006-12-31,6.2,-0.27,0.1508,0,60.9,697.3,0,16.6,0.14127659574468,0.023806109278646,NA,0.47745358090186,12.239583333333,0,0.044323404255319,5.208,26.5,17.75,26.5,0.33019,NA,100.9,2.2776523702032,3.8075471698113,3.8075471698113,0.13,NA,117.5,0,0.42,45.857142857143,NA,NA,0.13414087034545,NA,0.1507,0.0094650795927148,44.3,117.5,0,0,9.6,0,0.5425,1.9293924466338,0.94150641025641,NA,NA,NA,0.40067641083521,0.1576354679803,6.7,19.26,0,5801,NA,10.5,11.190476190476,NA,0.45,1.9293924466338
"7",2005-12-31,6.2,-0.15,0.16,0,60.9,697.3,0,16.6,0.11456176673568,0.023806109278646,NA,0.45,15.09375,0,0,0,26.5,17.75,26.5,0.33019,NA,128.3,2.8961625282167,4.8415094339623,4.8415094339623,NA,NA,144.9,0,0.44,56.386363636364,0.22,NA,0.10408432147563,NA,0.1473,0.0094650795927148,44.3,144.9,0,0,9.6,0,0,2.3793103448276,NA,NA,NA,NA,0.40067641083521,0.1576354679803,6.7,24.81,0,3564,NA,10.7,13.542056074766,NA,0.45,2.3793103448276
"8",2004-12-31,6.5,-0.05,0.1357,0,NA,640.9,0,17.9,0.12277091906722,0.027929474176939,0,-0.073691967575534,16.38202247191,0,0.030315444489963,4.81,NA,NA,NA,0.34688,NA,127.9,2.8871331828442,NA,NA,NA,NA,145.8,0,NA,NA,NA,0,0.11385642737896,NA,0.1322,0.010298018411609,44.3,145.8,0,0,8.9,0,0.54044943820225,2.3440514469453,NA,0,NA,NA,NA,0.14308681672026,7.2,24.41,0,1131,NA,10.3,14.155339805825,0,0.45,2.3440514469453
"9",2003-12-31,6.2,-0.01,0.1562,0,NA,640.9,0,17.9,0.12061994609164,NA,0,-0.01280409731114,16.674157303371,0,0,0,NA,NA,NA,0.34688,NA,130.5,2.9458239277652,NA,NA,NA,NA,148.4,0,NA,NA,NA,0,0.11650485436893,NA,0.1235,0.010298018411609,44.3,148.4,0,0,8.9,0,0,2.3858520900322,NA,0,NA,NA,NA,0.14308681672026,7.2,22.23,0,700,NA,9,16.488888888889,0,0.45,2.3858520900322
"10",2002-12-31,7.5,0.02,0.1335,0,NA,609.6,0,50.8,0.34093959731544,NA,0,0.0346,21.285714285714,0,0.029194630872483,4.35,18,11.6681,18,0.35177,NA,98.2,NA,5.4555555555556,5.4555555555556,NA,11.6681,149,0,NA,NA,NA,0,0.16997370308391,NA,0.1977,0.010826771653543,27.7,149,0,0,7,0,0.62142857142857,1.8980891719745,NA,0,0,0,0.42123249097473,0.089171974522293,17.6,22.25,0,8120,0,9.1,16.373626373626,0,0.45,3.5451263537906
"11",2001-12-31,NA,0.2,0.1352,0,NA,609.6,0,50.8,0.35977337110482,NA,0,0.2615,20.171428571429,0,0.0277,3.9112,NA,NA,NA,0.35177,NA,90.4,NA,NA,NA,NA,NA,141.2,0,1.26,14.944444444444,NA,NA,0.23778501628665,0,0.1631,0.010826771653543,27.752,141.2,0,0,7,0,0.55874857142857,1.7987261146497,NA,0,NA,NA,NA,0.089171974522293,17.6,18.83,0,9000,0,9.3,15.182795698925,0,0.55,5.0879215912367
"12",2000-12-31,NA,0.6,0.1649,0,NA,573.5,0,21.5,0.22142121524202,NA,NA,0.6,16.183333333333,0,0.034624098867147,3.362,NA,NA,NA,0.33034,NA,75.6,NA,NA,NA,NA,NA,97.1,0,NA,12.421052631579,NA,NA,0.12239644278025,NA,0.1644,NA,61.5,97.1,0,0,6,0,0.56033333333333,1.1698795180723,NA,0,NA,NA,NA,0.072289156626506,NA,11.8,0,NA,NA,12.8,7.5859375,NA,NA,1.1698795180723
