"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,62.8,0.85,0.3713,0.2868,446.4,932.5,21,86.8,0.1575,0.102,0.0931,-2.23,0.57,8.4,21.2,0.0575,21.35,74,44.33,95,0.4025,0.4027,464.2,0.86,0.57,6.26,4.87,0.55,0.035,0.03,46.77,551,0.0768,0.85,6.94,-0.095,-0.005,0.3316,0.316,0.5755,0.6226,539.1,371.5,0.4832,0.3258,44.2,0.052,52.8,0.0621,0.5517,0.83,2.4,0.0872,0.44,-2.43,-0.0549,850.8,0.0822,0.099,68.2,5.9,179.5,323966,814.8,38.7,9.6,814.8,1.05,0.88
"2",2010-12-31,63.6,1.1,0.4764,0.30596068484464,437.8,926.9,17.4,86,0.10619906149667,0.09994189424753,0.092782392922645,0.064,0.5247691015953,11.507462686567,23.4,0.0326,20.1077,91.1,56.5676,114.5,0.37906,0.37891077636153,723.8,1.3285609397944,0.83957777520009,7.9451152579583,6.3213973799127,0.8411388727484,0.02,0.015,62.5037,809.8,0.078433487970655,0.8,11.3625,-0.05,-5e-04,0.32497589199614,0.316,0.6409,0.62725213075844,544.8,616.8,0.31290531776913,0.23833045196345,53.6,0.062289366647298,34.4,0.039976757699012,0.37514328358209,1.4088624942896,5.7537313432836,0.10586868099942,0.71679256246368,-5.936,-0.10493698901534,860.5,0.10383192731278,0.12243033348561,66.8,9.09,193,291521,862.1,45,13.706666666667,862.1,1,1.2837666455295
"3",2009-12-31,63.6,1.62,0.5341,0.37377202557306,401.6,908.2,9,86.6,0.082007575757576,0.10068596674805,0.09535344637745,-0.9154,0.49148099606815,15.578244274809,30,0.0234,19.1014,89.4,59.3401,119.4,0.33624,0.33586818757921,969.4,1.747611321435,1.1513064133017,10.843400447427,8.1189279731993,1.1270782467155,0.05,-0.005,81.2556,1056,0.086324598106144,1.03,12.398058252427,NA,-0.2077,0.24528301886793,0.407,0.5957,0.62673419951553,554.7,816.3,0.29364204336641,0.22698863636364,52.4,0.060923148471108,43.5,0.050575514475061,0.36453091603053,2.0326195219124,3.1156488549618,0.10394140216254,0.94907568887339,-21.9154,-0.36931856471394,860.1,0.10697700378583,0.1304780876494,62.5,12.77,239.7,225906,842,55.9,14.602862254025,842,1.05,1.6466552315609
"4",2008-12-31,63.4,1.4,0.5021,0.43157894736842,356.4,913.6,19.9,30.2,0.03144850567531,0.027890653860362,0.033056042031524,-8.5344,0.3505277833101,11,36.4,0.0277,19.1047,117.3,72.4586,153.7,0.38228,NA,930.1,1.5584785522788,1.0195111257262,7.9292412617221,6.0513988288874,0.85897672700406,0.005,0.015,97.493,960.3,0.10661120840631,0.77,14,0.06,-0.0024,0.52581664910432,0.42,0.5961,0.62489054290718,596.8,689.7,0.39234449760765,0.28178694158076,62.7,0.057905430365718,54.2,0.050055411895087,0.3047,1.9351851851852,22,0.10833025489472,0.6369597340229,-25.0344,-0.34550022951206,1082.8,0.12141178954424,0.17592592592593,81.7,10.78,270.6,277104,912.3,48.5,14.220618556701,912.3,1.1,1.5315789473684
"5",2007-12-31,67.9,1.22,0.3042,0.38810665068903,408.5,951.9,28.2,22.8,0.03746918652424,0.01960615702124,0.023952095808383,2.5179,0.49967126890204,3.7732181425486,36.7,0.058299942759015,20.37,164.9,101.0755,201.6,0.38705,NA,585.7,0.90834367245658,0.52472675147823,3.5518496058217,2.9052579365079,0.50365465646229,0.02,0.04,107.0575,608.5,0.11807963021326,1.1,5.6727272727273,0.095,0.083,0.60428762840554,0.419,0.6737,0.59302447736107,644.8,349.4,0.74155695477962,0.42580115036976,92.6,0.079628514919598,62.7,0.05391693180841,0.21997840172786,0.85532435740514,1.8866090712743,0.14180067073695,0.30045575715883,-5.9821,-0.059184292413497,1162.9,0.15675473790323,0.22668298653611,89.8,6.24,259.1,206297,1116.2,75.9,4.6034255599473,1116.2,0.95,0.91147393648892
"6",2006-12-31,74.9,-0.06,0.1848,0.29348604151754,493.5,969.3,33.7,38.3,0.027023213151767,0.03232885962691,0.039513050655112,0.6893,0.69264069264069,10.843470483005,34,0.017299348346119,20.972,186.1,116.065,220.1,0.37633,NA,1379,2.0887609815208,1.1755178586651,7.4099946265449,6.2653339391186,1.1640077656791,0.065,0.085,115.6757,1417.3,0.12029299494481,1.3,11.269230769231,0.11,0.1302,0.29990966576332,0.34,0.6298,0.58681522748375,660.2,1212.3,0.16910005774148,0.14464121921964,111.8,0.094369882670718,70.4,0.059424326833798,0.18758497316637,2.4565349544073,1.6682262281547,0.15708618215582,1.0232970372246,0.3893,0.0033543465719947,1184.7,0.17580276734323,0.22654508611955,90.5,14.65,205,1340000,1173.1,95.3,12.720881427072,1173.1,0.8,2.0290622763064
"7",2005-12-31,81.2,0.03,0.1289,0.099470559922991,561.3,889.7,28.2,24.6,0.011225700465456,0.021674008810573,0.027649769585253,-1.7695,0.8,18.597379912664,31.3,0.0091518737672584,19.488,190.1,116.6796,221.4,0.38622,NA,2166.8,3.6191748789043,1.848174684408,11.398211467649,9.7868112014453,1.9090748898678,0.11,0.11,121.5491,2191.4,0.12689670675509,1.51,18.350993377483,0.11,0.1534,0.16213683223993,0.3379,0.5751,0.5837922895358,598.7,2129.4,0.029116182962337,0.028292415807247,114.5,0.10088105726872,53.7,0.047312775330397,0.17020087336244,3.793693212186,1.6906709011512,0.16748898678414,1.8761233480176,-4.8695,-0.041733933913926,1135,0.19488822114582,0.20399073579191,88.1,27.71,62,337000,1172.4,104.5,20.377033492823,1172.4,0.9,3.5158029841168
"8",2004-12-31,85,0.26,0.1363,0.01718803712616,NA,828.4,35.1,38.8,0.017478264786702,0.034907782276203,0.046837276677933,3.1048,0.38151137197359,22.642418032787,28.8,0.0075786282682834,17,165.2431,98.9294,194.0432,0.40131,NA,2181.1,4.016758747698,1.9623031938821,13.199336856021,11.24028341119,2.116545366327,0.125,0.105,89.5246,2219.9,0.13737324963786,1.38,19.123188405797,0.13,0.1232,0.11536416799575,0.33,0.5753,0.55552873008209,543,2209.9,0.0045250916331056,0.0045047074192531,97.6,0.094711305191654,39.5,0.038330907326541,0.17418032786885,3.8648128716334,1.811393442623,0.16035240174672,2.1444929645803,9.4048,0.095065788856038,1030.5,0.18219046311879,0.17068905211613,80.7,26.39,10,111000,1111.5,97.6,22.642418032787,1111.5,0.85,3.8155723616363
"9",2003-12-31,87.5,0.41,0.153,0.0089190153407064,NA,759.1,31.9,32.2,0.014320658216589,0.031919111816019,NA,3.4662,0.5359477124183,25.669336384439,30,0.0062451209992194,14,176.5457,107.1774,206.5457,0.39292,NA,2216.3,4.194360333081,2.1969666931007,12.553687220094,10.730310874482,2.3462841414355,0.095,0.075,101.8112,2248.5,0.12870504544856,1.2,21.35,0.145,0.0716,0.12196135466445,0.335,0.5793,0.57937030694243,528.4,2243.5,0.0022286605749944,0.0022237046920169,87.4,0.09252593690451,51,0.053991107347025,0.16018306636156,4.0379769618431,2.7020354088883,0.1869,2.3750793986873,5.3662,0.050068668399813,944.6,0.20283381498713,0.15730741540677,80.3,25.62,5,33400,1008.8,87.4,25.669336384439,1008.8,0.85,4.0108811987157
"10",2002-12-31,90.2,0.41,0.1933,0.029701166180758,NA,736.7,17.4,25,0.013092432573972,0.027508802816901,NA,2.1,0.4678,20.873208379272,32.7,0.0057173040354955,10.824,150.3,92.5623,183,0.38415,NA,1884.5,NA,NA,12.538256819694,10.29781420765,2.073613556338,0.11,0.08,107.8623,1909.5,0.12786751730691,1.09,19.853211009174,NA,0.023,0.12755102040816,0.351,0.5331,0.59739378308674,523.8,1893.2,0.0086097612507923,0.0085362660382299,90.7,0.099801936619718,51.9,0.057108274647887,0.11933847850055,3.5553051643192,1.8975643981157,0.16538292253521,2.0831866197183,-15.3,-0.16529415796968,908.8,0.17671297250859,0.17032863849765,76.2,21.64,16.3,168128,915.5,86.8,21.811059907834,915.5,0.8,3.5977472317678
