"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,26.4,1.22,0.324,0.001,203.8,313.7,13,55.1,0.041,0.0752,0.1756,9.87,0.8,22.73,13.2,0,0,94,59.18,107,0.3671,0.3666,1288.2,8.65,1.63,13.78,12.07,1.76,0.155,0.095,49.51,1343.3,0.1262,2.95,17.86,0.115,0.12,0.1914,0.022,NA,0,148.9,1343.1,1e-04,1e-04,59.1,0.0807,122.1,0.1667,0,6.59,1.47,0.1276,1.83,9.67,0.1633,732.6,0.3974,0.29,155.7,52.7,0.2,235037,791.8,69.2,19.41,791.8,1,6.58
"2",2011-01-31,27.9,1.03,0.3909,0,200.1,314.3,10.5,75.5,0.063766891891892,0.11353383458647,0.2402163538021,7.5337,0.67152724481965,25.51724137931,13.6,0,0,73.6,46.4997,87.2,0.36821,0.36784741144414,1108.5,8.8964686998395,1.5496994268139,15.061141304348,12.712155963303,1.6669172932331,0.145,0.075,42.0661,1184,0.12758510976774,2.17,20.820276497696,0.105,0.1512,0.22569759896171,0.027,NA,0,124.6,1184,0,0,46.4,0.069774436090226,99.6,0.14977443609023,0,5.9170414792604,1.7598097502973,0.11067669172932,1.7804511278196,4.4337,0.095347925686179,665,0.37319216693419,0.23188405797101,143.2,45.18,0,396009,715.3,55.7,21.256732495512,715.3,1.05,5.9170414792604
"3",2010-01-31,28.7,1.17,0.4315,0,175.1,276.7,9.6,49.7,0.047669288317667,0.08374052232519,0.17961691362486,10.722,0.60834298957126,32.08,13.9,0,0,52.4,32.5802,66.3,0.37824,0.37858508604206,992.9,7.9178628389155,1.5078208048595,18.948473282443,14.975867269985,1.6729570345409,0.09,0.055,26.1582,1042.6,0.14853632092519,1.49,24.765100671141,0.125,0.0471,0.31463454875433,0.032,NA,0,125.4,1042.6,0,0,32.5,0.054759898904802,97.9,0.16495366470093,0,5.9543118218161,3.5644444444444,0.088289806234204,1.756697556866,6.422,0.19711307710961,593.5,0.25981039872408,0.18560822387207,129.9,36.9,0,360701,658.5,45.6,22.864035087719,658.5,1.05,5.9543118218161
"4",2009-01-31,28.5,1.01,0.3749,0,136.6,235.1,13.7,20.8,0.032454361054767,0.036866359447005,0.088472990216929,3.2084,0.44811949853294,21.799319727891,14.3,0,0,48,29.8502,62.3,0.37812,NA,620.1,5.3549222797928,1.0596377306904,12.91875,9.9534510433387,1.0990783410138,0.075,0.06,27.2418,640.9,0.19268396427052,1.04,21.144230769231,0.185,0.1175,0.28017967434026,0.034,NA,0,115.8,640.9,0,0,29.4,0.052109181141439,86.2,0.1527827011698,0,4.6918008784773,2.9065759637188,0.085076214108472,1.1359447004608,2.6084,0.087384112307498,564.2,0.25777409326425,0.21522693997072,123.1,21.99,0,476433,585.2,28.3,22.646643109541,585.2,1.05,4.6918008784773
"5",2008-01-31,29.4,1.28,0.3532,0,119.1,216.7,16.4,10.9,0.024744608399546,0.020933358939889,0.050299953853253,-5.7891,0.52095130237826,14.53795379538,12.2,0,0,48.2,30.0435,60.4,0.37669,NA,429.6,3.9704251386322,0.76837774995528,8.9128630705394,7.112582781457,0.82504321106203,0.105,0.11,31.6327,440.5,0.21458237194278,1.13,13.902654867257,0.235,0.0964,0.43814576933817,0.03,NA,0,108.2,440.5,0,0,30.3,0.058190896869599,78.5,0.15075859420012,0,3.6985726280437,1.3845670281314,0.092567697330517,0.84597657000192,-1.5891,-0.052894229890884,520.7,0.27766674676525,0.2544080604534,108.5,15.71,0,285244,559.1,29.5,14.93220338983,559.1,1.15,3.6985726280437
"6",2007-01-31,31.7,2.13,0.3658,0,136.6,212.9,16.3,30.4,0.048671149535703,0.059363405584847,0.14279004227337,-2.4965,0.61235647895025,16.393700787402,10.9,0,0,61.8,37.5781,72.7,0.39194,NA,594.2,5.5951035781544,1.1234637927775,9.6148867313916,8.1733149931224,1.1603202499512,0.17,0.14,34.6747,624.6,0.20009394081728,1.56,11.24358974359,0.255,0.1949,0.29038388445458,0.019,NA,0,106.2,624.6,0,0,38.1,0.074399531341535,76.1,0.14860378832259,0,4.5724743777452,0.96433534043539,0.12067955477446,1.219683655536,2.9035,0.077264570003909,512.1,0.35384282485876,0.27891654465593,100.5,17.54,0,1214927,528.9,35.3,17.694050991501,528.9,1.4,4.5724743777452
"7",2006-01-31,32.6,3.44,0.4703,0,124.8,195.8,15.3,25.9,0.026479910029649,0.058823529411765,0.13227783452503,-6.8688,0.39123963427599,29.110119047619,10.1,0,0,51.7,32.8812,61.8,0.364,NA,952.2,9.6279069767442,1.9759286158954,18.417794970986,15.407766990291,2.1626163979105,0.225,0.155,34.55,978.1,0.19203268641471,1.29,23.666666666667,0.235,0.2148,0.29266467065868,0.014,NA,0,98.9,978.1,0,0,33.6,0.07631160572337,72.7,0.16511469452646,0,7.8373397435897,1.2937830687831,0.11741994094935,2.2214399273223,-1.6688,-0.050751532556619,440.3,0.33246916076845,0.26923076923077,85.1,30.53,0,233575,481.9,35.2,27.786931818182,481.9,1.15,7.8373397435897
"8",2005-01-31,34,1.65,0.4385,0,NA,202.1,12.7,58.3,0.062133645955451,0.13669402110199,0.2884710539337,6.1785,0.75256556442417,37.382470119522,9.9,0,0,39.4393,24.8586,49.3393,0.3697,NA,880,12.273361227336,2.063305978898,22.312797530379,17.835698759102,2.3311258278146,0.1971,NA,15.88,938.3,0.16279069767442,0.98,29.061224489796,0.21,0.2067,0.30943069149948,NA,0.9225,0,71.7,938.3,0,0,25.1,0.066490066225166,47.6,0.12609271523179,0,7.2176923076923,1.8966245621269,0.10447483443709,2.4855629139073,8.9785,0.36118517356664,377.5,0.34670236087866,0.19307692307692,72.9,28.48,0,151741,426.5,31.9,29.413793103448,426.5,1.1,7.2176923076923
"9",2004-01-31,23.2,1.32,0.4233,0,NA,168.6,7.6,42,0.068717277486911,0.11615044247788,NA,6.9817,0.62367115520907,30.108374384237,7.3,0,0,39.2262,24.9086,46.5262,0.365,NA,569.2,7.035846724351,1.5741150442478,14.510709678735,12.233967098108,1.7732087227414,0.1814,NA,17.627,611.2,0.15539739027284,1.03,25.834951456311,0.215,0.1226,0.27648114901257,NA,0.9453,0,80.9,611.2,0,0,20.3,0.063239875389408,55.2,0.17196261682243,0,4.973148901546,1.6597780807187,0.1222,1.9040498442368,7.2817,0.29233563614864,321,0.30789415327565,0.16517493897478,63.2,26.61,0,111652,361.6,23.9,25.573221757322,361.6,1.05,4.973148901546
"10",2003-01-31,15.1,1.08,0.5078,0,NA,129.6,6.7,12,0.025862068965517,0.04297994269341,NA,12.3,0.4692,31.56462585034,6.9,0,0,23.4,14.8592,30.3,0.36499,NA,452,NA,NA,19.316239316239,14.917491749175,1.6189111747851,0.1834,NA,15.0592,464,0.20216049382716,1.25,23.552,NA,0.1402,0.43006239868541,NA,0.9305,0,85.3,464,0,0,14.7,0.052650429799427,58.9,0.21095988538682,0,4.7687564234327,1.7210810169215,0.083810888252149,1.6618911174785,-0.2,-0.013459644016643,279.2,0.17419969519344,0.15107913669065,55.5,29.44,0,56075,305.2,18.4,25.217391304348,305.2,1,5.2989449003517
