"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,39.8,1.41,0.2904,0.1552,1086.9,7483.7,0,107.9,0.1115,0.0144,NA,0.8,10.9,0,0.0332,25.47,667,495.56,667,0.2572,0.2571,860,0.73,1.29,1.29,0.08,495.56,967.9,0.0053,1.76,11.34,0.015,NA,0.1867,NA,0.9871,0.0063,1178.7,768.2,0.26,0.2063,70.5,0,0.2421,0.71,1.36,0,0,NA,0.4204,0.0649,0,19.96,199.7,213544,NA,105.2,7.3,NA,1.1,0.75
"2",2010-12-31,39.7,1.26,0.3288,0.18495878484764,880,7005.5,0,5.9,0.0077856954341515,0.00084219541788595,NA,0.8,6.8986402966625,0,0.0372,20.7613,672.7,488.7704,672.7,0.27342,0.27313566936208,751.9,0.70022350530825,1.1177345027501,1.1177345027501,0.08,488.7704,757.8,0.0059524659196346,NA,NA,0.04,NA,0.27366966136835,NA,NA,0.0067661123403041,1073.8,558.1,0.35782117900018,0.26352599630509,80.9,0,0.25662941903585,0.63420454545455,0.86233003708282,0,0,NA,0.45517821382008,0.091931818181818,0,13.71,199.7,201123,NA,52.5,10.630476190476,NA,1.15,0.70186162823006
"3",2009-12-31,39.2,1.29,0.3813,0.21716896964422,719.5,6343.1,0,307,0.33795684720387,0.048399047784206,NA,0.75399947547863,9.7095890410959,0,0.0245,17.3656,659.6,467.3596,659.6,0.29145,0.29126213592233,601.4,0.98251919620977,0.91176470588235,0.91176470588235,0.08,467.3596,908.4,0.0072046791001245,1.62,11.135802469136,0.14,NA,0.2720156555773,NA,0.9917,0.0074726868565843,612.1,708.8,0.28160270880361,0.21972699251431,73,0,0.23788493150685,0.98512856150104,1.213698630137,0,0,NA,0.76353468387518,0.10145934676859,0,18.04,199.6,216793,NA,95.6,7.4142259414226,NA,1.15,0.98835817647699
"4",2008-12-31,39.2,1.29,0.3542,0.34605857496722,448.8,5507.7,0,70.8,0.096734526574669,0.012854730649818,NA,0.51948051948052,45.357798165138,0,0.0254,12.5578,658.5,658.5,658.5,0,NA,661.1,1.0740861088546,1.0039483675019,1.0039483675019,0.08,NA,731.9,0.0082793180456452,1.37,9.1240875912409,0.245,NA,0.41722488038277,NA,0.9686,0.0086061332316575,615.5,494.4,0.48038025889968,0.32449788222435,10.9,0,1.1520880733945,1.1016042780749,5.6697247706422,NA,NA,NA,1.0698619008936,0.024286987522282,0,12.5,237.5,262978,NA,74.2,6.6630727762803,NA,1.15,1.0664432463937
"5",2007-12-31,42.2,1.47,0.2974,0.22345430107527,693.3,6259.3,0,131.1,0.2420158759461,0.020944834086879,NA,0.53799596503026,4.1328502415459,0,0.025897136177674,8.862,654.3,462.6948,654.3,0.29284,NA,410.6,0.53905737166864,0.62754088338683,0.62754088338683,0.08,NA,541.7,0.0060230377198728,1.23,7.4715447154472,0.28,NA,0.66928482844151,NA,NA,0.0075727317751186,761.7,342.2,0.58299240210403,0.36828502861362,82.8,0,0.10702898550725,0.49358142218376,0.51660628019324,NA,NA,NA,0.6074501614809,0.11942881869321,NA,9.19,199.5,450506,NA,6,57.033333333333,NA,1,0.60674283154122
"6",2006-12-31,43.1,1.53,0.183,0.26093802721854,657.1,6329.7,0,379.6,0.35845136921624,0.059971246662559,NA,0.8,8.3789260385005,0,0.021888754534462,18.102,653.9,460.071,653.9,0.29642,NA,679.4,1.3334641805692,1.0389967884998,1.0389967884998,NA,NA,1059,0.0051661216171383,0.48,37.333333333333,0.165,NA,0.1818875604172,NA,NA,0.0074885065642922,509.5,827,0.28053204353083,0.219074598678,98.7,0,0.18340425531915,1.2585603408918,NA,NA,NA,NA,0.90298520510304,0.1502054481814,NA,17.92,232,294359,NA,93.4,8.8543897216274,NA,1,1.1910921156225
"7",2005-12-31,43,1.4,0.1757,0.24744005184705,580.6,5840.6,0,289.6,0.26832206059483,0.049583946854775,NA,0.8,11.492884864166,0,0.020328680774426,18.06,664.9,546.3284,664.9,0.17833,NA,789.7,1.6387217264993,1.187697398105,1.187697398105,NA,NA,1079.3,0.0038694654658768,0.52,38.846153846154,-0.02,NA,0.12557886134568,NA,0.9932,0.0081156045611752,481.9,888.4,0.21488068437641,0.17687389974984,77.3,0,0.23363518758085,1.530141233207,NA,NA,NA,NA,1.1336965822785,0.1331381329659,NA,20.2,190.9,148200,NA,86.2,10.30626450116,NA,0.95,1.398963058976
"8",2004-12-31,42.8,0.85,0.2047,0.20072132057151,NA,5371.9,0,116,0.12218243100906,0.021593849475977,0,0.8304836345872,14.293072824156,0,0.022105263157895,17.976,NA,NA,NA,0.19273,NA,833.4,1.3777483881633,NA,NA,0.1,NA,949.4,0.0040209236955267,1.58,12.025316455696,-0.16,0,0.13475177304965,NA,0,0.0088236936651836,604.9,804.7,0.17981856592519,0.15241204971561,56.3,0,0.31928952042629,1.3965636931621,1.4293072824156,0,NA,NA,NA,0.097709128774731,0,19,144.7,134500,NA,89.5,8.991061452514,0,0.95,1.3169649049799
"9",2003-12-31,42.7,0.68,0.2425,0.21430687203792,NA,4973,0,146.8,0.15148075534001,NA,0,0.56082474226804,43.389473684211,0,0.022151898734177,17.934,NA,NA,NA,0.01064,NA,822.3,1.5562074186223,NA,NA,0.0933,NA,969.1,0.0051276895234265,NA,NA,-0.23,0,0.19135802469136,NA,0.9831,0.0095314699376634,528.4,824.4,0.17552159146046,0.14931379630585,19,0,0.94389473684211,1.5540056550424,4.6505330851244,0,NA,NA,NA,0.035815268614515,0,18.96,144.7,59700,NA,51.1,16.133072407045,0,0.95,1.435278436019
"10",2002-12-31,42.7,0.37,0.3523,0.21484780994803,NA,4512.3,0,125,0.17074170195329,NA,0,0.2317,38.644736842105,0,0.031985018726592,18.788,625.2,625.2,625.2,0,NA,607.1,NA,0.97104926423544,0.97104926423544,0.1,625.2,732.1,0,NA,NA,NA,0,0.15384615384615,NA,0.9703,0.010504620703411,548.5,587.4,0.24633980251958,0.19765059418112,15.2,0,1.2360526315789,1.1108169440242,3.8644736842105,0,0,0,1.1398359161349,0.02874432677761,0,13.82,144.7,142786,0,9.4,62.489361702128,0,0.95,1.1068368277119
