"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-28,263.1,1.27,0.2777,0.3364,2936.9,6008.8,27.8,712.9,0.1046,0.3984,0.1186,14.36,0.8,15.95,68.9,0,0,539,359.72,607,0.332,0.3321,6100.8,1.64,3.05,11.33,10.04,3.41,0.12,0.105,386.45,6813.7,0.0397,1.6,12.51,0.385,0.135,0.156,0.02,0.9375,0.7291,3712.6,5325.1,0.2795,0.2185,333.8,0.1866,120.5,0.0673,0,1.81,1.33,0.301,2.98,-26.74,-0.0743,1789.3,0.0969,0.1137,562.2,20.01,1488.6,1622061,2002.6,367.7,14.48,2002.6,1.05,1.54
"2",2011-09-28,259.3,0.96,0.3058,0.34928864239209,2698.5,5625.8,28,516.6,0.0868366643694,0.30757323172184,0.091826940168509,9.2633,0.8,14.612337662338,68.5,0,0,534.3,340.9903,602.8,0.3618,0.36179030252797,5432.5,1.4963915821948,3.0359338325696,10.167508890137,9.0121101526211,3.2344010478685,0.08,0.055,372.2269,5949.1,0.044740303601266,1.4,12.507142857143,0.48,0.0206,0.25148088314486,0.0229,0.9133,0.75150200860322,3630.4,4500.6,0.32184597609208,0.24348220739272,308,0.1833769945225,141.7,0.084365325077399,0,1.6678154530295,1.8265422077922,0.31811145510836,2.6795665634675,-31.2367,-0.091605805123294,1679.6,0.0939263607316,0.11413748378729,500,17.51,1448.5,2338099,1789.4,333.9,13.47888589398,1789.4,1.05,1.4345551000723
"3",2010-09-28,259.3,1.07,0.398,0.34928864239209,2698.5,5625.8,28,516.6,0.081070901729387,0.30757323172184,0.091826940168509,0,0.65954773869347,15.986038961039,68.5,0,0,534.3,340.9903,602.8,0.3618,0.36179030252797,5855.6,1.6129352137505,3.4863062633961,10.959386112671,9.71400132714,3.4863062633961,0.075,0.02,381.4903,6372.2,0.044740303601266,1.21,15.553719008264,0.48,0.0206,0.197328476017,0.016,0.9197,0.75150200860322,3630.4,4923.7,0.29418932916303,0.22731552681962,308,0.1833769945225,141.7,0.084365325077399,0,1.8246062627386,2.1314718614719,0.31811145510836,2.931471778995,-40.5,-0.11877172092833,1679.6,0.0939263607316,0.11413748378729,500,18.82,1448.5,2936043,1679.6,308,15.986038961039,1679.6,1.05,1.5365806607186
"4",2009-09-28,257.9,1.06,0.3996,0.43101379044859,2512.7,5689.8,31.4,294.1,0.051640884268933,0.17964693665628,0.051688987310626,0,0.44044044044044,12.567782565462,68.3,0,0,536.2,348.53,604.5,0.35,NA,5401,1.3102862688015,3.2991265041842,10.072734054457,8.9346567411084,3.2991265041842,0.13,0.035,385.43,5695.1,0.047734542514675,1.17,12.393162393162,0.775,-0.0291,0.31392778187178,0.018,0.9334,0.79682941403916,4122,3791.7,0.50199119128623,0.3342171340275,301.7,0.1842892920408,236.5,0.14446276953149,0,1.5090142078243,0.96675250503557,0.32753038910268,2.3161077515118,-36.9,-0.10587323903251,1637.1,0.084553614750121,0.12007004417559,482.1,14.5,1903.4,3734950,1637.1,301.7,12.567782565462,1637.1,1.1,1.2896220647177
"5",2008-09-28,256.2,1.54,0.4692,0.32161854103344,4642.3,8134.6,53.3,99.3,0.018370858231735,0.059301283965363,0.012207115285324,0,0.42625745950554,10.873430607397,172.9,0,0,548.2,346.2431,721.1,0.3684,NA,5306,0.78678509467815,3.1687070767393,9.6789492885808,7.358202745805,3.1687070767393,0.27,0.11,465.8431,5405.3,0.034912595579377,1.25,10.456,NA,-0.0254,0.55129842486164,0.019,0.983,0.87036854916038,6743.9,3204.4,0.68683684933217,0.40717443990158,294.7,0.1759928336817,291.9,0.1743206927441,0,0.69026129289361,0.40271965212583,0.32738130785309,1.9136458644371,-119.6,-0.345422026003,1674.5,0.051341674698617,0.063481463929518,490.4,13.07,2200.9,2804802,1674.5,294.7,10.873430607397,1674.5,1.25,0.78987900397475
"6",2007-09-28,55,1.57,0.4355,0.013710368466153,805.7,1066.3,22.8,100.4,0.026048828581065,0.13596966413868,0.094157366594767,0,0.53272101033295,40.624735729387,31.2,0,0,147.7,94.076,178.9,0.36306,NA,3753.9,5.239218422889,5.0838299024919,25.415707515234,20.983230855226,5.0838299024919,NA,NA,102.476,3854.3,0.065460001875645,2.08,34.192307692308,NA,0.5237,0.21799897733083,NA,0.6268,0.54571884085154,716.5,3843.1,0.0029143139652884,0.0029058454194017,94.6,0.12811484290357,122.1,0.16535752979415,0,4.7698895370485,NA,0.20002708559047,5.2046316359697,-8.4,-0.089289474541859,738.4,0.13129942498255,0.11741342931612,192.2,71.12,11.2,5140417,738.4,94.5,40.667724867725,738.4,1.45,4.7182029624189
"7",2006-09-28,52.6,2.61,0.4506,0.09568592327213,605.8,856.2,13,29.9,0.011808380395719,0.06462070456019,0.034921747255314,0,0.46160674656014,102.40663900415,16.1,0,0,45.3,22.6953,61.4,0.499,NA,2502.2,3.9096875,5.4078236438297,55.236203090508,40.752442996743,5.4078236438297,NA,NA,25.7953,2532.1,0.072062602195749,1.21,39.074380165289,NA,0.3528,0.23322822659563,NA,NA,0.58420929689325,640,2468,0.02597244732577,0.025314955965404,24.1,0.05208558461206,143.9,0.31100064836827,0,4.0739517992737,NA,0.097903609250054,5.3339096606873,-3.1,-0.13659215784766,462.7,0.03546140625,0.039782106305712,146.7,47.28,64.1,489474,462.7,27.4,90.07299270073,462.7,1.3,3.7798178832662
"8",2005-09-28,41.1,2.02,0.4878,0.0059772863120143,NA,211.8,7.2,68.3,0.040761518262115,0.23740006951686,0.32247403210576,13.7245,0.82820828208282,137.26229508197,7.6,0,0,12.5713,11.8294,20.1713,0.05902,NA,1607.3,16.235353535354,5.5867222801529,127.85430988264,79.682361211501,7.0279842588544,NA,NA,-1.4952,1675.6,0.15533522190746,NA,NA,-0.165,0.0872,0.52943425076453,NA,0.4356,0.059017941454202,99,1674.6,0.00059715753015646,0.0005968011458582,12.2,0.053344993441189,53.2,0.23261915172715,0,10.069753457607,NA,0.054968692610407,7.3222562308701,13.3245,1.1263929724322,228.7,0.11948868195152,0.073361395069152,72.8,37.92,1,412222,287.7,28.3,59.173144876325,287.7,1.15,10.015540944411
"9",2004-09-28,20.5,1.96,0.5448,0.0059772863120143,NA,211.8,7.2,68.3,0.11637416936446,0.29864451246174,NA,0,0.71953010279001,48.024590163934,7.6,0,0,20.1713,18.9808,27.7713,0.05902,NA,518.6,5.2383838383838,2.2675994752952,25.709744617859,18.673927869523,2.2675994752952,NA,NA,19.3808,586.9,0.15533522190746,NA,NA,-0.165,0.0872,0.29766492858762,NA,0.7696,0.059017941454202,99,585.9,0.0017067759003243,0.0017038677798603,12.2,0.053344993441189,53.2,0.23261915172715,0,3.5231509320505,NA,0.0882,2.5618714473109,-0.4,-0.021073896789896,228.7,0.19172553043636,0.073361395069152,72.8,27.54,1,85489,228.7,12.1,48.421487603306,228.7,1,3.5080693365212
"10",2003-09-28,19.4,2.39,0.7823,0.019283746556474,NA,184.3,6.1,45.8,0.13283062645012,0.24079915878023,NA,0.5,0.6715,1710,7.5,0,0,4.2,4.2,11.7,0,NA,299,NA,NA,71.190476190476,25.555555555556,1.5720294426919,0.15,NA,5.6,344.8,0.15952251763429,NA,NA,NA,-0.1425,0.42579862515164,NA,0.6525,0.085729788388497,99.4,342,0.008187134502924,0.0081206496519722,0.2,0.0010515247108307,53.2,0.27970557308097,0,2.4016853932584,114,0.022082018927445,1.7981072555205,-1.4,-0.33333333333333,190.2,0.042253521126761,0.0014044943820225,67.6,17.16,2.8,84211,204,3.2,106.875,204,0.95,3.0080482897384
