"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-10-31,95,2.84,0.8284,NA,-496.7,1602.2,0.8,250.7,0.1001,0.2209,0.1565,232.58,0.8,NA,9.3,0,0,-81,-81.04,-72,0,2254.4,2.57,1.52,NA,NA,1.99,NA,0.005,-305.12,2505.1,0.0333,0.05,140,NA,-0.275,0.6895,0.162,0.4152,0,876.7,881,1.8435,0.6483,-286.1,-0.2521,753.3,0.6638,NA,NA,NA,-0.0714,0.78,224.08,NA,1134.9,-0.0924,NA,211.4,7,1624.1,8719583,1485.3,-104.1,NA,1485.3,2.15,2.22
"2",2010-10-31,77.7,3.5,1.051,NA,-338.6,1817.6,2.5,367.2,0.20881433039522,0.26767750400933,0.20202464788732,-138.396,0.523311132255,45.461538461539,12.6,0,0,-90.0002,-90.0002,-77.4002,0,1391.3,1.4888175494917,1.2259229888096,NA,NA,1.0142149001312,NA,-0.065,58.4958,1758.5,0.034551056338028,NA,NA,NA,-0.1453,0.69779286926995,0.224,0.3121,0,934.5,118.2,13.877326565144,0.93278362240546,2.6,0.0018953200174953,801.4,0.58419594693104,0,NA,NA,-0.065607362589299,0.086164163872285,-148.496,NA,1371.8,-0.096308378812199,NA,238.2,1.45,1640.3,2049356,1134.9,-286,NA,1134.9,2.2,1.3509257125298
"3",2009-10-31,77.3,3.13,1.1591,NA,-484.9,2024.6,0.8,426.7,0.20242895773044,0.26730564430245,0.21075768052949,-125.6598,0.46372185316194,NA,18.5,0,0,-782.8084,-782.8084,-764.3084,0,1681.2,1.9408912491341,1.2255430820819,NA,NA,1.053185491449,NA,-0.09,-639.4486,2107.9,0.036501037241924,NA,NA,NA,-0.5206,0.4061135371179,0.216,0.4228,0,866.2,330.1,5.3856407149349,0.84339864319939,-716.7,-0.44897575643676,893.5,0.55973187997244,NA,NA,NA,-0.49038930025684,0.20679070350185,-143.3598,NA,1596.3,-0.90372712999307,NA,321.6,4.09,1777.8,1764039,1371.8,59.4,5.5572390572391,1371.8,2.15,1.6303658442262
"4",2008-10-31,76.7,3.15,1.1053,0.92968665488768,195,3637.3,5.2,848.1,0.29273091260527,0.25637072639884,0.23316745937921,-1001.0209,0.32570342893332,NA,18.4,0,0,-872.8822,-872.8822,-854.4822,0,2049.1,1.0643569499273,1.2836559543945,NA,NA,0.61941900184396,NA,-0.075,141.3386,2897.2,0.0255134302917,NA,NA,NA,-0.4412,0.8341307814992,0.217,0.3475,0,1925.2,318.9,8.0849796174349,0.88992820654425,-1124.6,-0.33995344759832,1934.5,0.58477676007376,NA,1.6353846153846,NA,-0.26386210513588,0.096399746077809,-1014.2209,NA,3308.1,-0.45339820797839,-5.7671794871795,459.9,3.84,2578.3,3181364,1596.3,-716.7,NA,1596.3,2.25,1.0446760177406
"5",2007-10-31,62.2,1.77,0.6557,0.62051046481582,1181.8,4540.5,37.8,34.4,0.014985189057327,0.0071683094042385,0.0075762581213523,994.7825,0.51242946469422,NA,18.3,0,0,-261.6042,-261.6042,-243.3042,0,2261.2,0.68341040287726,0.68355501813785,NA,NA,0.47119131467628,NA,-0.07,-1275.8867,2295.6,0.023521638586059,-7.35,NA,NA,-0.2245,0.79282868525896,0.273,0.8794,0.0081268582755203,3308.7,134.3,16.093075204765,0.94149677644189,-627.1,-0.13067577986622,3202,0.66723624163871,NA,0.11364020984938,NA,-0.054513373898185,0.027985580028757,1014.2825,NA,4798.9,-0.079065563514371,-0.53063124048062,625.2,1.72,2161.3,2733222,3308,-1124.6,NA,3308,2.1,0.68666806257665
"6",2006-10-31,61.8,3.61,0.4476,0.5196260295318,1802.2,5480,51.5,65.4,0.025823264629235,0.010637259685762,0.011934306569343,781.602,0.66130473637176,2.8876254180602,14.9,0,0,585.1,375.3299,600,0.35852,2467.2,0.64288506136488,0.51410710564701,4.2167150914374,4.112,0.4012881819069,-0.17,0.035,-442.8721,2532.6,0.020200729927007,NA,NA,0.415,0.1467,0.7012222725215,0.267,NA,0.036076642335766,3837.7,431.7,4.866574009729,0.82954276237858,149.5,0.024316059985036,3561.7,0.57930776487427,0,0.2395405615359,NA,0.095166064864513,0.070215672879867,818.202,2.1799540397143,6148.2,0.09780075253407,0.082954167129065,593.9,5.86,2100.9,3852039,4799,-629.9,NA,4799,1.85,0.6488688478389
"7",2005-10-31,61.7,2.48,0.3817,0.49657149280576,1791.4,4720,317.8,218.8,0.056770711709608,0.040909430857827,0.04635593220339,-377.9475,0.58684831019125,4.42369648156,9.1,0,0,1041.3,629.445,1050.4,0.39552,3635.3,1.0885435381483,0.59127874825152,3.4911168731393,3.4608720487433,0.6796986014509,0.01,0.075,698.6925,3854.1,0.020529661016949,1.8,18.833333333333,0.515,0.2736,0.37540942302847,0.28,0.7201,0.052860169491525,3339.6,2087.1,0.84662929423602,0.45847279520511,471.8,0.088213297434747,2527.4,0.47255253907711,0,1.1650664284917,4.42369648156,0.19469374018398,0.39022885348889,-69.2475,-0.1100136121719,5348.4,0.18847916636723,0.26336943172937,441.9,33.9,1767,998000,6148.2,340,6.1385294117647,6148.2,1.4,1.0830991456835
"8",2004-10-31,61.1,1.19,0.4782,0.56478575078473,NA,3156.3,104.8,65,0.014021614858597,0.013025791066311,0.020593733168584,447.277,0.49769970723547,8.5430152143845,6.2,0,0,608.2911,435.3783,614.4911,0.28426,4570.7,1.7088006579931,0.91595358810445,7.5140013560613,7.438187711366,1.0986203249688,0.19,0.175,-110.4987,4635.7,0.013972055888224,8.25,6.0169696969697,0.485,0.2783,0.26660914581536,0.281,0.5516,0.039761746348573,2674.8,3088.3,0.50105235890296,0.33380072049529,361.5,0.086890683588116,2242.8,0.53908278050187,0,2.589986581684,0.44963237970445,0.14620975867705,0.74230843188155,545.877,1.2537993651601,4160.4,0.16277039688919,0.30317007715532,452.8,49.64,1547.4,533100,4990.1,361.5,8.5430152143845,4990.1,1.3,1.69198481641
"9",2003-10-31,60.1,0.75,0.5564,0.55643939393939,NA,2332.4,11.7,128.2,0.031956527158063,0.030814344774541,NA,450.7066,0.26959022286125,11.590520590521,6.7,0,0,490.2109,306.5975,496.9109,0.37456,3883.5,2.2581114083033,0.93344389962504,7.9221006289762,7.8152845472958,1.2128736062963,0.21,0.16,-149.1091,4011.7,0.011275938947007,6.1,7.9770491803279,0.42,0.2906,0.25491203287531,0.294,0.6745,0.024438346767278,1719.8,2983.4,0.3446738620366,0.25632524864771,257.4,0.080389768574909,1505.6,0.4702208063962,0,3.6396242527754,0.55192955192955,0.1531,0.93175926793466,455.7066,1.4863351604474,3201.9,0.17827508956949,0.314017323411,370.8,48.66,1028.3,350400,4160.4,270.3,11.037365889752,4160.4,1.15,2.1708333333333
"10",2002-10-31,30.9,0.94,0.5867,0.5772266065389,NA,1678.1,6.9,270,0.078007627412458,0.10583669789503,NA,528,0.3536,18.459218642906,6.5,0,0,299.4,182.7148,305.9,0.38973,3191.2,NA,NA,10.658650634603,10.432167374959,1.2509113715652,0.265,0.15,182.3148,3461.2,0.011441511232942,8.65,10.275144508671,NA,0.3456,0.55003196930946,NA,0.7171,0,1060.5,2693.2,0.28516263181346,0.22188836241766,145.9,0.057191015640312,851,0.33358159225432,0,4.7879111111111,0.69657428841155,0.11736113833248,1.0557014621144,0.4,0.0021892037033139,2551.1,0.17229121923621,0.25937777777778,287.7,88.88,768,847627,3201.8,NA,NA,3201.8,1.1,3.0091466289486
