"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.28,0.2816,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1.23,19.04,NA,0.1397,0.01,0.8088,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,23.42,0,586359,1270.6,137.6,NA,1270.6,1.2
"2",2008-12-31,0,1.46,0.4781,NA,NA,NA,0,0,NA,NA,NA,0.40158962560134,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1.4,16.935714285714,NA,0.47987804878049,0.01,0.8093,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,23.71,0,2355532,1067.9,142.2,NA,1067.9,1.2
"3",2007-12-31,0,1.45,0.3547,NA,0,0,0,0,NA,NA,NA,0.54130250916267,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,2.02,7.3613861386139,NA,NA,0.01,0.7387,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,14.87,0,2346060,1297.4,210,0,1297.4,1.2
"4",2006-12-31,0,1.17,0.1478,NA,0,0,0,0,NA,NA,NA,0.8,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,2.47,12.663967611336,NA,0.2039312039312,0.01,0.7446,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,31.28,0,1060211,1667.1,165.3,0,1667.1,0.9
"5",2005-12-31,0,1.27,0.1595,NA,0,0,0,0,NA,NA,NA,0.8,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,2.15,22.106976744186,NA,0.13372989645296,0.062,0.7019,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,47.53,0,888400,893.5,NA,NA,893.5,0.9
"6",2004-12-31,62.5,0.49,0.1841,NA,NA,0,0,0,0,NA,0,0.53231939163498,0,0.072817955112219,182.5,NA,NA,NA,0,2572.7,NA,NA,NA,NA,2572.7,1.8,22.277777777778,0,0.103562160887,0.066,0.5344,0,2572.7,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,40.1,0,249700,NA,143.1,17.978336827393,0,0.9
"7",2003-12-31,62.5,0.41,0.1837,NA,NA,0,0,0,0,0,0,0.44637996733805,0,0.063801506424457,180,NA,NA,NA,0,2884.8,5.0477690288714,NA,NA,NA,2884.8,1.76,25.647727272727,0,0.13710264498908,0.066,0.4633,0,2884.8,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,45.14,0,149600,571.5,143.1,20.159329140461,571.5,0.85
"8",2002-12-31,62.5,0.49,0.2036,NA,NA,0,0,0,0,NA,0,0.5326,0,0.069158950320821,180,0,0,0,0,2602.7,NA,NA,NA,0,2602.7,2.21,18.981900452489,0,0.22184701218617,0.071,0.3501,0,2602.7,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,41.95,0,313170,368.9,143.1,18.187980433264,368.9,0.8
"9",2001-12-31,NA,0.38,0.1972,0,NA,0,0,0,NA,NA,0,0.3337,0,0.0878,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,2.44,13.053278688525,NA,0.17505995203837,0.071,0.346,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,31.85,0,184700,0,142.3,0,344.2,0.8
"10",2000-12-31,NA,0.75,0.2482,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,12.122448979592,NA,0.19605911330049,0.078,0.2445,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,29.7,0,NA,NA,128.9,0,290.9,NA
"11",1999-12-31,NA,0.7,0.2274,NA,NA,0,0,0,0,NA,NA,0.46174142480211,0,0,0,0,0,0,0,1344.8,NA,5.2903225806452,0.053,0,1344.8,NA,6.1501210653753,0,0.15790431972325,NA,0.2149,0,1344.8,0,0,NA,0.47678992918961,NA,0,NA,0,5.2903225806452,NA,NA,0,NA,NA,NA,NA,121.2,11.095709570957,254.2,NA
