"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,164.7,0.56,0.2711,0.3731,2938,5779.1,290.5,597.5,0.0866,0.1473,0.1034,-14.29,0.52,10.09,256.1,0,0,502,501.5,758,0,NA,6298.6,1.54,1.57,12.56,8.31,1.55,0.055,0.05,481.39,6896.1,0.2345,2.42,12.91,0.12,0.075,0.1471,0.01,0.8792,0.2489,4089,5147.6,0.3397,0.2535,510.3,0.1258,1162,0.2864,0,1.75,1.83,0.1236,1.27,20.11,0.0401,4057.1,0.1226,0.1737,896.1,31.24,1748.5,1121132,4007.2,326.7,15.76,4007.2,0.75,1.47
"2",2010-12-31,166.7,0.68,0.3345,0.35444295737519,3183.5,6046.3,208.5,604.3,0.089353837054562,0.15426835494741,0.099945421166664,29.3735,0.52316890881913,8.9395721925134,245.9,0,0,538.9,538.9,784.8,0,0,6158.7,1.4232858034249,1.5262440523394,11.428279829282,7.8474770642202,1.5722199530277,0.115,0.08,546.9265,6763,0.21156740485917,4.18,7.2655502392345,0.12,-0.0096,0.37482582443103,0.01,0.8434,0.33059887865306,4327.1,5015.1,0.34852744710973,0.25845039183794,561,0.14321454099867,975.1,0.24892780557541,0,1.5753416051516,0.77735410369682,0.13757275605024,1.2802767282753,-8.0265,-0.014894264134536,3917.2,0.12454068544753,0.17622114025444,975.5,30.37,1747.9,1750831,4035.2,556,9.019964028777,4035.2,0.7,1.3714158251207
"3",2009-12-31,163.5,0.86,0.331,0.39748771414137,2623.7,5502.9,159.4,946,0.084397973021198,0.24385842806692,0.17190935688455,18.7951,0.52870090634441,18.734730183831,230.1,0,0,502.9,502.9,733,0,0,10262.8,3.0108548964384,2.5783986131699,20.407238019487,14.001091405184,2.6455288325213,0.12,0.04,554.8049,11208.8,0.20858093005506,3.75,14.850666666667,0.095,0.0433,0.12049643419468,0.01,0.8256,0.29982372930637,3408.6,9477.9,0.18262484305595,0.15442331025623,505.9,0.13041012553811,721.9,0.18609027401851,0,3.6124175782292,1.5612275153192,0.12963679014255,2.443198515196,-51.9049,-0.10321114003605,3879.3,0.14753857888869,0.19281930098716,953.5,55.69,1730.9,1196994,3980.3,654.3,14.485557083906,3980.3,0.7,2.5740136866762
"4",2008-12-31,159.6,0.97,0.3133,0.55013042267075,1776.4,5074.1,164.3,483.8,0.047001904169743,0.13329659732746,0.095346958081236,28.5349,0.35748483881264,19.899289389855,251.9,0,0,517.8,517.8,769.7,0,NA,9809.4,2.8310773759704,2.6243779763497,18.944380069525,12.744445888008,2.7026863204298,0.09,0.045,576.8651,10293.2,0.23493821564415,3.07,16.612377850163,0.06,0.0497,0.41578295000689,0.01,0.809,0.30976922015727,3464.9,8120.9,0.26749498208327,0.21104224147981,408.1,0.11243972999036,956.3,0.26347981815677,0,4.5715492006305,2.2110321544284,0.14266427882628,2.2374707259953,-59.0651,-0.11406940072156,3629.5,0.14944154232445,0.22973429407791,804.2,51,2172.3,1056097,3737.8,487.7,16.651425056387,3737.8,0.7,2.6067313292982
"5",2007-12-31,158.6,0.57,0.2637,0.56239813444999,1745.2,5084.7,210.5,241.1,0.037829695762007,0.070164716838368,0.047416760084174,-56.7316,0.42472506636329,11.770874893132,235.1,0,0,302.7,302.7,537.8,0,NA,6132.2,1.6365625834,1.6746408869955,20.258341592336,11.402380066939,1.7845876258658,0.095,0.07,384.0316,6373.3,0.25112592680001,2.63,10.197718631179,NA,0.2561,0.3134328358209,0.001,0.8039,0.35298051015792,3747,4130.4,0.54302246755762,0.3519212966595,350.9,0.10211861940516,864.1,0.25146964670275,0,2.3667201466881,1.2390394624349,0.088091496420464,1.2020254932775,-81.3316,-0.26868699139789,3436.2,0.080784627702162,0.20106578042631,871.3,26.82,2242.9,682056,3661.8,375.3,11.005595523581,3661.8,0.7,1.5980792858755
"6",2006-12-31,155.9,-0.03,0.2416,0.34170052234475,1361.1,2847.6,235,322,0.042908732326799,0.11976938813465,0.11307767944936,-113.2463,0.4635761589404,21.949628672909,156.7,0,0,339.6,323.958,496.3,0.04606,NA,7182.3,4.1145164986251,2.2467857478024,21.149293286219,14.471690509772,2.6714896782592,0.09,0.1,358.9043,7504.3,0.36500913049586,2.29,17.786026200873,NA,0.0617,0.14432196872597,0.003,0.7825,0.038277848012361,1745.6,6797.8,0.10393068345641,0.094146022946844,309.7,0.11519434628975,599.1,0.22283801376232,0,4.9943428109617,2.4388476303233,0.12631578947368,2.5284731262786,-34.9463,-0.10787286007773,2688.5,0.18558548579285,0.22753655131879,599.7,40.73,706.5,1089146,3196.7,318.6,21.336472065286,3196.7,0.7,3.6294737860321
"7",2005-12-31,161.7,NA,NA,0.34450587422253,1327.9,2789.2,256.1,520.6,0.08715888163402,0.19819545437241,0.1866485013624,13.7951,NA,18.880100214746,156.3,0,0,369.3,282.0418,525.6,0.23628,NA,5452.4,3.6223757640181,2.1418918918919,14.764148388844,10.373668188737,2.0757604598926,0.08,0.065,168.4467,5973,0.35522730532052,2.05,16.380487804878,NA,-0.036,0.21278746525145,0.002,0.7038,0.037322529757637,1505.2,5275.1,0.13230080946333,0.11684245772644,279.4,0.10636920851258,446.8,0.17009936422127,0,3.972512990436,2.3600125268432,0.14059466250428,2.0082613164808,113.5951,0.40275966204082,2626.7,0.18737828594207,0.21040741019655,479.7,33.58,697.9,579400,2545.6,273.8,19.266252739226,2545.6,0.75,2.948464804028
"8",2004-12-31,157,0,0,0.41528495869733,NA,2342.8,228.9,200.1,0.026046547953764,0.074639113730464,0.085410619771214,6.2706,NA,26.736600306279,145.5,0,0,363.1335,273.3851,508.6335,0.24715,NA,7482.3,5.0467422096317,2.790965720467,20.604818888921,14.710592204407,2.8288468809074,NA,NA,183.7144,7682.4,0.40391838825337,1.78,24.056179775281,NA,0.0022,0.22804628999319,0.007,0.6828,0.035000853679358,1482.6,6983.6,0.100063004754,0.090961157971467,261.2,0.09875236294896,462,0.17466918714556,0,7.0978758003862,NA,0.13729054820416,2.6403024574669,89.6706,0.32800119107727,2645,0.18439569369688,0.26547413355016,423.6,42.82,698.8,898500,2680.9,283.4,24.642201834862,2680.9,0,4.5655197004814
"9",2003-12-31,156,0,0,0,NA,2250.2,196.7,0,0,NA,NA,-715.8,NA,19.994623655914,146,0,0,506.3741,367.1212,652.3741,0.275,NA,5206.6,3.5821121431029,NA,10.282121459214,7.9810035376941,1.9844494416282,0.0867,NA,1032.2212,5206.6,0.38009954670696,1.75,18.92,NA,0,0.17655125128557,NA,0.6215,0.038352146475869,1453.5,5206.6,0,0,260.4,0.099249151960971,715.8,0.2728208255517,0,3.5821121431029,2.30618496608,0.193,1.9844494416282,-665.1,-1.811663176187,2623.7,0.25257738046096,0.17915376676987,231,33.11,0,185500,NA,0,NA,0,0,3.5821121431029
"10",2001-12-31,NA,NA,NA,0.0013,NA,1241.7,14.3,59.6,0.023697813121272,0.24750830564784,NA,1.2684,NA,81.083870967742,36.4,0,0,81.0008,49.2752,117.4008,0.39167,NA,2455.4,NA,NA,30.313280856485,20.914678605257,10.196843853821,0.2,NA,70.1068,2515,0.043810904405251,0.48,48.666666666667,NA,0.0175,0.39737991266375,0.173,0.7056,0.82419263912378,1038.65,2513.6,0.00055697008274984,0.00055666003976143,31,0.12873754152824,26.98,0.11204318936877,0,2.291757840992,4.0541935483871,0.20463129843854,10.43853820598,-20.8316,-0.42276019082874,NA,0.047441598867761,0.028264040846098,8,23.36,1.4,105800,240.8,36.2,69.436464088398,252.1,1.55,2.4214124103403
