"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,86.5,0.71,0.1879,0,340.8,525.7,126.3,139.8,0.1254,0.2645,0.2659,0.64,0.8,15.95,57.2,0.0062,6.92,107,69.46,164,0.3484,0.3486,975,4.85,1.8,9.15,5.95,1.84,0.105,0.08,-0.28,1114.8,0.4725,0.79,16.54,-0.015,0.015,0.1106,0.443,0.5501,0.0091,201,1114.8,0,0,69.9,0.1322,28,0.053,0.1076,3.27,1.52,0.2017,2.11,69.74,1.0041,528.6,0.3456,0.2051,14.6,13.07,0,372109,540.7,64.3,17.34,540.7,0.8,3.27
"2",2010-12-31,90.7,0.95,0.25,0,334.2,506,14.6,129.4,0.10191383791447,0.25905905905906,0.25573122529644,0.8386,0.8,20.712887438826,61.9,0.0056,7.1103,91.5,60.4028,153.4,0.33986,0.34015069967707,1140.3,5.56787109375,2.1649895576229,12.462295081967,7.4335071707953,2.2828828828829,0.11,0.075,106.8642,1269.7,0.43577075098814,0.82,17.426829268293,0.015,0.087,0.17395529640428,0.444,0.5985,0.0094861660079051,204.8,1269.7,0,0,61.3,0.12272272272272,15.4,0.030830830830831,0.11599216965742,3.7992220227409,1.8829897671659,0.18318318318318,2.5419419419419,-46.4614,-0.769192714733,499.5,0.29493559570312,0.18342309994016,14.2,14.29,0,656093,526.7,67.2,18.894345238095,526.7,0.8,3.7992220227409
"3",2009-12-31,90.7,0.66,0.2763,0,367.7,551.2,79.1,59.5,0.04072553045859,0.12948857453754,0.10794629898404,0.9715,0.76909156713717,25.676625659051,58.7,0.005,7.305,59.3,41.5373,118,0.29954,0.30012300123001,1401.5,4.5473718364698,2.8938674375387,23.634064080944,11.877118644068,3.0500544069641,0.12,0.065,20.1658,1461,0.49927431059506,0.75,21.36,0.065,-0.2367,0.12067840834964,0.444,0.5555,0.0087082728592162,308.2,1461,0,0,56.9,0.12383025027203,18,0.039173014145811,0.12838312829526,3.9733478379113,2.1397188049209,0.12905331882481,3.1795429815016,21.3715,0.51451351123239,459.5,0.13477377676833,0.15474571661681,13,16.02,0,522456,484.3,57.6,25.364583333333,484.3,0.85,3.9733478379113
"4",2008-12-31,94.2,0.53,0.2709,0,360,557.7,35.9,56.9,0.040374654083588,0.090952685421995,0.10202617894926,5.0772,0.50203026947213,20.132857142857,46.1,0.0051,7.1874,88.4,57.7623,134.5,0.34658,NA,1352.4,4.4618937644342,2.7741538461539,15.298642533937,10.055018587361,2.1617647058824,0.1,0.09,62.8851,1409.3,0.4262148108302,0.75,20.36,0.125,0.0875,0.17573656845754,0.444,0.5937,0.0086067778375471,303.1,1409.3,0,0,70,0.11189258312021,-23,-0.036764705882353,0.10267757142857,3.9147222222222,2.0132857142857,0.14130434782609,2.2527173913043,-5.1228,-0.088687459370527,625.6,0.1905718508743,0.19444444444444,16.8,15.27,0,764538,487.5,65.5,21.516030534351,487.5,0.85,3.9147222222222
"5",2007-12-31,96.9,0.28,0.2661,0,342.8,526.3,43.6,196.6,0.13974978675007,0.33215070113195,0.3735512065362,1.0502,0.54114994363021,18.461942257218,48.5,0.0055103781632073,7.752,110.4,69.6503,158.9,0.36911,NA,1210.2,8.2777017783858,1.9019330504479,10.961956521739,7.6161107614852,2.044602128738,0.065,0.06,73.5001,1406.8,0.45183355500665,0.71,22.197183098592,0.16,0.0488,0.24031007751938,0.419,0.648,0.0091202736082082,146.2,1406.8,0,0,76.2,0.12873796249366,-14,-0.023652644027707,0.10173228346457,4.1038506417736,2.8402988088027,0.18651799290421,2.3767528298699,-3.8498,-0.05527363180359,591.9,0.47640393980848,0.22228704784131,17.4,15.76,0,861448,636.3,67.2,20.934523809524,636.3,0.9,4.1038506417736
"6",2006-12-31,98.3,1.28,0.237,0,495,669.1,76.1,331.3,0.23929216323583,0.57929707990907,0.49514272903901,0.9058,0.8,15.877293577982,47.4,0.0056800288912965,7.864,123.4,79.593,170.8,0.355,NA,1053.2,6.4337202199145,1.7975763782215,8.5348460291734,6.1662763466042,1.8415806959259,0.05,0.06,49.9872,1384.5,0.3706471379465,0.78,17.307692307692,0.175,0.1016,0.18620689655172,0.41,0.6621,0.007173815573158,163.7,1384.5,0,0,87.2,0.15247420877776,-37,-0.064696625284141,0.090183486238532,2.7969696969697,3.1754587155963,0.21577198810981,2.4208777758349,29.6058,0.37196427768746,571.9,0.48621258399511,0.17616161616162,17.4,13.5,0,778202,585.9,79.1,17.503160556258,585.9,1.2,2.7969696969697
"7",2005-12-31,99.1,1.36,0.2403,0,433.3,573.5,49.2,5.4,0.0035968827016586,0.010309278350516,0.0094158674803836,-20.9654,0.7324178110695,20.880389429764,38.2,0.0052807566775461,7.928,104.1,67.1435,142.3,0.35501,NA,1495.9,3.4959102594064,2.6471420987436,14.369836695485,10.512297962052,2.8558610156548,0.1,0.085,77.1088,1501.3,0.34960767218832,0.92,16.326086956522,0.16,0.156,0.16295636687444,0.4,0.6101,0.0083696599825632,427.9,1501.3,0,0,71.9,0.13726613211149,265.9,0.50763650248186,0.11026425591099,3.4648049849989,2.0880389429764,0.19873997709049,2.8661702940054,-9.9654,-0.14841933526989,523.8,0.15691390278102,0.16593584121856,8.7,15.02,0,217369,565.1,89.2,16.830717488789,565.1,1.1,3.4648049849989
"8",2004-12-31,75,0.82,0.2675,0,NA,517,43.9,1.6,0.0010582710496726,0.0031790184780449,0.0030947775628627,24.3381,0.61308411214953,24.229166666667,29.6,0.003942828979793,6,93.5885,60.4806,123.1885,0.35376,NA,1510.3,3.8955377869487,3.0007947546195,16.137675108414,12.260077953737,3.304091008532,0.11,0.1,21.8425,1511.9,0.35725338491296,0.97,20.917525773196,0.14,0.1282,0.13357753357753,0.394,0.5878,0,387.7,1511.9,0,0,62.4,0.13651279807482,240.8,0.52679938744257,0.096153846153846,3.8836372977138,2.2026515151515,0.20474392911836,3.3075913366878,38.6381,0.6388516606291,457.1,0.15599845222595,0.16028769586437,14.4,20.29,0,133158,503.3,62.4,24.229166666667,503.3,1.05,3.8836372977138
"9",2003-12-31,75,0.44,0.3328,0,NA,448.4,47.1,127.9,0.074795321637427,0.29028597367226,NA,5.1528,0.26442307692308,33.011583011583,26.5,0.0035211267605634,6,103.341,67.9229,129.841,0.34273,NA,1582.1,7.7706286836935,3.5907852927826,15.309507813016,12.184902135311,3.9054554431005,0.12,0.11,42.1701,1710,0.39183764495986,0.92,24.695652173913,0.12,0.189,0.23644251626898,0.395,0.5096,0,203.6,1710,0,0,51.8,0.1278696618119,58.8,0.14514934584053,0.11583011583012,5.158371040724,2.7509652509652,0.2551,4.2211799555665,25.7528,0.3791473048417,405.1,0.33360975266552,0.15625942684766,12.5,22.72,0,130239,440.6,53.8,31.7843866171,440.6,0.9,5.158371040724
"10",2002-12-31,50,0.77,0.3894,0,NA,373.1,58.5,109.4,0.086311637080868,0.32110361021426,NA,22.6,0.4328,29.614485981308,20.4,0.0031558185404339,4,62,40.9206,82.4,0.33999,NA,1158.1,NA,NA,18.679032258064,14.054611650485,3.3991781626064,0.12,0.105,2.8206,1267.5,0.4057893326186,1.12,22.125,NA,0.1566,0.22474977252047,0.395,0.5399,0,166.5,1267.5,0,0,42.8,0.12562371587907,36.9,0.10830642794247,0.093457943925234,4.5940558173251,2.4678738317757,0.18197828001174,3.7202817728207,38.1,0.93107093685286,340.7,0.24576948948949,0.1551286698079,8.8,24.78,0,88679,394,44.4,28.547297297297,394,0.85,6.9555555555556
