"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,237.9,2.23,0.4807,0.6894,1776,8657,330,562,0.0728,0.0501,0.0649,-3.31,0.8,15.03,439,0.0252,95.16,612,426.7,1051,0.3028,0.3028,7152.7,1.39,0.64,11.69,6.81,0.64,NA,0.12,539.01,7714.7,0.4184,1.78,8.93,-0.07,0.2905,0.224,0.6523,0.0572,5156,3772.7,1.0449,0.511,251,0.0224,1770,0.1577,0.183,2.12,NA,0.0545,0.34,-112.31,-0.2632,11221,0.0828,0.1413,1089,15.9,3942,3280640,11200,520,7.26,11200,1.1,1.35
"2",2010-12-31,235.1,2.64,0.7691,0.85572205277815,1088,8307,236,568,0.064887589106196,0.061405405405405,0.068376068376068,296.4396,0.3250552593941,85.207407407407,382,0.041,94.3246,435,435,817,0,0,8185.6,1.1738993259716,0.74407781110808,18.817471264368,10.019094247246,0.88492972972973,NA,0.075,284.5604,8753.6,0.41759961478271,1.09,9.1743119266055,0.1863,0.45160202360877,0.246,0.6449,0.03767906584808,6973,2300.6,2.8049204555333,0.73718241637726,27,0.0029189189189189,1566,0.1692972972973,3.4935037037037,2.1145220588235,NA,0.047027027027027,0.24871351351351,150.4396,0.34583808636222,9250,0.062383479133802,0.024816176470588,991,10,6453,3759868,11001,369,6.2346883468835,11001,1,1.1608009547805
"3",2009-12-31,234.1,2.34,0.805,0.69550858652576,1844,8626,189,1745,0.21981759548524,0.22478423289965,0.2022953860422,153.1064,0.27950310559006,NA,442,0.0254,94.6506,63,63,505,0,NA,6193.4,1.4366504291348,0.69323931049922,98.307936507937,12.264158415842,0.79781012495169,NA,0.07,162.8936,7938.4,0.40760491537213,0.85,18.364705882353,-0.2417,0.34822497008377,0.233,0.6006,0.025388360769766,4311,3726.4,1.1303134392443,0.53058550841479,-259.3,-0.033402035295633,1015,0.1307484220018,NA,2.0208242950109,NA,0.0081154192966637,0.48002061058869,-99.8936,-1.5856126640617,7763,0.014613778705637,-0.14061822125814,1005,15.61,4212,3688763,8934,132,28.230303030303,8934,0.9,1.3108322324967
"4",2008-12-31,233.6,2.25,0.7581,0.7068463219228,1610,8058,418,657,0.10038810622498,0.06431718061674,0.081533879374535,-289.4094,0.17939585806622,NA,398,0.0352,93.7235,165,165,563,0,NA,5887.6,1.2177042399173,0.7630378434422,35.682424242424,10.457548845471,0.57636808614782,0.07,0.015,434.4094,6544.6,0.45284189625217,0.09,125.44444444444,0.0017,0.70190895741557,0.325,0.5183,0.030404566890047,4835,2662.6,1.4579734094494,0.59316077376769,-56,-0.0054821341164954,1183,0.11581008321096,NA,1.6537888198758,NA,0.016152716593245,0.26065589818894,-269.4094,-1.6327842299649,10215,0.034126163391934,-0.034782608695652,1099,11.29,3882,4407812,7716,-28.8,NA,7716,0.85,1.1916605972323
"5",2007-12-31,221,1.52,0.4452,0.6614523482967,1539.1,8165.6,665.1,154,0.03511011809767,0.01595722634393,0.01885960615264,-109.2836,0.35938903863432,3.3917012448133,412.9,0.10814778566185,88.4,523.7,523.7,936.6,0,NA,4232.2,0.85431680090434,0.39662992952467,8.0813442810769,4.5186846038864,0.43853359307001,0.025,0.025,380.7836,4386.2,0.46078671499951,0.59,5.8305084745763,-0.2673,0.80252100840336,0.525,0.493,0.032538943862055,4953.9,817.4,4.3660386591632,0.81364278874652,241,0.024972023044722,1034.4,0.10718282422183,0.36680497925311,0.53108959781691,1.3566804979253,0.05426493140465,0.084697641646288,142.9164,0.27289744591069,9650.8,0.10571468943661,0.15658501721786,1016,3.44,3568.8,8620675,10670.4,51.2,15.96484375,10670.4,1,0.8587090585172
"6",2006-12-31,220.7,NA,NA,0.6773258514651,1449.1,8444.9,549.9,263.2,0.028629545429824,0.020017949224989,0.031166739689043,206.4678,NA,13.109640831758,470,0.01591204037491,88.28,864.2,711.1502,1334.2,0.1771,NA,8930.1,1.8484227521113,0.82202789156349,10.333371904652,6.6932244041373,0.67918802573736,0.13,-0.015,424.7823,9193.3,0.48069248895783,1.45,17.068965517241,0.0169,0.24424972617744,0.595,0.5036,0.032895593790335,4831.2,5548,0.65704758471521,0.39651702870569,423.2,0.032186915319207,1188.2,0.090369784457188,0.2086011342155,3.8285832585743,1.0084339101352,0.065727628116396,0.42195889931702,286.3678,0.40268266057296,13148.2,0.14719949080974,0.29204333724381,1130,24.75,3645.3,2449414,10863.5,304.6,18.214051214708,10863.5,1,1.8045893530151
"7",2005-12-31,221.2,NA,NA,0.78332454753119,1520.6,8870.5,338.7,142.8,0.016636957813428,0.011017158375509,0.016098303365087,50.762,NA,8.9780195865071,500.8,0,0,1074.4,768.0026,1575.2,0.28518,NA,8440.5,1.4463560498312,0.68239697952122,7.8560126582278,5.3583671914678,0.65119275398099,0.845,0.07,879.3406,8583.3,0.52344287244236,1.9,9.9842105263158,0.1275,0.20527105751863,0.595,0.3567,0.03466546417902,5835.7,4125.4,1.0805982450187,0.51936900725828,459.5,0.03545087026293,1110.1,0.085645290704851,0,2.7130080231488,0.10624875250304,0.082891001110974,0.31827860757931,-111.338,-0.14497090900404,12961.6,0.13160419624038,0.30218334867815,676.9,18.97,4457.9,425400,12368.9,451.2,9.1431737588653,12368.9,NA,1.4356945722171
"8",2004-12-31,221,0,0,0.97030328234986,NA,9436.5,226.6,243.2,0.024004105965494,NA,0.025772267260107,-1140.4,NA,85.347438752784,536.8,0,0,618.6715,429.1972,1155.4715,0.30626,NA,9888.4,1.4086842555131,NA,15.983280819733,8.5578918832337,0.86092392345331,NA,NA,1879.7972,10131.6,0.54584856673555,2.14,8.0467289719626,0.6221,0.29032258064516,0.59,0.3824,0.026376304774016,7019.6,3832.1,1.6438767255552,0.62176753918433,44.9,0.0039091748071532,1140.4,0.099287816260078,0,NA,NA,0.053864030367933,0.33363805742743,-1450.6,-3.3797987508341,11485.8,0.061142679431193,0.23288381742739,777.8,17.22,6299.5,796500,NA,0,NA,0,0,1.5605563513701
"9",2000-12-31,NA,0.65,0.4832,0.31913652275379,NA,163.5,6.4,23.9,0.19900083263947,0.096138374899437,NA,0.4331,0.40355960264901,32.7,8.6,0.061437308868502,4.018,17.97378,11.8422,26.5738,0.34114,NA,96.2,NA,NA,5.3522408753195,3.6201097472772,0.3869670152856,NA,NA,12.3959,120.1,0.2519877675841,NA,NA,0.0505,0.28286852589641,NA,0.3908,NA,92.8,65.4,0.83639143730887,0.45545378850958,2,0.0080450522928399,32.6,0.13113435237329,2.009,1.0548387096774,NA,0.047635578,0.26307320997586,-0.5537,-0.046756496316109,NA,0.12760996434052,0.032258064516129,78.2841,8.05,54.7,NA,248.6,3.8,17.21052631579,213.6,NA,1.0291345329906
"10",1999-12-31,NA,0.65,0.4004,0.44531864673485,NA,179.6,4.9,36.9,0.36354679802956,NA,NA,NA,0.24350649350649,7.4833333333333,8.5,0.089487750556793,4.018,25.7,18.1851,26.6851,0.29241,NA,64.6,NA,NA,2.5136186770428,2.4208299601916,0.25912555154432,NA,NA,21.3347,101.5,0.2511135857461,NA,NA,0.0735,0.52136752136752,0.135,0.4668,NA,90.2,44.9,1.260579064588,0.5576354679803,NA,0.022462896109105,NA,0.098275170477336,0.66966666666667,0.63687943262411,NA,0.103088648215,0.18010429201765,NA,-0.19796467023513,NA,0.20160823725055,0.079432624113475,75.8,NA,NA,NA,NA,5.6,8.0178571428571,249.3,NA,0.79858379228954
