"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,1163.2,0.63,0.1459,0.6075,20236,116433,4108,11922,0.0479,0.1115,0.1024,-111.35,0.8,13.73,4815,0.019,4129.36,20286,15313.7,25101,0.2451,0.2451,237147.2,5.98,2.27,11.69,9.45,2.22,0.095,0.065,16132.05,249069.2,0.1192,15.07,12.71,0.165,0.07,0.0885,0.01,0.5817,0.2543,39634,217749.2,0.1438,0.1257,15855,0.1483,5346,0.05,0.254,10.76,1.45,0.1897,2.04,-818.35,-0.0534,106916,0.3864,0.7835,29852,191.55,31320,4551170,104689,16260,13.39,104689,0.85,4.83
"2",2010-12-31,1228,0.4,0.146,0.55262954668314,23172,113452,4185,11651,0.047911091226402,0.11666166015821,0.10269541303811,176.5857,0.8,14.464747522416,4831,0.017,3647.4452,18150,13650.0705,22981,0.24793,0.24793388429752,231528.6,5.7673085066634,2.1750394558846,12.756396694215,10.074783516818,2.3182997897266,0.12,0.09,14119.4847,243179.6,0.12424637732257,13.89,13.238300935925,0.16,0.1086,0.14357800856657,0.01,0.601,0.25230053238374,40145,214555.6,0.13341064041209,0.11770724189036,14833,0.148523080004,2681,0.026844898367878,0.24590070788108,9.2592611772829,1.205395626868,0.18173625713427,2.1483488535096,-469.4143,-0.03438914535541,99870,0.34001919292564,0.64012601415502,27863,183.88,28624,5608725,106448,15623,13.733316264482,106448,0.85,4.6949494169434
"3",2009-12-31,1305.3,0.69,0.2214,0.53423395762972,22755,109022,3447,13974,0.06736970802603,0.14593036613129,0.12817596448423,75.9234,0.8,13.506338919926,4994,0.0185,3354.4681,17013,12592.342,22007,0.25984,0.25984121733377,193448.6,5.5459591181446,1.9722948931007,11.37063422089,8.7903212614168,2.0201821257754,0.13,0.065,14063.4187,207422.6,0.12992790445965,12.12,12.108910891089,0.145,-0.0521,0.11964482222138,0.01,0.5886,0.20824237309901,34881,181322.6,0.14394234364608,0.12583006866176,13425,0.14019716368345,3127,0.032655235071743,0.24986727001862,7.968472863107,1.0389491476866,0.1776666179327,1.893550408321,-1471.0766,-0.1168231111506,95758,0.36100863163327,0.58998022412657,26772,146.76,26100,5406125,98083,14389,12.601473347696,98083,0.85,4.245678026814
"4",2008-12-31,1339.1,0.73,0.2266,0.71587432212867,13465,109524,4171,12907,0.063055004462753,0.12454887580816,0.11784631678901,-382.7772,0.63548102383054,13.845329982163,5450,0.0177,3022.5989,15938,11760.6502,21388,0.2621,NA,191787.3,5.5616314812667,2.0075502705871,12.033335424771,8.9670516177296,1.8506928495609,0.105,0.07,13422.4274,204694.3,0.13061064241627,10.18,12.858546168959,0.12,0.0852,0.23805973626578,0.01,0.6032,0.19268836054198,34484,170768.3,0.19866684858958,0.16573983740632,12334,0.11901958892213,4899,0.047273955418315,0.24506234068429,12.682383958411,1.3186028554441,0.15379716298369,1.6478654829682,-1661.7772,-0.14129977414192,103630,0.34104657812319,0.91600445599703,29723,130.9,33926,8080103,95533,13038,13.097737383034,95533,0.9,4.3192652613365
"5",2007-12-31,1385.2,1.05,0.2235,0.55336972891566,28470,120431,4630,16146,0.11255552488268,0.1634442127427,0.13406847074258,-336.3333,0.64429530201342,10.383490113266,5201,0.025610306243945,2770.4,15276,10983.9023,20477,0.28097,NA,127303.2,2.6745493508131,1.2067797895535,8.3335428122545,6.2168872393417,1.288676533112,0.145,0.11,11891.2356,143449.2,0.12522523270586,9.42,8.9341825902336,0.075,0.1751,0.30649104425485,0.01,0.5995,0.13611113417642,47598,108175.2,0.326082133428,0.24589889661288,10418,0.10546028789505,4956,0.05016905229486,0.26592436168171,3.7996206533193,0.7161027664321,0.15463729678294,1.0950458567003,-907.3333,-0.082605735507758,98786,0.23076394554393,0.36592904812083,26453,84.16,35274,6537607,105490,11859,9.1217809258791,105490,0.9,2.2503953313253
"6",2006-12-31,1506.5,1.63,0.1988,0.44312254585946,28506,103234,4362,10657,0.061350470246144,0.11656676583829,0.1032314935002,-146.3785,0.76458752515091,16.039071792693,4983,0.015960387726711,2410.4,12621,8923.9305,17604,0.29293,NA,163049.9,4.0227449916116,1.6952931023727,12.918936692814,9.2620938423086,1.7834474536227,0.13,0.09,9691.3089,173706.9,0.13987639731096,7.64,13.236910994764,0.055,0.0481,0.15549636112829,0.01,0.6406,0.14584342367825,40532,151023.9,0.15019477049659,0.13058203214726,9416,0.10299264963248,2815,0.030790602030102,0.25598980458794,5.2979688486634,1.2337747532841,0.1380490899545,1.6519065015751,-767.3785,-0.085991091552185,91424,0.22017000074016,0.33031642461236,26366,101.13,22683,11019149,96178,9860.2,15.316514877994,96178,0.95,3.393441950419
"7",2005-12-31,1574,1.64,0.1858,0.4061967383699,33098,105748,3842,13686,0.081120537436897,0.15017446836526,0.12942088739267,68.1632,0.8,17.146484329147,5188,0.012930706937521,1888.8,9376,6533.103,14564,0.30321,NA,155025.9,3.6864409197917,1.7302770212956,16.534332337884,10.644458939852,1.7010764368951,0.095,0.07,7810.9399,168711.9,0.13008283844612,6.22,15.618971061093,0.05,-0.0105,0.1428403064231,0.01,0.5624,0.10500434996407,42053,146070.9,0.1550000718829,0.13419918808335,8519,0.093477736080936,4039,0.044319353918406,0.221716163869,4.4132847906218,1.8048930872786,0.10288147124015,1.6028145368359,-1277.8368,-0.19559416495496,91134,0.15535403039022,0.25738715330231,27156,97.15,22641,4432500,89596,3225.9,45.28066586069,89596,1.05,3.0268196415436
"8",2004-12-31,1645.6,1.82,0.3107,0.43526217868398,NA,109183,4368,10570,0.068596274904277,0.11199643984827,0.096809942939835,-93.4898,1.1715481171548,15.175633460604,4915,0.009734728644439,1316.48,11291.1119,7903.2138,16206.1119,0.30005,NA,143520,3.4087022610678,1.5206933819322,12.710882796228,8.8559181181515,1.4904510192849,0.095,0.075,8543.7036,154090,0.13898683861041,5.33,15.418386491557,0.06,0.1125,0.15940333430828,0.01,0.5384,0.093659269300166,42104,131163,0.17479777071278,0.14878966837562,8643,0.089757303230764,4701,0.048819748060607,0.15231748235566,4.4092849699129,1.5974351011162,0.11725786817318,1.3621239342424,-640.4898,-0.081041692129134,96293,0.18770695835087,0.29055030759404,24737,82.18,22927,4456000,94378,8643,15.175633460604,94378,1.1,2.9253521661541
"9",2003-12-31,1694.5,1.7,0.3289,0.45890942985863,NA,104457,4393,7647,0.04083371913642,0.082369288437924,NA,253.5771,1.0337488598358,21.494772100355,4701,0.0073357106469689,1220.04,14786.8329,10352.4096,19487.8329,0.29989,NA,179624.7,4.0964377750918,1.9348187164739,12.147611406361,9.2172742306303,2.0152887323154,0.115,0.095,10406.8325,187271.7,0.14062245708761,5.31,18.483992467043,0.07,0.1159,0.10162891460539,0.01,0.5458,0.071752012789952,43849,163639.7,0.14441483331979,0.12619098347481,7613,0.085413604694214,6097,0.068404932066284,0.16025745435439,5.8728000287109,1.8691106174221,0.1659,1.8359459671719,-54.4229,-0.0052570289458903,89131,0.23609226166204,0.27321992535171,22929,98.15,23632,1872600,92838,0,NA,92838,1.05,3.6366261457201
"10",2002-12-31,1722.4,1.71,0.4183,0.5331461710281,NA,96484,4753,5975,0.032183350838922,0.073596432882517,NA,868,0.8977,23.24373907979,4379,0.0069052230671895,1102.336,10224,7127.3549,14603,0.30288,NA,179680,NA,NA,17.574334898279,12.304321029925,2.2131894661641,0.09,0.085,6753.3549,185655,0.14966212014427,4.71,19.590233545648,NA,-0.0541,0.12742233617554,NA,0.5465,0.042649558476017,42824,159638,0.16297498089427,0.14013627427217,6868,0.084595866282364,7158,0.088167910723524,0.1605032032615,7.0071986656132,2.5826376755323,0.12593304264282,1.9663242430961,374,0.052473884954077,81186,0.16643365589389,0.30146606970415,20060,92.27,26017,6365955,86902,7241,22.046402430604,86902,1.1,4.1957780683729
