"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,13.9,0.78,0.1975,0,320.6,361.1,15.8,160,0.1803,0.5305,0.4431,2.1,0.8,19.86,18.3,0,0,48,32.21,66,0.3275,0.3268,727.6,4.53,2.34,15.19,10.99,2.41,0.095,0.075,32.62,887.6,0.2299,2.87,21.23,0.17,0.14,0.191,0.1989,0.9417,0.0357,160.6,887.6,0,0,44.7,0.1482,71,0.2354,0,2.77,2.09,0.1588,2.94,-0.4,-0.0126,301.6,0.2006,0.1394,93.9,60.93,0,68901,310.5,46.7,19.01,310.5,0.65,2.77
"2",2010-12-31,13.7,0.53,0.2436,0,274.3,312.2,23.2,93.4,0.14989568287594,0.3281799016163,0.29916720051249,5.2048,0.66707717569786,20.165048543689,17.4,0,0,49.2,30.7987,66.6,0.37401,0.37449392712551,529.7,2.9281370923162,1.7580484566877,10.766260162602,7.9534534534534,1.8612087139845,0.17,0.125,19.7939,623.1,0.26777706598334,2.91,15.463917525773,0.125,0.3329,0.13039203637704,0.221,0.9593,0.052210121716848,180.9,623.1,0,0,30.9,0.10857343640197,88.7,0.31166549543219,0,2.2716004374772,1.1861793260994,0.17287420941672,2.1893886156008,11.0048,0.35731413712931,284.6,0.17025266998342,0.11265038279256,81.3,45,0,72560,301.3,36.9,16.886178861789,301.3,0.65,2.2716004374772
"3",2009-12-31,14.8,0.37,0.3107,0,265,309.2,16.7,108.1,0.21672012830794,0.46695464362851,0.34961190168176,13.5055,0.52301255230125,18.751879699248,15.7,0,0,37.9,25.7098,53.6,0.32164,0.31969309462916,390.7,2.4901210962396,1.4013629842181,10.308707124011,7.2891791044776,1.6876889848812,0.15,0.15,11.2043,498.8,0.2503234152652,2.33,15.665236051502,0.1,0.1247,0.12401433691756,0.234,0.9802,0.059184993531695,156.9,498.8,0,0,26.6,0.11490280777538,66.1,0.28552915766739,0,1.8822641509434,1.2501253132832,0.16371490280778,2.1546436285097,14.5055,0.56420136807004,231.5,0.16386133843212,0.10037735849057,70.8,36.5,0,85774,278.8,28.5,17.501754385965,278.8,0.65,1.8822641509434
"4",2008-12-31,14.7,0.31,0.3292,0,253,283.4,11.4,111.8,0.21344024436808,0.54616511968735,0.39449541284404,3.0452,0.34021871202916,21.555555555556,14.2,0,0,31.4,21.1492,45.6,0.32646,NA,412,2.9178470254958,1.8864468864469,13.12101910828,9.0350877192982,2.0127015144113,0.125,0.105,20.904,523.8,0.24664784756528,2,18.22,0.045,0.0113,0.25455580865604,0.278,0.9136,0.038108680310515,141.2,523.8,0,0,24.3,0.11871030776746,45.5,0.22227650219834,0,2.0703557312253,1.7244444444444,0.15339521250611,2.5588666340987,0.2452,0.011593279661716,204.7,0.14978155807365,0.096047430830039,58.4,36.44,0,145570,218.4,28.1,18.640569395018,218.4,0.7,2.0703557312253
"5",2007-12-31,13.7,0.34,0.3129,0,213.9,242.6,26.9,95.6,0.21512151215121,0.50824029771398,0.39406430338005,-1.0392,0.38350910834132,19.238095238095,11.8,0,0,24.6,16.9742,36.4,0.30999,NA,348.8,2.9484361792054,1.8025839793282,14.178861788618,9.5824175824176,1.8543328017012,NA,NA,2.9135,444.4,0.29967023907667,1.5,22.093333333333,0.065,-0.0034,0.26469611424776,NA,0.9187,0.049051937345425,118.3,444.4,0,0,23.1,0.12280701754386,36.2,0.19245082402977,0,2.0776063581113,NA,0.13078149920255,2.3625730994152,14.0608,0.82835877070706,188.1,0.14348475063398,0.10799438990182,53.6,33.14,0,76613,193.5,21.3,20.863849765258,193.5,0.75,2.0776063581113
"6",2006-12-31,14.6,0.54,0.2941,0,224.9,244.2,19.6,116.9,0.2293956043956,0.57986111111111,0.47870597870598,1.1871,0.57123427405644,20.971193415638,10.6,0,0,28.8,20.5635,39.4,0.28599,NA,392.7,3.6361111111111,2.0097236438076,13.635416666667,9.9670050761421,1.9479166666667,NA,NA,10.3764,509.6,0.24160524160524,1.37,25.686131386861,0.04,0.2374,0.16965445570278,NA,NA,0.04013104013104,108,509.6,0,0,24.3,0.12053571428571,38.6,0.19146825396825,0,2.2658959537572,NA,0.14285714285714,2.5277777777778,10.1871,0.49539762780532,201.6,0.19040266666667,0.10804802134282,51.9,35.19,0,98344,195.4,23.9,21.322175732218,195.4,1.05,2.2658959537572
"7",2005-12-31,14.1,0.35,0.3056,0,189.2,204.5,5.5,86.7,0.14510460251046,0.55047619047619,0.4239608801956,-8.1267,0.54973821989529,29.433497536946,9.7,0,0,27.6,18.078,37.3,0.345,NA,510.8,4.9834146341463,2.6604166666667,18.507246376812,13.69436997319,3.2431746031746,0.12,NA,30.4047,597.5,0.25525672371638,1.6,25.425,0.08,1.0025,0.18331503841932,NA,0.9903,0.053789731051345,102.5,597.5,0,0,20.3,0.12888888888889,37.1,0.23555555555556,0,3.1580338266385,2.4527914614122,0.17523809523809,3.7936507936508,-12.3267,-0.68186008776782,157.5,0.17637073170732,0.10729386892178,41.8,40.68,0,47365,192,24.1,24.792531120332,192,1.05,3.1580338266385
"8",2004-12-31,13.6,0.97,0.3626,0,NA,164.8,7.1,87.3,0.1587850127319,0.67465224111283,0.52973300970874,15.7984,0.53502482073911,109.96,8.6,0,0,5.9228,3.8671,14.5228,0.34708,NA,462.5,6.7028985507246,3.5741885625966,78.088593831254,31.846563600858,6.1177248677249,0.12,NA,-10.4313,549.8,0.24817961165048,NA,NA,0.12,-0.2904,0.27148963115403,NA,0.9615,0.016990291262136,69,549.8,0,0,5,0.066137566137566,22.2,0.29365079365079,0,3.5175943698017,9.1633333333333,0.078343386243386,7.2724867724868,14.2984,3.697462018071,75.6,0.056044760278261,0.031989763275752,29.8,39.21,0,64523,129.4,6.7,82.059701492537,129.4,0.9,3.5175943698017
"9",2003-12-31,13.7,0.63,0.3595,0,NA,164.3,10.7,73.1,0.20453273642977,0.81858902575588,NA,-5.0053,0.35048678720445,16.026905829596,7.4,0,0,41.4994,26.2521,48.8994,0.36741,NA,284.3,3.4294330518697,3.1836506159015,6.8507080591122,5.8139820234866,2.647113594041,0.2,NA,27.9574,357.4,0.24954351795496,0.3,87.2,0.22,0.2584,0.34801762114537,NA,0,0.025562994522215,82.9,357.4,0,0,22.3,0.20763500931099,29.7,0.27653631284916,0,2.2910256410256,0.80134529147982,0.3864,3.3277467411546,-1.7053,-0.064958938618185,107.4,0.31667165431122,0.14294871794872,24.8,26.16,0,31286,89.3,13.6,26.279411764706,89.3,0.9,2.2910256410256
"10",2002-12-31,14.1,0.2,0.3524,0,NA,157,11.9,88.5,0.18441341946239,1.0079726651481,NA,-10.9,0.1267,24.360406091371,5.3,0,0,30,18.7854,35.3,0.37382,NA,391.4,NA,NA,13.046666666667,11.087818696884,4.4578587699317,0.2,NA,12.1854,479.9,0.2203821656051,1.46,23.287671232877,NA,0.1848,0.26539899236145,NA,NA,0,56.9,479.9,0,0,19.7,0.22437357630979,14.1,0.16059225512528,0,3.3005502063274,1.2180203045685,0.34168564920273,5.4658314350797,6.6,0.35133667635504,87.8,0.33014762741652,0.13548830811554,21.3,34,0,131644,101.2,21.1,22.744075829384,101.2,0.8,6.8787346221441
