"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,50,0.47,0.1164,0.4821,1657.7,4960.6,337.8,27.8,0.0075,0.0271,0.0056,2.3,0.8,12.91,119.8,0.0353,76,164,164.2,284,0,0,3670.3,1.16,3.46,22.35,12.92,3.57,0.02,0.025,-56.1,3698.1,0.6867,3.3,13.14,0.085,0.005,0.0895,NA,0.6988,0,3172.8,2155.2,0.7159,0.4172,166.9,0.1625,70.2,0.0684,0.4712,1.3,6.46,0.1599,2.1,220.3,1.3417,1026.8,0.0518,0.1007,0,43.35,1542.9,208666,1060.5,161.3,13.36,1060.5,0.7,1.16
"2",2010-12-31,49.4,0.51,0.166,0.522695411072,1532.1,4676.1,338.3,228.7,0.060738852149895,0.2207528957529,0.048908278266076,0.2032,0.8,14.649122807018,115.9,0.0286,59.7025,198.7,198.7,314.6,0,0,3536.6,1.1863008184624,3.4389342668222,17.798691494716,11.241576605213,3.4137065637066,0.04,0.025,-23.9032,3765.3,0.67607621736062,2.98,14.231543624161,0.11,-0.0432,0.11471126208518,NA,0.696,0,2981.2,2087.5,0.80373652694611,0.44559530449101,142.5,0.13754826254826,-27.7,-0.026737451737452,0.4189649122807,1.36250897461,3.6622807017544,0.19179536679537,2.0149613899614,222.6032,1.1202979599054,1036,0.066651013014893,0.093009594673977,0,42.41,1677.8,267240,1028.4,177.8,11.740719910011,1028.4,0.7,1.1730271971089
"3",2009-12-31,47.9,0.46,0.213,0.51315285181701,1397.3,4238.7,251.9,53,0.015982630198124,0.050485806820347,0.012503833722604,0.6821,0.8,14.817524115756,118.6,0.032,58.9856,203.6,172.5714,322.2,0.1524,0.15201090661213,3263.1,1.1583188385219,3.0877176381529,16.027013752456,10.127560521415,3.1083063440655,0.055,0.035,38.5892,3316.1,0.68818269752519,2.65,13.954716981132,0.085,0.0708,0.11485090050192,NA,0.6779,0,2817.1,1843.3,0.79900179026745,0.44413618407165,124.4,0.11849876166889,102.3,0.097447132787198,0.47416077170418,1.3191870035068,2.6940952937738,0.19394170318156,1.7558582587159,133.9821,0.77638682299027,1049.8,0.061258514074758,0.089028841336864,0,36.98,1472.8,251050,1056.8,145.9,12.633995887594,1056.8,0.7,1.1553952823943
"4",2008-12-31,46.9,0.39,0.2075,0.52182692660719,1302.4,4022.8,243.5,8.8,0.0029744803109684,0.0091628488129946,0.0021875310728846,5.5324,0.53975903614458,15.621951219512,102.1,0.0372,57.1838,190.7,159.5682,292.8,0.16325,NA,2949.7,1.0864856900807,2.9095482343657,15.467750393288,10.074112021858,3.0713244481466,0.045,0.03,12.6358,2958.5,0.68564184150343,2.4,13.3125,0.015,0.0489,0.22180870859695,NA,0.6733,0,2714.9,1537.2,0.92460317460317,0.48041237113402,98.4,0.10245730945439,99.5,0.10360266555602,0.58113658536585,1.1802825552826,3.4715447154472,0.19856309870887,1.600583090379,146.9324,0.92081228791441,960.4,0.058774991712402,0.075552825552826,0,31.95,1421.3,355775,1013.8,108.4,14.180811808118,1013.8,0.7,1.0862062635386
"5",2007-12-31,45.1,0.38,0.1818,0.52878498107022,1207.3,3653.3,287.8,8,0.0029923321488685,0.0090971116670457,0.002189801001834,-5.6671,0.7040704070407,16.023086269745,103.1,0.04104041859407,54.12,166.2,142.4301,269.3,0.14302,NA,2665.5,1.0436161465878,2.8335282236632,16.037906137184,9.8978834014111,3.0310438935638,0.02,0.03,-36.6028,2673.5,0.71622916267484,2.14,13.761682242991,-0.07,-0.0808,0.24486626402071,NA,0.7409,0,2554.1,1318.7,1.0273754455145,0.50675144941089,82.3,0.093586536274733,81.3,0.092449397316352,0.65759416767922,1.0922720119274,8.0115431348724,0.18899249488288,1.4995451444167,179.0329,1.2569876880815,879.4,0.055765269958107,0.068168640768657,NA,29.45,1354.8,957135,940.7,101.2,13.030632411067,940.7,0.8,1.0434799578471
"6",2006-12-31,43.6,0.51,0.145,0.50628019323672,1124.2,3445.1,225.1,9.9,0.0036277024551118,0.010687682176401,0.0028736466285449,4.5285,0.8,15.746253746254,99.8,0.033193757137419,52.32,166.9,144.6656,266.7,0.13322,NA,2719.1,1.1993736491553,3.1369404706968,16.291791491911,10.195350581177,2.9354420813991,0.02,0.05,14.8371,2729,0.70218571304171,2.13,15.967136150235,-0.085,0.0537,0.13814846660934,NA,0.8503,0,2267.1,1576.2,0.73137926659053,0.42242579699524,100.1,0.10806434200583,70.5,0.076109251862248,0.52267732267732,1.4020636897349,7.8731268731269,0.18017920760013,1.7016085501457,129.8285,0.89743875973073,926.3,0.06381085174893,0.089041095890411,NA,34.01,1152.8,620800,866.8,88.2,17.87074829932,866.8,0.95,1.1985068072025
"7",2005-12-31,42.7,0.56,0.1542,0.51757398955442,1025.3,3364.1,193.3,52.4,0.018814405227819,0.060965677719604,0.015576231384323,-3.1974,0.8,26.453689167975,101.5,0.030407690938223,51.24,124.5,103.4956,226,0.16871,NA,2732.7,1.3182980365671,2.8545910372924,21.949397590361,12.091592920354,3.1794066317626,0.075,0.07,14.893,2785.1,0.68794031093011,2.32,16.659482758621,-0.11,0.0073,0.16199016488285,NA,0.6525,0,2072.9,1685.1,0.65278025043024,0.39495888837026,63.7,0.074112856311809,28.1,0.032693426410704,0.8043956043956,1.6435189700575,3.52715855573,0.14485165794066,1.9605584642234,88.6026,0.85609995609991,859.5,0.04992792947079,0.062128157612406,NA,38.65,1100,141600,957.3,79.4,21.222921914358,957.3,1.05,1.3104502893709
"8",2004-12-31,42.2,0.73,0.2056,0.52047367670138,NA,3234.2,199.8,23.4,0.0099676265121827,0.027578078962876,0.0072351740770515,0.1298,0.71011673151751,16.107969151671,100.9,0.040885860306644,50.64,100.7666,100.7666,201.6666,0,NA,2324.2,1.1177800221228,2.7391868002357,23.065182312393,11.524962487591,2.7521610420367,0.045,0.005,1.7368,2347.6,0.68316739842929,1.85,15.864864864865,-0.03,-0.0202,0.10005148446885,NA,0.5391,0,2079.3,1253.2,0.87328439195659,0.46617822456977,77.8,0.092125518058023,27.4,0.032445233866193,0.65089974293059,1.242884062283,3.5795487003713,0.11932101835406,1.4839550029603,99.0298,0.98276394098307,844.5,0.048461790025489,0.077159575523158,0,29.35,1094.4,180900,848.5,77.8,16.107969151671,848.5,0.95,1.1164693013744
"9",2003-12-31,38.3,1.03,0.2542,0.54710735635591,NA,3101.7,149.1,75.2,0.032944887409095,0.092428711897738,NA,0.5132,0.81038552321007,29.306733167082,97.7,0.039787798408488,45.96,168.7501,168.7501,266.4501,0,NA,2207.4,1.1029830610103,2.7131268436578,13.08087958693,8.2844774098807,2.8202376389421,0.015,-0.155,116.8369,2282.6,0.67327594544927,2.17,13.898617511521,-0.03,-0.1644,0.131330472103,NA,0.4314,0,2001.3,1175.2,0.94230769230769,0.48514851485149,40.1,0.051232911715855,13,0.016609173374217,1.1461346633417,1.359713062594,19.537822111388,0.2156,1.5014692730293,51.9132,0.30763369802204,782.7,0.084320251836306,0.043743863859496,0,30.16,1107.4,60400,813.6,40.1,29.306733167082,813.6,0.85,1.1277110814683
"10",2002-12-31,38,0.72,0.2796,0.57102927475114,NA,3252.6,134.2,42.7,0.018479248712511,0.045973298880276,NA,83.1,0.5697,17.288084464555,93.6,0.039783632873844,45.6,84.1,84.1,177.7,0,NA,2268,NA,NA,26.967895362664,12.763083849184,2.4418604651163,-0.065,-0.12,43.5,2310.7,0.58614646744143,1.69,17.674556213018,NA,0,0.18577075098814,NA,0.339,0,2050,1146.2,1.0159658000349,0.50395983900982,66.3,0.071382428940568,47.5,0.051141257536606,0.68778280542986,1.3102423411065,NA,0.090546942291128,1.2340654608096,40.6,0.48275862068966,928.8,0.041024390243902,0.075788751714678,0,29.87,1164.5,216497,891.6,66.3,17.288084464555,891.6,0.8,1.1063414634146
