"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-30,142.2,2.02,0.3934,0.0259,619.4,717.6,22.4,325.5,0.3108,0.618,0.4536,-3.49,0.8,27.63,18.8,0,0,21,20.75,40,0.0071,0.008,721.7,2.33,1.44,34.53,18.18,1.37,0.23,0.095,20.64,1047.2,0.0975,0.15,48.67,-0.12,0.015,0.2409,0.0229,0.9692,0.1904,310.4,1030.7,0.016,0.0158,37.3,0.0708,76.6,0.1454,0,1.66,1.2,0.0397,1.96,0.11,0.0053,526.7,0.0669,0.0602,259.7,7.3,16.5,2074392,502.7,43.1,23.91,502.7,1.2,1.65
"2",2011-03-30,148.4,1.54,0.3946,0.025707777416206,598.8,727.5,12.5,299.2,0.36301868478525,0.47818443343455,0.41127147766323,-3.5078,0.69690826153066,10.693121693122,18,0,0,36.1,36.1,54.1,0,0,525,1.6645529486366,0.88937828222937,14.542936288089,9.7042513863216,0.83906025251718,0.19,0.09,45.1078,824.2,0.09319587628866,0.32,17.0625,0.055,0.282,0.30059523809524,0.025,0.9883,0.21305841924399,315.4,808.4,0.019544779811974,0.019170104343606,75.6,0.12082467636247,62,0.099089020297267,0,1.3500334001336,0.56279587858535,0.057695381173086,1.291992967876,-9.0078,-0.24952219718901,625.7,0.1144578313253,0.12625250501002,285.7,5.46,15.8,1882488,590.3,70,11.548571428571,590.3,1.1,1.3410348193947
"3",2010-03-30,162.9,1.59,0.4677,0.035076427996782,599.7,750.9,12.9,343.2,0.32444696539989,0.64041798843068,0.45705153815422,4.9625,0.56125721616421,51.8,22.1,0,0,-39.6239,-39.6239,-17.5239,0,0,714.6,2.5677326625943,1.1797919762258,NA,NA,1.333457734652,0.15,0.09,-35.3864,1057.8,0.090557997070182,0.49,13.591836734694,NA,-0.1799,0.20330578512397,0.017,0.971,0.2241310427487,278.3,1036,0.021042471042471,0.02060881073927,20,0.037320395596193,38.1,0.071095353610748,0,1.7275304318826,3.4533333333333,-0.073939037133794,1.9331964918828,-4.2375,NA,535.9,-0.14237847646425,0.033350008337502,264.5,6.66,21.8,2461772,605.7,63.1,16.418383518225,605.7,1.05,1.7020112630732
"4",2009-03-30,165.3,1.31,0.4149,0.025026251312566,557.1,678.4,16.6,296.1,0.28556273507571,0.44647165259349,0.43646816037736,-12.7335,0.40491684743312,12.116113744076,26.3,0,0,-12.5,-5,13.8,0.6,NA,740.8,2.6908826734471,1.3977358490566,NA,53.68115942029,1.1170084439083,0.06,0.03,17.4335,1036.9,0.10554245283019,0.01,647,NA,-0.1205,0.2972972972973,0.0229,0.9076,0.20622051886793,275.3,1022.6,0.01398396244866,0.013791108110715,84.4,0.12726176115802,63.4,0.095597104945718,0,1.835577095674,2.0193522906793,-0.018848009650181,1.541917973462,-22.4335,NA,663.2,-0.018162005085361,0.15149883324358,287,6.47,14.3,2886506,530,18.7,54.68449197861,530,1.05,1.8146657332867
"5",2008-03-30,171.3,1.49,0.3815,0.011224987798926,1620.8,1781.8,16.9,239.2,0.26358126721763,0.30607805502239,0.13424626781906,1.4528,0.46133682830931,6.3872126436782,29.9,0,0,205.6,151.6136,235.5,0.26258,NA,668.3,0.47735714285714,0.87131681877445,3.250486381323,2.8377919320594,0.8551503518874,0.095,0.11,163.1608,907.5,0.045852508699068,0.77,7.2857142857143,NA,0.1144,0.50563129816242,0.018,0.9282,0.69137950387249,1400,889.1,0.020695084917332,0.020275482093664,139.2,0.17811900191939,78.3,0.10019193857965,0,0.54855626850938,0.67233817301875,0.26308381317978,1.1376839411388,-11.5472,-0.076162168475513,781.5,0.10829539428571,0.085883514313919,327.3,5.61,18.4,1232764,767,148.4,5.9912398921833,767,1.1,0.55362371888726
"6",2007-03-30,196.3,1.08,0.2692,0.0086248719745566,1839.1,2030.8,20.5,359.9,0.16586782191907,0.44785963165754,0.17722079968485,-0.7067,0.77265973254086,12.059350503919,32.8,0,0,192.2,181.2138,225,0.05716,NA,1809.9,1.2104735152488,2.2180147058824,9.4167533818939,8.044,2.2522399203584,0.18,0.1,194.2206,2169.8,0.0458440023636,0.8,12.85,-0.135,0.5393,0.21656050955414,0.03,0.9371,0.6659936970652,1495.2,2153.8,0.0074287306156561,0.0073739515162688,178.6,0.22224987555998,45.8,0.056993529118965,0,1.1711163068892,0.66996391688441,0.23917371826779,2.6801891488303,-13.0067,-0.071775528772366,803.6,0.12119706260032,0.097112718177369,357.6,10.28,16,2200995,816,151.5,14.216501650165,816,1.3,1.1696404506496
"7",2006-03-30,198.4,2,0.3324,0.0083253282100544,1858.2,2037.7,25,296,0.094315574815192,0.56081849185298,0.14526181479119,-9.5636,0.8,45.721815519766,59.1,0,0,60.9,30.45,120,0.5319,NA,2842.4,1.8014957535809,3.9532684283727,46.673234811166,23.686666666667,5.3853732474422,0.28,0.095,74.1136,3138.4,0.053344456985817,0.87,17.793103448276,-0.24,-0.2773,0.17002310993727,0.027,0.9304,0.70589389998528,1577.8,3122.8,0.0049955168438581,0.0049706856997196,68.3,0.12940507768094,26.4,0.050018946570671,0,1.6805510709289,1.6329219828488,0.11538461538462,5.9166350890489,-43.6636,-1.4339449124569,527.8,0.019299023957409,0.036756000430524,195.1,15.48,15.6,1275756,719,43.9,71.134396355353,719,1.8,1.6748852598997
"8",2005-03-30,106.1,2.13,0.4776,0.013659147869674,NA,902.1,69,581.2,0.40657572577824,1.4822749298648,0.64427447067953,0.0081,0.89195979899498,39.405555555556,52.9,0,0,17.0955,12.7398,69.9955,0.25479,NA,848.3,3.9128228782288,2.1634787044121,49.621187305212,12.119347066784,2.1717869943676,NA,0.055,-3.3683,1429.5,0.13812215940583,0.51,25.843137254902,NA,0.129,0.18960107575078,0.035,0.9201,0,216.8,1418.6,0.0076836317496123,0.007625043721581,36,0.092165898617511,2.1,0.0053763440860215,0,1.8023122856054,NA,0.043767332309268,3.6318484383001,16.1081,1.264393838712,390.6,0.058762695845019,0.045737517469191,179.7,13.18,10.9,2224858,392.1,36,39.405555555556,392.1,2,1.7913533834586
"9",2004-03-30,106,2.5,0.5695,0.019627453431679,NA,905.6,29,608.2,0.49459217695373,1.6022128556375,NA,-0.7723,0.87796312554873,189.6875,50.2,0,0,39.8592,39.8592,90.0592,0,NA,621.5,3.2420448617632,1.6372497365648,15.59240084337,6.9010192855452,1.7993630573248,NA,0.095,61.8315,1229.7,0.11969964664311,0.37,29.972972972973,NA,-0.0168,0.4107498341075,0.03,0.8237,0,191.7,1214,0.012932454695222,0.012767341628039,6.4,0.018529241459178,-7.8,-0.022582513028373,0,1.5480744707983,NA,0.1154,3.5147654892878,-21.9723,-0.55124899635543,345.4,0.20792467396974,0.0081611833715889,171.2,11.09,15.7,785080,379.6,0,NA,379.6,1.9,1.5373171646456
"10",2003-03-30,103.7,3.04,0.7528,0.030415335463259,NA,881.3,43.7,554.8,0.30368383600635,1.6132596685083,NA,-0.4,0.8878,NA,78.3,0,0,-94.4633,-94.4633,-16.1633,0,NA,1272.1,NA,NA,NA,NA,3.6990404187264,0.08,0.015,-59.8633,1826.9,0.14739589243164,0.12,141.58333333333,NA,-0.0884,0.47036759189798,0.016,0.7973,0,227.7,1803.1,0.013199489767622,0.013027532979364,-47.1,-0.13695841814481,11.9,0.034603082291364,NA,2.3765651772769,NA,-0.27468246583309,5.2430939226519,-34.6,NA,343.9,-0.41485858585859,-0.062079873467774,211.6,16.99,23.8,1404337,323.6,NA,NA,323.6,1.75,5.586736934563
"11",2002-03-30,NA,3.05,0.8956,0.0508,NA,1225.8,45.5,674.4,0.74725761772853,1.7756714060032,NA,-6.2438,0.5952,NA,86.5,0,0,11.2958,11.2958,97.7958,0,NA,228.1,NA,NA,20.193346199472,2.3324110033355,0.60057925223802,-0.04,NA,58.5396,902.5,0.18069831946484,-0.4,-19.2,0.125,-0.6151,0.6917792534921,0.016,0.8355,0,436.778,846.1,0.066658787377379,0.062493074792244,-23.4,-0.061611374407583,98.334,0.25890995260664,NA,0.80221864037167,NA,0.029741442864666,2.2277514481306,-47.2438,-4.1824217850883,NA,0.025861650541007,-0.022186403716697,213.1,7.68,56.4,2001800,379.8,-23.4,NA,355.7,1.65,2.0662670738911
