"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,62.9,1.7,0.3693,0.0212,590,706.5,42.8,134.9,0.1168,0.2523,0.1909,-2.19,0.8,18.93,34.7,0,0,72,55.84,107,0.2233,0.2357,1019.6,2.18,1.93,14.18,9.56,1.91,0.07,0.075,49.93,1154.5,0.2178,NA,NA,0.135,0.15,0.233,0.1789,0.6725,0.1766,467.9,1141.7,0.0112,0.0111,60.3,0.1128,191.8,0.3588,0,1.94,2.7,0.1345,2.14,5.91,0.1059,534.6,0.1193,0.1022,120.8,18.23,12.8,277048,528.5,54.9,20.8,528.5,1.2,1.92
"2",2010-12-31,63.6,1.36,0.3909,0.034559231195712,522.4,647.2,40.9,149.5,0.12715828867908,0.29733492442323,0.23099505562423,5.7761,0.76745970836531,13.990326481258,28.4,0,0,98.8,80.602,127.2,0.18419,0.18762278978389,1026.2,2.620531154239,1.9692957205911,10.386639676113,8.0676100628931,2.0409705648369,0.165,0.125,62.326,1175.7,0.21338071693449,NA,NA,0.16,0.4145,0.30944055944056,0.183,0.6577,0.14369592088999,391.6,1157,0.016162489196197,0.015905418048822,82.7,0.16447891805887,158.7,0.31563245823389,0,2.2147779479326,0.84789857462167,0.19649960222753,2.3011137629276,18.2761,0.22674459240257,502.8,0.20582744637385,0.1583078101072,115.9,18.36,18.7,336540,521.1,82.9,13.956574185766,521.1,1.2,2.1727961559786
"3",2009-12-31,30.9,1.37,0.4478,0.0082165297245046,410.4,509,13.8,108,0.07261480535198,0.31295276731382,0.21218074656189,16.9448,0.64202769093345,38.443005181347,21,0,0,51.7,39.0242,72.7,0.24518,0.24756335282651,1379.3,4.5104643557881,3.4508381285965,26.678916827853,18.972489683631,3.9968125181107,0.135,0.115,29.2794,1487.3,0.23163064833006,NA,NA,0.17,0.1295,0.31570382424736,0.188,0.6197,0.15933202357564,305.8,1483.9,0.0022912595188355,0.0022860216499697,38.6,0.11185163720661,107.1,0.31034482758621,0,3.6157407407407,2.8476300134331,0.14981164879745,4.2999130686757,9.7448,0.2497124626381,345.1,0.12761345323741,0.094054580896686,89.9,46.36,3.4,117235,399.7,50.7,29.268244575937,399.7,1.15,3.5942484291929
"4",2008-12-31,29.9,1.24,0.4515,0.012929567880231,290.1,360.9,17.9,72.8,0.075051546391753,0.23023402909551,0.20171792740371,-15.6192,0.38981173864895,19.598377281947,15.5,0,0,61.7,47.4263,77.2,0.23134,NA,897.2,4.0578923563998,3.322962962963,14.541329011345,11.621761658031,2.8374446552815,0.08,0.09,60.6455,970,0.23912441119424,NA,NA,0.31,0.2904,0.37745302713987,0.1989,0.5884,0.11027985591577,221.1,966.2,0.0039329331401366,0.0039175257731959,49.3,0.15591397849462,106.9,0.33807716635041,0,3.3305756635643,2.4497971602434,0.19512966476913,3.0556609740671,-13.2192,-0.27873055568992,316.2,0.21450168249661,0.16994139951741,78,31.8,3.8,153457,270,27.7,34.880866425993,270,1.1,3.3004423273222
"5",2007-12-31,32.1,1.55,0.421,0.063993174061433,219.4,287.9,20.2,32.6,0.059305075495725,0.12386018237082,0.11323376172282,-19.5606,0.45605700712589,14.071052631579,16.7,0,0,48.4,36.8193,65.1,0.23927,NA,517.1,2.5624380574827,1.5608210081497,10.683884297521,7.9431643625192,1.9646656534954,0.155,0.14,52.88,549.7,0.29732546022925,1.35,14.140740740741,0.285,0.1155,0.54902904830685,0.168,0.6166,0.13337964571032,201.8,534.7,0.028053113895642,0.027287611424413,38,0.14437689969605,75.6,0.28723404255319,0,2.4371011850501,0.90780984719864,0.1838905775076,2.0315349544073,-16.0606,-0.43620124063827,263.2,0.18245456888008,0.17319963536919,71.1,19.09,15,139690,331.3,52.8,10.126893939394,331.3,1.2,2.3451365187713
"6",2006-12-31,32.1,1.92,0.3578,0.063993174061433,219.4,287.9,20.2,32.6,0.033824444905582,0.12386018237082,0.11323376172282,-3.4181,0.46953605366126,24.968421052632,16.7,0,0,48.4,36.8193,65.1,0.23927,NA,931.2,4.6144697720515,3.3849509269357,19.239669421488,14.304147465438,3.5379939209726,0.16,0.14,36.7374,963.8,0.29732546022925,1.13,26.345132743363,0.285,0.1155,0.21298573536645,0.192,0.5901,0.13337964571032,201.8,948.8,0.015809443507588,0.015563394895207,38,0.14437689969605,75.6,0.28723404255319,0,4.3245214220602,1.5605263157895,0.1838905775076,3.6048632218845,0.0819,0.0022247794614256,263.2,0.18245456888008,0.17319963536919,71.1,29.77,15,284115,275.1,40.1,23.660847880299,275.1,1.05,4.1117747440273
"7",2005-12-31,31.6,2.88,0.3831,0.15460852329039,170.6,250.3,15.6,26.9,0.031033687125058,0.11569892473118,0.10747103475829,-1.7452,0.33411641868964,29.422535211268,15.8,0,0,38.5,28.085,54.3,0.27052,NA,839.9,4.8021726700972,3.5156969443282,21.815584415584,15.467771639042,3.6124731182796,0.16,0.155,30.0302,866.8,0.31042748701558,0.9,31.044444444444,0.235,0.1879,0.31262939958592,0.206,0.5326,0.15301638034359,174.9,835.6,0.03733843944471,0.035994462390402,28.4,0.12215053763441,63.4,0.27268817204301,0,4.8980070339977,1.8389084507042,0.16559139784946,3.5939784946237,-1.9452,-0.069261373911438,232.5,0.16057735849057,0.16647127784291,62.1,27.94,31.2,129458,238.9,29.2,28.616438356164,238.9,0.8,4.2953419226957
"8",2004-12-31,31.4,1.32,0.4123,0.22069641981363,NA,252.7,17.7,21.7,0.036842105263158,0.11185567010309,0.085872576177285,0,0.64031045355324,21.935483870968,12.7,0,0,34.636,25.3449,47.336,0.26825,NA,567.3,3.1136114160263,2.9242268041237,16.378912114563,11.984536082474,2.9242268041237,0.2,0.17,20.3449,589,0.30827067669173,NA,NA,0.195,0.1859,0.24745665568133,0.206,0.5049,0.22121092204195,182.2,544,0.082720588235294,0.076400679117148,24.8,0.12783505154639,56,0.28865979381443,0,3.4235368156073,1.0967741935484,0.17853608247423,2.8041237113402,5,0.19727840239846,194,0.13910479143798,0.15607300188798,54.5,17.87,45,157547,194,24.8,21.935483870968,194,0.85,2.8886709171162
"9",2003-12-31,14.5,1.1,0.3868,0.10576271186441,NA,183.9,12.7,21.7,0.034368070953437,0.13804071246819,NA,1.3878,0.56876938986556,35.595375722543,9.6,0,0,34.4578,24.4664,44.0578,0.28996,NA,609.7,4.8465818759936,3.8784987277354,17.694106994643,13.838639242087,4.0431034482759,0.245,0.155,19.9786,631.4,0.33877107123437,NA,NA,0.11,0.156,0.34930260764099,0.209,0.5171,0.18923327895595,125.8,615.8,0.025332900292303,0.024707000316756,17.3,0.11472148541114,32.7,0.21684350132626,0,4.6686884003033,1.4528724784712,0.2285,4.0835543766578,4.4878,0.18342687998352,150.8,0.19448661615262,0.131159969674,39.3,42.53,15.6,72305,157.2,17.3,35.595375722543,157.2,0.7,4.2806779661017
"10",2002-12-31,14.2,1.2,0.4021,0.17529585798817,NA,162.8,7,15.6,0.040268456375839,0.1216848673947,NA,1.3,0.6544,31.353448275862,9.4,0,0,17.2,12.4526,26.6,0.27601,NA,371.8,NA,NA,21.616279069767,13.977443609023,2.9001560062403,0.175,0.085,14.8526,387.4,0.35626535626536,NA,NA,NA,0.1144,0.27897641746111,0.22,0.4758,0.20638820638821,119.6,363.7,0.065163596370635,0.061177077955601,11.6,0.090483619344774,31.6,0.24648985959438,0,3.2618834080717,1.7916256157635,0.13416536661466,2.8369734789392,-2.4,-0.19273040196816,128.2,0.1041189632107,0.10403587443946,31.2,24.96,23.7,36318,130.7,11.6,31.353448275862,130.7,0.7,3.1086956521739
