"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,27.9,1.67,0.5375,0,51.6,74.7,0.2,56.3,0.3175,1.8399,0.7537,-0.09,0.78,NA,2.1,0,0,0,0,2,0.6,1,121,NA,3.9,57.62,3.95,0.2,1.99,177.3,0.0228,NA,NA,0.005,0.2876,NA,0.6999,0.1847,-4.7,177.3,0,0,-1.7,-0.0556,-6.8,-0.2222,NA,3.44,0,5.79,-1.99,NA,30.6,NA,-0.0329,19.7,6.87,0,157198,31,-5.7,31,1.45,NA
"2",2010-12-31,28.2,1.6,0.6203,0,53.7,80.9,0.3,61.2,0.41295546558704,1.967845659164,0.75648949320148,0.2405,0.62469772690634,NA,2.3,0,0,-4.6608,-4.6608,-2.3608,0,NA,87,NA,2.9591836734694,NA,2.7974276527331,0.3,-2.9013,148.2,0.023485784919654,NA,NA,0.1136,0.39073711676451,NA,0.6676,0.15327564894932,-7.5,148.2,0,0,-6.1,-0.19614147909968,-4.4,-0.14147909967846,NA,2.7597765363129,-0.14986559485531,4.7652733118971,-1.7595,NA,31.1,NA,-0.11359404096834,23.1,5.18,0,195939,29.4,-3.6,29.4,1.55,NA
"3",2009-12-31,28,1.72,0.7281,0,55.7,87.8,1.6,63.7,0.37426556991774,2.2996389891697,0.7255125284738,-0.3942,0.53220711440736,NA,2.4,0,0,-28.9809,-28.9809,-26.5809,0,NA,106.5,NA,3.370253164557,NA,3.8447653429603,0.2,-27.7867,170.2,0.039863325740319,NA,NA,-0.2441,0.31640625,NA,0.5703,0.12300683371298,-8,170.2,0,0,-28.9,-1.043321299639,-2.8,-0.10108303249097,NA,3.0556552962298,-1.046242599278,6.14440433213,-1.1942,NA,27.7,NA,-0.51885098743267,35,6.71,0,135448,31.6,-8,31.6,1.55,NA
"4",2008-12-31,27.9,1.69,0.727,0,81.4,113.2,3.1,85.7,0.68450479233227,2.3479452054795,0.75706713780919,0.023,0.35213204951857,NA,2,0,0,-25.0096,-25.0096,-23.0096,0,NA,39.5,NA,1.1189801699717,NA,1.0821917808219,NA,-26.1326,125.2,0.03356890459364,NA,NA,0.1472,0.45065398335315,NA,0.4789,0.086572438162544,-4.3,125.2,0,0,-34.2,-0.93698630136986,-0.7,-0.019178082191781,NA,1.5380835380835,-0.68519452054795,3.4301369863014,1.123,NA,36.5,NA,-0.42014742014742,48.3,4.58,0,204877,35.3,-39.5,35.3,1.6,NA
"5",2007-12-31,30.4,2.15,0.6113,0.091607943625881,141.8,168.4,1.4,86.5,0.5423197492163,2.492795389049,0.51365795724466,-4.5671,0.40569278586619,4.9556313993174,1.9,0,0,-9.2113,-9.2113,-7.3113,0,NA,73,1.0488505747126,1.9466666666667,NA,2.1037463976945,NA,-4.1441,159.5,0.012470308788599,-0.87,NA,0.0168,0.67464114832536,NA,0.5749,0.051068883610451,69.6,145.2,0.098484848484848,0.089655172413793,29.3,0.84438040345821,56.6,1.6311239193084,0,1.0239774330042,-0.26545504322767,4.1844380403458,-5.0671,NA,34.7,-0.13234612068966,0.20662905500705,35.1,5.89,14.3,417593,37.5,-24,37.5,1.55,1.0217809096733
"6",2006-12-31,24.8,2.48,0.4684,NA,-23,50,1.1,32,0.077745383867833,1.1469534050179,0.64,-0.3351,0.46114432109308,NA,1.7,0,0,-10.575,-10.575,-8.875,0,NA,379.6,NA,11.365269461078,NA,13.605734767025,0.12,-9.6399,411.6,0.032,NA,NA,0.1265,0.51335528723015,NA,0.5616,0.148,-36.9,393.5,0.045997458703939,0.043974732750243,-11.5,-0.41218637992832,1.7,0.060931899641577,NA,NA,-0.37903189964158,14.10394265233,-0.9351,NA,27.9,NA,NA,30.3,11.61,18.1,529108,33.4,-13.9,33.4,1.35,NA
"7",2005-12-31,24.4,3.7,0.5657,NA,-16.8,44.8,1,28.2,0.14278481012658,1.1604938271605,0.62946428571429,-0.0626,0.41011136644865,NA,2,0,0,-11.7394,-11.7394,-9.7394,0,NA,169.3,NA,6.4618320610687,NA,6.9670781893004,0.12,-10.6769,197.5,0.03125,-0.45,NA,-0.0133,0.28854314002829,NA,0.3915,0.14955357142857,-27.5,180,0.097222222222222,0.088607594936709,-13.1,-0.53909465020576,0.8,0.032921810699589,NA,NA,-0.48310452674897,7.4074074074074,-1.0626,NA,24.3,NA,NA,28.3,7.25,17.5,129784,26.2,-11.5,26.2,1.45,NA
"8",2004-12-31,23.5,-1.83,0.9821,NA,NA,42.3,0.6,25.5,0.14912280701754,1.0240963855422,0.60283687943262,-0.1109,-0.37267080745342,NA,2.3,0,0,-20.3761,-20.3761,-18.0761,0,NA,145.5,NA,5.8433734939759,NA,6.1134453781513,0.3,-18.5652,171,0.028368794326241,-0.53,NA,0.0328,0.2390625,NA,0.4249,0.16312056737589,-14.6,154.1,0.10966904607398,0.098830409356725,-20.7,-0.86974789915966,-2.4,-0.10084033613445,NA,NA,-0.85613865546219,6.4747899159664,-1.8109,0.088874925513121,23.8,1.3956232876712,NA,36.3,6.6,16.9,67556,24.9,-12.8,24.9,1.8,NA
"9",2003-12-31,20.7,-0.37,1.1859,NA,NA,37.9,0.4,21.7,0.12727272727273,0.88211382113821,NA,0.0653,-0.062399865081373,NA,1,0,0,-13.7946,-13.7946,-12.7946,0,NA,148.8,NA,6.0487804878049,NA,7.3663366336634,NA,-13.2599,170.5,0.03957783641161,NA,NA,-0.0265,0.45926966292135,NA,0.4079,0.17414248021108,-22.9,170.5,0,0,-17,-0.84158415841584,0.3,0.014851485148515,NA,NA,-0.6829,8.4405940594059,-0.5347,0.038758227169405,20.2,0.60238340611354,NA,29.8,7.439,0,122325,24.6,-21.7,24.6,1.85,NA
"10",2002-12-31,20.1,0.66,1.3199,0.014184397163121,NA,25.3,0.4,8.7,0.077196095829636,0.43069306930693,NA,14.8,0.1103,NA,3.1,0,0,-10.8427,-10.8427,-7.7427,0,NA,104,NA,NA,NA,5.1485148514852,NA,-8.1427,112.7,0.07905138339921,NA,NA,-0.009,0.74025974025974,NA,0.3982,0.26086956521739,5.4,112.5,0.0017777777777778,0.0017746228926353,-16.5,-0.81683168316832,0.2,0.0099009900990099,NA,8.0935251798561,-0.53676534653465,5.5693069306931,-2.7,NA,20.2,-2.0079,-1.1870503597122,22.1,5.46,0.2,150677,17.3,-19.2,17.3,1.85,19.259259259259
