"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,149.5,0.93,0.2166,0.1071,3272.8,9146.5,122.2,891.4,0.3057,0.0245,0.0975,4.51,0.8,9.15,57.3,0,0,494,345.81,551,0.2996,0.3561,2025,0.73,0.06,4.1,3.68,0.06,0.115,0.06,276.39,2916.4,0.0353,1.98,8.55,0.04,0.04,0.1572,0.056,0.9223,0,2773.8,2524,0.1555,0.1345,275.8,0.0076,2309.5,0.0636,0,0.77,0.8,0.0136,0.07,69.41,0.2007,36329,0.1247,0.0843,1414.9,16.92,392.4,653872,36400,288.9,8.74,36400,0.95,0.8
"2",2010-12-31,158.7,0.98,0.2883,0.16412213740458,3241.2,9084,76.3,1155.6,0.33783546746185,0.033409465436989,0.12721268163804,111.2623,0.8,9.0278858625162,61.5,0,0,474.1,341.8593,535.6,0.27893,0.27893383212532,2265,0.8321087435709,0.062467421791615,4.7774731069395,4.2289021657954,0.065483246118708,0.13,0.05,215.797,3420.6,0.027234698370762,2.13,8.5399061032864,0.075,0.2135,0.16666666666667,0.053,0.9263,0,2722,2784.2,0.22857553336686,0.18604923112904,308.4,0.0089161294053023,2304.6,0.066628118766082,0,0.85900283845489,0.69445275865509,0.013706669750499,0.080493798606493,126.0623,0.36875492438349,34589,0.1255912149155,0.095149944465013,1409.1,18.19,636.4,1586026,36258.9,275.6,10.102322206096,36258.9,0.95,0.88214359397566
"3",2009-12-31,164.4,1.13,0.3409,0.1119039896205,3011.8,8179.4,68.7,910.9,0.27610560455882,0.030861855167133,0.1113651368071,286.6485,0.69668524493986,13.270909090909,68.6,0,0,332.5,239.1938,401.1,0.28062,0.28057553956835,2388.2,0.96282857603612,0.0712614730912,7.1825563909774,5.954126153079,0.080913692513061,0.115,0.05,-47.5546,3299.1,0.027104677604714,2.07,9.2222222222222,0.14,-0.156,0.13792093704246,0.057,0.8825,0,2480.4,2919.6,0.1299835593917,0.11503137219242,220,0.0074537360157748,2116.3,0.071701552409928,0,0.96938707749519,1.1539920948617,0.011265305569296,0.098917853052982,286.7485,1.1988120356122,29515.4,0.096433579261409,0.073046018991965,1337.7,19.09,379.5,989817,33513.2,309.2,9.4424320827943,33513.2,0.95,0.97281278565742
"4",2008-12-31,161.5,1.1,0.3265,0.15263863186778,2655.8,7083.5,81.4,763.5,0.22430153647287,0.022219182706579,0.10778569916002,-289.005,0.46554364471669,11.256252404771,68.4,0,0,427.5,318.0856,495.9,0.25594,NA,2640.4,1.1137638672122,0.089831523366267,6.1763742690058,5.3244605767292,0.076840248878128,0.04,0.02,594.0907,3403.9,0.028531093386038,1.26,13.849206349206,0.235,0.0498,0.32150313152401,0.079,0.8835,0,2370.7,2925.5,0.1635276021193,0.14054466934986,259.9,0.0075635436613488,1998.4,0.058156928252557,0,1.1015513216357,2.8140631011928,0.012440996210953,0.085137156526648,-276.005,-0.86770666723964,34362.2,0.13417372506011,0.097861284735296,1512.6,17.45,478.4,1662381,29392.8,196.6,14.880467955239,29392.8,0.95,1.0860506668368
"5",2007-12-31,172.9,1.13,0.2484,0.13243037974683,3426.9,8975,49.8,579.6,0.21780466724287,0.016537744920407,0.06457938718663,-43.4827,0.61191626409018,7.749184487133,64.1,0,0,446.4,319.7117,510.5,0.2838,NA,2081.5,0.61758248279136,0.058329830460978,4.6628584229391,4.077375122429,0.059391504575272,0.105,0.065,377.4944,2661.1,0.020211699164345,1.63,8.2147239263804,0.2,0.0948,0.3963712491277,0.085,0.8687,0.081727019498607,3370.4,2138,0.24466791393826,0.19657284581564,275.9,0.0078722633256389,2389,0.068165411688842,0,0.62388747847909,0.73801757020314,0.01273714515609,0.061003620841667,-57.7827,-0.18073382904344,35047.1,0.094858675528127,0.080510081998308,1462.9,13.39,523.1,1281283,35685,283.5,7.5414462081129,35685,0.95,0.67369620253165
"6",2006-12-31,169.4,1.4,0.2083,0.14854227405248,2920.5,7704.3,39.2,333.3,0.09093637454982,0.010629036115762,0.043261555235388,-176.5356,0.8,11.872460496614,61.2,0,0,420.7,304.3764,481.9,0.2765,NA,3331.9,1.075951819679,0.098308175284135,7.9198954124079,6.9140900601785,0.1062552818305,0.12,0.06,502.912,3665.2,0.02224731643368,1.96,9.0816326530612,0.175,0.0432,0.11634830066981,0.196,0.8064,0.083550744389497,3096.7,3155.7,0.16145387711126,0.13901014951435,265.8,0.0084764410428127,2183.8,0.069642031411943,0,1.0805341551104,0.98937170805117,0.013416248106514,0.10063621143267,-198.5356,-0.65226986327666,31357.5,0.098290583524397,0.091011813045711,1264.6,17.8,509.5,1861587,33892.4,253.6,12.443611987382,33892.4,1.05,1.0685714285714
"7",2005-12-31,162.4,2.41,0.3278,0.19872511007426,2438.6,7035,38.8,324.5,0.080617112193183,0.011264114855788,0.046126510305615,-102.7744,0.43929225137279,13.875862068965,64.3,0,0,391.8,291.3072,456.1,0.25649,NA,3700.7,1.3611019162161,0.121486583196,9.4453802960694,8.1137908353431,0.12845950646168,0.14,0.05,419.5817,4025.2,0.025501066098081,1.68,12.14880952381,0.01,0.1061,0.1220420101037,0.196,0.7548,0.090746268656716,2718.9,3420.4,0.17682142439481,0.15025340355759,246.5,0.0085565618241965,1790.6,0.062155698184204,0,1.4026080538014,0.99113300492611,0.013600247150995,0.11872967165713,-128.2744,-0.44034077778183,28808.3,0.10714157122366,0.10108258837038,1212.8,20.41,604.8,592700,30461.8,NA,NA,30461.8,0.9,1.3225997239929
"8",2004-12-31,158.7,1.21,0.3821,0.18681956742633,NA,6926.7,37,398.4,0.10778345913481,0.014075102542633,0.057516566330287,171.8621,0.63334205705313,19.748603351955,57.7,0,0,280.9459,190.8016,338.6459,0.32086,NA,3297.9,1.3990751739352,0.11651174868311,11.738557664815,9.7384899915968,0.12952191688824,0.215,0.085,39.6396,3696.3,0.028743846276004,1.54,12.928571428571,-0.08,0.0779,0.18479172490914,0.195,0.762,0.080803268511701,2357.2,3181.5,0.16181046676096,0.13927440954468,161.1,0.0063270507931396,1539.1,0.060446703139176,0,1.4198054266333,0.91853969078862,0.011033886835728,0.12495041650139,151.1621,0.7922472945283,25462.1,0.080944179068471,0.071893966440557,1121.6,19.91,514.8,855200,28305.3,0,NA,28305.3,0.85,1.3413775584265
"9",2003-12-31,152,1.31,0.4211,0.16429431975369,NA,5474.2,35,279.6,0.079671738758762,0.011669351674861,NA,87.9824,0.62218000474947,25.496753246753,78.5,0,0,300.7529,204.512,379.2529,0.32,NA,3229.8,1.6465969920979,0.13479854091368,10.739048567778,8.5162170150841,0.14282934595144,0.205,0.015,160.0296,3509.4,0.038489642322166,0.97,20.79381443299,-0.165,-0.001,0.2786271450858,0.223,0.691,0.044609257973768,1961.5,3141.2,0.11721635043932,0.10491821963869,123.2,0.0054481935170035,1476.8,0.065307566444081,0,1.6771851139943,1.2437440608172,0.0133,0.1389112457436,44.4824,0.21750488775037,22613,0.10426304970686,0.065780340648193,1022.4,20.17,368.2,781000,23960.2,123.2,25.496753246753,23960.2,0.9,1.5659274463433
"10",2002-12-31,150.8,1.28,0.4806,0.18281718281718,NA,5144.4,54.7,387.5,0.13887893340979,0.017253431763234,NA,131.7,0.5864,32.322666666667,98.8,0,0,166.8,105.084,265.6,0.37,NA,2402.7,NA,NA,14.404676258993,9.0463102409638,0.10698018192909,0.18,NA,149.184,2790.2,0.048635409377187,0.81,19.679012345679,NA,-0.1187,0.26482213438735,0.298,0.5884,0.045466915480911,1614.5,2424.2,0.15097764210874,0.13117339258835,75,0.0033393738896582,1150.9,0.051243805461435,0,1.4817848410758,1.7957037037037,0.0074267675305998,0.10793746911079,-44.1,-0.41966426858513,22459.3,0.065087643233199,0.045843520782396,1066.4,15.94,366,567161,22133.7,91.7,26.436205016358,22133.7,0.8,1.4882006813255
