"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,19,0.86,0.268,0.4061,319.1,2958.9,8.7,408,0.7474,0.0059,0.1379,-32.91,0.8,20.48,7.2,0,0,63,48.01,70,0.2368,0.2308,137.9,1.07,0,2.19,1.97,0,NA,79.42,545.9,0.0064,1.74,10.01,0.8,0.795,0.2487,NA,0.6396,0.0185,129.3,327.7,0.6659,0.3997,16,2e-04,-356,-0.0051,0,1.03,NA,9e-04,0,-31.41,-0.6543,69260.1,0.3713,0.0501,0,17.41,218.2,54119,75662.7,15,21.85,75662.7,1.2,1.02
"2",2011-09-30,18.6,0.98,0.3736,0.20711800909821,296.3,2635.7,10.1,443.7,0.82380245079837,0.005877085855522,0.16834237583944,61.2166,0.8,12.431266846361,4.7,0,0,95.5,59.3867,100.2,0.37815,0.37647058823529,94.9,NA,0.0015621450605599,0.99371727748691,0.94710578842315,0.0012570102494682,NA,-7.23,538.6,0.0056910877565732,2.05,11.49756097561,0.495,0.5186,0.15295113179607,NA,0.5147,0.021284668209584,-70,461.2,0.16782307025152,0.14370590419606,37.1,0.0004914128583274,-313.4,-0.0041511803180541,0,1.5565305433682,NA,0.0012649576272309,0.0061088843736009,66.6166,1.1217436556985,75496.6,NA,0.12521093486331,6.2,23.57,77.4,48942,60749.8,37.1,12.431266846361,60749.8,1.2,NA
"3",2010-09-30,17.2,1.31,0.539,0.43237461373901,238.8,1555.7,2.8,270.3,0.45482079757698,0.0061989157057545,0.17374815195732,-4.0895,0.57977736549165,42.081632653061,0.7,0,0,26.2,20.9194,26.9,0.20155,0.24031007751938,324,2.1542553191489,0.0079244535428911,12.36641221374,12.044609665427,0.0074304427993505,NA,22.9089,594.3,0.0030211480362538,NA,NA,NA,0.2339,0.27680412371134,NA,0.4487,0.0088063251269525,150.4,412.4,0.44107662463628,0.30607437321218,9.8,0.00022474796121492,65.6,0.0015044353322142,0,1.7269681742043,NA,0.00060085679426847,0.0094577611433709,-1.9895,-0.095103469248282,43604.4,0.13909168882979,0.041038525963149,0,23.6,181.9,46486,40886.1,11.9,34.655462184874,40886.1,1.25,1.4126455906822
"4",2006-09-30,26.3,3.45,0.3913,0,220.3,396.3,8.7,167.5,0.28094599127809,0.37818920749605,0.42265960131214,-0.4805,0.55200613340148,33.307262569832,13.7,0.014116068433412,8.416,34.6,22.9741,48.3,0.33601,NA,428.7,8.1193181818182,0.95160932297447,12.390173410405,8.8757763975155,0.9679385865884,0.135,28.4545,596.2,0.07115821347464,0.91,24.351648351648,0.075,0.0568,0.11918537375608,NA,0.6687,0.13499873832955,52.8,596.2,0,0,17.9,0.040415443666742,28,0.06321968841725,0.47016759776536,2.7063095778484,2.4672046348024,0.078121472115602,1.3461277940844,-5.4805,-0.23855039393444,442.9,0.43511465909091,0.081252837040399,187.4,22.16,0,99734,450.5,23.7,25.15611814346,450.5,1.35,2.7063095778484
"5",2005-09-30,26.1,2.2,0.4821,0,NA,407,10.7,205,0.39636504253674,0.46264951478222,0.5036855036855,1.0369,0.91267371914541,15.625377643504,10,0.01635155850792,8.352,50.9925,31.7535,60.9925,0.37729,NA,312.2,9.0755813953488,0.70458135860979,6.122472592522,5.1186646482754,0.7488606380427,0.036,30.0166,517.2,0.068304668304668,1,19.57,0.07,0.0855,0.26930399830759,NA,0.7432,0.075921375921376,34.4,517.2,0,0,33.1,0.079395538498441,16.5,0.03957783641161,0.25232628398792,2.1604010025063,4.3403826787513,0.12231343247781,1.2405852722475,1.7369,0.054700683880971,416.9,0.92306747074709,0.13826232247285,168.7,19.57,0,91927,443.1,18.5,27.956756756757,443.1,1.55,2.1604010025063
"6",2004-09-30,25.4,1.23,0.4759,0,NA,359.9,7,174.5,0.24337517433752,0.42937992125984,NA,2.2588,0.51691531834419,25.157894736842,9.1,0.0098974902792506,7.112,53.4534,33.171,62.5534,0.37944,NA,542.5,16.539634146341,1.3348917322835,10.14902700296,8.6725901389852,1.4513108614232,0.13,33.0122,717,0.068630175048625,1.23,23,0.075,-0.04,0.29601803155522,NA,0.6868,0.07279799944429,32.8,717,0,0,28.5,0.076243980738363,25.9,0.069288389513109,0.24954385964912,3.4587554269175,1.9352226720648,0.143,1.9181380417336,0.1588,0.0047873533362903,373.8,1.0113122531707,0.13748191027496,150.9,28.29,0,178354,406.4,33.5,21.402985074627,406.4,1.35,3.4587554269175
"7",2003-09-30,24.9,1.43,0.6221,0,NA,282.1,7.6,125.8,0.19826635145784,0.32975098296199,NA,31.3,0.5043,21.655290102389,8.7,0.0094184397163121,5.976,45.7,28.0219,54.4,0.38683,NA,508.7,NA,NA,11.131291028446,9.3511029411765,1.3334207077326,0.1713,29.1219,634.5,0.087912087912088,1.06,23.584905660377,NA,-0.0394,0.39401084649847,NA,0.6457,0.088975540588444,48.1,634.5,0,0,29.3,0.076802096985583,5.7,0.014941022280472,0.2039590443686,3.6486486486487,1.2641733860122,0.11979030144168,1.6631716906946,-1.1,-0.039255054686038,381.5,0.58257523908524,0.16848763657274,147.6,25,0,165564,372.6,27.9,22.741935483871,372.6,1.35,10.575883575884
"8",2002-09-30,NA,1.27,0.7379,0,NA,227.5,8,61.8,0.099117882919006,0.16022815659839,NA,-0.6713,0.3019,47.961538461539,11.5,0.0047,2.9304,37.2967,23.4969,48.7967,0.37,NA,561.7,NA,NA,15.060313647052,11.51102431107,1.4563131967851,0.25,27.6682,623.5,0.10505494505495,1.12,21.098214285714,0.09,0.0274,0.31847133757962,0,0.7369,0.082197802197802,65.042,623.5,0,0,13,0.033704952035261,31.361,0.081309307752139,0.22541923076923,4.9171924290221,1.9184615384615,0.060920199637024,1.6165413533835,-4.1713,-0.17752538726244,NA,0.36125766427847,0.10252365930599,148.7,23.63,0,202500,385.7,26.9,23.17843866171,377.4,1.4,9.586113588143
"9",2001-09-30,NA,1.55,0.7423,0,NA,243.1,9.6,27.1,0.060048748061157,0.067295753662776,NA,19.2212,0.62643136198303,85.150943396226,12.8,0.0046089076002659,2.08,24.80632,18.9863,37.6063,0.23462,NA,424.2,NA,NA,17.100480845204,11.280018890442,1.0533896200646,0.32,5.035,451.3,0.13451254627725,NA,17.079646017699,NA,0.2907,0.50834460983311,NA,0.5067,NA,109.3,451.3,0,0,5.3,0.013161162155451,59,0.14651105040973,0.39245283018868,3.308651026393,266.09669811321,0.047147408,1.1206853737273,13.9513,0.73481028475603,NA,0.1737077877548,0.038856304985337,146.9452,19.3,0,NA,402.7,2.5,180.52,393.6,NA,3.308651026393
"10",2000-09-30,NA,1.55,0.713,0,NA,240.3,12.5,19.2,0.088683602771363,0.049319291035191,NA,NA,0.32608695652174,7.9889298892989,9.1,0.0048775981524249,1.056,50.7,31.4487,40.5487,0.37971,NA,197.3,NA,NA,3.8915187376726,4.8657536592477,0.50680708964809,0.32,18.0816,216.5,0.14148980441115,NA,12.433510638298,NA,0.14,0.76454920761753,NA,0.5041,NA,148.9,216.5,0,0,NA,0.027228358592345,NA,0.10711533521706,0.038966789667897,1.2879238548483,0.24965405904059,0.1302337528898,0.55612638068328,NA,0.10811256667723,NA,0.21120687038281,0.063057703747769,113.2,NA,NA,NA,NA,10.6,20.424528301887,389.3,NA,1.2879238548483
