"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,300.6,0.8,0.2032,0.2763,2616,5110,114,1421,0.0747,0.369,0.2781,-45.59,0.8,22.58,164,0.0113,204.41,1007,664.12,1171,0.3405,0.3405,17595.8,8.02,4.17,17.47,15.03,4.57,0.13,0.12,759.71,19016.8,0.1098,NA,NA,0.16,0.14,0.0957,0.11,0.8981,0.4043,2194,18017.8,0.0554,0.0525,798,0.2072,-472,-0.1226,0.2229,6.89,1.74,0.2615,4.68,-95.59,-0.1439,3851,0.3027,0.305,2173,59.48,999,2038560,4223,916.9,19.65,4223,0.9,5.26
"2",2011-07-31,317.5,0.56,0.2619,0.26132495417649,2821,5198,74,1622,0.096051353720065,0.46946454413893,0.3120430934975,-72.6437,0.8,23.195328467153,148,0.0113,179.5434,863,570.6156,1011,0.3388,0.33880308880309,15264.8,6.94802002731,3.9010477894199,17.688064889919,15.098714144412,4.4181765557164,0.145,0.115,717.2593,16886.8,0.098114659484417,NA,NA,0.17,0.1006,0.17222049205855,0.11,0.8909,0.41746825702193,2197,15888.8,0.062811540204421,0.059099414927636,685,0.19826338639653,-548,-0.15861070911722,0.26210721167883,5.6323289613612,1.5996778253209,0.24978292329957,4.5987843704776,-146.6437,-0.2569921060267,3455,0.25972489758762,0.2428216944346,1939,52.59,998,2782666,3913,821.3,19.345915012785,3913,0.9,4.4217858078031
"3",2010-07-31,317.5,0.69,0.2967,0.26132495417649,2821,5198,74,1622,0.097418002510526,0.46946454413893,0.3120430934975,-9.1994,0.71621166161105,22.849489051095,148,0,0,863,570.6156,1011,0.3388,0.33880308880309,15027.9,6.840191169777,4.2777967549103,17.413557358053,14.864391691395,4.3496092619392,0.13,0.09,653.815,16649.9,0.098114659484417,NA,NA,0.17,0.1006,0.26887684356486,0.124,0.8685,0.41746825702193,2197,15651.9,0.063762226950083,0.059940299941741,685,0.19826338639653,-548,-0.15861070911722,0,5.5483516483516,1.7576530039304,0.24978292329957,4.5302170767004,-83.1994,-0.14580642577735,3455,0.25972489758762,0.2428216944346,1939,49.3,998,3586530,3513,678,23.085398230089,3513,0.85,4.3597538622676
"4",2009-07-31,321.9,0.73,0.2936,0.28086662915025,2555.8,4826.3,130.9,1347,0.12364036899353,0.42325216025138,0.27909578766343,-1.6876,0.49046321525886,16.469129638875,149.1,0,0,785.3,538.7001,934.4,0.31402,NA,9547.5,4.3260081558677,2.9891049121818,12.15777409907,10.217786815069,3,0.11,0.08,558.5877,10894.5,0.10958705426517,NA,NA,0.185,0.0385,0.1951871657754,0.123,0.9,0.43907341027288,2207,9896.3,0.10086598021483,0.091624214052963,600.9,0.1888138256088,-463,-0.14548311076198,0,3.872094843102,1.4971936035341,0.24675569520817,3.1095993715632,-19.8876,-0.036917766130627,3182.5,0.24408703851382,0.2351122936067,1781.5,30.73,998.2,3707490,3194.1,562.2,17.602810387762,3194.1,0.9,3.0654192459201
"5",2008-07-31,322.6,0.99,0.2606,0.32497557798763,2073,4666.6,261.9,827.8,0.10049653397434,0.26955389124064,0.17738824840355,6.1982,0.58326937835764,13.351346366654,116.6,0,0,686.3,441.9154,802.9,0.35609,NA,7409.3,3.303004636234,2.3843282381336,10.796007576861,9.2281728733342,2.4126668837512,0.13,0.115,290.4172,8237.1,0.10875155359362,2.01,11.835820895522,0.21,0.207,0.22888803974016,0.093,0.839,0.42240603437192,2243.2,7239.1,0.13786244146372,0.12115914581588,542.2,0.17655486812113,-521.5,-0.16981439270596,0,3.4920887602508,1.0270266435888,0.22347769456203,2.3572451970042,151.4982,0.3428217573333,3071,0.19700224366976,0.26155330438977,1760.4,23.79,998,2481857,3107.5,547.3,13.22693221268,3107.5,0.95,2.6822207749919
"6",2007-07-31,338.9,1.78,0.2381,0.32900290160907,2035,4252,104.9,1303.7,0.11296346038871,0.48774739047477,0.30660865475071,18.0755,0.70558588828223,20.795069033531,94.2,0,0,737,468.2087,831.2,0.36471,NA,10237.2,5.9205366953907,3.6993459328587,13.890366350068,12.316169393648,3.8299973811216,0.125,0.115,439.4333,11540.9,0.070178739416745,1.72,17.517441860465,0.24,0.1624,0.11748818365969,0.104,0.8685,0.35677328316086,1729.1,10543.1,0.094640096366344,0.086457728600023,507,0.18968161921509,-511.8,-0.19147742152718,0,5.1808845208845,1.6636055226824,0.27573048000299,3.9444423659695,28.7755,0.061458633187309,2672.9,0.27078175351339,0.24914004914005,1426.4,30.13,997.8,3002711,2767.3,499.9,21.090418083617,2767.3,1.05,3.805361382221
"7",2006-07-31,345.2,1.08,0.2468,0.0087824351297405,1738.1,2770,44.5,1197.2,0.11274343616981,0.5111215471972,0.43220216606498,9.8107,0.61588330632091,24.060358520536,94.2,0,0,662.6,409.3013,756.8,0.38228,NA,9421.6,16.936185511415,3.9251760196642,14.219136734078,12.449260042283,4.0223711736327,0.125,0.08,449.1906,10618.8,0.070180505415163,1.53,19.941176470588,0.17,0.1696,0.19993329998333,0.114,0.8064,0.20379061371841,556.3,10603.4,0.0014523643359677,0.0014502580329227,440.7,0.18814840114417,-396.2,-0.16914998078811,0,6.1005695874806,1.9248286816428,0.28288434444777,4.5269179865944,-39.8893,-0.097457066085759,2342.3,0.73575637605609,0.25355272999252,1269.2,30.51,15.4,1539973,2400.3,428.6,24.739617358843,2400.3,0.95,6.0557741659538
"8",2005-07-31,179.3,0.86,0.2879,0.010215995329831,NA,2716.5,38.2,994.3,0.105441202982,0.46945231350331,0.36602245536536,-7.0214,0.59742966307746,25.099733333333,100,0,0,482.788,325.5729,582.788,0.32564,NA,8435.6,11.737303464589,3.9828139754485,17.472680243613,14.474560714173,4.0557719121112,0.115,0.095,394.3943,9429.9,0.076753175041414,NA,NA,0.17,0.1809,0.20066107188084,0.114,0.8264,0.21321553469538,718.7,9412.4,0.0018592495006587,0.0018557991070955,375,0.1802971296697,-383.3,-0.18428770613972,0,5.5514007667355,2.1825855072464,0.23212076542141,4.5254098754748,-68.8214,-0.21138541058054,2079.9,0.45300250757312,0.2211736950752,1114.2,53.3,17.5,946188,2118,375,25.099733333333,2118,1.1,5.5049036777583
"9",2004-07-31,190.1,0.47,0.2939,0.0089188601261692,NA,2696.2,52.3,1019.2,0.12141138350845,0.53891708967851,NA,-4.5284,0.31983667914257,26.429652996845,77.6,0,0,541.8198,379.2738,619.4198,0.3,NA,7375.4,8.9987798926305,3.8998519458545,13.61227553583,11.906949628037,3.9489211329443,0.14,0.12,409.1022,8394.6,0.086455010755879,NA,NA,0.165,0.1872,0.20115903265352,0.111,0.804,0.28829463689637,819.6,8378.2,0.0019574610298155,0.0019536368617921,317,0.16972747229212,-359.9,-0.1926968999304,0,4.5973441615452,1.8878323569175,0.2901,4.4858381967125,-29.8284,-0.078646017945794,1867.7,0.46275480600293,0.17394644424934,833.3,43.04,16.4,753323,1891.2,327.7,25.566676838572,1891.2,1.05,4.5652599521427
"10",2003-07-31,199.5,0.68,0.3967,0.014693345368838,NA,2790.3,50.4,1513.7,0.14579059396881,0.91700490700915,NA,-226.8,0.3782,35.108172261784,73.8,0,0,376.1,259.8362,449.9,0.30913,NA,8869,NA,NA,23.581494283435,19.71326961547,5.3728721148604,0.18,0.145,283.2362,10382.7,0.067483783105759,NA,NA,NA,0.2864,0.23174529934249,0.104,0.7827,0.25678242482887,480.4,10353.4,0.0028299882164313,0.0028220019840697,294.9,0.1786514811898,-641,-0.38832010662143,0,5.2694421824104,1.9504540145435,0.22784273338584,6.2721269764342,-23.4,-0.090056733317386,1650.7,0.54087470233139,0.15009161237785,737.9,52.12,29.3,1241944,1680.4,294.9,35.108172261784,1680.4,1.2,18.461698584513
