"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-05-26,449.5,2.14,0.4272,0.4182,2461.7,12876.6,140.3,2315.6,0.3595,0.3301,0.1798,10.5,0.8,11.88,150.9,0.0231,107.88,688,469.04,839,0.3185,0.3449,4125.5,2.15,0.59,5.99,4.92,0.59,0.185,0.085,469.14,6441.1,0.0357,0.8,13.78,NA,-0.005,0.1476,0.015,0.9032,0.2675,1915.3,4671.9,0.3787,0.2747,393.3,0.0561,-1503.1,-0.2143,0.2674,1.9,0.64,0.0981,0.67,-0.1,-2e-04,7014.6,0.2449,0.1598,1924.3,11.02,1769.2,4815624,6965.6,403.5,11.58,6965.6,1.2,1.52
"2",2011-05-26,489.1,1.78,0.5583,0.40717299578059,2529,13070.8,96.3,2689.4,0.43891373176225,0.41173318636231,0.20575634238149,-117.8111,0.51495611678309,16.815013404826,148.4,0.0263,115.4675,548.7,340.1062,697.1,0.38016,0.42055037727474,3438,2.1806418876062,0.49439171699741,6.2657189721159,4.9318605651987,0.52633996233868,0.18,0.06,510.0173,6127.4,0.034756862625088,0.72,13.513888888889,NA,0.077,0.3296812749004,0.016,0.8843,0.25771184625272,1576.6,4390.4,0.39563593294461,0.28348075855991,261.1,0.039973055313155,-1823.1,-0.27910715105865,0.44223485254692,1.7360221431396,0.93416741137921,0.084003123134157,0.67214746092255,-169.9111,-0.49958255528772,6531.9,0.21572130407205,0.10324238829577,1866.2,9.73,1737,8279203,6954,323.1,13.588362735995,6954,1.15,1.4363338021566
"3",2010-05-26,486.1,1.75,0.5715,0.49667032378231,1972.7,12263.1,67.1,2506.1,0.34733617917729,0.41577078770987,0.20436105063157,-71.4515,0.48118985126859,43.434460016488,169.9,0,0,345.9,211.798,515.8,0.38769,0.47805507745267,4709.1,3.3322247381829,0.74493395554853,13.614050303556,9.1297014346646,0.78125622138164,0.17,0.045,386.0495,7215.2,0.039965424729473,0.51,20.823529411765,NA,-0.1503,0.32719393282774,0.016,0.9533,0.27081243731194,1413.2,5268.6,0.36947196598717,0.26979155116975,121.3,0.020124095825868,-1465.4,-0.24311500431349,0,2.6707558169007,2.554968236264,0.057386024288274,0.87407923551662,-174.2515,-0.82272484116335,6027.6,0.1498712347863,0.061489329345567,1720.5,10.62,1946.6,6107368,6321.5,167.4,31.47311827957,6321.5,1.1,1.8409409843594
"4",2009-05-26,477.1,1.51,0.5124,0.52077242463701,1950.6,12125.2,138.4,2274.9,0.4041033839595,0.32672670084881,0.18761752383466,159.6607,0.32786885245902,11.897627118644,173.3,0,0,606.8,405.2635,780.1,0.33213,NA,3354.6,1.8684415729085,0.54743953784392,5.5283454185893,4.3002179207794,0.48179585505623,0.24,0.04,280.5028,5629.5,0.04630851449873,0.43,17.162790697674,NA,0.0492,0.43225806451613,0.013,0.992,0.26563685547455,1795.4,3509.8,0.60393754629893,0.37653432809308,295,0.042368621368147,-1331.5,-0.19123328593793,0,1.7993437916538,0.49573446327684,0.087150099817599,0.50408605856923,124.7607,0.30785073292799,6962.7,0.2257232460733,0.15123551727674,2013.3,7.38,2119.7,6896580,6127.8,181.5,19.337741046832,6127.8,1.05,1.3830675871557
"5",2008-05-26,471.2,1.65,0.3451,0.50181569615927,1807.2,12458.1,147.6,2037.4,0.49313808544112,0.31085410881572,0.16354018670584,87.1114,0.46363372935381,11.216488357458,177.2,0,0,344.3,254.9645,521.5,0.25947,NA,2094.1,0.98824917413875,0.2973137973138,6.0821957595121,4.0155321188878,0.31950505019682,NA,0.08,197.4531,4131.5,0.049766818375194,0.48,8.25,NA,0.0529,0.6058282208589,0.01,NA,0.25939750042141,2119,1782.3,1.3180721539584,0.56860704344669,158.9,0.024243996216167,-1167.1,-0.17806902444234,0,0.98622177954847,NA,0.052531201367062,0.27193250129688,57.5114,0.22556619252517,6554.2,0.12032301982067,0.087926073483842,1893.5,3.96,2349.2,2971075,7043.4,248.8,7.1635852090032,7043.4,1,0.99400923876432
"6",2007-05-26,468.6,1.07,0.2189,0.54575033355961,1415.6,11864.1,127.8,1955.7,0.3146387373908,0.31590424500872,0.16484183376742,55.3024,0.8,126.93464052288,173.6,0,0,167.7,117.3632,341.3,0.30016,NA,4260,2.378028357709,0.66058801637514,25.402504472272,12.481687664811,0.68811785229696,NA,0.045,107.8608,6215.7,0.05259564568741,0.36,21.305555555556,NA,-0.0948,0.27597254004577,0.01,NA,0.25857840038435,1791.4,3884.2,0.60025230420679,0.37509854079187,30.6,0.0049428183756542,-1327,-0.21435032629063,0,2.7438541961006,NA,0.027088583058732,0.62741487368353,9.5024,0.080965641477752,6190.8,0.065514775036285,0.02161627578412,1905.4,7.67,2331.5,5031480,6448.8,120.9,32.127377998346,6448.8,1.2,1.6588028075045
"7",2006-05-26,429.9,1.44,0.261,0.68153602726387,1945.3,11945.2,140.7,2191.5,0.28684930431027,0.3492819916166,0.18346281351505,-17.8562,0.8,NA,168.8,0,0,-12.9,-12.9,155.9,0,NA,5448.4,2.7329454253612,0.87887342119272,NA,34.948043617704,0.86836778604785,NA,0.025,33.0562,7639.9,0.054415162575763,0.14,87.428571428571,NA,-0.0291,0.24442289039767,0.01,NA,0.27876469209389,1993.6,5400.1,0.41477009685006,0.2931713765887,-271.9,-0.043335511531167,-1493.8,-0.23808233587811,NA,2.7759728576569,NA,-0.0020560062477089,0.86066971614363,-45.9562,NA,6274.3,-0.0064707062600321,-0.13977278568858,2288.1,12.24,2239.8,1780400,6199.3,-153.4,NA,6199.3,1.4,1.8254999880528
"8",2005-05-26,424.9,1.35,0.3886,0.56828802572735,NA,12272.3,194,1970.4,0.30832785653929,0.31008435100088,0.16055670086292,8.0186,0.69480185280494,NA,239.4,0,0,403.7709,403.7709,643.1709,0,NA,4420.2,1.8544996853367,0.69561248898401,10.947297093476,6.872512422437,0.69206200093941,NA,0.015,441.1523,6390.6,0.058905013730108,0.15,64.4,NA,0.0719,0.20629370629371,0.01,0,0.25905494487586,2383.5,4128.7,0.54784799089302,0.3539417269114,-544.9,-0.085313918897761,-1571,-0.24596837325818,NA,3.0705786107393,NA,0.063217613903241,0.64642242054173,-37.3814,-0.092580795277181,6387,0.16940251730648,-0.31711575394285,2249.8,9.66,2261.9,2074200,6354.4,-502.1,NA,6354.4,1.3,1.6055977086579
"9",2004-05-26,418.1,1.68,0.4555,0.48704775402543,NA,12234.5,159.6,2005.7,0.24850392139857,0.33002599795965,NA,-36.421,0.73765093304062,NA,277.9,0,0,792.7317,792.7317,1070.6317,0,NA,6065.4,1.7590046981034,0.9980254714187,7.6512648012251,5.6652536192465,1.0344510011256,NA,-0.005,947.4526,8071.1,0.053708774367567,0.41,32.853658536585,NA,-0.1269,0.24622030237581,0.01,0.9397,0.27402836241775,3448.2,5596.8,0.44209190966266,0.30656292203045,-552.9,-0.094296824368114,-997.9,-0.17019135655081,NA,2.5073022130634,NA,0.1352,0.95453150049459,-154.721,-0.19517442560372,5863.4,0.22989724493939,-0.21217237806516,1885.6,13.47,2474.3,726800,6077.4,-558.6,NA,6077.4,1.35,1.5887366639109
"10",2003-05-26,386.2,1.68,0.5069,0.55677501055298,NA,11793.7,183.2,933,0.10839384257915,0.15039654394223,NA,472.6,0.7282,59.994974874372,217.5,0,0,545,256.8912,762.5,0.52864,NA,7674.5,NA,NA,14.081651376147,10.064918032787,1.2371042620414,0.075,-0.005,291.1912,8607.5,0.070011955535583,0.62,24.177419354839,NA,-0.0961,0.39240506329114,0.014,0.9767,0.29326674410914,3805,5969.5,0.44191305804506,0.3064769096718,99.5,0.016039074086015,-880.2,-0.14188535688955,0,2.8426190476191,7.9993299832496,0.087852214842994,0.96226384679863,-34.3,-0.13351956003164,6203.6,0.067514113009198,0.047380952380952,2096.6,14.99,2638,2885425,6020,NA,NA,6020,1.3,2.0169513797635
